True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,324.89655,1755.255,1785.0708,-79.513275,2.4674960105039645,-0.012965312,6.2075205e-06,1.2953309e-05,1.2524209e-05,1.0,40,0.010124879,5.671976e-06,0,-1.9829690508130523e-10,1.0
1,1,6057573.0,391.4547,1948.6298,1987.5599,-78.6412,3.0194806233921554,-0.012957934,-5.386941e-05,1.3483175e-05,1.2960159e-05,1.0,40,0.014346535,7.2181647e-06,0,-3.259132675292875e-09,1.0
2,2,5242039.0,519.48505,2321.964,2379.366,-77.389084,3.4354813898389693,-0.013028194,1.5026372e-05,1.3075683e-05,1.2452396e-05,1.0,40,0.019922707,8.373116e-06,0,-1.9134204225868717e-09,1.0
3,3,4536288.0,317.44925,2638.3403,2657.3696,-83.13906,4.667493341694353,-0.012994229,-5.4209454e-06,1.3298073e-05,1.3108301e-05,1.0,40,0.020729706,7.800836e-06,0,-1.5681485295241753e-08,1.0
4,4,3925558.5,435.6467,3011.8696,3043.2131,-81.76963,5.083489281445509,-0.013093648,4.7548583e-05,1.3461161e-05,1.3185302e-05,1.0,40,0.019535001,6.4192027e-06,0,-1.4902794822005048e-08,1.0
5,5,3397055.0,507.34586,3388.812,3426.5793,-81.485374,5.499486821208848,-0.013105051,-7.969894e-06,1.3825157e-05,1.3522078e-05,1.0,40,0.020590045,6.008921e-06,0,-1.330688021072193e-08,1.0
6,6,2939708.2,528.85645,3854.1245,3890.2397,-82.18677,6.0514797007490415,-0.013044385,-1.8835435e-05,1.4047213e-05,1.3787607e-05,1.0,40,0.020565504,5.286436e-06,0,-1.12761909345096e-08,1.0
7,7,2543924.5,655.693,4456.2544,4504.2354,-81.62956,6.6034899936348666,-0.013104529,8.998214e-06,1.4039315e-05,1.3741804e-05,1.0,40,0.020496197,4.5504275e-06,0,-1.1143930477462365e-08,1.0
8,8,2201436.2,645.5522,4883.8105,4926.291,-82.47018,7.155486499861581,-0.013136407,9.481969e-06,1.4803187e-05,1.4548985e-05,1.0,40,0.02058564,4.17873e-06,0,-1.3810758708776424e-08,1.0
9,9,1905053.1,1001.7294,5943.779,6027.6006,-80.43361,7.8754844807263,-0.013140526,1.7143947e-06,1.4055632e-05,1.3667426e-05,1.0,41,0.01971594,3.2709434e-06,0,-1.3755372083135992e-08,1.0
10,10,1648567.4,830.2163,6779.0674,6829.7153,-83.01789,8.427497786906315,-0.013161859,5.617191e-07,1.4241098e-05,1.4030663e-05,1.0,41,0.019876223,2.9102564e-06,0,-1.503808481911939e-08,1.0
