True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
127,127,7000018.5,31.726488,413.3146,414.5305,-85.61052,205.19148742602556,-0.021639345,-8.782594e-05,5.5009816e-05,5.4687585e-05,2.0,40,0.017928079,4.324912e-05,0,-4.4615797697204583e-08,2.0
128,128,6065061.0,68.19774,443.1945,448.41086,-81.252075,205.4754922662105,-0.021611815,-2.319053e-05,5.920939e-05,5.7839836e-05,2.0,40,0.021133168,4.7129026e-05,0,-4.437135985095292e-08,2.0
129,129,5255001.0,84.64403,473.6586,481.16223,-79.86804,206.56949981147773,-0.021617861,-3.1188392e-05,6.394136e-05,6.196261e-05,2.0,40,0.020149047,4.1875785e-05,0,-3.5957895255322114e-08,2.0
130,130,4553128.5,105.92233,517.51117,528.23987,-78.43267,206.85350662496057,-0.021633074,-2.3563385e-05,6.754458e-05,6.4828746e-05,2.0,40,0.018013034,3.4100103e-05,0,-4.223285472423141e-08,2.0
131,131,3945006.2,119.398575,560.20044,572.78314,-77.96827,207.27250984488637,-0.02163634,-2.1587204e-05,7.2015995e-05,6.888671e-05,2.0,40,0.020020975,3.495385e-05,0,-4.178673022028237e-08,2.0
132,132,3418098.8,132.22,616.27484,630.299,-77.89092,207.55650569839054,-0.021635706,-1.7821307e-05,7.555463e-05,7.222985e-05,2.0,40,0.019686583,3.123372e-05,0,-4.4801831686598345e-08,2.0
133,133,2961568.5,148.11494,690.0336,705.751,-77.88535,207.84050920521258,-0.021649964,-2.153127e-05,7.788038e-05,7.445016e-05,2.0,40,0.020303726,2.8768967e-05,0,-4.455388371143303e-08,2.0
134,134,2566016.5,169.72624,778.822,797.10144,-77.705925,208.12449244534946,-0.021653026,-1.9126304e-05,7.963839e-05,7.6027674e-05,2.0,40,0.02167399,2.7191007e-05,0,-4.7558403624869864e-08,2.0
135,135,2223296.5,203.05783,878.84656,901.9999,-76.99009,208.5434894786158,-0.021645784,-3.1356158e-05,8.145349e-05,7.7325516e-05,2.0,40,0.02052637,2.275651e-05,0,-5.2084135046049103e-08,2.0
136,136,1926347.2,243.24141,991.9463,1021.33435,-76.22201,208.96249688518583,-0.021654183,-3.266117e-05,8.329087e-05,7.8566576e-05,2.0,40,0.020378638,1.9952955e-05,0,-5.2705128469428236e-08,2.0
