True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
84,84,7000018.5,19.94598,440.26413,440.71573,-87.40601,247.40650204449776,-0.67354834,-6.1884025e-06,5.1642546e-05,5.1536765e-05,3.0,40,0.01712794,3.886392e-05,0,-2.0092940157708877e-07,2.6140006,0.39743227,3.0897112,7.1414004e-05,8.113375e-06,0.0002358072,0.00037330706,9.1122565e-06,8.6380505e-06,7.6181993,0.7651317,12.580202,4.2105543e-07,9.54441e-08,6.800858e-07,2.8402746e-06,1.0479017e-07,1.1243051e-07,3.0
85,85,4765894.0,92.477844,447.3854,456.84335,-78.32103,250.4495124023233,-0.67353207,-6.06682e-05,7.464383e-05,7.158515e-05,3.0,40,0.018597517,4.070874e-05,0,-2.4684855686571835e-07,1.780917,0.107502535,2.0913029,0.0003276999,1.4679893e-05,7.861436e-06,1.6680899e-05,3.8941213e-05,1.1306576e-05,2.6178718,0.13946223,6.5582795,9.781592e-07,1.5758208e-07,7.875869e-08,1.4911052e-07,3.1460684e-07,1.2652521e-07,3.0
86,86,3244822.5,131.74617,543.9368,559.6645,-76.384674,252.594495304249,-0.6735608,-6.465407e-05,9.017387e-05,8.517696e-05,3.0,40,0.019007972,3.3963155e-05,0,-2.728680132952369e-07,6.3290505,0.09918473,2.0257008,0.0011996233,8.9001835e-05,8.19482e-06,5.0131475e-06,7.5725916e-06,6.749906e-06,13.360409,0.14236924,5.6260567,4.530769e-06,1.527754e-07,6.946475e-08,8.337478e-08,8.2125524e-08,8.462544e-08,3.0
87,87,2209211.8,198.70132,727.7879,754.42523,-74.729225,254.7404906595184,-0.67358077,-5.7613568e-05,9.898695e-05,9.212027e-05,3.0,40,0.02048391,2.7151675e-05,0,-3.0585610695329045e-07,2.882201,0.045663413,1.7786007,0.00048288747,0.0003297767,7.968715e-05,8.555155e-06,9.15565e-06,6.2304644e-06,4.752782,0.1047798,4.279046,1.0262155e-06,7.222033e-07,2.5148694e-07,6.084538e-08,7.213214e-08,1.1581364e-07,3.0
88,88,1504119.6,329.14554,979.9477,1033.7477,-71.43379,256.8864909214026,-0.67360723,-5.0889717e-05,0.0001079779,9.703124e-05,3.0,40,0.021227235,2.0534251e-05,0,-3.197835531877631e-07,1.4297608,0.10115575,1.7226304,0.0002216418,0.00012208468,0.00015789733,4.7649224e-05,2.615113e-05,6.511654e-06,3.0275273,0.13782787,3.7159784,4.0026433e-07,3.5593203e-07,3.2418754e-07,1.6757555e-07,6.3952754e-08,8.119579e-08,3.0
89,89,1024068.44,543.7915,1289.3234,1399.3083,-67.13168,259.0324988900393,-0.6735932,-5.51736e-05,0.000120539466,0.000102335456,3.0,40,0.02080055,1.486488e-05,0,-3.552074100693703e-07,0.7126879,0.052056286,1.6988614,0.00012121068,5.3641666e-05,5.1853087e-05,1.5817039e-05,3.525001e-05,8.813054e-06,1.8188739,0.091702454,3.4502032,1.5265462e-07,8.391384e-08,1.6192313e-07,7.088974e-08,1.1396074e-07,5.796817e-08,3.0
90,90,697233.1,865.1933,1641.0609,1855.1659,-62.20109,261.17950440532877,-0.6735997,-6.2027844e-05,0.00013909688,0.0001088432,3.0,40,0.02129235,1.1477329e-05,0,-3.891634542404855e-07,0.4639388,0.059962787,1.7313215,8.252002e-05,3.2919786e-05,3.6561905e-05,6.386468e-06,1.8267301e-05,8.033788e-06,1.1889604,0.1028747,3.7041779,7.7092096e-08,3.346132e-08,5.4240783e-08,4.7216446e-08,4.404974e-08,4.9847543e-08,3.0
91,91,474706.8,1307.8794,2012.9191,2400.4983,-56.9865,263.325489893934,-0.67359525,-6.523145e-05,0.0001665591,0.00011711653,3.0,40,0.021435538,8.92962e-06,0,-4.1640976124131e-07,0.2922855,0.048387766,1.6453158,5.2663072e-05,2.0422345e-05,2.1370985e-05,3.0529397e-06,1.3554926e-05,6.9120742e-06,0.90538406,0.08431137,3.5837665,3.909356e-08,8.756763e-09,3.455201e-08,2.0934616e-08,2.503275e-08,4.403101e-08,3.0
92,92,323198.12,1877.7323,2391.46,3040.5525,-51.861618,265.47151186250267,-0.67359126,-5.2733656e-05,0.00020591509,0.00012738239,3.0,40,0.0216904,7.1337035e-06,0,-4.51977358058847e-07,0.22435857,0.054100245,1.6462257,3.956315e-05,1.5776859e-05,1.3573805e-05,8.528818e-06,1.2515619e-05,6.4396645e-06,0.7656568,0.100772135,3.4608269,2.466487e-08,7.992025e-09,1.8589628e-08,2.006283e-08,2.55254e-08,3.6110663e-08,3.0
93,93,220049.0,2605.4146,2744.5784,3784.296,-46.49004,267.6175011644664,-0.67360026,-4.286209e-05,0.00026352698,0.00013861372,3.0,40,0.021391978,5.6528293e-06,0,-4.814526233668741e-07,0.15610011,0.07131566,1.6491139,2.6292417e-05,1.1875748e-05,7.964993e-06,6.485066e-06,7.394414e-06,7.550509e-06,0.5992862,0.11738044,3.9075751,1.1803255e-08,1.0070644e-08,7.686487e-09,1.5023293e-08,1.6527238e-08,2.0180472e-08,3.0
94,94,149820.0,3501.2217,2997.4988,4609.0728,-40.567802,269.7634945996979,-0.67358816,-4.7239144e-05,0.00035439804,0.0001498933,3.0,40,0.021201516,4.5999523e-06,0,-5.075654354607432e-07,0.1360478,0.056108095,1.7113639,1.7673827e-05,9.4928555e-06,1.0662464e-05,1.175583e-05,6.0664147e-06,7.744259e-06,0.5086031,0.11527631,4.70083,1.0047824e-08,1.0879545e-08,9.645013e-09,9.992628e-09,8.909379e-09,8.651042e-09,3.0
95,95,101998.59,6052.711,3040.645,6773.539,-26.673162,272.21050082260626,-0.6736095,-9.19304e-06,0.00051316875,0.00010340949,3.0,41,0.019236173,2.8399e-06,0,-5.150102170698037e-07,0.13868973,0.05090287,1.9604173,1.3583703e-05,1.3233562e-05,7.170505e-06,8.448971e-06,5.064444e-06,8.9236e-06,0.46908012,0.05375753,2.2380927,2.3741158e-09,3.9063446e-09,2.519745e-09,2.9579768e-09,3.5719632e-09,9.640564e-09,3.0
96,96,69449.59,6774.817,2347.3857,7169.9624,-19.110535,274.3565100445121,-0.6735963,-4.852185e-06,0.0009762611,0.00010464082,3.0,41,0.0204353,2.8501265e-06,0,-5.129038442371786e-07,0.13637431,0.08616122,1.947602,9.667243e-06,9.654604e-06,8.383888e-06,1.2499145e-05,1.2830206e-05,8.849573e-06,0.28834847,0.08413586,1.9331182,2.068485e-09,1.9763378e-09,2.6104356e-09,2.6967173e-09,4.027635e-09,3.805993e-09,3.0
97,97,47283.254,7118.358,1763.491,7333.5474,-13.914224,276.50250521310954,-0.67360145,-5.3649546e-06,0.0019087082,0.00011037172,3.0,41,0.020429527,2.7857634e-06,0,-5.16366805699006e-07,0.11720496,0.060203526,1.8842882,1.1605466e-05,9.489699e-06,8.284619e-06,8.80112e-06,9.585143e-06,5.043017e-06,0.1728948,0.052719265,1.6334397,1.4709957e-09,1.3962723e-09,1.3400179e-09,1.5394014e-09,2.112042e-09,2.9013243e-09,3.0
98,98,32196.41,7294.777,1393.9733,7426.771,-10.818341,278.6485023550631,-0.6735918,-5.527175e-06,0.0035461592,0.00012493008,3.0,41,0.02027244,2.7296437e-06,0,-5.166127129990849e-07,0.123943985,0.050731186,1.9841237,1.2374402e-05,9.238434e-06,1.1125048e-05,8.535713e-06,7.646249e-06,5.186896e-06,0.18134893,0.05238356,1.6368008,1.1459028e-09,2.0703668e-09,1.3634418e-09,2.2135813e-09,2.5766076e-09,1.4976385e-09,3.0
99,99,21915.822,7417.498,1232.749,7519.2383,-9.43601,280.6594914906018,-0.6736045,-5.510395e-06,0.0058909818,0.00015833952,3.0,41,0.02171473,2.8878897e-06,0,-5.183808960016923e-07,0.11979718,0.048052356,1.8219465,8.918371e-06,1.5180934e-05,1.0312578e-05,1.0651878e-05,5.0713584e-06,4.6506316e-06,0.13100007,0.05141336,1.420543,7.887089e-10,2.0239268e-09,1.2164905e-09,2.1273e-09,9.2462016e-10,1.0923586e-09,3.0
100,100,14919.832,7552.494,1200.5684,7647.322,-9.032345,282.80548975252896,-0.6735963,-5.2996916e-06,0.008885243,0.00021899004,3.0,41,0.02024634,2.6475072e-06,0,-5.245870011702481e-07,0.13101168,0.051418968,1.8945343,9.4076395e-06,1.3851467e-05,1.1947378e-05,7.4861127e-06,1.032749e-05,6.7607616e-06,0.13024339,0.043794822,1.5980246,7.6022677e-10,2.084241e-09,1.1906149e-09,1.1856369e-09,1.4695232e-09,6.482958e-10,3.0
