True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,THD_I,NSD_I,NSR_I,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
0,0,7000018.5,24.171165,571.1903,571.7015,-87.57685,4.678485902171815,-0.13772234,5.030672e-05,3.980523e-05,3.973408e-05,1.0,40,0.015193651,2.6576197e-05,0,5.927959615389177e-08,2.7784305,0.09766488,7.005902,10.883056,0.3893984,33.24377,6.296937e-05,1.4315022e-05,0.00013824417,0.00039351077,4.9741793e-06,3.416482e-06,5.124907e-07,7.1335805e-08,3.466781e-07,2.819895e-06,7.13799e-08,9.4010126e-08,1.0
1,1,4765894.0,106.80646,537.7113,548.21625,-78.76547,6.753499520738842,-0.1376242,0.00021416975,6.2105e-05,5.9747686e-05,1.0,40,0.01968588,3.5908968e-05,0,1.894506935076505e-07,6.69594,0.1146201,5.050729,11.903172,0.19546087,12.868581,0.0013047425,4.2670483e-05,6.307695e-06,3.446256e-05,4.3623164e-05,0.00017245424,4.036625e-06,4.495665e-07,1.10673334e-07,2.1295706e-07,3.1090548e-07,1.2612761e-06,1.0
2,2,3244822.5,153.17671,629.4805,647.8494,-76.323555,9.425489140994614,-0.13770847,0.0002112976,7.791963e-05,7.356366e-05,1.0,40,0.01989653,3.0711657e-05,0,3.3499060568490473e-07,8.705438,0.05762486,4.8037286,18.047503,0.19225316,9.936283,0.0017238787,0.00016494027,1.0338686e-05,8.518033e-06,2.5861702e-05,4.9135633e-06,5.5262003e-06,3.273749e-07,6.0659175e-08,7.751867e-08,2.0321527e-07,7.3762656e-08,1.0
3,3,2209211.8,225.03549,816.9563,847.38336,-74.599464,11.689481568551855,-0.13776207,0.00020538547,8.818282e-05,8.1963735e-05,1.0,40,0.020250551,2.3897745e-05,0,4.6419866540979154e-07,1.7385532,0.06593488,4.4115195,3.0099974,0.1546749,8.310391,0.00029108647,0.00019458395,3.416314e-05,5.2936743e-06,4.481086e-06,8.115407e-06,5.2810657e-07,4.4260597e-07,8.6316355e-08,9.6872164e-08,1.0863344e-07,8.394269e-08,1.0
4,4,1504119.6,353.87112,1086.2621,1142.4492,-71.95597,13.954499116080115,-0.13778938,0.00019868997,9.740992e-05,8.806404e-05,1.0,40,0.020582318,1.8015959e-05,0,5.819342934179683e-07,0.34540796,0.08447957,4.176131,1.0728009,0.10234189,6.891244,6.181435e-05,2.7205044e-05,1.3383302e-05,1.268207e-05,5.5032574e-06,5.232469e-06,1.05759234e-07,4.631501e-08,7.625653e-08,8.4326466e-08,8.1945615e-08,6.557008e-08,1.0
5,5,1024068.44,569.0216,1436.0515,1544.6779,-68.38453,16.219489330338547,-0.13776566,0.00020145022,0.00010822338,9.3537405e-05,1.0,40,0.020899102,1.3529748e-05,0,7.073464553454869e-07,0.19260268,0.17609744,4.0397553,0.8911442,0.31014356,6.3634048,3.122719e-05,1.5270807e-05,7.3793726e-06,1.4363742e-05,7.3084234e-06,6.7627484e-06,3.224408e-08,3.6104833e-08,3.3733382e-08,5.3531583e-08,6.707121e-08,6.506351e-08,1.0
6,6,697233.1,890.81885,1858.074,2060.5818,-64.38548,18.483481197879883,-0.13779807,0.00020064827,0.00012285112,9.989078e-05,1.0,40,0.020963302,1.0173487e-05,0,8.507114631458895e-07,0.16179188,0.090780064,4.0349407,0.91131514,0.16651215,6.7065725,1.7176e-05,2.177697e-05,6.9883895e-06,1.0853415e-05,1.0586526e-05,7.2502685e-06,1.5111427e-08,3.4759754e-08,3.3683396e-08,2.9056622e-08,4.5515907e-08,4.6257544e-08,1.0
7,7,474706.8,1364.2026,2341.3691,2709.8079,-59.772713,20.747481732076267,-0.13778758,0.00019697413,0.00014319399,0.00010690243,1.0,40,0.020901104,7.713132e-06,0,9.896808087131224e-07,0.10411722,0.043314047,4.0460067,0.69533056,0.114003785,6.836256,8.47062e-06,1.0370579e-05,9.309586e-06,8.1304715e-06,5.913081e-06,6.98094e-06,1.4958413e-08,1.3038669e-08,1.6069269e-08,2.3350276e-08,2.5469584e-08,2.6420226e-08,1.0
8,8,323198.12,2012.8488,2858.4714,3496.0576,-54.847958,23.01149386630277,-0.13778451,0.00020057366,0.00017227308,0.00011516698,1.0,40,0.020825261,5.956784e-06,0,1.1130983314589635e-06,0.09623049,0.05811348,4.076237,0.5111298,0.11181853,6.5640516,8.340698e-06,8.006255e-06,5.484677e-06,9.187047e-06,6.6340817e-06,7.475132e-06,1.1186767e-08,1.1013395e-08,1.054185e-08,1.5597704e-08,1.5844261e-08,1.2626973e-08,1.0
9,9,220049.0,2889.5444,3359.4983,4431.2183,-49.300785,25.275485253805527,-0.1377859,0.00020930202,0.00021529123,0.00012374535,1.0,40,0.020738348,4.6800556e-06,0,1.2468317640545668e-06,0.114696026,0.07026876,4.076339,0.6566413,0.12934062,7.491535,7.844144e-06,1.2328965e-05,7.3587876e-06,1.2644378e-05,4.308266e-06,5.5143287e-06,7.977274e-09,9.105105e-09,5.9885132e-09,1.7108931e-08,1.4641859e-08,1.8210372e-08,1.0
10,10,149820.0,4871.283,4179.4897,6418.531,-40.629112,27.707488276035292,-0.13779557,4.0710744e-05,0.00025417164,0.000107771106,1.0,41,0.020276107,3.158995e-06,0,1.28139197276307e-06,0.101947136,0.08970382,4.2259035,0.40863654,0.07082178,5.8552637,9.759918e-06,9.99011e-06,5.4173647e-06,7.7087925e-06,6.564945e-06,5.3774165e-06,3.280248e-09,5.3119105e-09,2.3839721e-09,5.8400036e-09,4.5750115e-09,6.529658e-09,1.0
11,11,101998.59,6314.7637,3894.4712,7419.107,-31.663162,29.97147747685085,-0.13778827,2.3786743e-05,0.00040066137,0.000110400535,1.0,41,0.020382266,2.7472668e-06,0,1.2963364380218916e-06,0.11121835,0.056221563,4.195684,0.33733395,0.047203243,5.0979676,7.0927777e-06,1.3449004e-05,7.1813106e-06,9.600117e-06,6.57136e-06,5.151773e-06,1.9396307e-09,3.081343e-09,2.155391e-09,5.053454e-09,3.1212737e-09,4.1756736e-09,1.0
12,12,69449.59,7350.7812,3235.2473,8031.2397,-23.755394,32.23648387778667,-0.13778967,2.4710276e-05,0.00070834195,0.0001149457,1.0,41,0.02026042,2.5227014e-06,0,1.309284786063592e-06,0.11181025,0.06569297,4.2362404,0.31385788,0.06270185,4.469416,5.97204e-06,1.0644235e-05,4.8638444e-06,1.2066557e-05,8.350864e-06,6.755849e-06,2.0287982e-09,3.2467027e-09,2.01543e-09,3.7072398e-09,3.2185088e-09,3.2303813e-09,1.0
13,13,47283.254,9003.23,2913.4868,9462.904,-17.93182,34.50149539872655,-0.1377922,2.4749455e-05,0.0011553132,0.000109515844,1.0,41,0.020266328,2.1416604e-06,0,1.3251347105015409e-06,0.14119023,0.067940556,4.2491875,0.30435535,0.07576543,4.4948354,7.073521e-06,1.8633771e-05,6.521745e-06,1.3316745e-05,9.173284e-06,5.5017467e-06,1.7003599e-09,3.1683154e-09,1.6820549e-09,1.4428524e-09,4.0212784e-09,1.8958244e-09,1.0
14,14,32196.41,8844.763,1828.931,9031.878,-11.683033,36.62948760643485,-0.13780148,2.4934165e-05,0.0027028087,0.00011082912,1.0,41,0.020521987,2.2721729e-06,0,1.3397976535962294e-06,0.2840347,0.11375914,4.167834,0.583263,0.14508832,3.9382193,1.8525356e-05,4.360886e-05,5.6047083e-06,8.396197e-06,7.1354825e-06,2.9367291e-05,2.4917686e-09,8.058537e-09,7.6280765e-10,1.4565124e-09,1.5436717e-09,9.483399e-09,1.0
