True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
84,84,7000018.5,-143.93713,208.05826,252.99434,-124.675934,243.060486371367,0.0762387,-0.0010111246,0.000109278815,7.3906784e-05,3.0,39,0.004390817,1.7355396e-05,0,-6.390409071123915e-06,11.6179085,0.37559414,13.010897,3.967671e-05,1.0805299e-05,0.00017164116,0.000478233,1.1152507e-05,1.0232231e-05,25.014177,0.7681365,25.405212,8.5796864e-07,9.330915e-08,1.8202597e-07,4.2462525e-06,1.2184802e-07,1.1084967e-07,3.0
85,85,4765894.0,-134.63045,313.7823,341.44498,-113.222084,245.15850175105152,0.076297194,-0.0017119216,0.0001064259,8.9879926e-05,3.0,39,0.014587889,4.2723983e-05,0,-7.455039920791377e-06,3.3242157,0.24930386,4.2878227,0.00040081897,3.836317e-05,8.153819e-06,8.981291e-06,5.3380834e-05,0.00026436817,5.6411805,0.2305253,7.3064923,1.31373e-06,8.42137e-07,9.6321e-08,4.904967e-08,4.295505e-07,1.7778763e-06,3.0
86,86,3244822.5,-115.66577,480.1777,493.91214,-103.543465,247.5745091724384,0.07623328,-0.0017171403,0.00010214737,9.654544e-05,3.0,39,0.020602476,4.1712836e-05,0,-8.599033310414042e-06,2.7659035,0.16914535,1.4794669,0.00056785473,4.546339e-05,5.228443e-06,5.732429e-06,9.017351e-06,5.2433593e-06,7.203958,0.2491732,6.0825605,2.9913915e-06,2.0800547e-07,8.0900094e-08,9.583743e-08,1.0437481e-07,5.8526552e-08,3.0
87,87,2209211.8,-208.41402,931.6441,954.6712,-102.60977,250.02149867537082,0.076224804,-0.0001712279,7.732728e-05,7.364193e-05,3.0,40,0.019374663,2.0294592e-05,0,-8.817524140720555e-06,1.5457438,0.10945478,2.4238262,0.00027858722,0.000106301704,1.9050207e-05,8.493246e-06,1.1987272e-05,8.673282e-06,3.5445387,0.21555617,8.708766,5.629469e-07,3.4474047e-07,1.0566914e-07,1.0799386e-07,1.929075e-07,6.8386505e-08,3.0
88,88,1504119.6,-81.54383,1391.0916,1393.4795,-93.35476,252.16748851063312,0.07621185,-0.00017842531,7.6064505e-05,7.580403e-05,3.0,40,0.021506255,1.5433492e-05,0,-8.916939029489943e-06,0.94033253,0.10976794,2.2377946,0.00017574332,7.468859e-05,6.345924e-05,1.1124168e-05,9.977182e-06,7.597628e-06,2.500169,0.16128513,7.068553,2.7266276e-07,2.362446e-07,1.4462351e-07,1.6642021e-07,5.793173e-08,1.1367292e-07,3.0
89,89,1024068.44,184.37454,1973.9779,1982.5697,-84.66391,254.31350159921567,0.076203,-0.00016031986,7.873156e-05,7.8050645e-05,3.0,40,0.021310499,1.0748928e-05,0,-9.017631304542041e-06,0.6143828,0.08769612,2.0251195,0.00011481344,4.3098564e-05,3.6492107e-05,1.0263215e-05,1.830593e-05,1.03631755e-05,2.2731893,0.1405207,6.3652077,1.2340288e-07,8.300075e-08,1.2802607e-07,1.0016112e-07,1.1290197e-07,1.3442727e-07,3.0
90,90,697233.1,618.13715,2658.441,2729.3591,-76.910255,256.46049108784064,0.07619203,-0.00016380669,8.586478e-05,8.146063e-05,3.0,40,0.021592043,7.9110305e-06,0,-9.104067507124176e-06,0.43447316,0.07202808,2.3364866,7.9938414e-05,2.9003832e-05,3.274581e-05,9.6864715e-06,1.5524543e-05,6.898592e-06,1.8236846,0.19577844,9.137378,5.8050375e-08,5.1010815e-08,6.0427574e-08,4.20924e-08,5.9501275e-08,5.8981424e-08,3.0
91,91,474706.8,1248.0598,3455.8782,3674.3362,-70.143265,258.60650825643097,0.07620672,-0.00016930734,9.701441e-05,8.5821346e-05,3.0,40,0.021775613,5.926407e-06,0,-9.206301134596894e-06,0.3030741,0.057633895,1.945769,5.3381038e-05,2.4901325e-05,2.2573842e-05,4.2838374e-06,1.33605945e-05,6.980296e-06,1.7028385,0.14896773,7.651333,2.969025e-08,2.8535394e-08,2.9595661e-08,3.516341e-08,6.0386924e-08,3.5875885e-08,3.0
92,92,323198.12,2107.5845,4375.177,4856.3447,-64.27923,260.7525135584001,0.07619954,-0.00017695232,0.00011255264,9.1354064e-05,3.0,40,0.021733267,4.4752314e-06,0,-9.315365175716377e-06,0.21660346,0.056752127,2.207784,3.4764576e-05,1.5604306e-05,1.9475807e-05,1.2768876e-05,8.695155e-06,4.698641e-06,1.1137086,0.20677903,8.251032,1.5282708e-08,1.9837756e-08,1.8905933e-08,3.0465447e-08,1.6932606e-08,3.2315338e-08,3.0
93,93,220049.0,4667.164,7198.055,8578.719,-57.04093,263.1995124746172,0.07618799,-2.5690433e-05,0.000100481375,7.074098e-05,3.0,41,0.01945975,2.2683748e-06,0,-9.348175942971188e-06,0.21675414,0.14283223,3.1605814,2.699282e-05,1.4596681e-05,1.7703533e-05,7.389341e-06,1.4872859e-05,8.7756935e-06,1.8458964,0.3208181,10.650558,3.5045506e-09,1.1764865e-08,1.2917127e-08,1.521535e-08,2.3896993e-08,1.6279362e-08,3.0
