True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
84,84,7000018.5,7.5673933,0.20032188,7.570044,-1.5163635,86.072494781547,1.1607985,-0.0273057,0.11349914,7.9479025e-05,3.0,38,0.0011399887,0.00015059208,0,-0.0003386348185469146,11.5379095,1.1084878,36.422012,1.7456558e-05,2.411087e-06,3.8987368e-05,0.00012357728,8.121664e-06,9.246852e-06,17.014517,1.2285587,45.355427,2.7667281e-06,1.4617135e-06,8.318051e-06,2.3831708e-05,1.8171196e-06,2.151844e-06,3.0
85,85,4765894.0,7.4361877,-0.012769057,7.4361987,0.09838541,86.83849569791346,1.1608377,-0.02680076,-2.6152723,-7.711389e-06,3.0,38,0.0033307977,0.0004479167,0,-0.0003446096827493651,4.3818645,0.31752074,14.232543,0.00011946704,1.1838483e-05,7.500346e-06,4.0643235e-06,1.27327385e-05,8.1143204e-05,4.833052,0.37971628,13.407165,1.2863149e-05,2.7561775e-06,1.2799557e-06,4.4531006e-07,2.2980585e-06,1.689651e-05,3.0
86,86,3244822.5,7.7343936,0.15753365,7.7359977,-1.1668355,87.65250296323211,1.1608928,-0.026685217,0.311355,0.00012911296,3.0,38,0.00988849,0.0012782436,0,-0.00035153513913070087,5.0562377,0.10505667,4.605763,0.00049312663,7.913409e-05,2.1454756e-05,4.274104e-06,2.6360492e-06,5.8134424e-06,4.970952,0.098453596,3.9789665,6.265315e-05,1.00880225e-05,2.849711e-06,5.5209756e-07,6.2907037e-07,9.313346e-07,3.0
87,87,2209211.8,7.9478507,0.3235935,7.9544353,-2.3314865,88.73648717472679,1.1608385,-0.028075159,0.22262965,0.00036843753,3.0,38,0.019910231,0.0025030351,0,-0.00035923416816180463,3.5508375,0.04258172,1.6328876,0.0006749319,0.00020926623,1.7061919e-05,8.913042e-06,7.943535e-06,5.8215505e-06,3.7076788,0.026108922,1.1971452,8.8555884e-05,2.75143e-05,3.257137e-06,1.1868921e-06,3.2586715e-07,7.626359e-07,3.0
88,88,1504119.6,8.10398,0.43921563,8.115873,-3.1022542,89.55149465342402,1.1607816,-0.029329116,0.24091285,0.000705578,3.0,38,0.021643203,0.0026667744,0,-0.00036909916199721595,0.68107736,0.12967367,1.2355444,0.00013318512,5.08944e-05,3.5870977e-05,6.1458622e-06,6.482583e-06,4.813611e-06,0.7034083,0.09958142,0.7962086,1.6950313e-05,6.7140313e-06,4.1984936e-06,1.2642122e-06,7.322417e-07,7.830998e-07,3.0
89,89,1024068.44,8.242904,0.5002899,8.258072,-3.4732153,90.3654926654126,1.1607721,-0.028643446,0.3106486,0.0011401331,3.0,38,0.021553969,0.0026100485,0,-0.00037875471426679645,0.42232102,0.04562375,1.2349749,8.7271976e-05,1.2058532e-05,1.8387878e-05,5.1004113e-06,1.240606e-05,2.047297e-06,0.42629948,0.03414403,0.7606954,1.0398271e-05,2.5773206e-06,2.6000569e-06,1.1192146e-06,9.993894e-07,4.630992e-07,3.0
90,90,697233.1,8.381596,0.54538715,8.399321,-3.7229657,91.17948993077152,1.1607729,-0.028278254,0.41854024,0.0017646505,3.0,38,0.021683011,0.0025815195,0,-0.00038651511161397824,0.3663468,0.028693695,1.2195021,7.416492e-05,1.5896023e-05,2.0929894e-05,2.6492905e-06,9.428281e-06,1.7808808e-06,0.3283803,0.035376225,0.7486818,7.844466e-06,2.0510693e-06,2.0429593e-06,5.411373e-07,7.1813423e-07,7.944574e-07,3.0
91,91,474706.8,8.519578,0.58012676,8.539307,-3.8954494,91.99348210278549,1.1607832,-0.02752177,0.5779254,0.0026673032,3.0,38,0.021387797,0.0025046293,0,-0.0003897992350014894,0.25951478,0.035859045,1.2222916,4.9718783e-05,1.3758998e-05,1.4259321e-05,9.136691e-06,8.433714e-06,2.7325282e-06,0.24626178,0.030584909,0.766502,5.65403e-06,1.4736177e-06,1.3595403e-06,6.870555e-07,1.0565665e-06,6.0301136e-07,3.0
92,92,323198.12,8.651933,0.6139247,8.673687,-4.0587964,92.80750555478153,1.1607757,-0.02805093,0.8021142,0.004018453,3.0,38,0.021335926,0.002459845,0,-0.0004004136285931891,0.18681361,0.054381758,1.2399387,3.239442e-05,1.6641952e-05,1.1174615e-05,8.261294e-06,2.1301507e-06,7.638947e-06,0.19889776,0.0587243,0.7854184,4.354144e-06,1.6451221e-06,1.317526e-06,5.190534e-07,1.867815e-07,3.9330226e-07,3.0
93,93,220049.0,8.785228,0.6652609,8.81038,-4.3304553,93.62149764675996,1.1607758,-0.027831072,1.0871983,0.0061987406,3.0,38,0.0212687,0.0024140503,0,-0.00040454423744548207,0.15900049,0.06759592,1.2272463,2.4633799e-05,1.2766843e-05,1.4242752e-05,8.410336e-06,4.4862427e-06,7.1325503e-06,0.12527546,0.059962086,0.7825473,2.5329264e-06,1.1645147e-06,8.552591e-07,4.318023e-07,4.758553e-07,3.4372368e-07,3.0
