True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,196.48692,1291.8872,1306.7439,-81.35199,2.4684754505578894,-0.0031537584,-2.52542e-05,1.759934e-05,1.7201432e-05,1.0,40,0.009985067,7.641182e-06,0,3.235743086431992e-09,1.0
1,1,6057573.0,241.09395,1536.9636,1555.7582,-81.085014,3.020498756755842,-0.003229813,1.9785526e-07,1.7094559e-05,1.6684027e-05,1.0,40,0.014049125,9.030404e-06,0,6.531189392057336e-09,1.0
2,2,5242039.0,263.1476,1778.3668,1797.7306,-81.58293,3.437489043251844,-0.0031632418,-1.4109677e-05,1.7072556e-05,1.6706752e-05,1.0,40,0.019538518,1.0868435e-05,0,6.758120574836034e-09,1.0
3,3,4536288.0,305.92627,2013.0038,2036.1177,-81.3586,4.805479454895249,-0.0032574623,2.4105799e-05,1.7429098e-05,1.7035636e-05,1.0,40,0.01889553,9.280176e-06,0,2.8384500253650913e-09,1.0
4,4,3925558.5,342.23444,2291.5557,2316.9705,-81.50589,5.22248590135132,-0.003248072,-1.3216606e-05,1.7692462e-05,1.7306455e-05,1.0,40,0.018132636,7.826011e-06,0,2.605714764664905e-09,1.0
5,5,3397055.0,353.72342,2616.9688,2640.766,-82.302246,5.638487281132257,-0.0032638344,6.3376447e-06,1.790272e-05,1.7581511e-05,1.0,40,0.019111536,7.237118e-06,0,1.210421773083207e-09,1.0
6,6,2939708.2,460.58292,2994.9216,3030.1306,-81.257095,6.054486394190462,-0.0032791311,1.4803118e-05,1.807717e-05,1.765951e-05,1.0,40,0.020778626,6.8573368e-06,0,-5.317645680709878e-11,1.0
7,7,2543924.5,350.42017,3474.674,3492.2993,-84.2412,6.606503353774315,-0.003272405,-2.3375143e-05,1.8005361e-05,1.7824077e-05,1.0,40,0.020636467,5.909135e-06,0,3.7048273503993792e-09,1.0
8,8,2201436.2,783.43256,3886.9949,3965.1602,-78.604576,7.15850052665337,-0.0032209256,-8.900163e-06,1.8599447e-05,1.7873374e-05,1.0,40,0.020408185,5.1468755e-06,0,4.7244261315123975e-09,1.0
9,9,1905053.1,752.5293,4494.2856,4556.8525,-80.4945,7.71049545952701,-0.0033104883,6.9702455e-06,1.8588842e-05,1.8081888e-05,1.0,40,0.020695176,4.5415504e-06,0,5.1149779943671095e-09,1.0
