True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,333.66617,1812.4049,1842.8632,-79.56857,2.465478303754935,-0.05449472,1.6031141e-05,1.2544858e-05,1.213361e-05,1.0,40,0.01004365,5.4500247e-06,0,6.334315372173352e-09,1.0
1,1,6057573.0,421.2128,1991.4907,2035.548,-78.05759,3.0174899032863323,-0.054478213,-1.2719867e-06,1.3192989e-05,1.2628074e-05,1.0,40,0.014208622,6.9802445e-06,0,6.4686559700880425e-09,1.0
2,2,5242039.0,369.29974,2283.9216,2313.586,-80.81503,3.4334930430341046,-0.054376185,-7.653619e-06,1.329348e-05,1.2954773e-05,1.0,40,0.019671444,8.502578e-06,0,7.902484903398646e-09,1.0
3,3,4536288.0,386.3317,2645.727,2673.7847,-81.69233,4.665483608230716,-0.054498985,-9.5699625e-06,1.3260945e-05,1.29840955e-05,1.0,40,0.021584587,8.072672e-06,0,-8.81385618737972e-09,1.0
4,4,3925558.5,513.00653,2997.2188,3040.8052,-80.28732,5.081480081338668,-0.054463048,-1.8835455e-05,1.352696e-05,1.3141953e-05,1.0,40,0.01986453,6.5326544e-06,0,-6.872435187608359e-09,1.0
5,5,3397055.0,577.9751,3401.6365,3450.3892,-80.35692,5.497488927765517,-0.054484397,-1.2533566e-06,1.3773035e-05,1.338657e-05,1.0,40,0.021028174,6.0944353e-06,0,-1.0239475285497217e-08,1.0
6,6,2939708.2,649.5036,3878.7502,3932.7546,-80.49392,6.049498153995955,-0.05453839,2.2630602e-06,1.3958028e-05,1.3577319e-05,1.0,40,0.020933108,5.32276e-06,0,-1.44888421040466e-08,1.0
7,7,2543924.5,851.29285,4406.1133,4487.5977,-79.06478,6.601502846839139,-0.054501522,2.4677192e-06,1.4199081e-05,1.3688118e-05,1.0,40,0.020456009,4.558343e-06,0,-1.0469266691719288e-08,1.0
8,8,2201436.2,1013.5801,4998.039,5099.7783,-78.53614,7.1534800197405275,-0.05448693,-3.6534536e-06,1.4464864e-05,1.3893481e-05,1.0,40,0.020910077,4.100193e-06,0,-9.439331357949105e-09,1.0
9,9,1905053.1,1046.5929,5977.0537,6067.992,-80.06809,7.871478453831514,-0.054563787,-4.179407e-06,1.3977384e-05,1.3561576e-05,1.0,41,0.019386314,3.1948482e-06,0,-8.715379092077708e-09,1.0
10,10,1648567.4,1110.0364,6801.079,6891.071,-80.73022,8.423491466761334,-0.05452019,-3.6021179e-06,1.4195008e-05,1.3826678e-05,1.0,41,0.019915197,2.8900004e-06,0,-8.727586971866053e-09,1.0
11,11,1426616.2,1382.7893,7924.218,8043.9624,-80.10146,8.97549695961061,-0.05450238,-3.2967193e-06,1.4078506e-05,1.3662473e-05,1.0,41,0.020280104,2.5211584e-06,0,-9.465555722774373e-09,1.0
12,12,1234551.2,1789.8906,8917.367,9095.227,-78.65043,9.527483652491355,-0.054521643,-2.8106904e-06,1.4456872e-05,1.3896985e-05,1.0,41,0.020813875,2.2884394e-06,0,-1.0250462307548484e-08,1.0
13,13,1068345.5,2041.1105,10415.564,10613.676,-78.91241,10.079495732061332,-0.054512158,-3.937309e-06,1.4302949e-05,1.3773984e-05,1.0,41,0.020738777,1.9539675e-06,0,-1.0405824313084604e-08,1.0
14,14,924510.06,2823.966,11522.626,11863.629,-76.22937,10.631488904968137,-0.054503217,-2.4103217e-06,1.4940221e-05,1.40936945e-05,1.0,41,0.020199616,1.7026506e-06,0,-1.0938114931429747e-08,1.0
15,15,800039.0,2385.924,13202.816,13416.669,-79.75645,11.183495864475844,-0.054549534,1.2023075e-06,1.5067541e-05,1.4591036e-05,1.0,41,0.020816833,1.5515649e-06,0,-1.1787258642785205e-08,1.0
16,16,692334.1,4759.53,15075.414,15808.897,-72.478325,11.735502424038714,-0.05454527,-3.0471872e-06,1.5248782e-05,1.38666155e-05,1.0,41,0.020447858,1.2934398e-06,0,-1.2273637350557939e-08,1.0
17,17,599122.25,5821.1895,16550.473,17544.355,-70.62203,12.28748397025629,-0.05454404,-1.287428e-06,1.6050712e-05,1.4283685e-05,1.0,41,0.020461343,1.1662636e-06,0,-1.3449260932281012e-08,1.0
18,18,518454.94,7181.969,18589.627,19928.746,-68.87632,12.839480449823895,-0.054555032,-1.4457136e-06,1.6513473e-05,1.43687785e-05,1.0,41,0.0205971,1.0335372e-06,0,-1.4068493970251142e-08,1.0
19,19,448662.03,9531.227,20953.408,23019.33,-65.5403,13.391483329382027,-0.054542083,-6.803567e-07,1.6929578e-05,1.4027171e-05,1.0,41,0.020241726,8.79336e-07,0,-1.3982799017052609e-08,1.0
20,20,388258.97,11509.539,23382.842,26061.979,-63.792595,13.943488635559333,-0.054555014,-7.604306e-07,1.7530785e-05,1.411176e-05,1.0,41,0.021024486,8.0671106e-07,0,-1.3634540783731571e-08,1.0
21,21,335983.9,11195.966,24179.463,26645.752,-65.15416,14.495491808484076,-0.054561347,-6.8035666e-07,1.9590927e-05,1.6132153e-05,1.0,41,0.02024078,7.5962504e-07,0,-1.4340933831678942e-08,1.0
22,22,290751.2,17334.455,26429.129,31606.68,-56.739754,15.047494608006673,-0.054506924,-2.1235467e-06,2.0711701e-05,1.448184e-05,1.0,41,0.020530261,6.495545e-07,0,-1.3138042008924187e-08,1.0
23,23,251605.19,20894.521,27745.822,34733.438,-53.017723,15.599490287568187,-0.054554865,-9.745812e-07,2.2798326e-05,1.4547977e-05,1.0,41,0.020398673,5.872921e-07,0,-1.2864002466143474e-08,1.0
24,24,217729.38,24810.164,29098.24,38239.402,-49.547943,16.151479647116503,-0.054544486,-2.0550243e-07,2.5120968e-05,1.4546136e-05,1.0,41,0.020226507,5.289441e-07,0,-1.2901630431671487e-08,1.0
25,25,188418.58,28862.678,29701.768,41415.566,-45.820858,16.703491033316823,-0.05454432,1.0924376e-06,2.8438984e-05,1.4626873e-05,1.0,41,0.020778783,5.0171434e-07,0,-1.3473642268828535e-08,1.0
