True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,286.13702,1766.7855,1789.806,-80.80063,2.467478223814396,-0.060241695,3.0189876e-05,1.2868772e-05,1.2539865e-05,1.0,40,0.0099945,5.5841247e-06,0,2.26028866264048e-08,1.0
1,1,6057573.0,571.18896,2078.2595,2155.3235,-74.63227,3.0194885167002212,-0.060331166,9.093635e-05,1.2642173e-05,1.1754289e-05,1.0,40,0.014249402,6.6112593e-06,0,1.4992491099361713e-08,1.0
2,2,5242039.0,483.3836,2113.6992,2168.2676,-77.1185,3.4354848564544227,-0.06029081,5.3874424e-05,1.4364044e-05,1.3650147e-05,1.0,40,0.019655945,9.065277e-06,0,2.0491383623818945e-08,1.0
3,3,4536288.0,460.2657,2588.16,2628.767,-79.91622,4.667496594978729,-0.0601888,-4.8255706e-06,1.3555901e-05,1.3140334e-05,1.0,40,0.021106066,8.028884e-06,0,3.387840223351506e-08,1.0
4,4,3925558.5,572.3567,2933.3533,2988.671,-78.95915,5.083491228084313,-0.06032746,5.1660387e-05,1.3821472e-05,1.3314561e-05,1.0,40,0.019695362,6.590007e-06,0,3.6090696578475624e-08,1.0
5,5,3397055.0,746.53784,3206.0435,3291.813,-76.89207,5.499493941169931,-0.06019055,-3.556166e-05,1.4613295e-05,1.3861705e-05,1.0,40,0.02088538,6.3446437e-06,0,3.1298118521375624e-08,1.0
6,6,2939708.2,827.10126,3666.285,3758.4229,-77.28709,6.051479540736182,-0.060173858,-3.321738e-05,1.4766912e-05,1.4051763e-05,1.0,40,0.02078981,5.531525e-06,0,3.4968942576357324e-08,1.0
7,7,2543924.5,1007.31573,4181.278,4300.9033,-76.454926,6.60347847364028,-0.060172256,4.7190133e-06,1.4962595e-05,1.4141829e-05,1.0,40,0.020893449,4.8579213e-06,0,2.991195077760898e-08,1.0
8,8,2201436.2,1315.5339,5132.534,5298.447,-75.62385,7.155486499861581,-0.060210973,-5.1953026e-05,1.4085821e-05,1.3217482e-05,1.0,40,0.020717902,3.910184e-06,0,2.6044379958117738e-08,1.0
9,9,1905053.1,1434.211,5348.727,5537.675,-74.98977,7.87448618732742,-0.060241677,-7.045299e-06,1.5619336e-05,1.4571645e-05,1.0,41,0.019394072,3.502205e-06,0,2.0536427484232593e-08,1.0
