True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,184.71294,1596.5,1607.15,-83.4003,2.4684744638798293,0.0154930595,3.0468957e-05,1.4241378e-05,1.4053258e-05,1.0,40,0.009997945,6.220916e-06,0,1.7670585880188758e-08,1.0
1,1,6057573.0,420.48944,1995.3022,2039.1278,-78.09963,3.0204815300821792,0.015594379,-5.027855e-05,1.3167787e-05,1.2607858e-05,1.0,40,0.014173228,6.9506327e-06,0,1.2743401837680166e-08,1.0
2,2,5242039.0,409.7833,2170.1372,2208.4878,-79.30684,3.436499736533733,0.015563599,1.1807653e-05,1.3990482e-05,1.3508809e-05,1.0,40,0.019684438,8.9130845e-06,0,1.566669587615858e-08,1.0
3,3,4536288.0,374.84912,2556.4194,2583.7554,-81.658134,4.66948070176295,0.015576771,-2.9235827e-05,1.3724211e-05,1.3435346e-05,1.0,40,0.021059737,8.150824e-06,0,-7.63867252012081e-09,1.0
4,4,3925558.5,497.24762,2789.9036,2833.8696,-79.894226,5.085481734859059,0.015527715,-1.0909541e-05,1.4532136e-05,1.4084717e-05,1.0,40,0.019703705,6.952933e-06,0,-8.265073741903784e-09,1.0
5,5,3397055.0,587.64606,3128.4739,3183.1865,-79.36164,5.5014996479440015,0.015534497,-2.9124209e-05,1.4975628e-05,1.4465249e-05,1.0,40,0.020822817,6.541501e-06,0,-9.577434886125503e-09,1.0
6,6,2939708.2,735.47266,3528.8967,3604.7236,-78.227264,6.053481514187297,0.015428407,2.6096592e-05,1.5341822e-05,1.4703167e-05,1.0,40,0.020850813,5.7843026e-06,0,-1.1140696070882762e-08,1.0
7,7,2543924.5,784.36523,4039.661,4115.105,-79.011826,6.605495300405892,0.0155736795,-2.661249e-05,1.5487132e-05,1.4924472e-05,1.0,40,0.020516135,4.9855676e-06,0,-5.097833173042292e-09,1.0
8,8,2201436.2,812.78436,4836.7,4904.517,-80.460846,7.157494926621439,0.015578449,-9.759203e-05,1.4947373e-05,1.4536862e-05,1.0,40,0.020638011,4.20796e-06,0,-1.4185819085178587e-08,1.0
9,9,1905053.1,893.98584,5366.0957,5440.0547,-80.54145,7.876491360744694,0.01563509,-1.2354372e-05,1.5568781e-05,1.51483355e-05,1.0,41,0.019672088,3.6161564e-06,0,-1.503160257907204e-08,1.0
10,10,1648567.4,1409.5876,6021.035,6183.834,-76.82375,8.428495946951443,0.01526128,1.1302774e-05,1.6034015e-05,1.5200888e-05,1.0,41,0.019933466,3.2234802e-06,0,-1.500266480182846e-08,1.0
11,11,1426616.2,1848.0636,6967.8413,7208.7554,-75.14559,8.980493173206924,0.015491625,1.0309899e-06,1.6010863e-05,1.4958589e-05,1.0,41,0.020145506,2.7945887e-06,0,-1.2729307476403859e-08,1.0
12,12,1234551.2,2133.1199,8009.6597,8288.839,-75.08721,9.532490186073119,0.015466118,-4.1049016e-06,1.609522e-05,1.5029263e-05,1.0,41,0.02091206,2.5229178e-06,0,-1.3284368922331721e-08,1.0
13,13,1068345.5,3176.1096,9388.495,9911.182,-71.309425,10.084489385626512,0.015416539,5.939696e-06,1.5867645e-05,1.4238149e-05,1.0,41,0.020668324,2.0853543e-06,0,-1.2930849487200173e-08,1.0
14,14,924510.06,3056.436,10610.99,11042.414,-73.93125,10.636501571832923,0.015544353,-6.3171688e-06,1.62238e-05,1.4980847e-05,1.0,41,0.020391067,1.8466131e-06,0,-1.4609301173979676e-08,1.0
15,15,800039.0,5215.6455,9347.85,10704.45,-60.840607,11.188491251406958,0.015537683,-2.557431e-06,2.1281254e-05,1.6229007e-05,1.0,41,0.020175753,1.8848006e-06,0,-1.5206299924724616e-08,1.0
16,16,692334.1,5103.2437,13427.267,14364.352,-69.18992,11.740481410961365,0.01545751,-1.0080956e-06,1.7120514e-05,1.4959599e-05,1.0,41,0.020543875,1.4301986e-06,0,-1.503578193729677e-08,1.0
17,17,599122.25,6760.83,14488.045,15987.879,-64.98394,12.292479463823838,0.0154860355,1.7252749e-07,1.8335591e-05,1.5056803e-05,1.0,41,0.020432051,1.2779714e-06,0,-1.4516858718959863e-08,1.0
18,18,518454.94,8687.777,16051.527,18251.822,-61.575844,12.84449962337385,0.015424439,8.887527e-06,1.9124616e-05,1.4791527e-05,1.0,41,0.020726278,1.1355731e-06,0,-1.3856109413102027e-08,1.0
19,19,448662.03,10795.173,17234.674,20336.414,-57.938465,13.397488102986244,0.015613942,-3.3451315e-06,2.0582482e-05,1.4782746e-05,1.0,41,0.020124346,9.89572e-07,0,-1.3330065836846137e-08,1.0
20,20,388258.97,12106.839,18444.38,22062.88,-56.71922,13.949498022528132,0.015514411,-1.4776981e-07,2.2224633e-05,1.553239e-05,1.0,41,0.02063981,9.354994e-07,0,-1.3001470646085206e-08,1.0
21,21,335983.9,25418.137,21254.295,33133.47,-39.901905,14.63848288191366,0.015463975,-9.004234e-08,2.228717e-05,9.170954e-06,1.0,41,0.019853039,5.9918386e-07,0,-1.4100498908921584e-08,1.0
22,22,290751.2,17693.07,19565.156,26378.781,-47.876476,15.0544812483422,0.015423656,4.9378455e-06,2.7977912e-05,1.53912e-05,1.0,41,0.021579295,8.1805507e-07,0,-1.3652027157696188e-08,1.0
23,23,251605.19,20929.129,19598.426,28672.752,-43.119392,15.606481141265249,0.01560757,-5.9559084e-06,3.2275973e-05,1.5079362e-05,1.0,41,0.020626176,7.1936506e-07,0,-1.3114474159297944e-08,1.0
24,24,217729.38,22964.418,19595.572,30188.59,-40.47418,16.158486820786493,0.0154754715,3.7441866e-06,3.730312e-05,1.5717209e-05,1.0,41,0.02042314,6.7651854e-07,0,-1.3160146435018936e-08,1.0
25,25,188418.58,26082.23,18605.578,32038.264,-35.5019,16.71048050033278,0.015471987,1.7926217e-06,4.5399727e-05,1.5310932e-05,1.0,41,0.020195067,6.3034213e-07,0,-1.3365599683491307e-08,1.0
26,26,163051.14,28060.22,17878.322,33271.766,-32.502888,17.126479186787037,0.015646975,-9.462387e-06,5.4597098e-05,1.5764179e-05,1.0,41,0.022179686,6.666218e-07,0,-1.2246125202458873e-08,1.0
27,27,141098.2,30981.17,16855.57,35269.58,-28.54878,17.67848686632351,0.015412384,5.8074834e-06,6.6919885e-05,1.5284159e-05,1.0,41,0.020788018,5.894036e-07,0,-1.3246692862869243e-08,1.0
28,28,122105.11,32082.02,15610.169,35678.19,-25.946196,18.23050022587995,0.015519163,1.4313597e-06,8.349851e-05,1.5984102e-05,1.0,41,0.020316102,5.6942633e-07,0,-1.2685429304293432e-08,1.0
29,29,105663.59,34171.098,14545.057,37137.887,-23.057213,18.782503372087376,0.015437313,5.032814e-06,0.00010355697,1.5884581e-05,1.0,41,0.019867405,5.3496325e-07,0,-1.2840492969873552e-08,1.0
30,30,91439.65,35743.355,12841.305,37980.082,-19.761541,19.198494111857144,0.015511598,-3.6356294e-06,0.0001355428,1.5494692e-05,1.0,41,0.02112723,5.562713e-07,0,-1.2870272194384648e-08,1.0
31,31,79127.08,36479.383,11432.296,38228.82,-17.400501,19.750500271416968,0.0156059675,-4.7287303e-06,0.00017593878,1.5734273e-05,1.0,41,0.020231618,5.292242e-07,0,-1.084445271326394e-08,1.0
32,32,68475.36,37172.14,10090.706,38517.402,-15.187453,20.166483731154585,0.01551361,1.6250282e-06,0.00023033729,1.5808599e-05,1.0,41,0.021101562,5.478449e-07,0,-9.206229562333117e-09,1.0
33,33,59252.523,38135.824,8903.585,39161.395,-13.141469,20.58249297758448,0.01550435,1.4443967e-06,0.00030168128,1.5594156e-05,1.0,41,0.021858534,5.5816537e-07,0,-9.334104973635565e-09,1.0
34,34,51282.285,38450.082,8204.305,39315.637,-12.044885,21.134480203822022,0.015427681,1.29098335e-05,0.0003782779,1.6472668e-05,1.0,41,0.020159345,5.127564e-07,0,-8.138827831121237e-09,1.0
35,35,44369.8,38868.727,6930.6445,39481.79,-10.110101,21.55049089025124,0.015443667,9.489011e-06,0.000517558,1.5948235e-05,1.0,41,0.020594236,5.216135e-07,0,-7.892680020441548e-09,1.0
36,36,38403.727,39028.45,6002.3877,39487.32,-8.74331,21.966490856633754,0.015575058,-5.157031e-06,0.0006904349,1.5953481e-05,1.0,41,0.02088094,5.2880114e-07,0,-7.57039954933071e-09,1.0
37,37,33226.32,39088.383,4902.1265,39394.574,-7.1482205,22.382503756409278,0.015436233,6.1873698e-06,0.0009771324,1.5130371e-05,1.0,41,0.021133497,5.3645704e-07,0,-7.619098560717754e-09,1.0
38,38,28754.086,39722.727,4662.486,39995.42,-6.6945047,22.79849209616077,0.0155478,-7.2504315e-07,0.001187143,1.6133088e-05,1.0,41,0.021317447,5.3299715e-07,0,-7.603425417187281e-09,1.0
39,39,24884.947,39363.84,4430.847,39612.426,-6.4222584,23.21448614259134,0.015430215,2.636193e-06,0.001443433,1.8059565e-05,1.0,41,0.021287896,5.374045e-07,0,-7.655905168013967e-09,1.0
40,40,21553.963,39730.5,3419.7183,39877.402,-4.9194875,23.63149410908227,0.01545343,6.5914624e-06,0.0021592486,1.5879235e-05,1.0,41,0.021309884,5.34385e-07,0,-8.27704571242786e-09,1.0
41,41,18631.234,40134.19,3348.9324,40273.67,-4.769903,24.047486582159763,0.015524006,-2.1294214e-07,0.0025507747,1.763772e-05,1.0,41,0.02125187,5.2768644e-07,0,-8.360002471679648e-09,1.0
42,42,16126.037,39999.78,2966.5706,40109.637,-4.241557,24.46347918859101,0.015519647,1.9620825e-06,0.003326885,1.819909e-05,1.0,41,0.020996599,5.2348014e-07,0,-8.583075723985683e-09,1.0
43,43,13954.87,32362.246,6192.7974,32949.44,-10.833084,24.879482888354687,0.015567008,-6.160744e-06,0.0018416516,6.505566e-05,1.0,41,0.019659955,5.9667036e-07,0,-8.263221888986058e-09,1.0
44,44,12080.609,40737.66,5073.9985,41052.434,-7.099799,25.295483041467378,0.015522945,-3.404719e-06,0.0025964559,3.9664665e-05,1.0,41,0.020504363,4.9946766e-07,0,-1.0106914657376996e-08,1.0
45,45,10447.592,40554.25,1798.4224,40594.105,-2.5391803,25.71150031455909,0.015409347,7.6268325e-06,0.008470562,1.6625307e-05,1.0,41,0.019862786,4.8930224e-07,0,-8.896378841475737e-09,1.0
46,46,9045.586,40837.957,1551.7301,40867.426,-2.1760354,26.284260741755133,0.0155209135,8.2615367e-07,0.011338804,1.6347263e-05,1.0,41,0.020336676,4.976256e-07,0,-8.944629061602427e-09,1.0
47,47,7827.7437,40562.426,1742.1266,40599.82,-2.4593005,26.764919404609827,0.015439028,5.24138e-06,0.011670887,2.148894e-05,1.0,41,0.020316474,5.0040796e-07,0,-9.073806489707989e-09,1.0
48,48,6770.8345,41487.668,2670.4087,41573.52,-3.6828384,27.303392363508465,0.015460752,6.8409927e-06,0.008802382,3.6318015e-05,1.0,41,0.020407561,4.9087885e-07,0,-8.765793734595048e-09,1.0
49,49,5860.798,41596.086,1357.8287,41618.242,-1.8696529,28.13697954977397,0.015251201,2.2470645e-06,0.019999465,2.1288297e-05,1.0,42,0.01944237,4.671598e-07,0,-8.470987831306806e-09,1.0
50,50,5071.625,41441.387,1291.5072,41461.508,-1.7850264,28.817691608790483,0.015492706,1.7632432e-07,0.024298316,2.3576518e-05,1.0,42,0.019569024,4.7198054e-07,0,-8.180876183819427e-09,1.0
51,51,4388.5933,40662.184,1913.1,40707.164,-2.6937013,29.49781958774838,0.01556345,-2.8178853e-08,0.018956456,4.1868825e-05,1.0,42,0.019463055,4.781236e-07,0,-8.156581070938134e-09,1.0
52,52,3798.7827,41049.758,1656.8811,41083.184,-2.3113606,30.17784026004665,0.015422688,6.235142e-07,0.025286246,4.1128118e-05,1.0,42,0.019737076,4.804174e-07,0,-7.993667846173637e-09,1.0
53,53,3286.0488,41195.387,1575.3638,41225.496,-2.1899962,30.857690959019237,0.015605651,-8.852382e-08,0.030744346,4.4894714e-05,1.0,42,0.019916382,4.8310835e-07,0,-8.322960317624645e-09,1.0
54,54,2844.088,41432.84,1836.115,41473.504,-2.5374281,31.53784776464454,0.015410018,5.91852e-07,0.030477352,5.9735918e-05,1.0,42,0.020095557,4.8453967e-07,0,-7.876537722921739e-09,1.0
55,55,2460.7852,41222.12,2269.2656,41284.535,-3.1509354,32.217707983611035,0.015416819,5.035687e-07,0.028501065,8.611067e-05,1.0,42,0.020087197,4.86555e-07,0,-8.158958909679843e-09,1.0
