True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,276.11496,1651.2643,1674.1903,-80.50716,2.4664741971355397,-0.21708885,-3.6008136e-05,1.3769062e-05,1.3394543e-05,1.0,40,0.009883962,5.9037266e-06,0,-3.321315465557796e-08,1.0
1,1,6057573.0,311.77145,1802.6066,1829.3693,-80.18743,3.0184841433365364,-0.2170505,-6.899561e-05,1.4575402e-05,1.415206e-05,1.0,40,0.014078584,7.695868e-06,0,-3.773084752540336e-08,1.0
2,2,5242039.0,269.93802,2169.674,2186.4016,-82.90804,3.434478989773197,-0.21701151,-6.5181484e-05,1.3993469e-05,1.3780168e-05,1.0,40,0.019610032,8.96909e-06,0,-4.541206072035998e-08,1.0
3,3,4536288.0,226.50508,2499.2104,2509.4536,-84.821396,4.802486068074359,-0.2170625,-5.9767317e-05,1.4038369e-05,1.3923999e-05,1.0,40,0.018382106,7.325143e-06,0,-6.757194760599026e-08,1.0
4,4,3925558.5,345.266,2873.929,2894.5942,-83.149475,5.218477874499513,-0.21707435,-5.0985574e-05,1.4107259e-05,1.3906547e-05,1.0,40,0.018006708,6.2208055e-06,0,-7.404466704928976e-08,1.0
5,5,3397055.0,405.03442,3278.9595,3303.8809,-82.95819,5.634481734276051,-0.21708019,-5.0892548e-05,1.4288331e-05,1.4073588e-05,1.0,40,0.019040095,5.762948e-06,0,-7.883258871408098e-08,1.0
6,6,2939708.2,467.3022,3726.9941,3756.1758,-82.85337,6.050479487370467,-0.21712396,-5.641834e-05,1.4526372e-05,1.43015395e-05,1.0,40,0.020944843,5.5761084e-06,0,-8.663961180670615e-08,1.0
7,7,2543924.5,506.8444,4284.6562,4314.5303,-83.25367,6.602500526903896,-0.21707866,-6.627919e-05,1.4601583e-05,1.4400079e-05,1.0,40,0.020867959,4.8366696e-06,0,-9.55208013554009e-08,1.0
8,8,2201436.2,530.1555,4762.5405,4791.9575,-83.64811,7.154490686458303,-0.21711183,-5.919054e-05,1.5180125e-05,1.499432e-05,1.0,40,0.02062319,4.303709e-06,0,-1.0039550429951306e-07,1.0
9,9,1905053.1,447.4758,5657.326,5674.9956,-85.47751,7.873485387273831,-0.21710253,-5.3512267e-05,1.4767325e-05,1.467551e-05,1.0,41,0.01955283,3.4454354e-06,0,-1.1328594879786477e-07,1.0
10,10,1648567.4,598.03613,6557.776,6584.9883,-84.78933,8.425482746824855,-0.21712805,-4.7737634e-05,1.4721662e-05,1.460024e-05,1.0,41,0.019995531,3.0365325e-06,0,-1.1994729815950224e-07,1.0
11,11,1426616.2,753.57526,7573.7183,7611.1157,-84.31785,8.97748623971711,-0.21714422,-4.7244157e-05,1.4730037e-05,1.4585639e-05,1.0,41,0.020194318,2.6532664e-06,0,-1.2615436593889879e-07,1.0
12,12,1234551.2,962.05316,8663.78,8717.031,-83.66366,9.529488479282008,-0.21715409,-4.48885e-05,1.4880022e-05,1.4698778e-05,1.0,41,0.0207447,2.3797895e-06,0,-1.3270020732346349e-07,1.0
13,13,1068345.5,880.5633,10006.949,10045.617,-84.9712,10.081503225461347,-0.21710402,-4.4979744e-05,1.4886984e-05,1.4772598e-05,1.0,41,0.020749882,2.0655657e-06,0,-1.3943567723311882e-07,1.0
14,14,924510.06,1249.5315,11409.661,11477.879,-83.750145,10.633495785034029,-0.21708424,-4.637079e-05,1.5088141e-05,1.4909324e-05,1.0,41,0.020192608,1.759263e-06,0,-1.4549881422933217e-07,1.0
15,15,800039.0,1458.5741,13667.577,13745.185,-83.90858,11.185478504601633,-0.21709351,-4.6897792e-05,1.4555175e-05,1.4391278e-05,1.0,41,0.02109281,1.5345599e-06,0,-1.5223600408489406e-07,1.0
16,16,692334.1,2016.1926,15249.887,15382.59,-82.46858,11.737499650829704,-0.21707049,-4.5935045e-05,1.5074322e-05,1.4815357e-05,1.0,41,0.020410104,1.3268315e-06,0,-1.5923467029338352e-07,1.0
17,17,599122.25,2576.847,17354.0,17544.271,-81.55402,12.289487917005317,-0.2170712,-4.61883e-05,1.5307529e-05,1.4977303e-05,1.0,41,0.020515703,1.1693676e-06,0,-1.6508655777807886e-07,1.0
18,18,518454.94,3245.455,19588.848,19855.879,-80.592766,12.84150204990874,-0.21710613,-4.1855008e-05,1.5671127e-05,1.5252455e-05,1.0,41,0.020571899,1.0360609e-06,0,-1.7141703237158228e-07,1.0
19,19,448662.03,4004.496,22581.19,22933.516,-79.94385,13.393489276146283,-0.21711661,-4.1095238e-05,1.5709198e-05,1.5230226e-05,1.0,41,0.020323552,8.8619436e-07,0,-1.7795650554184148e-07,1.0
20,20,388258.97,5627.8433,25023.465,25648.518,-77.32493,13.945478795707459,-0.21709818,-4.2041225e-05,1.6381407e-05,1.5592708e-05,1.0,41,0.020736001,8.0846786e-07,0,-1.8454220519512888e-07,1.0
21,21,335983.9,6622.5986,30257.436,30973.719,-77.654076,14.49748735522735,-0.21712545,-3.9957446e-05,1.5655593e-05,1.4939878e-05,1.0,41,0.020560512,6.638051e-07,0,-1.9094956361936966e-07,1.0
22,22,290751.2,8068.793,33241.293,34206.562,-76.35624,15.049478341446957,-0.217113,-3.935969e-05,1.6467236e-05,1.5550977e-05,1.0,41,0.020641977,6.0345076e-07,0,-1.9811558484768296e-07,1.0
23,23,251605.19,10110.476,37333.49,38678.3,-74.8469,15.601492820977,-0.21706392,-4.353656e-05,1.6943455e-05,1.5785718e-05,1.0,41,0.020405661,5.275739e-07,0,-2.048484377366751e-07,1.0
24,24,217729.38,12398.359,42044.21,43834.176,-73.56981,16.153480980574386,-0.21706992,-3.964088e-05,1.738589e-05,1.5994978e-05,1.0,41,0.020172652,4.6020375e-07,0,-2.105021579061391e-07,1.0
25,25,188418.58,15441.804,47481.67,49929.535,-71.98464,16.705494153458858,-0.21710001,-3.924051e-05,1.7789773e-05,1.6088195e-05,1.0,41,0.020915734,4.1890505e-07,0,-2.1613332553666155e-07,1.0
26,26,163051.14,17306.748,52875.367,55635.67,-71.8761,17.42349098753766,-0.21709667,-4.1403513e-05,1.8460478e-05,1.6674125e-05,1.0,42,0.019286757,3.4666172e-07,0,-2.2331375046055355e-07,1.0
27,27,141098.2,20837.95,59373.84,62924.344,-70.66087,17.839489007281372,-0.21711598,-4.1130093e-05,1.8997807e-05,1.6914391e-05,1.0,42,0.020993268,3.3362713e-07,0,-2.280474479997054e-07,1.0
28,28,122105.11,25604.865,64605.2,69494.18,-68.38018,18.3915003935399,-0.21709381,-4.0843643e-05,2.0175246e-05,1.7436403e-05,1.0,42,0.020206017,2.907584e-07,0,-2.3422764522953167e-07,1.0
29,29,105663.59,31144.773,73006.914,79372.58,-66.89689,18.807484013290377,-0.21708804,-4.087195e-05,2.0631498e-05,1.7454917e-05,1.0,42,0.021676375,2.730965e-07,0,-2.3895576025553564e-07,1.0
30,30,91439.65,38261.0,80693.97,89305.21,-64.63206,19.359490546194138,-0.21711893,-4.0156934e-05,2.156972e-05,1.7610555e-05,1.0,42,0.020378456,2.2818888e-07,0,-2.451632026838979e-07,1.0
31,31,79127.08,47911.51,88249.35,100416.44,-61.501995,19.77548688594834,-0.21710463,-4.018636e-05,2.2792055e-05,1.7603414e-05,1.0,42,0.021429943,2.1341071e-07,0,-2.497697211520749e-07,1.0
