True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,281.69632,1609.2135,1633.6832,-80.070854,2.4664945171389263,-0.04913519,2.230115e-05,1.4128865e-05,1.3708784e-05,1.0,40,0.009973602,6.1049795e-06,0,8.697914706822808e-09,1.0
1,1,6057573.0,344.122,1814.1718,1846.5208,-79.25943,3.018481370032532,-0.049127627,2.3746704e-06,1.4482485e-05,1.3979496e-05,1.0,40,0.0140648475,7.6169454e-06,0,1.4133986775896624e-08,1.0
2,2,5242039.0,339.82254,2092.962,2120.37,-80.77768,3.434500883129658,-0.04910754,7.0074257e-06,1.4506363e-05,1.4133765e-05,1.0,40,0.019477904,9.186087e-06,0,1.2949190323575344e-08,1.0
3,3,4536288.0,310.46277,2435.7314,2455.4377,-82.736145,4.802488894754788,-0.049137928,-1.1579359e-05,1.4404232e-05,1.4173956e-05,1.0,40,0.01828396,7.4463132e-06,0,1.4085490927053949e-08,1.0
4,4,3925558.5,411.92065,2793.218,2823.428,-81.61096,5.354478254303103,-0.049163677,1.8909535e-06,1.4514892e-05,1.4205943e-05,1.0,40,0.02040786,7.228043e-06,0,1.0434208960557752e-08,1.0
5,5,3397055.0,482.10956,3131.3716,3168.2673,-81.2474,5.770498674042756,-0.049134128,-1.2342169e-05,1.4961769e-05,1.4615326e-05,1.0,40,0.021298945,6.7225847e-06,0,1.0821587170729193e-08,1.0
6,6,2939708.2,582.7771,3581.5828,3628.6863,-80.75812,6.322501286951592,-0.0491775,-9.18462e-07,1.511614e-05,1.4726245e-05,1.0,40,0.020247333,5.579797e-06,0,9.954570379397706e-09,1.0
7,7,2543924.5,660.64124,4141.1206,4193.4863,-80.93587,6.874500193138374,-0.049170535,-1.606861e-06,1.5107689e-05,1.4732734e-05,1.0,40,0.020651627,4.924692e-06,0,9.490502897923155e-09,1.0
8,8,2201436.2,768.11365,4648.9756,4712.003,-80.618225,7.426498539367458,-0.049165558,3.1189088e-06,1.5550944e-05,1.513771e-05,1.0,40,0.020705681,4.394242e-06,0,1.1709001514810147e-08,1.0
9,9,1905053.1,800.6879,5588.6167,5645.683,-81.84665,8.145503080188064,-0.049176868,-5.063942e-06,1.4948882e-05,1.4648203e-05,1.0,41,0.019619655,3.4751604e-06,0,1.4018382027908653e-08,1.0
10,10,1648567.4,931.5554,6439.1343,6506.17,-81.76808,8.697482173069147,-0.04921978,1.3196237e-06,1.4992911e-05,1.4685546e-05,1.0,41,0.019931106,3.0634162e-06,0,1.3630299851431321e-08,1.0
11,11,1426616.2,1133.6569,7343.6665,7430.654,-81.2244,9.249498679273529,-0.049207743,5.970984e-07,1.5191477e-05,1.483788e-05,1.0,41,0.020236664,2.7234028e-06,0,1.2958531502382303e-08,1.0
12,12,1234551.2,1394.7335,8234.757,8352.036,-80.386955,9.80148907887633,-0.049153805,-3.959655e-06,1.5655258e-05,1.5218682e-05,1.0,41,0.020854207,2.4969008e-06,0,1.4152008059533008e-08,1.0
