True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,186.3476,1706.7948,1716.9374,-83.769135,2.468491530540632,-0.14571643,2.356181e-06,1.3321086e-05,1.3164166e-05,1.0,40,0.00997081,5.8073233e-06,0,9.500315717963936e-10,1.0
1,1,6057573.0,265.22488,1949.6615,1967.6189,-82.25324,3.0204974501102697,-0.14565872,-1.0425839e-05,1.3476039e-05,1.3231185e-05,1.0,40,0.014171717,7.2024704e-06,0,-4.571902038669072e-10,1.0
2,2,5242039.0,257.63235,2219.1338,2234.0388,-83.37784,3.43650026989053,-0.14562258,-2.444113e-06,1.3681585e-05,1.3499633e-05,1.0,40,0.0195775,8.763276e-06,0,-2.25242524955623e-09,1.0
3,3,4536288.0,220.37227,2555.762,2565.2454,-85.07182,4.804493908159202,-0.1456399,-1.8147059e-05,1.3727743e-05,1.362643e-05,1.0,40,0.019385822,7.5571024e-06,0,-2.1881355640971377e-08,1.0
4,4,3925558.5,300.91876,2939.7117,2955.073,-84.155365,5.220478221279336,-0.14568017,-1.10398e-05,1.3791577e-05,1.3648564e-05,1.0,40,0.018475022,6.251968e-06,0,-2.5109965943506218e-08,1.0
5,5,3397055.0,260.9971,3315.116,3325.3743,-85.49842,5.636486721021356,-0.14570935,1.723499e-06,1.4132495e-05,1.4045436e-05,1.0,40,0.019477105,5.857117e-06,0,-3.0710501683175707e-08,1.0
6,6,2939708.2,321.1762,3819.264,3832.7446,-85.19309,6.052486020809738,-0.1456688,-7.337318e-06,1.4175429e-05,1.40758875e-05,1.0,40,0.02133187,5.5656906e-06,0,-2.8246382385595503e-08,1.0
7,7,2543924.5,364.13507,4390.557,4405.6313,-85.25897,6.604480873647844,-0.14572999,6.3934594e-06,1.4249391e-05,1.4152046e-05,1.0,40,0.020785283,4.71789e-06,0,-2.6160035775243767e-08,1.0
8,8,2201436.2,406.59402,5086.8022,5103.0264,-85.43,7.156482339865761,-0.1457578,1.0133139e-05,1.4212456e-05,1.4122229e-05,1.0,40,0.020714518,4.0592613e-06,0,-2.2272563650820607e-08,1.0
9,9,1905053.1,399.8861,5806.5117,5820.265,-86.06034,7.875500720721902,-0.14567246,-8.818096e-06,1.4387911e-05,1.4319993e-05,1.0,41,0.019523717,3.3544377e-06,0,-2.5340251207209026e-08,1.0
10,10,1648567.4,287.61194,6699.282,6705.453,-87.5417,8.427498160250252,-0.14574546,-2.6915113e-06,1.4410703e-05,1.4384192e-05,1.0,41,0.019936224,2.9731361e-06,0,-2.5225647065478066e-08,1.0
