True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,370.09714,1587.7164,1630.2808,-76.87864,2.4684768905572128,-0.11601553,3.3315544e-05,1.4320164e-05,1.3582167e-05,1.0,40,0.009938078,6.0959305e-06,0,4.635679130387871e-09,1.0
1,1,6057573.0,494.5935,1793.0472,1860.0111,-74.57903,3.0205017967673484,-0.11596195,5.1654797e-06,1.4653108e-05,1.3617022e-05,1.0,40,0.014063864,7.561172e-06,0,2.73885937814258e-09,1.0
2,2,5242039.0,435.5697,2038.6287,2084.6409,-77.93962,3.436479149881052,-0.11593091,-1.1970067e-05,1.4892986e-05,1.4242804e-05,1.0,40,0.019499468,9.353874e-06,0,1.3755300439520902e-09,1.0
3,3,4536288.0,463.98422,2314.5781,2360.6255,-78.664635,4.804498628160218,-0.11598749,8.25399e-06,1.5158201e-05,1.4572604e-05,1.0,40,0.018519782,7.845286e-06,0,5.5202467563301775e-09,1.0
4,4,3925558.5,592.3716,2657.9421,2723.1526,-77.43591,5.356497907749144,-0.11596921,-1.3179412e-05,1.5253629e-05,1.4531827e-05,1.0,40,0.020063551,7.367766e-06,0,6.379679100582002e-09,1.0
5,5,3397055.0,743.5272,2986.0916,3077.2676,-76.01787,5.772501740808366,-0.11600763,1.4765884e-05,1.5689693e-05,1.477373e-05,1.0,40,0.0209514,6.8084423e-06,0,4.89035876828186e-09,1.0
6,6,2939708.2,921.3206,3339.7344,3464.485,-74.57761,6.3244786470604595,-0.11602591,8.198182e-06,1.621078e-05,1.5064351e-05,1.0,40,0.02033643,5.869972e-06,0,4.5923779197210026e-10,1.0
7,7,2543924.5,1019.97906,3846.7283,3979.6577,-75.149475,6.876500859943917,-0.1160751,-3.2627345e-06,1.6263888e-05,1.5195535e-05,1.0,40,0.020719755,5.2064165e-06,0,-4.2875514763586076e-09,1.0
8,8,2201436.2,1292.4047,4346.2954,4534.379,-73.43974,7.4284816594736185,-0.11601074,-9.756018e-06,1.6633927e-05,1.5282614e-05,1.0,40,0.020803858,4.588028e-06,0,-3.466216649081212e-09,1.0
9,9,1905053.1,1536.5962,4745.4346,4988.013,-72.05778,7.980501472338801,-0.116026334,-5.3279373e-06,1.760504e-05,1.593433e-05,1.0,40,0.020232506,4.0562254e-06,0,-3.895531664088341e-09,1.0
10,10,1648567.4,1694.2041,5799.7886,6042.175,-73.71613,8.699498279864201,-0.1160679,-2.544413e-06,1.664567e-05,1.5336951e-05,1.0,41,0.019129675,3.1660247e-06,0,-1.6254452597147898e-09,1.0
11,11,1426616.2,2203.8643,6485.6577,6849.874,-71.23194,9.251484706037445,-0.11599748,-5.343254e-06,1.720121e-05,1.542062e-05,1.0,41,0.020282993,2.9610753e-06,0,-3.127067619266831e-09,1.0
12,12,1234551.2,2963.6655,7256.615,7838.4805,-67.78446,9.803488438919885,-0.11605911,-1.3134971e-06,1.7765478e-05,1.5225843e-05,1.0,41,0.020852106,2.660223e-06,0,-3.425595013125202e-09,1.0
13,13,1068345.5,3285.15,7645.2163,8321.15,-66.7468,10.355497505137464,-0.11603476,-2.218516e-06,1.9485818e-05,1.6448696e-05,1.0,41,0.020509878,2.4647888e-06,0,-4.132773428651149e-09,1.0
14,14,924510.06,4368.578,8809.974,9833.621,-63.624687,10.907495078077773,-0.11604357,-2.33211e-06,1.954042e-05,1.5683976e-05,1.0,41,0.020209165,2.0551092e-06,0,-5.179981188309905e-09,1.0
15,15,800039.0,6161.3477,8609.474,10587.032,-54.410694,11.45949305096292,-0.11604372,-1.6915197e-06,2.3106402e-05,1.5280482e-05,1.0,41,0.020549051,1.9409642e-06,0,-5.066599507854461e-09,1.0
16,16,692334.1,6572.0425,10412.572,12313.14,-57.74135,12.011484463844681,-0.116041616,-1.3526032e-06,2.207732e-05,1.5787917e-05,1.0,41,0.020291492,1.6479544e-06,0,-5.528660399647833e-09,1.0
17,17,599122.25,8148.038,11071.919,13746.924,-53.649933,12.563487823383184,-0.11600122,-4.6896284e-06,2.3992849e-05,1.5563832e-05,1.0,41,0.020566974,1.4961146e-06,0,-6.100973502387635e-09,1.0
