True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,247.3303,1566.0946,1585.5045,-81.02551,2.4654758770775516,-0.061281536,1.7352118e-05,1.4517872e-05,1.416459e-05,1.0,40,0.009965296,6.2852523e-06,0,5.392796242940929e-09,1.0
1,1,6057573.0,363.8359,1699.5509,1738.0592,-77.91664,3.017490169935627,-0.06123879,-6.4442856e-06,1.545921e-05,1.4781774e-05,1.0,40,0.014086202,8.104558e-06,0,1.8284719893004978e-09,1.0
2,2,5242039.0,385.25586,2006.6539,2043.3018,-79.13207,3.433481576415943,-0.06119365,-1.4891111e-05,1.5130296e-05,1.4592421e-05,1.0,40,0.0195033,9.544992e-06,0,1.7607116396650073e-10,1.0
3,3,4536288.0,345.55457,2303.97,2329.7395,-81.47023,4.801490174693754,-0.06123922,-1.1932854e-05,1.5227994e-05,1.489298e-05,1.0,40,0.01879573,8.067739e-06,0,6.154077403051714e-09,1.0
4,4,3925558.5,476.53802,2657.2053,2699.598,-79.83276,5.21748611444491,-0.061249897,-2.0286683e-05,1.5257858e-05,1.4782423e-05,1.0,40,0.01809007,6.7010237e-06,0,5.208854011167811e-09,1.0
5,5,3397055.0,597.8903,2980.7227,3040.0955,-78.65781,5.633502427575877,-0.06127343,-1.1300277e-05,1.5717953e-05,1.5110008e-05,1.0,40,0.019022342,6.257153e-06,0,3.182845545438795e-09,1.0
6,6,2939708.2,648.06006,3392.9617,3454.2974,-79.186676,6.049493647326017,-0.061288055,-3.932529e-06,1.5956475e-05,1.5394848e-05,1.0,40,0.020792952,6.0194448e-06,0,9.198673509318825e-10,1.0
7,7,2543924.5,779.8487,3912.5527,3989.5154,-78.727554,6.601495620183414,-0.061289843,-7.2814987e-06,1.5990267e-05,1.5379273e-05,1.0,40,0.020623265,5.169366e-06,0,-2.9518103152036525e-09,1.0
8,8,2201436.2,902.83057,4439.9023,4530.7656,-78.50592,7.153497033083113,-0.06129001,-9.104829e-06,1.6283231e-05,1.563667e-05,1.0,40,0.020774517,4.585211e-06,0,1.5439239609425688e-09,1.0
9,9,1905053.1,1061.6439,4862.007,4976.565,-77.68251,7.705496792652411,-0.061283473,-2.8720244e-06,1.718294e-05,1.640096e-05,1.0,40,0.02018711,4.0564346e-06,0,1.0304767828744035e-09,1.0
10,10,1648567.4,1128.0054,5986.932,6092.27,-79.32992,8.42448221342056,-0.061285056,-2.0621083e-06,1.6125348e-05,1.5572541e-05,1.0,41,0.01894467,3.109624e-06,0,2.900969701619892e-09,1.0
11,11,1426616.2,1512.3967,6798.136,6964.338,-77.45754,8.840479646547465,-0.061276168,2.2749236e-06,1.641055e-05,1.5636631e-05,1.0,41,0.021850148,3.1374336e-06,0,3.1084382286634435e-09,1.0
12,12,1234551.2,1888.9957,7754.5093,7981.273,-76.30942,9.392482526105596,-0.061233986,-1.5779266e-06,1.6624808e-05,1.5693542e-05,1.0,41,0.020998077,2.6309183e-06,0,2.987587987541297e-09,1.0
13,13,1068345.5,2488.6262,8725.165,9073.134,-74.08058,9.944485325628193,-0.06132165,2.0644957e-06,1.707398e-05,1.5789466e-05,1.0,41,0.020755146,2.2875388e-06,0,3.1195661364462364e-09,1.0
14,14,924510.06,2991.5608,10021.049,10458.052,-73.378174,10.49650305850082,-0.061295733,1.1520275e-06,1.7178898e-05,1.577321e-05,1.0,41,0.020357678,1.9466033e-06,0,3.5660433795957006e-09,1.0
15,15,800039.0,3730.0354,10798.912,11424.958,-70.94466,11.048502604739042,-0.061251238,-8.6321464e-08,1.8421668e-05,1.6458102e-05,1.0,41,0.02062991,1.805688e-06,0,3.740954021635742e-09,1.0
16,16,692334.1,4694.045,12587.162,13433.938,-69.54835,11.600492924306309,-0.061325505,3.0309668e-06,1.8263188e-05,1.6033397e-05,1.0,41,0.020487066,1.5250231e-06,0,3.049977744581156e-09,1.0
17,17,599122.25,5881.571,14214.808,15383.551,-67.52201,12.152487857179949,-0.061221726,-2.3637672e-06,1.8688039e-05,1.5956311e-05,1.0,41,0.020526946,1.3343438e-06,0,3.2617877462478697e-09,1.0
18,18,518454.94,7098.4946,15443.355,16996.643,-65.314255,12.70450217675534,-0.061228827,-2.862831e-06,1.987776e-05,1.64106e-05,1.0,41,0.020485487,1.2052667e-06,0,3.7138325362680766e-09,1.0
19,19,448662.03,8788.528,16940.72,19084.713,-62.580563,13.25748993633897,-0.061258655,-1.2632183e-06,2.0939626e-05,1.6499145e-05,1.0,41,0.020183124,1.0575545e-06,0,3.3087128818560054e-09,1.0
20,20,388258.97,11118.998,18908.848,21935.738,-59.54313,13.809497695910977,-0.06130788,4.2302113e-06,2.1678718e-05,1.6108652e-05,1.0,41,0.020816311,9.489679e-07,0,4.564313123043778e-09,1.0
