True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,258.2372,1660.6166,1680.5754,-81.16091,2.466493850428378,-0.024338383,-1.9133044e-05,1.3691518e-05,1.3368242e-05,1.0,40,0.009983352,5.940437e-06,0,6.072270348972274e-10,1.0
1,1,6057573.0,290.31787,1879.2334,1901.5264,-81.21795,3.0184992633585352,-0.024356252,-2.220866e-06,1.3981081e-05,1.3655183e-05,1.0,40,0.014109981,7.420345e-06,0,1.9391901451892105e-09,1.0
2,2,5242039.0,349.3489,2109.8108,2138.5383,-80.5981,3.435485843132483,-0.024240008,-3.8017613e-05,1.4390516e-05,1.400649e-05,1.0,40,0.019527048,9.131026e-06,0,-1.365687018455396e-09,1.0
3,3,4536288.0,281.27524,2453.1917,2469.2642,-83.459206,4.803488574776566,-0.024330502,-1.9021512e-05,1.4301712e-05,1.4116138e-05,1.0,40,0.01852693,7.5030166e-06,0,2.137808928978302e-09,1.0
4,4,3925558.5,398.6496,2795.7202,2823.9995,-81.88474,5.355493401031708,-0.024345072,-6.5798145e-07,1.4501903e-05,1.4212915e-05,1.0,40,0.0204044,7.2253556e-06,0,-3.837841526976465e-09,1.0
5,5,3397055.0,465.53976,3151.2917,3185.4932,-81.59649,5.772486887493869,-0.02436499,-2.9570758e-05,1.48671925e-05,1.4549659e-05,1.0,40,0.021253014,6.671813e-06,0,-1.1658056511123505e-09,1.0
6,6,2939708.2,569.428,3579.5571,3624.566,-80.96125,6.324488167039817,-0.024375983,-1.24351955e-05,1.5124694e-05,1.4751398e-05,1.0,40,0.020257322,5.588896e-06,0,5.620583942762399e-09,1.0
7,7,2543924.5,603.7063,4117.4023,4161.426,-81.658554,6.876495793258073,-0.024403296,-1.6416749e-05,1.5194716e-05,1.487493e-05,1.0,40,0.020699847,4.9742202e-06,0,-3.545894944510211e-10,1.0
8,8,2201436.2,748.7148,4745.2314,4803.9355,-81.033646,7.428491552796913,-0.024391837,-6.5558925e-06,1.5235496e-05,1.4865416e-05,1.0,40,0.020823915,4.3347613e-06,0,-3.304174168066412e-09,1.0
9,9,1905053.1,685.6891,5391.283,5434.713,-82.75176,8.147488226968562,-0.024365362,-4.3451405e-06,1.5496045e-05,1.5249372e-05,1.0,41,0.019534223,3.594343e-06,0,-2.7401298921776947e-09,1.0
10,10,1648567.4,866.98285,6511.432,6568.897,-82.4158,8.69948654648033,-0.0243858,-5.6676424e-07,1.4826441e-05,1.4568172e-05,1.0,41,0.02008465,3.0575375e-06,0,-2.9180130930197062e-09,1.0
11,11,1426616.2,1119.0419,7299.9756,7385.2485,-81.28475,9.251487132714828,-0.024427574,1.3121742e-06,1.5282401e-05,1.4931525e-05,1.0,41,0.020103555,2.722123e-06,0,-3.4692140723709345e-09,1.0
12,12,1234551.2,1232.3955,8351.061,8441.505,-81.60525,9.803493185638217,-0.024413787,1.9043489e-06,1.543723e-05,1.5108205e-05,1.0,41,0.020890273,2.4747096e-06,0,-3.407128603597265e-09,1.0
13,13,1068345.5,1845.4011,9715.547,9889.255,-79.24518,10.355481158505427,-0.024415612,1.3363848e-06,1.5333495e-05,1.4799551e-05,1.0,41,0.02085167,2.1085177e-06,0,-2.6159841350390266e-09,1.0
14,14,924510.06,1963.2573,11087.217,11259.696,-79.958496,10.90748185137636,-0.02438539,-1.1291424e-06,1.5526943e-05,1.5054893e-05,1.0,41,0.020220514,1.7958313e-06,0,-2.0193747136442793e-09,1.0
15,15,800039.0,3523.6614,11317.309,11853.171,-72.70594,11.459481984289596,-0.024379428,-7.2132394e-07,1.7577851e-05,1.6024445e-05,1.0,41,0.020888545,1.7622748e-06,0,-2.322114609351426e-09,1.0
16,16,692334.1,3001.3171,14212.53,14525.974,-78.07581,12.011491610464873,-0.024408346,2.7050853e-06,1.617458e-05,1.5484076e-05,1.0,41,0.02025554,1.3944359e-06,0,-7.700772024211094e-10,1.0
17,17,599122.25,3912.2754,16238.299,16702.941,-76.45396,12.563497823401121,-0.02435029,-2.028575e-06,1.635928e-05,1.5461774e-05,1.0,41,0.020500448,1.2273555e-06,0,-7.239238500839444e-10,1.0
18,18,518454.94,5175.189,18523.637,19232.984,-74.39054,13.115499849576736,-0.024356494,-2.1481226e-07,1.6572303e-05,1.5372412e-05,1.0,41,0.020499209,1.065836e-06,0,-3.5984804522273506e-10,1.0
19,19,448662.03,6476.3594,21057.455,22030.879,-72.90437,13.667493449145695,-0.024347235,-1.037896e-06,1.6845928e-05,1.5390156e-05,1.0,41,0.020275107,9.2030405e-07,0,1.5413573381629754e-10,1.0
20,20,388258.97,7658.8896,22949.578,24193.836,-71.54476,14.219482088723453,-0.02432644,-3.6859146e-06,1.7861747e-05,1.6071777e-05,1.0,41,0.020808939,8.600926e-07,0,6.893945521382092e-10,1.0
21,21,335983.9,8463.28,22500.621,24039.656,-69.38694,14.771492461586604,-0.024425954,1.5449483e-06,2.1052669e-05,1.8443343e-05,1.0,41,0.020107545,8.364323e-07,0,4.041963755428115e-10,1.0
22,22,290751.2,13142.673,29289.37,32102.912,-65.83336,15.323487421119353,-0.024408141,1.7721338e-06,1.868911e-05,1.5556783e-05,1.0,41,0.020548262,6.400747e-07,0,3.0728250216959116e-10,1.0
23,23,251605.19,16587.096,32165.008,36190.047,-62.720406,15.875483500683913,-0.024399178,5.486819e-07,1.9666038e-05,1.553481e-05,1.0,41,0.020411791,5.640167e-07,0,-7.079724436936077e-10,1.0
24,24,217729.38,20286.736,34436.06,39967.41,-59.4971,16.427497153548757,-0.024376858,6.4737634e-07,2.1227052e-05,1.5758125e-05,1.0,41,0.020274313,5.072711e-07,0,-2.0507483390651437e-11,1.0
25,25,188418.58,24515.625,36841.37,44252.71,-56.358723,16.979503953101812,-0.024335552,-2.950354e-06,2.2927707e-05,1.5891044e-05,1.0,41,0.02072727,4.6838417e-07,0,4.235347562655534e-10,1.0
26,26,163051.14,29793.602,38951.79,49039.785,-52.5882,17.531483552680584,-0.024377156,-2.5239149e-06,2.5059298e-05,1.5809808e-05,1.0,41,0.020406976,4.1613103e-07,0,2.75976809515694e-10,1.0
27,27,141098.2,32920.934,41947.797,53323.594,-51.87492,18.250484066811623,-0.024402235,3.0575822e-07,2.6889917e-05,1.6640599e-05,1.0,42,0.01898374,3.5601013e-07,0,2.7828902719306826e-10,1.0
28,28,122105.11,39180.492,44293.133,59135.375,-48.504906,18.666494006611174,-0.024403334,2.3796281e-07,2.9427267e-05,1.6509275e-05,1.0,42,0.020497961,3.4662773e-07,0,3.382805725631815e-10,1.0
29,29,105663.59,45415.25,42976.383,62526.11,-43.419518,19.0824887730123,-0.024337433,-2.660327e-07,3.5048135e-05,1.6557768e-05,1.0,42,0.021814564,3.4888728e-07,0,3.8345904781343795e-10,1.0
30,30,91439.65,51251.543,42958.957,66874.45,-39.969685,19.634490959200775,-0.024417289,3.5101732e-07,4.0516494e-05,1.6719328e-05,1.0,42,0.020376328,3.0469525e-07,0,4.919681498183337e-10,1.0
31,31,79127.08,57778.805,41578.87,71184.22,-35.739605,20.05048223232734,-0.024355432,9.026585e-08,4.8375146e-05,1.650442e-05,1.0,42,0.021399029,3.0061477e-07,0,5.290459584161362e-10,1.0
32,32,68475.36,62613.633,39679.54,74127.81,-32.36327,20.602481138514122,-0.02441753,6.8831827e-07,5.8575926e-05,1.6783792e-05,1.0,42,0.020189863,2.7236555e-07,0,7.050981400576164e-10,1.0
33,33,59252.523,67485.99,37978.445,77438.5,-29.369085,21.01848595830961,-0.024357015,2.1598545e-07,7.072551e-05,1.7011263e-05,1.0,42,0.02079941,2.6859263e-07,0,7.436773391806323e-10,1.0
34,34,51282.285,71998.52,35164.574,80126.99,-26.0312,21.434499071416212,-0.02438908,2.5751964e-07,8.8256646e-05,1.6998103e-05,1.0,42,0.02131349,2.659964e-07,0,7.743685186672641e-10,1.0
35,35,44369.8,75775.39,31756.59,82160.766,-22.737993,21.85049197115586,-0.024314815,1.5393168e-08,0.00011295327,1.6874757e-05,1.0,42,0.02168704,2.6395858e-07,0,7.781536581635211e-10,1.0
36,36,38403.727,78761.23,28622.426,83800.8,-19.971527,22.26650260426686,-0.024409464,5.4769913e-07,0.00014479058,1.689106e-05,1.0,42,0.021976784,2.622503e-07,0,7.484598712289447e-10,1.0
37,37,33226.32,81338.95,25745.262,85316.14,-17.56353,22.818501270463457,-0.024413787,6.5442106e-07,0.00018605468,1.6942317e-05,1.0,42,0.020226074,2.3707207e-07,0,7.971246742485899e-10,1.0
38,38,28754.086,83463.92,22665.18,86486.625,-15.19267,23.23448910357547,-0.024363667,2.6869517e-07,0.00024420884,1.6771883e-05,1.0,42,0.020332297,2.3509182e-07,0,7.500088175562938e-10,1.0
39,39,24884.947,85134.7,19784.535,87403.35,-13.082805,23.650482723285677,-0.024374325,3.765348e-07,0.00032326416,1.6563537e-05,1.0,42,0.020394903,2.3334235e-07,0,7.228985103107593e-10,1.0
40,40,21553.963,86582.71,17322.139,88298.484,-11.313493,24.067498796473956,-0.024341831,-6.397286e-09,0.0004262766,1.6405444e-05,1.0,42,0.02038411,2.308546e-07,0,7.629621527998312e-10,1.0
41,41,18631.234,86856.18,15295.901,88192.75,-9.987724,24.48349097618484,-0.024355581,2.3889592e-07,0.00055847457,1.679917e-05,1.0,42,0.020285582,2.3001417e-07,0,8.994972989068767e-10,1.0
42,42,16126.037,87960.164,12802.446,88886.97,-8.281149,24.89949016927858,-0.024331657,2.2101592e-07,0.00077090255,1.5992238e-05,1.0,42,0.020178003,2.2700745e-07,0,9.180370719711956e-10,1.0
43,43,13954.87,88434.74,10814.126,89093.484,-6.971726,25.31548450907576,-0.024378013,2.7409766e-07,0.0010546368,1.5537957e-05,1.0,42,0.019969238,2.2413803e-07,0,9.230741189212053e-10,1.0
44,44,12080.609,87978.86,8794.698,88417.34,-5.7085376,25.731503835500916,-0.024337377,1.0032531e-07,0.0014979949,1.4820992e-05,1.0,42,0.019587332,2.2153269e-07,0,9.329326901321464e-10,1.0
45,45,10447.592,88744.5,7722.2476,89079.85,-4.973159,26.14750262859161,-0.024425114,7.611447e-07,0.0019726963,1.4824795e-05,1.0,42,0.019170644,2.1520741e-07,0,1.0294377039604303e-09,1.0
46,46,9045.586,88478.664,6815.8657,88740.805,-4.4050236,26.579260355763836,-0.02436281,3.599611e-07,0.002581442,1.5228521e-05,1.0,42,0.021797383,2.4562976e-07,0,1.0821472077822136e-09,1.0
