True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,532.4068,1348.4512,1449.7509,-68.45448,2.465480917104287,-0.30504966,-8.57031e-05,1.6861093e-05,1.4587116e-05,1.0,40,0.009738746,6.717531e-06,0,-4.748802569500121e-08,1.0
1,1,6057573.0,792.22906,1386.5062,1596.8802,-60.256996,3.0174776633211877,-0.30499956,-9.7071104e-05,1.8949584e-05,1.4285604e-05,1.0,40,0.013763548,8.619023e-06,0,-5.905172674286518e-08,1.0
2,2,5242039.0,654.0847,1850.2086,1962.4216,-70.53051,3.433491683070315,-0.30498332,-0.000114597366,1.6409645e-05,1.45866625e-05,1.0,40,0.019509343,9.941464e-06,0,-6.921493272091083e-08,1.0
3,3,4536288.0,787.27075,2093.1506,2236.3083,-69.38784,4.801493268023478,-0.3050568,-8.851261e-05,1.6761736e-05,1.4684414e-05,1.0,40,0.018716507,8.369377e-06,0,-9.510001712125889e-08,1.0
4,4,3925558.5,1012.08966,2274.407,2489.4282,-66.01139,5.217485447792569,-0.3049593,-0.00010157359,1.782586e-05,1.4879476e-05,1.0,40,0.018222326,7.319884e-06,0,-1.0318949314068328e-07,1.0
5,5,3397055.0,1204.531,2498.4148,2773.6206,-64.260445,5.633499254210619,-0.3051427,-2.6631085e-05,1.8752233e-05,1.5215562e-05,1.0,40,0.019391403,6.991368e-06,0,-1.0847367478810257e-07,1.0
6,6,2939708.2,1517.965,2675.7676,3076.3533,-60.433727,6.049491167330416,-0.30509862,-7.511674e-05,2.0233336e-05,1.5307063e-05,1.0,40,0.02122195,6.8984114e-06,0,-1.1183998812483903e-07,1.0
7,7,2543924.5,1895.09,2844.74,3418.1738,-56.329506,6.601503033511108,-0.3051731,-5.2380943e-05,2.1992435e-05,1.5232466e-05,1.0,40,0.02064761,6.040538e-06,0,-1.1578874029287868e-07,1.0
8,8,2201436.2,2050.033,3170.1294,3775.2292,-57.110394,7.153500606393209,-0.30517936,-1.993315e-05,2.2805365e-05,1.6080678e-05,1.0,40,0.020776246,5.503307e-06,0,-1.168432339934087e-07,1.0
9,9,1905053.1,2690.4722,3353.0952,4299.0566,-51.256977,7.705499299307121,-0.30516487,-5.9916136e-05,2.4915358e-05,1.5156977e-05,1.0,40,0.0203909,4.7431104e-06,0,-1.2775669006455499e-07,1.0
10,10,1648567.4,3118.7349,3695.156,4835.358,-49.835423,8.257502418855438,-0.3050984,-9.92293e-05,2.6126467e-05,1.5257697e-05,1.0,40,0.020105446,4.1580056e-06,0,-1.3761365160577396e-07,1.0
11,11,1426616.2,3570.2463,3391.989,4924.657,-43.53335,8.80949116506963,-0.30519474,-6.490236e-05,3.2889595e-05,1.5603262e-05,1.0,40,0.020669628,4.1971707e-06,0,-1.5478388306127676e-07,1.0
12,12,1234551.2,4033.715,3894.6802,5607.084,-43.995346,9.528483119240263,-0.30517042,-6.904284e-05,3.3100852e-05,1.5970138e-05,1.0,41,0.019589452,3.4936968e-06,0,-1.6970736161044265e-07,1.0
13,13,1068345.5,4606.153,3916.435,6046.082,-40.373238,10.080478905438213,-0.3049622,-8.8325694e-05,3.8037982e-05,1.5960675e-05,1.0,41,0.0203326,3.3629383e-06,0,-1.8034583748679485e-07,1.0
14,14,924510.06,5139.871,3545.637,6244.1826,-34.599075,10.632492425007513,-0.30526957,-5.1333496e-05,4.8552796e-05,1.5654945e-05,1.0,41,0.02068071,3.3119966e-06,0,-1.9018322385889677e-07,1.0
15,15,800039.0,5578.385,4219.83,6994.665,-37.106083,11.184501011186512,-0.30506346,-7.679694e-05,4.714265e-05,1.7158134e-05,1.0,41,0.01994767,2.8518407e-06,0,-1.994559795737069e-07,1.0
16,16,692334.1,6132.378,3188.209,6911.6377,-27.469816,11.737483357457677,-0.30516937,-7.086404e-05,7.2103714e-05,1.5342257e-05,1.0,41,0.020292211,2.9359483e-06,0,-2.0949718446530597e-07,1.0
17,17,599122.25,6261.3906,2964.5933,6927.758,-25.336245,12.289496050361777,-0.3052076,-5.926079e-05,8.960651e-05,1.6409087e-05,1.0,41,0.020587442,2.9717323e-06,0,-2.2079006586954444e-07,1.0
18,18,518454.94,6654.697,2787.959,7215.1025,-22.731056,12.84150319659966,-0.3052095,-5.712673e-05,0.00011010898,1.6440328e-05,1.0,41,0.020171866,2.7957838e-06,0,-2.2919612206209985e-07,1.0
19,19,448662.03,6911.358,2341.9321,7297.3633,-18.719088,13.39348122276715,-0.3050282,-7.741145e-05,0.00015146995,1.5600668e-05,1.0,41,0.020352956,2.7890835e-06,0,-2.4159798681465675e-07,1.0
20,20,388258.97,7181.8457,2174.733,7503.8906,-16.846825,13.945483942370629,-0.30511758,-6.600188e-05,0.0001884919,1.5831847e-05,1.0,41,0.020078888,2.675797e-06,0,-2.517052793046367e-07,1.0
21,21,335983.9,6982.2935,977.8892,7050.439,-7.9725733,14.497500821918948,-0.30522582,-5.394613e-05,0.00048440875,9.318778e-06,1.0,41,0.020452676,2.9009082e-06,0,-2.6163579069234147e-07,1.0
22,22,290751.2,7547.3145,1753.1049,7748.247,-13.076879,14.913494068343425,-0.30504575,-6.626444e-05,0.00031224158,1.598452e-05,1.0,41,0.021995654,2.838791e-06,0,-2.687179862008209e-07,1.0
23,23,251605.19,7537.636,1560.4609,7697.467,-11.696294,15.46549425451667,-0.30509973,-6.7867775e-05,0.0004053663,1.665934e-05,1.0,41,0.020346938,2.643329e-06,0,-2.7764748308617647e-07,1.0
24,24,217729.38,7688.9937,1284.1296,7795.487,-9.481395,16.017494414089015,-0.30521932,-5.0959185e-05,0.00056923844,1.5446336e-05,1.0,41,0.020325674,2.6073642e-06,0,-2.8579163966944226e-07,1.0
25,25,188418.58,7698.3774,1128.2402,7780.6133,-8.337662,16.433492567186477,-0.30522352,-4.959048e-05,0.0007486776,1.5742378e-05,1.0,41,0.02179549,2.8012562e-06,0,-2.934158685437609e-07,1.0
26,26,163051.14,7806.1396,1014.10895,7871.7363,-7.4019375,16.98550304674427,-0.30505604,-6.440225e-05,0.00096252427,1.5974962e-05,1.0,41,0.020465605,2.5998845e-06,0,-3.01769159826176e-07,1.0
27,27,141098.2,7846.498,831.86664,7890.471,-6.0517535,17.401493839832256,-0.3049422,-7.908926e-05,0.0013559539,1.5071152e-05,1.0,41,0.021878056,2.7727185e-06,0,-3.1009046651498157e-07,1.0
