True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,702.7385,1035.7468,1251.644,-55.8437,2.468492917221738,-0.12209024,-1.6881799e-05,2.1951659e-05,1.5031866e-05,1.0,40,0.009756619,7.795043e-06,0,-1.1072839252468233e-08,1.0
1,1,6057573.0,844.3659,1119.5204,1402.241,-52.97563,3.02048198346165,-0.12205307,-4.0343308e-05,2.3468725e-05,1.4959194e-05,1.0,40,0.013885268,9.902198e-06,0,-1.3975928274476246e-08,1.0
2,2,5242039.0,1000.8175,1242.5868,1595.5117,-51.150967,3.4364810165425297,-0.12203522,-2.0286676e-05,2.443392e-05,1.4819946e-05,1.0,40,0.01923659,1.205669e-05,0,-1.8822947030369303e-08,1.0
3,3,4536288.0,1138.128,1367.7386,1779.3383,-50.235348,4.8044943881977815,-0.12207893,-2.964518e-05,2.5651714e-05,1.5156733e-05,1.0,40,0.019641992,1.1038931e-05,0,-3.8779023738679067e-08,1.0
4,4,3925558.5,1337.1251,1401.3381,1936.9182,-46.343258,5.220485874597216,-0.12210781,-2.4193805e-05,2.8931818e-05,1.5143945e-05,1.0,40,0.018498566,9.550515e-06,0,-4.441807534892127e-08,1.0
5,5,3397055.0,1519.4038,1413.6603,2075.337,-42.935253,5.6364988810091745,-0.12210848,-3.9375802e-05,3.314153e-05,1.5377487e-05,1.0,40,0.019476261,9.384626e-06,0,-4.634539691081348e-08,1.0
6,6,2939708.2,1713.5814,1428.5063,2230.9172,-39.81587,6.0525017274485435,-0.12209676,-3.734781e-05,3.789952e-05,1.553929e-05,1.0,40,0.021311814,9.552938e-06,0,-5.19765285184227e-08,1.0
7,7,2543924.5,1920.564,1411.7623,2383.619,-36.31875,6.604503273643786,-0.12211379,-3.5468667e-05,4.4315366e-05,1.554547e-05,1.0,40,0.020569174,8.6293885e-06,0,-5.4376093506625186e-08,1.0
8,8,2201436.2,2106.6807,1367.2744,2511.4822,-32.98431,7.156490286550252,-0.12214116,-3.5357036e-05,5.2875967e-05,1.5671461e-05,1.0,40,0.02104582,8.37984e-06,0,-6.40574909618105e-08,1.0
9,9,1905053.1,2276.7861,1326.9637,2635.2585,-30.234625,7.708493646088755,-0.12211876,-3.3868604e-05,6.295845e-05,1.596341e-05,1.0,40,0.020311013,7.707408e-06,0,-6.975540738635446e-08,1.0
10,10,1648567.4,2472.505,1237.716,2764.9993,-26.592176,8.260482899000635,-0.12210917,-3.718036e-05,7.799961e-05,1.5629475e-05,1.0,40,0.020238534,7.319544e-06,0,-7.491156850219088e-08,1.0
11,11,1426616.2,2581.416,1119.7177,2813.801,-23.44932,8.812490205193171,-0.122124575,-3.6250087e-05,9.963328e-05,1.5777374e-05,1.0,40,0.020215832,7.184528e-06,0,-8.046115187958156e-08,1.0
12,12,1234551.2,2698.2866,1017.07434,2883.6072,-20.653103,9.364494391455082,-0.1221245,-3.8910654e-05,0.00012675302,1.576854e-05,1.0,40,0.02066807,7.1674363e-06,0,-7.780242593953011e-08,1.0
13,13,1068345.5,2813.143,939.42035,2965.853,-18.466215,9.916494817618513,-0.122141086,-3.2845302e-05,0.00015858002,1.5909962e-05,1.0,40,0.020127688,6.786475e-06,0,-8.780032971238446e-08,1.0
14,14,924510.06,2872.8706,817.3135,2986.8691,-15.880715,10.468495537206763,-0.1221191,-4.2073563e-05,0.0002106298,1.57712e-05,1.0,40,0.020745903,6.9457024e-06,0,-9.326354732898936e-08,1.0
15,15,800039.0,2918.1445,747.9154,3012.4648,-14.375375,11.020496443408774,-0.12212887,-3.2194093e-05,0.0002659846,1.6395228e-05,1.0,40,0.02059308,6.8359573e-06,0,-9.957397244013717e-08,1.0
16,16,692334.1,2975.9448,631.92615,3042.298,-11.988386,11.572496629640227,-0.122146994,-3.878038e-05,0.00036377937,1.5695212e-05,1.0,40,0.020335933,6.6843986e-06,0,-9.831009676627724e-08,1.0
17,17,599122.25,3006.3406,549.00745,3056.0583,-10.349118,12.124485242500668,-0.12215791,-2.9459066e-05,0.0004838675,1.5615635e-05,1.0,40,0.020093651,6.5750223e-06,0,-9.86640174953411e-08,1.0
18,18,518454.94,3032.1628,484.96967,3070.7014,-9.087028,12.676492842059815,-0.12214722,-3.399876e-05,0.0006329866,1.5788777e-05,1.0,40,0.02061787,6.7143847e-06,0,-1.0110178904061387e-07,1.0
19,19,448662.03,3051.6516,410.5764,3079.1477,-7.6626945,13.228497534961207,-0.122108184,-3.943153e-05,0.00086398626,1.5361504e-05,1.0,40,0.020467363,6.647087e-06,0,-1.1285122426920679e-07,1.0
20,20,388258.97,3058.3157,345.42593,3077.7612,-6.444046,13.780500467837555,-0.12215345,-4.0324587e-05,0.0011867075,1.4948022e-05,1.0,40,0.020134035,6.5417794e-06,0,-1.1436287149139287e-07,1.0
21,21,335983.9,3083.691,305.67087,3098.8037,-5.6609516,14.333481934125302,-0.12213252,-4.337586e-05,0.0015496998,1.5078826e-05,1.0,40,0.020748964,6.6957978e-06,0,-1.2230329945802825e-07,1.0
22,22,290751.2,3081.2578,272.76593,3093.3074,-5.058877,14.88548670700402,-0.122138776,-3.6268604e-05,0.0020068204,1.5604239e-05,1.0,40,0.02034721,6.5778167e-06,0,-1.2630017209580223e-07,1.0
23,23,251605.19,3082.825,243.61081,3092.4353,-4.5182347,15.437493026518496,-0.122150905,-3.7868664e-05,0.0025965937,1.6113721e-05,1.0,40,0.020340873,6.5776226e-06,0,-1.2925888938174367e-07,1.0
24,24,217729.38,3092.925,203.24052,3099.5955,-3.7595825,15.98950433274149,-0.12215817,-3.7701215e-05,0.0035966055,1.5463344e-05,1.0,40,0.02036127,6.569009e-06,0,-1.2947938183805895e-07,1.0
25,25,188418.58,3093.6157,179.74855,3098.8333,-3.3253217,16.541490172297927,-0.122120164,-3.8259375e-05,0.0046992763,1.581122e-05,1.0,40,0.020270951,6.5414783e-06,0,-1.2740281173384777e-07,1.0
26,26,163051.14,3093.213,161.97592,3097.451,-2.9975526,17.093500865186797,-0.12211386,-4.034317e-05,0.0060262317,1.6479267e-05,1.0,40,0.020254286,6.5390177e-06,0,-1.226415760733946e-07,1.0
27,27,141098.2,3093.083,140.41661,3096.2686,-2.5992706,17.645490278111538,-0.122137934,-3.8705897e-05,0.008033044,1.6521135e-05,1.0,40,0.02047651,6.6132866e-06,0,-1.3116712325379214e-07,1.0
28,28,122105.11,3114.7312,131.91222,3117.5232,-2.4250886,18.197489637619583,-0.122131154,-4.5645706e-05,0.009881009,1.7690982e-05,1.0,40,0.020429704,6.5531844e-06,0,-1.2805153147038101e-07,1.0
29,29,105663.59,3094.024,121.62992,3096.4138,-2.251209,18.749482650513528,-0.12212765,-3.5654615e-05,0.012383812,1.9108085e-05,1.0,40,0.020180183,6.517276e-06,0,-1.382370618102363e-07,1.0
30,30,91439.65,3098.7803,108.703735,3100.6863,-2.0090847,19.165497203619452,-0.12213577,-3.3068463e-05,0.016011836,1.9679515e-05,1.0,40,0.02176247,7.018598e-06,0,-1.4451507265845167e-07,1.0
31,31,79127.08,3106.192,98.18963,3107.7434,-1.8105702,19.7175048031786,-0.12213341,-2.8268274e-05,0.02048469,2.0448917e-05,1.0,40,0.020521974,6.603497e-06,0,-1.6196878023260473e-07,1.0
