True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,413.43045,1559.1011,1612.9851,-75.14855,2.466481290437514,-0.07899936,1.783586e-05,1.45829945e-05,1.3624937e-05,1.0,40,0.009997517,6.198146e-06,0,1.0152075279607055e-09,1.0
1,1,6057573.0,499.95572,1801.8722,1869.9463,-74.492546,3.0184908100345638,-0.07897493,-1.9393638e-05,1.4581343e-05,1.3539019e-05,1.0,40,0.014212021,7.6002293e-06,0,-5.0446039737911026e-09,1.0
2,2,5242039.0,563.41583,2035.0889,2111.6401,-74.525215,3.4344872830843087,-0.078924,-2.8528864e-05,1.491889e-05,1.3856816e-05,1.0,40,0.019599434,9.281616e-06,0,-7.561922644337452e-09,1.0
3,3,4536288.0,573.25696,2347.178,2416.168,-76.27519,4.80250217471621,-0.07896096,-1.4686449e-05,1.4947669e-05,1.4106241e-05,1.0,40,0.01979187,8.1914295e-06,0,4.222594150532031e-09,1.0
4,4,3925558.5,788.8792,2625.0276,2741.0034,-73.27331,5.218482354510343,-0.0790014,-5.75587e-06,1.544489e-05,1.4165548e-05,1.0,40,0.018682573,6.815961e-06,0,2.4544248310070946e-09,1.0
5,5,3397055.0,921.5621,2993.4985,3132.1414,-72.88878,5.634478880936513,-0.07900031,-1.31980205e-05,1.565087e-05,1.4295979e-05,1.0,40,0.019654265,6.2750246e-06,0,1.6892004972154004e-09,1.0
6,6,2939708.2,1089.1527,3369.6223,3541.2722,-72.08777,6.051484954048647,-0.07901578,-4.472087e-06,1.6066995e-05,1.45471695e-05,1.0,40,0.021461777,6.060471e-06,0,2.447036724447571e-09,1.0
7,7,2543924.5,1285.5222,3782.222,3994.7178,-71.22785,6.603477513621328,-0.079028636,-1.0407207e-05,1.6541271e-05,1.4828278e-05,1.0,40,0.020903973,5.2329037e-06,0,-3.978493219450109e-09,1.0
8,8,2201436.2,1406.9595,4306.674,4530.6704,-71.90816,7.155480979854474,-0.079030775,-1.01281275e-05,1.6786958e-05,1.5168095e-05,1.0,40,0.020743974,4.578566e-06,0,-3.2793347596301223e-09,1.0
9,9,1905053.1,1939.1959,4743.517,5124.5913,-67.76478,7.707503246056149,-0.07903672,-1.3886421e-05,1.7612158e-05,1.50902015e-05,1.0,40,0.020331666,3.9674705e-06,0,-1.4381957172133752e-09,1.0
10,10,1648567.4,2253.2866,5607.909,6043.67,-68.10948,8.425492773501901,-0.079061426,-1.6021006e-05,1.7215216e-05,1.4822209e-05,1.0,41,0.019050589,3.1521558e-06,0,-2.0322986208990793e-10,1.0
11,11,1426616.2,2976.471,6139.649,6823.098,-64.13612,8.841479646594962,-0.07905457,-1.4361789e-05,1.8170607e-05,1.471273e-05,1.0,41,0.021960376,3.2185344e-06,0,-2.283431127040103e-09,1.0
12,12,1234551.2,3486.5352,6721.5894,7572.0337,-62.583916,9.393483352818293,-0.07903277,-1.5829186e-05,1.9179577e-05,1.5113251e-05,1.0,41,0.020897001,2.7597607e-06,0,-3.762282756083677e-09,1.0
