True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,266.56427,1681.4078,1702.4067,-80.99151,2.467479690531036,-0.009134889,1.7575385e-05,1.3522216e-05,1.3190685e-05,1.0,40,0.009986455,5.8660803e-06,0,3.934802690999106e-09,1.0
1,1,6057573.0,370.601,1895.8821,1931.7645,-78.939476,3.0195009700546507,-0.009098445,-7.988533e-06,1.3858306e-05,1.3348254e-05,1.0,40,0.014147834,7.323788e-06,0,2.1262833780358253e-09,1.0
2,2,5242039.0,378.83734,2162.7915,2195.7197,-80.06479,3.435481976455776,-0.009064722,-7.3187193e-06,1.4038e-05,1.3620114e-05,1.0,40,0.019607147,8.929713e-06,0,3.069627874418125e-09,1.0
3,3,4536288.0,340.85468,2459.0066,2482.5178,-82.108246,4.803481694805669,-0.009071951,-2.9552159e-05,1.4267892e-05,1.3998918e-05,1.0,40,0.019394994,7.81263e-06,0,6.59382909134365e-10,1.0
4,4,3925558.5,440.82352,2870.6575,2904.3071,-81.26975,5.219479661231162,-0.009109513,-3.2603446e-05,1.4123335e-05,1.3797962e-05,1.0,40,0.01857078,6.3942207e-06,0,-3.671663839516744e-09,1.0
5,5,3397055.0,525.3725,3150.5137,3194.0183,-80.5326,5.635502560966415,-0.0091202445,-2.3840308e-05,1.4870863e-05,1.446852e-05,1.0,40,0.019514928,6.109836e-06,0,-6.650966101801714e-09,1.0
6,6,2939708.2,656.4798,3637.8694,3696.6282,-79.77065,6.051488927419996,-0.009148341,5.760874e-06,1.4882257e-05,1.4412903e-05,1.0,40,0.021337928,5.7722677e-06,0,-6.779874107034326e-09,1.0
7,7,2543924.5,724.2138,4096.197,4159.725,-79.97363,6.603494046925334,-0.009123747,-3.087314e-05,1.527338e-05,1.4810423e-05,1.0,40,0.02087372,5.0180524e-06,0,-1.5981243893065767e-08,1.0
8,8,2201436.2,957.1474,4685.987,4782.74,-78.45571,7.155496233172016,-0.009124567,-2.3468192e-05,1.5428119e-05,1.4810219e-05,1.0,40,0.020516679,4.289733e-06,0,-1.72452863810943e-08,1.0
9,9,1905053.1,844.5855,5557.148,5620.9624,-81.358215,7.87449765400379,-0.009117897,-4.968971e-06,1.5033534e-05,1.4694122e-05,1.0,41,0.019599123,3.4867915e-06,0,-1.86235013710719e-08,1.0
10,10,1648567.4,977.69257,6321.5312,6396.69,-81.20825,8.42648226689198,-0.009171407,7.125529e-07,1.5271833e-05,1.4915065e-05,1.0,41,0.019757388,3.0886893e-06,0,-1.809954466169946e-08,1.0
11,11,1426616.2,1343.0481,7259.653,7382.841,-79.518684,8.978482639737194,-0.0091169095,-2.3749403e-06,1.5367285e-05,1.4858734e-05,1.0,41,0.020251913,2.7431058e-06,0,-1.7430998252077897e-08,1.0
12,12,1234551.2,1715.0393,8464.29,8636.294,-78.54577,9.530483999318676,-0.009086354,-4.274363e-06,1.5230721e-05,1.463008e-05,1.0,41,0.020862145,2.4156363e-06,0,-1.80640101723824e-08,1.0
13,13,1068345.5,2293.3857,9837.186,10100.982,-76.87679,10.082497838855488,-0.009192983,4.8484535e-06,1.5143894e-05,1.4363228e-05,1.0,41,0.020650018,2.0443574e-06,0,-1.735607677461104e-08,1.0
14,14,924510.06,2413.1223,10976.026,11238.163,-77.60056,10.634504211746389,-0.009241705,8.0532645e-06,1.5684234e-05,1.49610805e-05,1.0,41,0.020411564,1.8162723e-06,0,-1.7984191119508195e-08,1.0
15,15,800039.0,4736.0166,12052.028,12949.179,-68.54694,11.18648002462578,-0.009155645,7.274501e-07,1.6506265e-05,1.4298308e-05,1.0,41,0.02076853,1.6038492e-06,0,-1.8141446663869904e-08,1.0
16,16,692334.1,4068.62,13826.329,14412.531,-73.60263,11.738479384192033,-0.009087527,-4.8981933e-06,1.6626373e-05,1.5301386e-05,1.0,41,0.02033031,1.4105996e-06,0,-1.824508998626584e-08,1.0
17,17,599122.25,5010.3145,15877.874,16649.629,-72.48674,12.290499703754904,-0.009213626,2.3047173e-06,1.6730632e-05,1.521556e-05,1.0,41,0.020590555,1.2366976e-06,0,-1.8377199154147976e-08,1.0
18,18,518454.94,6212.014,17433.658,18507.338,-70.38785,12.842482849984663,-0.009170699,5.7661515e-07,1.7608427e-05,1.562463e-05,1.0,41,0.020520054,1.1087524e-06,0,-1.9500969866925288e-08,1.0
19,19,448662.03,7904.0513,19656.201,21185.852,-68.09421,13.394490876147756,-0.009158868,-3.7905384e-08,1.8046843e-05,1.5534903e-05,1.0,41,0.020208593,9.538721e-07,0,-1.7591884785569314e-08,1.0
20,20,388258.97,9728.876,21610.443,23699.416,-65.76305,13.946501489059301,-0.009160247,2.540985e-08,1.8968585e-05,1.577201e-05,1.0,41,0.020810636,8.781075e-07,0,-1.7514692542308787e-08,1.0
21,21,335983.9,10995.925,24871.803,27194.06,-66.14958,14.498497515305644,-0.0091488445,-4.028918e-07,1.9045587e-05,1.5931651e-05,1.0,41,0.02032289,7.473282e-07,0,-1.7448204869967616e-08,1.0
22,22,290751.2,14767.199,26146.361,30028.36,-60.54268,15.050490501482273,-0.009165445,-1.8833242e-06,2.0935695e-05,1.5872549e-05,1.0,41,0.020499313,6.8266513e-07,0,-1.742425192692639e-08,1.0
23,23,251605.19,18115.86,28433.014,33713.805,-57.497086,15.602487301075598,-0.00917206,1.755374e-06,2.2247317e-05,1.5823694e-05,1.0,41,0.020459408,6.068555e-07,0,-1.7936485754826018e-08,1.0
24,24,217729.38,21624.79,29788.04,36809.766,-54.022022,16.15450130062527,-0.009118008,-4.346988e-06,2.4539244e-05,1.6070113e-05,1.0,41,0.02012622,5.4676303e-07,0,-1.811482875333089e-08,1.0
25,25,188418.58,25721.963,30987.244,40271.934,-50.304535,16.707487966894405,-0.009215546,6.2581234e-06,2.7259222e-05,1.6138916e-05,1.0,41,0.02086472,5.180958e-07,0,-1.690167017494875e-08,1.0
26,26,163051.14,30081.01,31996.844,43916.57,-46.76769,17.259490926429862,-0.009158607,-2.1481164e-07,3.0506275e-05,1.6193719e-05,1.0,41,0.020421403,4.650045e-07,0,-1.673471893001969e-08,1.0
27,27,141098.2,33960.99,32388.932,46929.645,-43.642723,17.811479725962272,-0.009197417,3.515133e-06,3.4825873e-05,1.6588256e-05,1.0,41,0.020134024,4.290257e-07,0,-1.7243744420135776e-08,1.0
28,28,122105.11,38932.0,31925.201,50347.98,-39.3526,18.227481479087146,-0.009093303,-3.4252091e-06,4.082749e-05,1.6415564e-05,1.0,41,0.021800311,4.3299278e-07,0,-1.7552668474176394e-08,1.0
29,29,105663.59,42631.09,32769.637,53770.43,-37.548737,18.946503433195176,-0.009147782,-1.5502707e-07,4.5964563e-05,1.7071801e-05,1.0,42,0.01899182,3.5320195e-07,0,-1.7647786550156308e-08,1.0
30,30,91439.65,47209.152,32080.844,57077.883,-34.197956,19.36248227962642,-0.009123356,-5.748371e-07,5.4255008e-05,1.7139402e-05,1.0,42,0.020059424,3.5143952e-07,0,-1.7681950511396512e-08,1.0
31,31,79127.08,50725.035,30776.762,59331.598,-31.246742,19.778503499372164,-0.009123654,-4.3980484e-07,6.535399e-05,1.758514e-05,1.0,42,0.020925986,3.5269548e-07,0,-1.768798971451297e-08,1.0
32,32,68475.36,54572.9,28982.777,61791.605,-27.972044,20.19449711914058,-0.009140963,6.6391976e-09,8.019473e-05,1.7642773e-05,1.0,42,0.02173034,3.516714e-07,0,-1.7728859744040174e-08,1.0
33,33,59252.523,58388.273,24948.906,63495.184,-23.136684,20.747487172106048,-0.009176661,-1.7849445e-07,0.000107661836,1.6621998e-05,1.0,42,0.02033661,3.2028586e-07,0,-1.777503949826562e-08,1.0
34,34,51282.285,60894.074,25020.027,65833.805,-22.336676,21.163499378511915,-0.0091217905,-4.20062e-07,0.00012404092,1.7916065e-05,1.0,42,0.020780196,3.156463e-07,0,-1.7829639701329015e-08,1.0
35,35,44369.8,63556.863,21918.629,67230.21,-19.027596,21.579496944934363,-0.009124194,-4.517246e-07,0.00016365123,1.7394705e-05,1.0,42,0.021152476,3.1462753e-07,0,-1.7816144967535833e-08,1.0
36,36,38403.727,65294.336,19827.154,68238.305,-16.891338,21.995495924697025,-0.009207608,2.2418119e-07,0.00020901929,1.764618e-05,1.0,42,0.021414736,3.138228e-07,0,-1.779456917118432e-08,1.0
37,37,33226.32,66586.52,17883.043,68946.125,-15.033103,22.41148506445461,-0.009192908,-8.073649e-09,0.00026785297,1.8020199e-05,1.0,42,0.021587977,3.1311373e-07,0,-1.7735395872303093e-08,1.0
38,38,28754.086,67998.11,15709.622,69789.22,-13.008817,22.827481324231485,-0.009197026,3.1935622e-07,0.00035233423,1.7852935e-05,1.0,42,0.02172084,3.1123488e-07,0,-1.773251788196115e-08,1.0
39,39,24884.947,69350.61,13788.72,70708.1,-11.245253,23.243490357330302,-0.00911512,-4.4706707e-07,0.00046383066,1.7638798e-05,1.0,42,0.021798505,3.0828863e-07,0,-1.7821204637541222e-08,1.0
40,40,21553.963,69871.445,12096.438,70910.805,-9.821932,23.66050216378062,-0.009145621,-7.344709e-08,0.00061042944,1.7763383e-05,1.0,42,0.021769213,3.069943e-07,0,-1.7862451457452405e-08,1.0
41,41,18631.234,70270.38,10588.36,71063.63,-8.568881,24.076493783533806,-0.009201963,8.970921e-08,0.0008067701,1.7910694e-05,1.0,42,0.02167234,3.049709e-07,0,-1.783657643294006e-08,1.0
42,42,16126.037,71052.48,8911.537,71609.15,-7.148816,24.492492096644128,-0.009184002,3.275523e-07,0.00110749,1.7151735e-05,1.0,42,0.021587586,3.0146407e-07,0,-1.796626394223259e-08,1.0
43,43,13954.87,69262.734,8693.812,69806.23,-7.1543117,24.908496809744975,-0.009197491,-2.2356433e-07,0.0013118499,2.0347743e-05,1.0,42,0.021012798,3.010161e-07,0,-1.8178895309682395e-08,1.0
44,44,12080.609,70561.445,6817.56,70890.03,-5.518718,25.324491656181635,-0.009112065,-4.086973e-07,0.0019324234,1.787269e-05,1.0,42,0.020885048,2.9461194e-07,0,-1.8377585161306954e-08,1.0
45,45,10447.592,71526.9,5304.0835,71723.29,-4.241011,25.740502822591225,-0.009180704,1.9401176e-07,0.0028720603,1.5707023e-05,1.0,42,0.020572023,2.8682487e-07,0,-1.8496657768308603e-08,1.0
46,46,9045.586,71432.69,4477.625,71572.88,-3.5867867,26.313247543148464,-0.00916142,1.5583073e-07,0.0039294856,1.5379213e-05,1.0,42,0.020350989,2.843394e-07,0,-1.8573385470642714e-08,1.0
47,47,7827.7437,71499.76,3541.2217,71587.4,-2.835414,26.793936659320025,-0.009181953,1.3627472e-07,0.005741567,1.4049585e-05,1.0,42,0.020474296,2.860042e-07,0,-1.8594227484552997e-08,1.0
48,48,6770.8345,71213.15,3047.1936,71278.31,-2.450178,27.332406071509467,-0.00909757,-8.378186e-07,0.0077139693,1.4098184e-05,1.0,42,0.020585235,2.8880083e-07,0,-1.8474177639547248e-08,1.0
49,49,5860.798,71225.945,2439.9607,71267.73,-1.961993,27.93798610032536,-0.009150949,-2.114563e-07,0.011129625,1.304549e-05,1.0,42,0.02073946,2.9100775e-07,0,-1.8540914397871667e-08,1.0
50,50,5071.625,70913.14,2163.551,70946.14,-1.7475449,28.618673892669904,-0.0091646435,1.692415e-07,0.014504604,1.3489088e-05,1.0,42,0.020800557,2.93188e-07,0,-1.859661695825358e-08,1.0
51,51,4388.5933,71033.7,1812.3318,71056.82,-1.4615096,29.29883427164168,-0.009146515,6.736235e-08,0.020010462,1.3017302e-05,1.0,42,0.020940699,2.9470357e-07,0,-1.838618249969305e-08,1.0
52,52,3798.7827,70680.45,1716.9125,70701.305,-1.391509,29.978846943937242,-0.009149832,5.264873e-08,0.024402117,1.4390272e-05,1.0,42,0.020980624,2.9675016e-07,0,-1.825446473552509e-08,1.0
53,53,3286.0488,70712.29,1356.2456,70725.3,-1.0987853,30.658674522899673,-0.009163433,7.1646525e-08,0.035711475,1.3132122e-05,1.0,42,0.021075591,2.9799227e-07,0,-1.8264314752320193e-08,1.0
54,54,2844.088,70550.305,1631.6879,70569.17,-1.3249009,31.33784930180991,-0.00914182,4.3150223e-08,0.03429573,1.8335137e-05,1.0,42,0.021129876,2.9942078e-07,0,-1.8001781950261217e-08,1.0
55,55,2460.7852,70075.336,1309.2115,70087.56,-1.0703276,32.01769650744973,-0.009152869,-1.3842677e-08,0.049401097,1.7237502e-05,1.0,42,0.021061132,3.0049742e-07,0,-1.8075022868901156e-08,1.0
56,56,2129.3164,70333.336,1615.8025,70351.89,-1.3160528,32.69681083303294,-0.00913897,1.8954363e-07,0.046258513,2.4401508e-05,1.0,42,0.021188803,3.0118312e-07,0,-1.7955181609347726e-08,1.0
57,57,1843.2289,70142.46,1628.621,70161.37,-1.3300979,33.37695843866095,-0.009213403,5.7899473e-07,0.053017695,2.856701e-05,1.0,42,0.021177372,3.0183807e-07,0,-1.777553541559455e-08,1.0
58,58,1594.4913,70193.74,1851.2893,70218.15,-1.5107684,34.05682369762508,-0.009179754,6.792172e-08,0.053916745,3.7477752e-05,1.0,42,0.021217704,3.0216836e-07,0,-1.758178757397418e-08,1.0
59,59,1380.4436,70453.27,1991.7719,70481.42,-1.6193674,34.736700876594114,-0.0091399755,1.6330265e-08,0.057884444,4.6226578e-05,1.0,42,0.021292249,3.0209733e-07,0,-1.729906396213258e-08,1.0
60,60,1194.6187,70245.3,2193.3647,70279.53,-1.7884433,35.41683594889764,-0.009164327,1.2901211e-07,0.060740724,5.9162157e-05,1.0,42,0.021259455,3.0249853e-07,0,-1.733113189434506e-08,1.0
61,61,1033.3434,70256.984,2426.7197,70298.88,-1.9782451,36.09709803448641,-0.009198479,2.2809763e-07,0.06346815,7.563072e-05,1.0,42,0.021259824,3.0242052e-07,0,-1.7385482631568668e-08,1.0
62,62,894.71045,70325.65,2793.067,70381.09,-2.2743747,36.77682185349113,-0.009192964,3.0036333e-07,0.06368781,0.00010030139,1.0,42,0.02127546,3.0228944e-07,0,-1.7303109837370774e-08,1.0
