True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,278.45865,1664.4973,1687.6287,-80.50277,82.76047862423002,-0.0066015506,2.2859316e-05,1.3659595e-05,1.3287714e-05,2.0,40,0.009996597,5.9234576e-06,0,4.8537759715584273e-08,2.0
111,111,6057573.0,413.18298,1808.6326,1855.2283,-77.131584,83.31249190375092,-0.006568889,8.2725755e-06,1.45268405e-05,1.3806294e-05,2.0,40,0.014127056,7.6147267e-06,0,4.844392097485972e-08,2.0
112,112,5242039.0,362.54935,2127.7817,2158.4478,-80.33033,83.72848669686937,-0.006511951,-1.7402843e-05,1.4268977e-05,1.3866405e-05,2.0,40,0.019631596,9.095238e-06,0,4.919465473707222e-08,2.0
113,113,4536288.0,338.09488,2459.2874,2482.4187,-82.17223,85.09648625514819,-0.006562815,4.2112347e-07,1.4266264e-05,1.4001634e-05,2.0,40,0.018809069,7.5769126e-06,0,6.105460621643329e-08,2.0
114,114,3925558.5,465.69058,2852.3467,2890.1123,-80.72737,85.51250560829067,-0.0065974146,-8.248994e-06,1.4214002e-05,1.3844955e-05,2.0,40,0.018292384,6.3292987e-06,0,6.061763831686997e-08,2.0
115,115,3397055.0,502.77048,3219.5383,3258.5588,-81.124245,85.92948573475587,-0.0066101584,-5.3651506e-06,1.4552043e-05,1.4205614e-05,2.0,40,0.019423757,5.960843e-06,0,5.970011465907356e-08,2.0
116,116,2939708.2,637.41473,3643.2686,3698.6084,-80.07616,86.34549514114042,-0.0065936134,-1.5170189e-05,1.4860202e-05,1.4418842e-05,2.0,40,0.021354957,5.7737816e-06,0,5.733487289180693e-08,2.0
117,117,2543924.5,698.14777,4127.3687,4185.9985,-80.39925,86.89748391407193,-0.0066328333,6.5609033e-06,1.5158026e-05,1.4736387e-05,2.0,40,0.020502536,4.897884e-06,0,5.178902575022132e-08,2.0
118,118,2201436.2,765.44574,4661.0005,4723.4346,-80.673935,87.44949154029018,-0.0066560856,-3.2441314e-06,1.5510823e-05,1.5103492e-05,2.0,40,0.021004008,4.446766e-06,0,5.4269313852861796e-08,2.0
119,119,1905053.1,895.74243,5358.1025,5432.4595,-80.50932,88.16848856108845,-0.0066802325,8.126105e-08,1.5592006e-05,1.5168096e-05,2.0,41,0.019893378,3.6619467e-06,0,5.7724909063264504e-08,2.0
120,120,1648567.4,938.47876,6456.824,6524.6704,-81.730156,88.72049992062966,-0.006607028,-3.3209265e-06,1.49518355e-05,1.4642501e-05,2.0,41,0.019912379,3.0518597e-06,0,5.9149748795236845e-08,2.0
121,121,1426616.2,1276.7563,7326.709,7437.121,-80.11487,89.27249362683506,-0.0066350503,-2.5764078e-07,1.5226639e-05,1.4777883e-05,2.0,41,0.020332098,2.7338667e-06,0,5.994580840347416e-08,2.0
122,122,1234551.2,1706.7726,8337.501,8510.405,-78.4308,89.82449314641417,-0.0066213934,1.7553739e-06,1.5462336e-05,1.4840428e-05,2.0,41,0.020695401,2.4317762e-06,0,6.084134057580413e-08,2.0
123,123,1068345.5,2164.143,9535.821,9778.3125,-77.21339,90.37649674594286,-0.0066302246,-4.7179202e-07,1.5622492e-05,1.4857259e-05,2.0,41,0.020719657,2.1189398e-06,0,6.058330981590151e-08,2.0
124,124,924510.06,2560.099,11122.304,11413.14,-77.0376,90.92849914552062,-0.0066535333,3.0197943e-06,1.5477961e-05,1.4699176e-05,2.0,41,0.020233747,1.7728466e-06,0,6.117048615233659e-08,2.0
125,125,800039.0,844.0143,13464.429,13490.856,-86.413124,91.48048890507198,-0.0065947687,-1.2017666e-06,1.477478e-05,1.4716951e-05,2.0,41,0.020376254,1.5103751e-06,0,6.235446106465758e-08,2.0
126,126,692334.1,3742.2185,13958.693,14451.62,-74.99235,92.03249725126079,-0.0066687367,2.535628e-06,1.6468712e-05,1.5364418e-05,2.0,41,0.020351663,1.4082617e-06,0,6.352105851590295e-08,2.0
127,127,599122.25,5143.1216,15721.488,16541.37,-71.88503,92.58448663752642,-0.0066626626,3.6920408e-06,1.6897056e-05,1.5263546e-05,2.0,41,0.020388499,1.2325763e-06,0,6.388923949727301e-08,2.0
128,128,518454.94,6420.294,17755.639,18880.754,-70.12042,93.13648877039668,-0.0066119097,-1.8795989e-06,1.7289116e-05,1.5289974e-05,2.0,41,0.020626083,1.0924396e-06,0,6.372050791490677e-08,2.0
129,129,448662.03,8145.6074,19967.457,21565.023,-67.80728,93.68850658324664,-0.0066341376,-1.5518563e-06,1.7765524e-05,1.5230834e-05,2.0,41,0.020302624,9.4146077e-07,0,6.286006315548636e-08,2.0
130,130,388258.97,9935.627,21664.41,23834.08,-65.36309,94.2404872761399,-0.0066568498,-1.6080818e-07,1.8921335e-05,1.563323e-05,2.0,41,0.020873822,8.757973e-07,0,6.09841506510299e-08,2.0
131,131,335983.9,9359.408,22658.361,24515.299,-67.55612,94.79250514236628,-0.0066193254,1.7960556e-08,2.0906105e-05,1.7858943e-05,2.0,41,0.020266935,8.267056e-07,0,6.130534582731508e-08,2.0
132,132,290751.2,14914.513,25846.27,29840.783,-60.013035,95.34450831523282,-0.0066023893,-4.773783e-07,2.117877e-05,1.588825e-05,2.0,41,0.02058578,6.8985383e-07,0,6.089309558514186e-08,2.0
133,133,251605.19,18176.6,27949.627,33340.223,-56.96267,95.89649279482546,-0.0066277655,1.3699031e-06,2.2632083e-05,1.5905216e-05,2.0,41,0.020379692,6.1126445e-07,0,6.060765244779987e-08,2.0
134,134,217729.38,22135.037,29285.666,36709.81,-52.916855,96.44848815436126,-0.0066498998,1.1743741e-06,2.4960198e-05,1.5885247e-05,2.0,41,0.020182699,5.4979034e-07,0,6.075674199209521e-08,2.0
135,135,188418.58,25765.059,29925.969,39489.26,-49.27287,97.00049919393496,-0.0066884304,2.8373006e-06,2.8225926e-05,1.6210133e-05,2.0,41,0.020787397,5.264063e-07,0,6.196490250596693e-08,2.0
136,136,163051.14,30300.617,31249.791,43527.887,-45.88349,97.55250439347583,-0.006672649,1.2395507e-06,3.123555e-05,1.6099348e-05,2.0,41,0.020201221,4.6409835e-07,0,6.092252271743875e-08,2.0
137,137,141098.2,34208.582,30892.389,46093.023,-42.083916,97.9684948665381,-0.0066470867,7.5538475e-07,3.6512967e-05,1.6401355e-05,2.0,41,0.022039263,4.7814746e-07,0,6.162859210172605e-08,2.0
138,138,122105.11,39732.215,30713.78,50219.37,-37.704723,98.52050473276176,-0.0066607995,2.6771527e-06,4.2437816e-05,1.5873658e-05,2.0,41,0.02073187,4.1282615e-07,0,6.203936396696818e-08,2.0
139,139,105663.59,42613.895,29785.346,51991.45,-34.951954,99.07249089234392,-0.006612562,-3.0173917e-06,5.0569903e-05,1.659715e-05,2.0,41,0.020116117,3.8691203e-07,0,6.130282753350514e-08,2.0
140,140,91439.65,47587.88,30478.396,56511.406,-32.63816,99.6544880666479,-0.0066759284,-1.6828626e-08,5.710754e-05,1.6611371e-05,2.0,42,0.01977722,3.4996864e-07,0,6.14039239023431e-08,2.0
141,141,79127.08,50061.11,28902.98,57805.684,-30.000158,100.07050608642749,-0.0066519496,-1.5092918e-07,6.959089e-05,1.739789e-05,2.0,42,0.02064412,3.571296e-07,0,6.14069545689545e-08,2.0
142,142,68475.36,53841.01,27164.76,60305.71,-26.772615,100.48648853282793,-0.006655825,1.2058814e-10,8.5561805e-05,1.7361002e-05,2.0,42,0.021416267,3.5512835e-07,0,6.135508025528817e-08,2.0
143,143,59252.523,56565.816,25386.467,62001.324,-24.170315,101.03849173235358,-0.006597452,-4.5824356e-07,0.000105806175,1.7738366e-05,2.0,42,0.020234788,3.2636058e-07,0,6.138103581495002e-08,2.0
144,144,51282.285,59241.184,23552.117,63751.234,-21.68095,101.45450721881934,-0.0065963524,-3.8784037e-07,0.0001317719,1.7984796e-05,2.0,42,0.02069719,3.246555e-07,0,6.134006189832637e-08,2.0
145,145,44369.8,61666.93,20897.475,65111.555,-18.720314,101.87049515856779,-0.006616493,-1.5986876e-07,0.00017164803,1.7681143e-05,2.0,42,0.021070456,3.236055e-07,0,6.135770557167181e-08,2.0
146,146,38403.727,63117.145,18784.79,65853.19,-16.573944,102.28649768498144,-0.0066944486,2.2529889e-07,0.00022061775,1.7951448e-05,2.0,42,0.021332549,3.23941e-07,0,6.128835861133276e-08,2.0
147,147,33226.32,64818.11,16743.828,66945.82,-14.484029,102.70248359805555,-0.0066250823,-1.7944876e-08,0.00028607712,1.7895578e-05,2.0,42,0.02153953,3.2174572e-07,0,6.1377455266988e-08,2.0
148,148,28754.086,66010.74,14911.289,67673.96,-12.729012,103.11850847114692,-0.006610848,-3.2674905e-07,0.00037119776,1.8021568e-05,2.0,42,0.02165612,3.200067e-07,0,6.132229551891418e-08,2.0
149,149,24884.947,67109.15,13159.216,68387.16,-11.094182,103.5344873709546,-0.0066743447,2.2250588e-07,0.00048601918,1.7995517e-05,2.0,42,0.021717943,3.175734e-07,0,6.126615337773107e-08,2.0
150,150,21553.963,67652.586,11469.913,68618.01,-9.622505,103.95149752407451,-0.006644236,-1.4515358e-07,0.0006437732,1.7987753e-05,2.0,42,0.021718903,3.16519e-07,0,6.121213279611364e-08,2.0
151,151,18631.234,68055.44,9861.1,68766.16,-8.244665,104.3674943704682,-0.006610997,-1.2280321e-07,0.0008662697,1.7813709e-05,2.0,42,0.021621585,3.144219e-07,0,6.10645834765392e-08,2.0
152,152,16126.037,68731.09,8601.362,69267.21,-7.133204,104.78348937691771,-0.0066505894,-2.2188829e-07,0.0011474274,1.7693115e-05,2.0,42,0.021521144,3.1069743e-07,0,6.1176360617919e-08,2.0
153,153,13954.87,71278.58,7817.636,71706.01,-6.2590246,105.1994887033652,-0.006670339,5.0783935e-08,0.0014588777,1.7340384e-05,2.0,42,0.021605236,3.0130303e-07,0,6.12526290247614e-08,2.0
154,154,12080.609,68929.89,6050.8306,69194.96,-5.0167007,105.61549096312956,-0.006639466,-2.5820626e-07,0.00217729,1.6649352e-05,2.0,42,0.02097992,3.0320012e-07,0,6.13988190170461e-08,2.0
155,155,10447.592,69228.41,4957.777,69405.7,-4.0962315,106.03148895621416,-0.0066435654,-1.011923e-08,0.0030726774,1.5678359e-05,2.0,42,0.020535164,2.9587142e-07,0,6.149494134581484e-08,2.0
156,156,9045.586,69096.61,4393.384,69236.14,-3.638152,106.60426663674298,-0.0066376403,-7.9218e-08,0.004004832,1.6125636e-05,2.0,42,0.020330345,2.9363775e-07,0,6.129333212041368e-08,2.0
157,157,7827.7437,69205.21,3401.9497,69288.77,-2.8142476,107.08493596626795,-0.0066872565,1.0405326e-07,0.00597662,1.4407402e-05,2.0,42,0.020475006,2.955025e-07,0,6.144852152537933e-08,2.0
158,158,6770.8345,69118.11,2996.7688,69183.05,-2.4826305,107.62341561846551,-0.006611146,-3.433118e-08,0.007843767,1.4717424e-05,2.0,42,0.020617742,2.9801726e-07,0,6.155222377962192e-08,2.0
159,159,5860.798,68849.04,2785.6436,68905.37,-2.3169332,108.22999058064306,-0.0063749887,-2.2043432e-06,0.009748501,1.5932459e-05,2.0,42,0.020694233,3.003283e-07,0,6.156834087783301e-08,2.0
160,160,5071.625,68786.4,2217.8264,68822.14,-1.8467036,108.91068170633662,-0.0065884152,-1.7364641e-07,0.014149643,1.4694141e-05,2.0,42,0.02083511,3.027385e-07,0,6.177691501510986e-08,2.0
161,161,4388.5933,69095.805,1794.4501,69119.1,-1.4876635,109.5908203519648,-0.006631529,-8.0334736e-08,0.020209868,1.36216595e-05,2.0,42,0.021035261,3.0433355e-07,0,6.172305573936241e-08,2.0
162,162,3798.7827,68450.09,1687.6603,68470.9,-1.4123607,110.27082958426035,-0.0066485587,-8.182454e-08,0.02482508,1.5081643e-05,2.0,42,0.020999812,3.066969e-07,0,6.150542427420508e-08,2.0
163,163,3286.0488,68593.43,1563.8003,68611.25,-1.3060092,110.95070158989984,-0.006641199,-2.837025e-08,0.030971685,1.6089285e-05,2.0,42,0.021137185,3.0807172e-07,0,6.148366064061387e-08,2.0
164,164,2844.088,68272.914,1560.7906,68290.75,-1.3096137,111.63085338220117,-0.006607718,-2.8223008e-07,0.035853576,1.8728284e-05,2.0,42,0.021137165,3.0951725e-07,0,6.144455990161566e-08,2.0
