True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,240.56198,1707.5989,1724.4604,-81.981094,2.4654977970931213,-0.20272204,-9.048927e-06,1.3314813e-05,1.30557055e-05,1.0,40,0.009942198,5.7653965e-06,0,-9.193644834365639e-09,1.0
1,1,6057573.0,253.20663,1912.0526,1928.7454,-82.456406,3.01749291663873,-0.20269088,-3.122666e-05,1.3741105e-05,1.3504284e-05,1.0,40,0.014148331,7.33551e-06,0,-9.441714554087513e-09,1.0
2,2,5242039.0,340.59515,2224.4287,2250.3528,-81.29472,3.4334806430561002,-0.20266163,-1.7774952e-05,1.3649018e-05,1.3336356e-05,1.0,40,0.019585498,8.703301e-06,0,-1.2056749818359297e-08,1.0
3,3,4536288.0,289.99927,2535.6045,2552.1343,-83.47538,4.801498574699508,-0.20272203,-1.2007267e-05,1.3836874e-05,1.3658217e-05,1.0,40,0.021183573,8.300336e-06,0,-1.845636862126159e-08,1.0
4,4,3925558.5,384.24142,2909.933,2935.192,-82.477905,5.217485207802383,-0.20274614,-2.6761352e-05,1.3932713e-05,1.3693948e-05,1.0,40,0.019283058,6.569607e-06,0,-2.2916658400112688e-08,1.0
5,5,3397055.0,461.76767,3256.9192,3289.4912,-81.93036,5.633503307559295,-0.20272514,-2.4640334e-05,1.4385024e-05,1.4101557e-05,1.0,40,0.020135405,6.1211304e-06,0,-2.6058431381632848e-08,1.0
6,6,2939708.2,502.38913,3749.782,3783.2869,-82.36906,6.049497780652018,-0.2027584,-8.453638e-06,1.4438094e-05,1.4183498e-05,1.0,40,0.021937542,5.7985403e-06,0,-2.758028273166878e-08,1.0
7,7,2543924.5,551.8634,4330.707,4365.7275,-82.73792,6.601481193531072,-0.20277745,-9.756019e-06,1.44463165e-05,1.4215478e-05,1.0,40,0.020564515,4.710444e-06,0,-2.736552801934522e-08,1.0
8,8,2201436.2,464.9077,4843.1797,4865.4424,-84.51685,7.153499086416559,-0.20275564,-1.7551676e-05,1.4927375e-05,1.4791081e-05,1.0,40,0.020807391,4.2765673e-06,0,-3.086039011984414e-08,1.0
9,9,1905053.1,771.6399,6015.664,6064.952,-82.69048,7.8724986138695385,-0.20278029,-2.386078e-05,1.3887673e-05,1.3662868e-05,1.0,41,0.01939928,3.1985874e-06,0,-3.8860504673825364e-08,1.0
10,10,1648567.4,958.5919,6854.224,6920.931,-82.03858,8.424477760127047,-0.20275107,-2.521271e-05,1.4084944e-05,1.3814739e-05,1.0,41,0.019993939,2.8889087e-06,0,-4.1969738090872686e-08,1.0
11,11,1426616.2,782.70825,7623.217,7663.2935,-84.13774,8.976489946333459,-0.20276798,-2.3739725e-05,1.4634394e-05,1.4481726e-05,1.0,41,0.020234799,2.6404834e-06,0,-4.5527222634858075e-08,1.0
