True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,257.92175,1653.2864,1673.284,-81.13302,2.4674765971431043,-0.009010186,2.4924513e-05,1.3752222e-05,1.3425476e-05,1.0,40,0.010000535,5.9765916e-06,0,1.0243186441256412e-08,1.0
1,1,6057573.0,313.43118,1946.2292,1971.306,-80.85133,3.0194953434111085,-0.008970054,-1.8686633e-05,1.3499805e-05,1.315853e-05,1.0,40,0.014199418,7.203051e-06,0,1.1709210535262255e-08,1.0
2,2,5242039.0,371.9926,2168.6619,2200.3347,-80.26672,3.4354799231223296,-0.008948068,-2.1923954e-05,1.4e-05,1.3599853e-05,1.0,40,0.019622399,8.917915e-06,0,9.584007187527277e-09,1.0
3,3,4536288.0,276.1824,2495.2063,2510.4443,-83.683914,4.8034858814498875,-0.008986655,-4.4014875e-08,1.4060898e-05,1.3890721e-05,1.0,40,0.018782087,7.4815785e-06,0,5.090486471431177e-09,1.0
4,4,3925558.5,385.88654,2834.1,2860.2502,-82.246376,5.219482167885872,-0.0089939395,-1.9133147e-05,1.4305515e-05,1.4045131e-05,1.0,40,0.018358447,6.4184756e-06,0,2.2151290980142827e-09,1.0
5,5,3397055.0,486.2472,3260.8906,3296.9446,-81.51884,5.635479654330993,-0.008998114,-2.3021672e-05,1.4367503e-05,1.4054988e-05,1.0,40,0.019533396,5.9246963e-06,0,2.80221866228203e-09,1.0
6,6,2939708.2,474.84027,3682.3315,3712.8208,-82.6522,6.051496554078767,-0.009022558,-2.4627047e-06,1.4702561e-05,1.4462082e-05,1.0,40,0.021444283,5.775739e-06,0,3.6081770872568895e-09,1.0
7,7,2543924.5,555.03906,4237.649,4273.8433,-82.53799,6.603503033606103,-0.009023396,-1.0258368e-05,1.4763554e-05,1.4514554e-05,1.0,40,0.020591222,4.8179636e-06,0,3.812270850536e-09,1.0
8,8,2201436.2,725.6053,4787.3623,4842.039,-81.381454,7.1554861798358615,-0.009026657,-2.746835e-05,1.5101418e-05,1.476229e-05,1.0,40,0.021011608,4.339413e-06,0,4.771964523544941e-09,1.0
9,9,1905053.1,575.7063,5749.6045,5778.3555,-84.28205,7.874480240658158,-0.00901395,-3.166381e-06,1.4530317e-05,1.4386081e-05,1.0,41,0.019659031,3.4021843e-06,0,2.87249091785687e-09,1.0
