True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,219.26726,1845.2933,1858.2749,-83.223595,2.465484730404569,-0.0011735677,2.7882772e-05,1.2321272e-05,1.2149725e-05,1.0,40,0.01002492,5.3947456e-06,0,6.685349723713646e-09,1.0
1,1,6057573.0,382.13974,2124.069,2158.1707,-79.80106,3.017498089961009,-0.0011772381,1.9653526e-06,1.236952e-05,1.1981703e-05,1.0,40,0.014202508,6.580809e-06,0,7.678437507997336e-09,1.0
2,2,5242039.0,295.54022,2453.688,2471.4224,-83.13196,3.4344815764634404,-0.0011206534,1.4444181e-06,1.2373727e-05,1.2196782e-05,1.0,40,0.019740507,7.987508e-06,0,5.844465949773318e-09,1.0
3,3,4536288.0,235.74731,2793.4368,2803.367,-85.17605,4.802481428050669,-0.0011464024,-2.5929562e-06,1.2559741e-05,1.24709195e-05,1.0,40,0.018661814,6.6569287e-06,0,1.996241433022937e-08,1.0
4,4,3925558.5,309.3284,3211.868,3226.729,-84.498924,5.354496920976089,-0.0011778341,-3.9139386e-06,1.2622954e-05,1.2506948e-05,1.0,40,0.018990135,5.885259e-06,0,1.7916162244808395e-08,1.0
5,5,3397055.0,375.26074,3692.9614,3711.9785,-84.1978,5.7705021673755255,-0.0012182649,1.0244765e-05,1.2686528e-05,1.255687e-05,1.0,40,0.02006071,5.4043176e-06,0,2.0386227862774023e-08,1.0
6,6,2939708.2,380.65222,4148.229,4165.657,-84.75707,6.1864915738406125,-0.0011961863,-3.6162398e-06,1.3051282e-05,1.2942302e-05,1.0,40,0.021978209,5.2760483e-06,0,1.991714782972546e-08,1.0
7,7,2543924.5,346.37863,4769.109,4781.671,-85.845924,6.738491573341889,-0.001250237,3.4165937e-06,1.3118333e-05,1.3049497e-05,1.0,40,0.0210784,4.408166e-06,0,2.522358214572604e-08,1.0
8,8,2201436.2,233.22403,5566.5957,5571.4795,-87.600876,7.457479607517598,-0.0012501252,-4.16441e-08,1.2987463e-05,1.2964704e-05,1.0,41,0.01971912,3.539297e-06,0,3.1238346594790304e-08,1.0
9,9,1905053.1,395.39197,6406.797,6418.986,-86.4685,8.00949446039158,-0.0012137374,-4.3827484e-07,1.3039834e-05,1.2990359e-05,1.0,41,0.020514563,3.1959196e-06,0,3.091961074501152e-08,1.0
10,10,1648567.4,215.70288,7502.8154,7505.9155,-88.353226,8.561497553280788,-0.0012297981,1.1557514e-06,1.2867352e-05,1.2856725e-05,1.0,41,0.019960165,2.659258e-06,0,3.12773831756235e-08,1.0
11,11,1426616.2,122.20233,8717.023,8717.88,-89.19683,9.113492646167288,-0.0012109426,6.8089514e-07,1.27980775e-05,1.2795564e-05,1.0,41,0.020662095,2.3700827e-06,0,3.210196812356811e-08,1.0
12,12,1234551.2,301.8437,9940.248,9944.83,-88.260704,9.66550216570613,-0.0011914166,4.9241478e-09,1.2969217e-05,1.2957269e-05,1.0,41,0.020392276,2.0505404e-06,0,3.2279664114544934e-08,1.0
13,13,1068345.5,1178.489,11574.431,11634.271,-84.18627,10.217478218633914,-0.001193522,-5.3696976e-07,1.2870897e-05,1.2738834e-05,1.0,41,0.020478148,1.7601574e-06,0,3.245510749590134e-08,1.0
14,14,924510.06,272.96585,13374.989,13377.774,-88.83083,10.769483391515678,-0.0012221031,9.825685e-07,1.2871082e-05,1.2865723e-05,1.0,41,0.02030094,1.5175125e-06,0,3.324155126904632e-08,1.0
15,15,800039.0,-3391.4346,20969.535,21242.016,-99.18698,11.321495524403872,-0.0012245065,1.2861037e-06,9.486809e-06,9.244987e-06,1.0,41,0.02138968,1.0069515e-06,0,3.312334357663913e-08,1.0
16,16,692334.1,561.9984,17806.895,17815.762,-88.19231,11.873481737246038,-0.0012645089,5.9955546e-06,1.2909702e-05,1.2896854e-05,1.0,41,0.020326853,1.1409477e-06,0,3.38713817049615e-08,1.0
17,17,599122.25,843.0236,20497.482,20514.81,-87.64486,12.425501150166383,-0.0011987017,4.3136322e-07,1.2959976e-05,1.2938091e-05,1.0,41,0.020709353,1.009483e-06,0,3.4418173139504424e-08,1.0
18,18,518454.94,1127.612,23605.84,23632.756,-87.26515,12.977484456350794,-0.0012496222,2.8466097e-06,1.3004379e-05,1.2974775e-05,1.0,41,0.020458626,8.6568934e-07,0,3.55926585410676e-08,1.0
19,19,448662.03,1382.3605,27355.314,27390.22,-87.1071,13.529499762604246,-0.0012166813,3.1706288e-06,1.29675855e-05,1.29345535e-05,1.0,41,0.020159688,7.3601774e-07,0,3.690109300261686e-08,1.0
20,20,388258.97,1936.3953,30783.576,30844.42,-86.400635,14.081483708781889,-0.001198124,1.7814439e-06,1.33161775e-05,1.3263694e-05,1.0,41,0.020742377,6.7248396e-07,0,3.776836716520964e-08,1.0
21,21,335983.9,3502.7112,35766.074,35937.184,-84.40664,14.633504295052262,-0.0012144641,2.8913025e-06,1.3244341e-05,1.311852e-05,1.0,41,0.020563716,5.722128e-07,0,3.814050687782987e-08,1.0
22,22,290751.2,2497.6782,42450.598,42524.01,-86.63275,15.18549594792421,-0.0011817281,-1.4218816e-07,1.2894807e-05,1.2850321e-05,1.0,41,0.020561438,4.8352535e-07,0,3.845630685070015e-08,1.0
23,23,251605.19,4128.001,49005.53,49179.086,-85.185036,15.737493494147202,-0.0011850259,1.0086384e-06,1.2907896e-05,1.2816951e-05,1.0,41,0.02030506,4.1287998e-07,0,3.906849351088226e-08,1.0
24,24,217729.38,3307.6042,54283.31,54383.984,-86.51315,16.456499048304977,-0.0011933171,-1.304422e-07,1.3465943e-05,1.3416134e-05,1.0,42,0.019592017,3.6025344e-07,0,3.913259955284213e-08,1.0
25,25,188418.58,4607.336,64526.703,64690.98,-85.9159,16.872482294711517,-0.0012282515,1.6513857e-07,1.3090521e-05,1.3024121e-05,1.0,42,0.021801872,3.3701565e-07,0,3.913504324245596e-08,1.0
26,26,163051.14,5957.899,72669.72,72913.54,-85.313034,17.424485574272694,-0.0012361887,7.108176e-08,1.3432066e-05,1.3342384e-05,1.0,42,0.020770516,2.8486502e-07,0,3.905771673724701e-08,1.0
27,27,141098.2,7572.0386,84977.16,85313.85,-84.908005,17.97650034716935,-0.0011970621,-1.15728206e-07,1.3273836e-05,1.31692705e-05,1.0,42,0.020329919,2.3829564e-07,0,3.898704199185706e-08,1.0
28,28,122105.11,7830.9824,96282.19,96600.125,-85.35016,18.52850106669939,-0.0012128059,-4.1637587e-09,1.35375585e-05,1.3448594e-05,1.0,42,0.020191602,2.0902253e-07,0,3.8976614345679805e-08,1.0
29,29,105663.59,13917.312,111138.66,112006.664,-82.862305,18.94449015313876,-0.0011769024,-7.6615464e-08,1.3552818e-05,1.3343574e-05,1.0,42,0.021588376,1.927419e-07,0,3.900843513438485e-08,1.0
30,30,91439.65,18129.521,126607.164,127898.61,-81.85092,19.496504366019508,-0.0012286801,1.7668611e-07,1.3747614e-05,1.3471385e-05,1.0,42,0.020316383,1.5884757e-07,0,3.890854204219944e-08,1.0
31,31,79127.08,26570.23,146457.94,148848.6,-79.7173,19.912486279121367,-0.0012406417,1.9568373e-07,1.3733526e-05,1.3295921e-05,1.0,42,0.021344317,1.4339616e-07,0,3.885801738457949e-08,1.0
