True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,273.49033,1708.4767,1730.2281,-80.90534,2.4674917704833206,-0.08394931,3.1548032e-05,1.3307973e-05,1.2975475e-05,1.0,40,0.009973823,5.7644556e-06,0,2.783757363494664e-09,1.0
1,1,6057573.0,339.4651,1918.1383,1947.9453,-79.96392,3.019486463366775,-0.08390946,-1.4835312e-05,1.3697509e-05,1.3281523e-05,1.0,40,0.014162343,7.2704006e-06,0,6.363472314458502e-11,1.0
2,2,5242039.0,314.8381,2217.088,2239.3306,-81.91774,3.435478349827463,-0.083898015,3.0630833e-06,1.369421e-05,1.3423519e-05,1.0,40,0.019596566,8.751082e-06,0,1.3126965170613402e-09,1.0
3,3,4536288.0,306.49448,2538.3135,2556.7507,-83.11502,4.803502254799241,-0.083914265,-1.745866e-05,1.3822108e-05,1.3623478e-05,1.0,40,0.01846115,7.220551e-06,0,-9.989355574046183e-09,1.0
4,4,3925558.5,427.7059,2902.724,2934.0654,-81.61799,5.219484007888241,-0.08395413,-1.5281834e-05,1.3967314e-05,1.3670514e-05,1.0,40,0.01802336,6.1427945e-06,0,-1.0826858034053859e-08,1.0
5,5,3397055.0,456.82944,3314.4062,3345.741,-82.15228,5.635498720948817,-0.08397962,4.6445402e-06,1.4135521e-05,1.3871987e-05,1.0,40,0.019093504,5.7068087e-06,0,-1.4152301013833974e-08,1.0
6,6,2939708.2,496.8028,3756.4155,3789.1252,-82.4661,6.051499967376003,-0.08393869,-2.4342644e-05,1.4412598e-05,1.4164838e-05,1.0,40,0.020907307,5.5177134e-06,0,-1.6702599487940816e-08,1.0
7,7,2543924.5,604.35394,4312.653,4354.7925,-82.0228,6.603486873646034,-0.083969176,-1.3198016e-05,1.45067925e-05,1.4227398e-05,1.0,40,0.020949336,4.8106394e-06,0,-2.1313870949951606e-08,1.0
8,8,2201436.2,561.7898,4846.1357,4878.59,-83.38748,7.155503033165587,-0.08398775,-1.1114215e-05,1.4918269e-05,1.4720446e-05,1.0,40,0.020506052,4.2032743e-06,0,-2.162812854915804e-08,1.0
9,9,1905053.1,836.4088,5802.799,5862.7686,-81.79794,7.87448104066425,-0.08398706,-9.203567e-06,1.43971165e-05,1.4104089e-05,1.0,41,0.019599155,3.3429862e-06,0,-2.114907587803019e-08,1.0
10,10,1648567.4,734.00574,6965.357,7003.925,-83.984406,8.426502773567336,-0.083960004,-7.9354095e-06,1.3860218e-05,1.3707993e-05,1.0,41,0.019975169,2.8519964e-06,0,-2.2343566702469767e-08,1.0
11,11,1426616.2,978.9884,7660.188,7722.493,-82.71696,8.978499893069966,-0.08395404,-9.533159e-06,1.4563762e-05,1.4329708e-05,1.0,41,0.020190137,2.6144583e-06,0,-2.3365609835335495e-08,1.0
12,12,1234551.2,971.65454,8792.517,8846.042,-83.69387,9.530484692630125,-0.0839838,-4.9186774e-06,1.4662155e-05,1.44852565e-05,1.0,41,0.020780345,2.3491123e-06,0,-2.4113040986787522e-08,1.0
13,13,1068345.5,1445.8817,10644.4,10742.152,-82.26457,10.082487278879853,-0.0839244,-9.598334e-06,1.3995462e-05,1.3741907e-05,1.0,41,0.020876886,1.9434547e-06,0,-2.523119272975944e-08,1.0
14,14,924510.06,1610.2242,11729.043,11839.057,-82.183,10.634498131723376,-0.08398713,-4.3916816e-06,1.4677292e-05,1.4405783e-05,1.0,41,0.020283664,1.7132838e-06,0,-2.680021631131208e-08,1.0
15,15,800039.0,4292.4644,12878.047,13574.584,-71.565926,11.18648002462578,-0.08396487,-8.698902e-06,1.5447527e-05,1.3902916e-05,1.0,41,0.020976355,1.5452669e-06,0,-2.7384823405651245e-08,1.0
16,16,692334.1,2570.953,15577.14,15787.878,-80.62802,11.738487037509913,-0.08392302,-9.037818e-06,1.4757632e-05,1.4366289e-05,1.0,41,0.020330444,1.2877249e-06,0,-2.8174543257225396e-08,1.0
17,17,599122.25,3547.1414,17496.842,17852.777,-78.53973,12.290487357095117,-0.08402788,-2.7492385e-06,1.5182562e-05,1.4583198e-05,1.0,41,0.020834146,1.1669974e-06,0,-2.8132159548722748e-08,1.0
18,18,518454.94,4385.7476,19804.857,20284.652,-77.513466,12.84248042330728,-0.08399863,-5.0471685e-06,1.5500204e-05,1.4775619e-05,1.0,41,0.020328559,1.0021645e-06,0,-2.8440152402345753e-08,1.0
19,19,448662.03,5559.8784,22936.275,23600.53,-76.37402,13.394487729499815,-0.084001794,-4.9261266e-06,1.5465997e-05,1.4607645e-05,1.0,41,0.020224735,8.569611e-07,0,-2.88484717578541e-08,1.0
20,20,388258.97,8098.3955,25876.752,27114.393,-72.621956,13.946491142414743,-0.08396543,-7.60394e-06,1.584123e-05,1.4428084e-05,1.0,41,0.020884002,7.702183e-07,0,-3.044542801748662e-08,1.0
21,21,335983.9,10500.51,24045.256,26238.045,-66.40921,14.498501995258266,-0.08399669,-5.4419497e-06,1.9700272e-05,1.6545051e-05,1.0,41,0.020584662,7.845349e-07,0,-3.032222986989473e-08,1.0
22,22,290751.2,11915.202,32387.523,34509.76,-69.80169,15.050487461470766,-0.084001034,-4.6486625e-06,1.690133e-05,1.4886495e-05,1.0,41,0.020448806,5.925514e-07,0,-3.030410906350214e-08,1.0
23,23,251605.19,15229.542,36347.387,39409.027,-67.266335,15.603482527745655,-0.083967626,-7.2668863e-06,1.740313e-05,1.480411e-05,1.0,41,0.020568889,5.2193343e-07,0,-3.13162163310357e-08,1.0
24,24,217729.38,18827.188,39867.08,44089.08,-64.72102,16.155482100642985,-0.08393726,-8.088107e-06,1.8335328e-05,1.4991859e-05,1.0,41,0.020223826,4.5870377e-07,0,-3.241222272390271e-08,1.0
25,25,188418.58,22612.713,43221.938,48779.816,-62.38248,16.707489513530163,-0.08397346,-5.4233287e-06,1.9543042e-05,1.5343354e-05,1.0,41,0.020764058,4.2566907e-07,0,-3.325236667738017e-08,1.0
26,26,163051.14,26692.648,47892.086,54828.363,-60.866898,17.42648024103255,-0.08396688,-8.298301e-06,2.0381332e-05,1.5550684e-05,1.0,42,0.019339044,3.527197e-07,0,-3.4786664396650916e-08,1.0
27,27,141098.2,32894.08,51631.684,61219.695,-57.499157,17.842503114108695,-0.08397428,-8.210018e-06,2.1846525e-05,1.553934e-05,1.0,42,0.021007001,3.4314124e-07,0,-3.5756348692701206e-08,1.0
28,28,122105.11,38985.848,54200.85,66765.48,-54.27311,18.394492207007715,-0.08401102,-7.933621e-06,2.4048068e-05,1.5848513e-05,1.0,42,0.020218829,3.0283357e-07,0,-3.706353848667746e-08,1.0
29,29,105663.59,45948.81,56657.074,72947.36,-50.957996,18.81049777343287,-0.08398631,-8.114471e-06,2.6585241e-05,1.6037244e-05,1.0,42,0.021576123,2.9577663e-07,0,-3.801308403078322e-08,1.0
30,30,91439.65,54400.863,58438.7,79840.69,-47.04939,19.362502306321403,-0.0839849,-7.915927e-06,2.9784138e-05,1.5956499e-05,1.0,42,0.0203997,2.5550509e-07,0,-3.932786155912263e-08,1.0
31,31,79127.08,63043.582,58696.867,86138.35,-42.955135,19.778489526041085,-0.083998404,-8.009239e-06,3.4267316e-05,1.5911708e-05,1.0,42,0.021369703,2.4808583e-07,0,-4.022103303143057e-08,1.0
32,32,68475.36,71246.13,58316.97,92069.98,-39.301292,20.330490112275584,-0.08398296,-8.212439e-06,3.985574e-05,1.5989861e-05,1.0,42,0.02025431,2.1998822e-07,0,-4.142956642947314e-08,1.0
33,33,59252.523,77808.36,56988.664,96446.09,-36.21992,20.746481145353755,-0.08401273,-7.858002e-06,4.7132966e-05,1.645631e-05,1.0,42,0.0208423,2.161031e-07,0,-4.2389283788242e-08,1.0
34,34,51282.285,86300.55,54418.605,102025.336,-32.234333,21.16250196515466,-0.08399207,-8.030844e-06,5.703026e-05,1.6224978e-05,1.0,42,0.021395912,2.0971176e-07,0,-4.330619134513953e-08,1.0
35,35,44369.8,92934.81,50064.36,105561.92,-28.311527,21.578504411590984,-0.083916746,-8.538192e-06,7.1647984e-05,1.611561e-05,1.0,42,0.021744043,2.0598377e-07,0,-4.420883083748923e-08,1.0
36,36,38403.727,98677.62,46202.973,108958.65,-25.09,22.130495557765244,-0.08395658,-8.550484e-06,8.9696776e-05,1.6128473e-05,1.0,42,0.020209756,1.8548097e-07,0,-4.5596647662136313e-08,1.0
37,37,33226.32,103639.45,42017.53,111832.95,-22.06863,22.54649728423101,-0.08398333,-7.929337e-06,0.000114000664,1.6092697e-05,1.0,42,0.020429889,1.8268219e-07,0,-4.6558369970568257e-08,1.0
38,38,28754.086,107723.04,38367.09,114351.59,-19.604078,22.962502050650073,-0.08397454,-7.993407e-06,0.00014426524,1.6240336e-05,1.0,42,0.020533862,1.7956778e-07,0,-4.7488392033814224e-08,1.0
39,39,24884.947,111775.01,34023.984,116838.71,-16.930094,23.378485243738396,-0.08394899,-8.39869e-06,0.0001879742,1.5940248e-05,1.0,42,0.020610671,1.7640276e-07,0,-4.847411035370946e-08,1.0
40,40,21553.963,113539.87,30261.281,117503.39,-14.923871,23.795494916877942,-0.083954915,-8.3653495e-06,0.00024400892,1.6183763e-05,1.0,42,0.020563263,1.7500145e-07,0,-4.945880846263432e-08,1.0
41,41,18631.234,115135.91,26625.105,118174.336,-13.020733,24.211487949971342,-0.08401858,-7.857071e-06,0.000320839,1.628634e-05,1.0,42,0.020429166,1.7287311e-07,0,-5.032070008612176e-08,1.0
42,42,16126.037,117554.1,23238.95,119829.11,-11.182463,24.627488609723514,-0.08402289,-7.74681e-06,0.00042469386,1.5972919e-05,1.0,42,0.020323858,1.6960702e-07,0,-5.143016020660577e-08,1.0
43,43,13954.87,117648.1,18316.443,119065.39,-8.849246,25.043494282785105,-0.08397525,-7.905495e-06,0.0006226632,1.4735484e-05,1.0,42,0.020082057,1.686641e-07,0,-5.243461210525445e-08,1.0
