True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,329.73007,1695.308,1727.0759,-78.99363,2.4664799038146157,-0.058771804,9.03551e-06,1.3411345e-05,1.29225045e-05,1.0,40,0.009993788,5.7865363e-06,0,-1.143549418101328e-09,1.0
1,1,6057573.0,326.48105,1870.9008,1899.1733,-80.10129,3.018492650036933,-0.05876962,-1.1417492e-06,1.404335e-05,1.36283425e-05,1.0,40,0.014139972,7.4453296e-06,0,-3.897657554767243e-09,1.0
2,2,5242039.0,352.3567,2196.0254,2224.114,-80.884476,3.4344869897759054,-0.05872461,-8.974603e-06,1.3825554e-05,1.347855e-05,1.0,40,0.019619498,8.821265e-06,0,-4.7465402592352905e-09,1.0
3,3,4536288.0,324.16754,2550.6506,2571.1677,-82.75699,4.8025028947449755,-0.05871436,-1.9375004e-05,1.37552515e-05,1.3536603e-05,1.0,40,0.021216607,8.25174e-06,0,-1.1460812324773744e-08,1.0
4,4,3925558.5,424.55698,2924.8977,2955.5498,-81.74104,5.218497367837699,-0.058759432,-8.714128e-06,1.3861428e-05,1.3575404e-05,1.0,40,0.019300893,6.53039e-06,0,-1.3727476264320002e-08,1.0
5,5,3397055.0,548.57574,3307.7656,3352.9463,-80.5835,5.63548768099281,-0.058746763,-4.4534877e-06,1.4163898e-05,1.3784756e-05,1.0,40,0.02015254,6.0103976e-06,0,-1.352786595653773e-08,1.0
6,6,2939708.2,610.4442,3760.4963,3809.7212,-80.779564,6.051478714070981,-0.058780503,-2.3207715e-05,1.4396958e-05,1.4027319e-05,1.0,40,0.02194561,5.7604243e-06,0,-1.5221534739693097e-08,1.0
7,7,2543924.5,683.15765,4305.49,4359.352,-80.98397,6.603500500292284,-0.05874898,-3.4705852e-05,1.4530927e-05,1.4174072e-05,1.0,40,0.020609852,4.7277326e-06,0,-1.9490163757085258e-08,1.0
8,8,2201436.2,918.53705,4825.1416,4911.792,-79.22186,7.1554790064983536,-0.05879908,-9.867655e-06,1.4983178e-05,1.4459196e-05,1.0,40,0.020783283,4.2313036e-06,0,-2.4464291527042154e-08,1.0
9,9,1905053.1,830.2567,5641.256,5702.0254,-81.62755,7.874483840685571,-0.058815345,-6.6361207e-07,1.4809391e-05,1.4495411e-05,1.0,41,0.019431788,3.4078748e-06,0,-2.5893553654058444e-08,1.0
10,10,1648567.4,1205.3423,6716.823,6824.116,-79.826485,8.426495360181434,-0.058791347,-1.0509314e-06,1.43730695e-05,1.3924658e-05,1.0,41,0.019939333,2.9218925e-06,0,-2.702246554088106e-08,1.0
11,11,1426616.2,1127.3896,7650.681,7733.3,-81.61733,8.97848303974024,-0.058736943,-5.175659e-06,1.4581858e-05,1.4271953e-05,1.0,41,0.020221848,2.6149055e-06,0,-2.810295676313975e-08,1.0
12,12,1234551.2,1435.2407,8829.154,8945.048,-80.76693,9.530477679305477,-0.058775958,-3.4065877e-06,1.4601313e-05,1.4225409e-05,1.0,41,0.020900227,2.3365137e-06,0,-2.9084154433882582e-08,1.0
13,13,1068345.5,1535.8563,10287.773,10401.785,-81.509056,10.082498985546408,-0.058780894,-9.131296e-07,1.4480616e-05,1.4164918e-05,1.0,41,0.020515582,1.9723136e-06,0,-2.9073694830891048e-08,1.0
14,14,924510.06,2202.125,11305.338,11517.813,-78.977585,10.634502985078143,-0.058831424,3.3177416e-06,1.5227371e-05,1.4670738e-05,1.0,41,0.020277511,1.7605348e-06,0,-2.9066966877789154e-08,1.0
15,15,800039.0,3022.5825,12863.221,13213.57,-76.7766,11.186478264658945,-0.05881475,3.8410144e-06,1.5465332e-05,1.4656097e-05,1.0,41,0.020864414,1.5790141e-06,0,-2.983621558852513e-08,1.0
16,16,692334.1,3649.8083,14844.92,15287.013,-76.187096,11.73848989084945,-0.05877128,-1.4922675e-06,1.5485546e-05,1.460283e-05,1.0,41,0.020358393,1.3317443e-06,0,-2.9366860481755136e-08,1.0
17,17,599122.25,4760.173,17130.994,17780.05,-74.47103,12.290481383766746,-0.058746092,-2.6021269e-06,1.5506797e-05,1.4395318e-05,1.0,41,0.020555599,1.1561046e-06,0,-2.9933585246228334e-08,1.0
18,18,518454.94,6132.747,18982.447,19948.531,-72.09567,12.84249388994067,-0.058788013,5.0212645e-07,1.6171745e-05,1.4643317e-05,1.0,41,0.020470848,1.0261832e-06,0,-2.9940069368089596e-08,1.0
19,19,448662.03,7350.9863,21462.41,22686.385,-71.09341,13.394478849513689,-0.058753915,-4.6747323e-06,1.6528076e-05,1.4792743e-05,1.0,41,0.020246578,8.9245503e-07,0,-3.081278702553764e-08,1.0
20,20,388258.97,9496.305,24143.445,25943.896,-68.52887,13.946480635699118,-0.05874225,-5.309735e-06,1.6978503e-05,1.4703729e-05,1.0,41,0.021019412,8.1018715e-07,0,-3.086245414190358e-08,1.0
21,21,335983.9,13837.432,25069.695,28635.016,-61.103127,14.498496848595096,-0.058724776,-2.6915116e-06,1.8895247e-05,1.448291e-05,1.0,41,0.020371601,7.1142273e-07,0,-3.1417595476084004e-08,1.0
22,22,290751.2,15022.956,29185.355,32824.902,-62.763176,15.050501248188084,-0.05872254,-3.7026743e-06,1.8755714e-05,1.4827117e-05,1.0,41,0.020541532,6.2579113e-07,0,-3.197102997133921e-08,1.0
23,23,251605.19,18575.135,31156.195,36273.188,-59.19686,15.602500847744523,-0.05877961,1.0123633e-06,2.0302808e-05,1.4978679e-05,1.0,41,0.02039445,5.622459e-07,0,-3.130871395365789e-08,1.0
24,24,217729.38,22628.545,32923.375,39949.965,-55.498894,16.15448420724715,-0.058789056,1.016088e-06,2.2202341e-05,1.5079074e-05,1.0,41,0.020245127,5.067621e-07,0,-3.124392057450839e-08,1.0
25,25,188418.58,27228.662,35259.777,44549.434,-52.3236,16.706483566813404,-0.05872284,-3.4996972e-06,2.395614e-05,1.5006921e-05,1.0,41,0.020747196,4.6571176e-07,0,-3.226299120803115e-08,1.0
26,26,163051.14,31984.094,36110.777,48238.684,-48.467995,17.258499753050273,-0.05880901,3.118488e-06,2.7030834e-05,1.5147545e-05,1.0,41,0.020292599,4.2067066e-07,0,-3.2395527089807925e-08,1.0
27,27,141098.2,36829.566,36584.02,51911.535,-44.808365,17.810493032593513,-0.05878011,3.8853273e-07,3.083239e-05,1.5313071e-05,1.0,41,0.020223187,3.895702e-07,0,-3.172154386740465e-08,1.0
28,28,122105.11,42580.3,37801.504,56938.875,-41.5977,18.39247876688023,-0.05877607,-1.1585483e-06,3.4480792e-05,1.5197692e-05,1.0,42,0.020643212,3.625504e-07,0,-3.230308063789719e-08,1.0
29,29,105663.59,46903.277,37267.098,59906.21,-38.46897,18.80848075999529,-0.058796953,-1.0298487e-06,4.0417475e-05,1.5641435e-05,1.0,42,0.02194824,3.6637672e-07,0,-3.2387784567017714e-08,1.0
