True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,267.38928,1674.4662,1695.681,-80.92725,82.8354829477903,-0.044243485,1.8226576e-05,1.3578274e-05,1.3240641e-05,2.0,40,0.010013586,5.9053477e-06,0,2.1919710298211922e-08,2.0
111,111,6057573.0,386.54507,1867.8851,1907.4622,-78.3081,83.38748212068458,-0.04418733,-2.735674e-05,1.4066024e-05,1.348838e-05,2.0,40,0.01415987,7.423408e-06,0,1.9390291656385627e-08,2.0
112,112,5242039.0,329.13828,2164.0532,2188.94,-81.35197,83.80348806039547,-0.04419083,-6.5558993e-06,1.4029816e-05,1.3712611e-05,2.0,40,0.019601868,8.954959e-06,0,1.832111114772999e-08,2.0
113,113,4536288.0,284.7313,2501.0684,2517.2236,-83.50519,85.17150007208693,-0.044138327,-3.165456e-05,1.4027942e-05,1.384846e-05,2.0,40,0.021120211,8.39028e-06,0,1.6451705838370757e-08,2.0
114,114,3925558.5,428.36197,2847.0073,2879.0527,-81.443436,85.58748603847926,-0.04418116,-1.4165501e-05,1.4240659e-05,1.3925411e-05,2.0,40,0.019267555,6.6923244e-06,0,1.2041798095699817e-08,2.0
115,115,3397055.0,519.3715,3218.8096,3260.442,-80.83403,86.00350299160345,-0.04421196,-3.2101096e-05,1.4555338e-05,1.4185998e-05,2.0,40,0.020086542,6.1606806e-06,0,8.648262180370044e-09,2.0
116,116,2939708.2,583.3171,3655.4631,3701.7117,-80.93352,86.41948727800627,-0.044217307,-1.14677105e-05,1.4810629e-05,1.4442858e-05,2.0,40,0.021888979,5.913205e-06,0,9.613323594620304e-09,2.0
117,117,2543924.5,628.6288,4181.7163,4228.7026,-81.45086,86.9714989575732,-0.04424434,-1.370344e-07,1.4961024e-05,1.4630399e-05,2.0,40,0.02055549,4.860945e-06,0,5.517068498001166e-09,2.0
118,118,2201436.2,925.8139,4857.1577,4944.6045,-79.208405,87.52350293044583,-0.04425459,-9.14204e-06,1.48844165e-05,1.4362601e-05,2.0,40,0.021054715,4.258119e-06,0,9.37376393755793e-09,2.0
119,119,1905053.1,757.59283,5516.419,5568.1978,-82.18025,88.24249589795363,-0.044213004,-4.0546406e-06,1.5144529e-05,1.486418e-05,2.0,41,0.01928899,3.4641355e-06,0,1.5331572079820018e-08,2.0
120,120,1648567.4,882.3334,6499.683,6559.2983,-82.26934,88.79448421750567,-0.044272028,-1.2170348e-07,1.4853243e-05,1.4584477e-05,2.0,41,0.020024559,3.0528506e-06,0,1.4692196856452769e-08,2.0
121,121,1426616.2,951.1485,7493.1514,7553.2773,-82.76581,89.34648725701845,-0.044226512,-3.5183189e-06,1.48884155e-05,1.4652328e-05,2.0,41,0.020252641,2.6813052e-06,0,1.4935335847477797e-08,2.0
122,122,1234551.2,1236.4103,8461.251,8551.109,-81.686424,89.89849328328273,-0.044261146,2.5821814e-06,1.5236191e-05,1.49176585e-05,2.0,41,0.02072275,2.423399e-06,0,1.3990391221122481e-08,2.0
123,123,1068345.5,2073.7803,9618.445,9839.464,-77.833015,90.45048514948576,-0.04424898,-2.7440234e-07,1.5488293e-05,1.4800297e-05,2.0,41,0.020513287,2.0847972e-06,0,1.320257709604997e-08,2.0
124,124,924510.06,1946.1691,11148.8,11317.39,-80.098045,91.00249352233368,-0.04433614,9.904271e-06,1.5441175e-05,1.4984563e-05,2.0,41,0.020327665,1.7961443e-06,0,1.4159077347693543e-08,2.0
125,125,800039.0,3909.83,12681.755,13270.783,-72.86529,91.5545046418847,-0.04421241,-1.7082799e-06,1.5686628e-05,1.4325019e-05,2.0,41,0.02051799,1.5461025e-06,0,1.3454627255959472e-08,2.0
126,126,692334.1,2986.175,14398.452,14704.852,-78.28322,92.10649608148378,-0.044250656,1.4183195e-06,1.5965723e-05,1.5307312e-05,2.0,41,0.020259438,1.3777384e-06,0,1.4430300154197144e-08,2.0
127,127,599122.25,3675.5737,16368.202,16775.812,-77.34385,92.65848642765195,-0.044241752,2.9728778e-07,1.6229447e-05,1.5450358e-05,2.0,41,0.020554189,1.2252276e-06,0,1.4167442423053048e-08,2.0
128,128,518454.94,4665.919,18759.166,19330.73,-76.0324,93.21049693392706,-0.044242032,2.3397381e-07,1.636423e-05,1.5410833e-05,2.0,41,0.020598672,1.0655921e-06,0,1.4904329694160446e-08,2.0
129,129,448662.03,5491.314,21135.877,21837.578,-75.435974,93.76248706676415,-0.044198323,-4.4587186e-06,1.6783422e-05,1.5722157e-05,2.0,41,0.020170122,9.236428e-07,0,1.4626691116617074e-08,2.0
130,130,388258.97,6967.5386,23970.643,24962.738,-73.79246,94.31450735966791,-0.044217065,-7.511185e-07,1.71009e-05,1.5768626e-05,2.0,41,0.020977044,8.403343e-07,0,1.4015952164810664e-08,2.0
131,131,335983.9,8401.354,24359.29,25767.377,-70.97103,94.86648829255137,-0.04431943,4.7702424e-06,1.9446301e-05,1.7379041e-05,2.0,41,0.019947207,7.741264e-07,0,1.4406125943478207e-08,2.0
132,132,290751.2,11196.784,30717.863,32694.879,-69.973,95.41849637209089,-0.044244863,1.9788351e-06,1.7819997e-05,1.5730053e-05,2.0,41,0.020657135,6.318156e-07,0,1.3942316213632684e-08,2.0
133,133,251605.19,13731.742,33327.32,36045.402,-67.60703,95.9705069049669,-0.04422657,-1.160799e-06,1.8980172e-05,1.6225616e-05,2.0,41,0.020444388,5.671843e-07,0,1.4119443008828824e-08,2.0
134,134,217729.38,16848.885,37367.844,40990.74,-65.72974,96.52249170452706,-0.044209592,-1.3473884e-07,1.9561632e-05,1.6256598e-05,2.0,41,0.020325422,4.95854e-07,0,1.430314902936648e-08,2.0
135,135,188418.58,20859.463,40370.62,45441.22,-62.67464,97.0744967974315,-0.04423344,-1.2371488e-06,2.0923337e-05,1.6514365e-05,2.0,41,0.020664109,4.547437e-07,0,1.5197934237569554e-08,2.0
136,136,163051.14,25158.38,43789.05,50501.734,-60.121086,97.62650223696255,-0.044187143,-3.1384345e-06,2.2291064e-05,1.6759044e-05,2.0,41,0.020378394,4.035187e-07,0,1.5333629448116485e-08,2.0
137,137,141098.2,28591.842,48557.83,56350.297,-59.509552,98.34448856444214,-0.044260252,-5.7725856e-07,2.3229473e-05,1.7249062e-05,2.0,42,0.01910001,3.3895137e-07,0,1.5359374441071555e-08,2.0
138,138,122105.11,35814.92,51526.746,62751.21,-55.197826,98.76048722417909,-0.04428207,-3.3960197e-07,2.52961e-05,1.7055907e-05,2.0,42,0.020599416,3.282712e-07,0,1.5284753270531876e-08,2.0
139,139,105663.59,41163.836,54589.53,68370.16,-52.981476,99.17648548391298,-0.04421239,-8.1025865e-07,2.7592141e-05,1.7590208e-05,2.0,42,0.021928957,3.2073874e-07,0,1.5224866381302505e-08,2.0
140,140,91439.65,47994.566,57416.777,74834.25,-50.10782,99.7285067634948,-0.044246186,-6.821178e-07,3.0314248e-05,1.7845288e-05,2.0,42,0.020333968,2.7172007e-07,0,1.5127507465212335e-08,2.0
141,141,79127.08,56230.152,59693.223,82006.77,-46.711136,100.14449627659633,-0.04422925,-7.715183e-07,3.369535e-05,1.7853385e-05,2.0,42,0.02135595,2.604169e-07,0,1.5059325814296957e-08,2.0
142,142,68475.36,64441.312,60252.38,88221.49,-43.07594,100.69649275610573,-0.044250265,-4.1521986e-07,3.8575505e-05,1.7993316e-05,2.0,42,0.020201977,2.2899155e-07,0,1.4926317243807713e-08,2.0
143,143,59252.523,72751.73,59857.324,94211.0,-39.446236,101.11249104255694,-0.04428252,-1.166592e-07,4.4874123e-05,1.811454e-05,2.0,42,0.020865768,2.2147911e-07,0,1.4867819458236713e-08,2.0
144,144,51282.285,80807.555,59881.402,100576.555,-36.53982,101.52849852896179,-0.044234615,-6.018434e-07,5.1827563e-05,1.837178e-05,2.0,42,0.02137722,2.1254675e-07,0,1.4826463583558929e-08,2.0
145,145,44369.8,88719.64,56392.094,105124.89,-32.44091,101.94449337539845,-0.044218685,-9.614943e-07,6.360839e-05,1.8303735e-05,2.0,42,0.021757761,2.069706e-07,0,1.4732672360622208e-08,2.0
