True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,279.96143,1711.1362,1733.8875,-80.708084,82.64849440558464,-0.024678413,3.9511135e-05,1.3287288e-05,1.2940878e-05,2.0,40,0.009970105,5.7501456e-06,0,4.946629526367769e-09,2.0
111,111,6057573.0,378.88852,1861.8148,1899.9766,-78.4971,83.20049776512315,-0.02461963,-2.6593923e-05,1.4111884e-05,1.35506925e-05,2.0,40,0.014113112,7.4280456e-06,0,1.987029660167592e-09,2.0
112,112,5242039.0,396.0892,2175.932,2211.6885,-79.6833,83.6164917582355,-0.024578473,-1.8928482e-05,1.3953224e-05,1.3505705e-05,2.0,40,0.019611554,8.867231e-06,0,2.5391455979689603e-09,2.0
113,113,4536288.0,357.3071,2502.0725,2527.4563,-81.872856,84.98449827652075,-0.024635354,-1.1672381e-05,1.4022312e-05,1.3742068e-05,2.0,40,0.01879408,7.4359664e-06,0,-2.2155804780370243e-09,2.0
114,114,3925558.5,504.91916,2832.995,2877.6387,-79.894394,85.40049277627259,-0.024666023,-2.4454286e-05,1.4311094e-05,1.3870495e-05,2.0,40,0.0180472,6.271531e-06,0,-2.675672241493072e-09,2.0
115,115,3397055.0,592.807,3188.5803,3243.2183,-79.46806,85.81648620936903,-0.024680648,-1.4537617e-05,1.4693328e-05,1.4202427e-05,2.0,40,0.018989556,5.855158e-06,0,-5.556497341298952e-09,2.0
116,116,2939708.2,703.9988,3673.3035,3740.1567,-79.150665,86.23250516245025,-0.024749475,3.0859537e-05,1.4738697e-05,1.4216514e-05,2.0,40,0.020814888,5.565245e-06,0,-6.451514092633559e-09,2.0
117,117,2543924.5,757.5803,4181.178,4249.2563,-79.730095,86.78448782869964,-0.024674164,-4.844199e-06,1.49629495e-05,1.4487343e-05,2.0,40,0.020469245,4.817136e-06,0,-1.0186771649750446e-08,2.0
118,118,2201436.2,779.9974,5088.636,5148.069,-81.28541,87.33649436154519,-0.024705745,9.426134e-06,1.4207334e-05,1.3881191e-05,2.0,40,0.020804865,4.041295e-06,0,-1.1979459343794987e-08,2.0
119,119,1905053.1,849.07385,5513.844,5578.8354,-81.24582,88.05548802236444,-0.024727786,9.508979e-07,1.51516015e-05,1.48006375e-05,2.0,41,0.019470334,3.4900356e-06,0,-1.584186918129661e-08,2.0
120,120,1648567.4,1105.8759,6391.417,6486.384,-80.18358,88.60750687526888,-0.024749773,4.7776894e-06,1.5104845e-05,1.4665785e-05,2.0,41,0.019887362,3.0660167e-06,0,-1.6125954531882494e-08,2.0
121,121,1426616.2,1401.7781,7216.536,7351.42,-79.007454,89.1594962348172,-0.024710292,3.5654118e-06,1.54591e-05,1.4897017e-05,2.0,41,0.020248927,2.754424e-06,0,-1.550469894514607e-08,2.0
122,122,1234551.2,1700.4696,8399.957,8570.349,-78.555824,89.71149356770911,-0.024700416,1.1185082e-06,1.5347368e-05,1.4743177e-05,2.0,41,0.020778362,2.4244478e-06,0,-1.5551150316213324e-08,2.0
