True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,179.0504,1639.5796,1649.3273,-83.76771,82.56148592141108,-0.019212943,-1.5486392e-05,1.3867189e-05,1.3703761e-05,2.0,40,0.0100218635,6.076334e-06,0,-3.1322680323599924e-08,2.0
111,111,6057573.0,239.6256,1821.9036,1837.5944,-82.50719,83.11348250767333,-0.019180896,-3.5859408e-05,1.4421024e-05,1.41758e-05,2.0,40,0.014222589,7.739787e-06,0,-3.810052642715848e-08,2.0
112,112,5242039.0,269.40277,2134.7834,2151.715,-82.80748,83.52948847410153,-0.019136628,-2.7003223e-05,1.4222176e-05,1.3999231e-05,2.0,40,0.019679498,9.145959e-06,0,-3.978067061183843e-08,2.0
113,113,4536288.0,173.39682,2483.1726,2489.2192,-86.00559,84.76149194591562,-0.019198317,-2.4435669e-05,1.4129038e-05,1.4060479e-05,2.0,40,0.021421194,8.605588e-06,0,-5.005490828554156e-08,2.0
114,114,3925558.5,238.60912,2836.8228,2846.8398,-85.192085,85.17748257899075,-0.019193808,-2.6649715e-05,1.4291785e-05,1.4191385e-05,2.0,40,0.01988287,6.9841903e-06,0,-5.116430262597661e-08,2.0
115,115,3397055.0,275.1712,3239.4006,3251.067,-85.14466,85.59349435879267,-0.019203292,-3.7701313e-05,1.44628175e-05,1.4359205e-05,2.0,40,0.021043144,6.4726887e-06,0,-5.106813071020196e-08,2.0
116,116,2939708.2,319.04684,3693.7173,3707.4707,-85.0633,86.14549073166563,-0.019238431,-2.441707e-05,1.4657241e-05,1.45486965e-05,2.0,40,0.020916509,5.6417193e-06,0,-5.7279543633012786e-08,2.0
117,117,2543924.5,282.07126,4269.684,4278.991,-86.22032,86.69750531789032,-0.019246796,-9.830445e-06,1.4652785e-05,1.4589113e-05,2.0,40,0.020537723,4.7996646e-06,0,-6.08355692763707e-08,2.0
118,118,2201436.2,469.05823,4802.931,4825.7812,-84.422134,87.24948270412278,-0.019227885,-2.8919572e-05,1.5052466e-05,1.4910256e-05,2.0,40,0.020804964,4.311212e-06,0,-6.846878080682985e-08,2.0
119,119,1905053.1,128.20097,5736.599,5738.0312,-88.71977,87.96848852492985,-0.019211918,-6.4791993e-06,1.4563258e-05,1.4555989e-05,2.0,41,0.019541869,3.4056748e-06,0,-7.323628208039305e-08,2.0
120,120,1648567.4,263.04037,6517.545,6522.8506,-87.688866,88.52050113779842,-0.019222148,-3.6468095e-06,1.4812536e-05,1.4788448e-05,2.0,41,0.01986176,3.044951e-06,0,-7.403859362457746e-08,2.0
121,121,1426616.2,192.11623,7628.772,7631.1904,-88.55742,89.07250172403292,-0.019226339,-2.4289438e-06,1.4623736e-05,1.46144685e-05,2.0,41,0.020261649,2.65511e-06,0,-7.565974190065777e-08,2.0
122,122,1234551.2,186.17178,8880.466,8882.417,-88.79902,89.62449985693092,-0.019213036,-2.5183278e-06,1.4516945e-05,1.4510569e-05,2.0,41,0.020819858,2.3439407e-06,0,-7.507786089886971e-08,2.0
123,123,1068345.5,71.36819,9887.413,9887.671,-89.58644,90.17649588311906,-0.019274091,-6.244913e-07,1.5066963e-05,1.5066178e-05,2.0,41,0.020704938,2.0940156e-06,0,-7.593395718799793e-08,2.0
124,124,924510.06,377.03894,11696.161,11702.236,-88.15365,90.72849750934984,-0.01920888,-3.030427e-06,1.4718555e-05,1.4703276e-05,2.0,41,0.020258622,1.7311753e-06,0,-7.665681273532757e-08,2.0
125,125,800039.0,-375.91162,13054.313,13059.725,-91.64943,91.2804872955603,-0.019243238,-1.4196427e-06,1.5238946e-05,1.522632e-05,2.0,41,0.020769147,1.5903205e-06,0,-7.710151636824531e-08,2.0
126,126,692334.1,347.6332,15598.638,15602.511,-88.72331,91.83249092180631,-0.019220619,-1.3954345e-06,1.4737294e-05,1.4729978e-05,2.0,41,0.020312594,1.3018798e-06,0,-7.728636377239084e-08,2.0
127,127,599122.25,442.96942,18083.744,18089.168,-88.596794,92.38449380130623,-0.01918628,-3.9447577e-06,1.46898155e-05,1.4681008e-05,2.0,41,0.020707626,1.1447528e-06,0,-7.734429625273679e-08,2.0
128,128,518454.94,336.44775,20815.713,20818.432,-89.074,92.93649473422556,-0.01924033,-6.3380236e-07,1.474748e-05,1.47436285e-05,2.0,41,0.020441093,9.818748e-07,0,-7.727278358484134e-08,2.0
