True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,212.19533,1634.8613,1648.5747,-82.60469,2.4654771304049063,0.0020468717,1.5933554e-06,1.3907212e-05,1.3676804e-05,1.0,40,0.010031336,6.084854e-06,0,1.3223751728648697e-09,1.0
1,1,6057573.0,303.3037,1874.0629,1898.448,-80.8068,3.0174875566444825,0.002038562,-1.2435216e-05,1.4019655e-05,1.366181e-05,1.0,40,0.014178678,7.468563e-06,0,1.6954773103002986e-09,1.0
2,2,5242039.0,259.15915,2098.3457,2114.289,-82.95926,3.4334773630544078,0.002097252,-7.0396377e-06,1.4469145e-05,1.425175e-05,1.0,40,0.0196251,9.282127e-06,0,1.8001373945127044e-09,1.0
3,3,4536288.0,177.22356,2446.3684,2452.7793,-85.85653,4.8014926813484635,0.002034109,-1.1132826e-05,1.4341602e-05,1.42667295e-05,1.0,40,0.018806135,7.667276e-06,0,1.0970795911008382e-08,1.0
4,4,3925558.5,233.65292,2800.9243,2810.653,-85.23143,5.217495261138538,0.0020521632,-2.8640501e-05,1.4474958e-05,1.4374924e-05,1.0,40,0.018286848,6.506263e-06,0,9.560736789644073e-09,1.0
5,5,3397055.0,295.80618,3177.0042,3190.7454,-84.68061,5.634487974253716,0.0020275693,-2.4175204e-05,1.4746866e-05,1.4620124e-05,1.0,40,0.01943535,6.091163e-06,0,7.334835153617152e-09,1.0
6,6,2939708.2,309.47507,3640.2107,3653.342,-85.14064,6.050501754012657,0.0019868964,-1.4853895e-05,1.4872684e-05,1.4765962e-05,1.0,40,0.021367451,5.848741e-06,0,3.3537569499526084e-09,1.0
7,7,2543924.5,303.7675,4149.627,4160.7305,-85.81321,6.602498046908295,0.0019632154,5.6492363e-06,1.507672e-05,1.4996358e-05,1.0,40,0.020484794,4.923365e-06,0,-3.6036664606626802e-09,1.0
8,8,2201436.2,425.34875,4835.2124,4853.8853,-84.97269,7.154503299767384,0.0020023794,-1.5281817e-05,1.4951971e-05,1.4837153e-05,1.0,40,0.021029832,4.332577e-06,0,-1.5761689530917365e-09,1.0
9,9,1905053.1,299.0403,5623.5986,5631.544,-86.95611,7.87349306725082,0.0020513437,-8.657948e-06,1.4855892e-05,1.4814002e-05,1.0,41,0.019784093,3.5130852e-06,0,2.5743045844390307e-10,1.0
10,10,1648567.4,281.75766,6531.2153,6537.29,-87.529785,8.425479946803534,0.0019390688,3.82053e-06,1.4781533e-05,1.4754073e-05,1.0,41,0.019787839,3.0269177e-06,0,5.690165096337512e-10,1.0
11,11,1426616.2,138.21115,7507.8916,7509.1636,-88.94537,8.978484239749378,0.0019523159,3.844739e-06,1.4859184e-05,1.4854151e-05,1.0,41,0.020302076,2.7036401e-06,0,3.3430536745903005e-10,1.0
12,12,1234551.2,184.45418,8806.751,8808.683,-88.80013,9.530479999288218,0.002005342,-1.672899e-06,1.4638457e-05,1.4632037e-05,1.0,41,0.020741638,2.354681e-06,0,1.0427305863676869e-10,1.0
13,13,1068345.5,112.66993,9575.616,9576.279,-89.32587,10.082492238871055,0.0020089378,-8.5353963e-07,1.5557567e-05,1.5555413e-05,1.0,41,0.020627461,2.1540163e-06,0,-7.705911769654171e-10,1.0
14,14,924510.06,290.9785,11445.751,11449.449,-88.54372,10.634502238390269,0.0019863187,6.2316917e-07,1.5040566e-05,1.50308515e-05,1.0,41,0.020247802,1.7684521e-06,0,-6.339582847406039e-10,1.0
15,15,800039.0,2395.8877,12637.608,12862.715,-79.265045,11.186501064657932,0.001976146,1.7032327e-06,1.5741425e-05,1.5195275e-05,1.0,41,0.021024607,1.6345389e-06,0,8.936182549095722e-11,1.0
16,16,692334.1,278.01328,15703.814,15706.275,-88.98576,11.738479890831513,0.0020292092,-3.7734371e-06,1.4638589e-05,1.46340035e-05,1.0,41,0.020448675,1.301943e-06,0,4.027417576379675e-10,1.0
17,17,599122.25,343.11356,17851.3,17854.598,-88.89887,12.290500343748135,0.0020186077,-2.486671e-06,1.4881092e-05,1.4875598e-05,1.0,41,0.02075426,1.1624041e-06,0,6.558843953712313e-10,1.0
18,18,518454.94,489.99173,20535.252,20541.098,-88.633125,12.842480876628542,0.0019838966,3.9784476e-07,1.4948894e-05,1.4940387e-05,1.0,41,0.020399,9.930823e-07,0,1.2630989081669794e-09,1.0
19,19,448662.03,560.98444,23553.016,23559.695,-88.63559,13.394490102858981,0.002011509,-3.1049146e-06,1.5061017e-05,1.50524775e-05,1.0,41,0.0201359,8.5467576e-07,0,4.620472251164958e-10,1.0
20,20,388258.97,332.374,27793.887,27795.873,-89.31486,13.946492769086035,0.0019614268,1.5430858e-06,1.4748551e-05,1.4746443e-05,1.0,41,0.021075888,7.58238e-07,0,7.414220187958639e-10,1.0
21,21,335983.9,1955.527,31264.502,31325.6,-86.42094,14.498482581955614,0.0020321342,-3.343274e-06,1.5151307e-05,1.5092263e-05,1.0,41,0.020148046,6.431815e-07,0,4.254788111111512e-10,1.0
22,22,290751.2,1197.0696,36763.15,36782.633,-88.13501,15.050493621471105,0.002001187,-9.857538e-07,1.48897e-05,1.4873929e-05,1.0,41,0.020631008,5.6088993e-07,0,-3.143507362324272e-11,1.0
23,23,251605.19,1867.2234,42185.78,42227.086,-87.46564,15.602485781040741,0.0019957838,-1.0527936e-06,1.4994585e-05,1.4965265e-05,1.0,41,0.020304866,4.8084934e-07,0,-5.493184752399177e-10,1.0
24,24,217729.38,2552.0142,48726.875,48793.66,-87.00194,16.154493780602934,0.0019761273,7.516589e-07,1.5001495e-05,1.49604575e-05,1.0,41,0.020373423,4.1754242e-07,0,-6.191118834743115e-10,1.0
25,25,188418.58,1116.9677,55333.39,55344.664,-88.843575,16.873504374729237,0.001984083,-6.3257505e-07,1.5265432e-05,1.5259215e-05,1.0,42,0.019709684,3.5612618e-07,0,-2.472019278935515e-10,1.0
26,26,163051.14,1357.819,63953.523,63967.938,-88.783714,17.28949983450002,0.0019447142,-3.3718067e-07,1.5262716e-05,1.5255839e-05,1.0,42,0.021644518,3.383651e-07,0,-3.1108860476702913e-10,1.0
27,27,141098.2,1924.5795,73104.62,73129.945,-88.49196,17.841484180738917,0.0019583711,-1.5186089e-07,1.542957e-05,1.5418884e-05,1.0,42,0.020359436,2.7840082e-07,0,-3.6957407051829703e-10,1.0
