True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,174.93442,1648.0732,1657.3314,-83.94104,2.468477957212599,-0.015203673,9.03551e-06,1.3795723e-05,1.3642022e-05,1.0,40,0.010023358,6.04789e-06,0,2.9358039242121474e-09,1.0
1,1,6057573.0,349.5656,1878.7942,1911.0374,-79.46015,3.0204835034382995,-0.015173155,-1.5877215e-05,1.398435e-05,1.3516441e-05,1.0,40,0.014141555,7.3999363e-06,0,1.1965778495298057e-09,1.0
2,2,5242039.0,217.60307,2130.2048,2141.2903,-84.1674,3.4364867232216056,-0.015164565,-6.295425e-06,1.4252745e-05,1.4105554e-05,1.0,40,0.019651212,9.177276e-06,0,2.160641387591669e-09,1.0
3,3,4536288.0,170.25943,2474.363,2480.2139,-86.06371,4.804494174866704,-0.015182582,-1.41282835e-05,1.41793425e-05,1.4112523e-05,1.0,40,0.020226218,8.15503e-06,0,-8.915410594479707e-09,1.0
4,4,3925558.5,215.33119,2849.164,2857.2896,-85.67798,5.221495287987636,-0.01519527,-1.1932855e-05,1.42298795e-05,1.4149061e-05,1.0,40,0.0189205,6.621835e-06,0,-1.1059670412167734e-08,1.0
5,5,3397055.0,274.56784,3226.237,3237.8994,-85.13558,5.637480027711717,-0.015206394,-2.434265e-05,1.4521827e-05,1.44174055e-05,1.0,40,0.019822484,6.12202e-06,0,-1.0947790544681388e-08,1.0
6,6,2939708.2,288.14224,3710.9905,3722.1602,-85.56014,6.053498874156503,-0.015245986,-2.1650228e-06,1.4589018e-05,1.450159e-05,1.0,40,0.021652555,5.8172013e-06,0,-1.334262027055249e-08,1.0
7,7,2543924.5,324.97958,4249.474,4261.8823,-85.6268,6.605478660407243,-0.015271734,-5.1604866e-06,1.4722472e-05,1.4636869e-05,1.0,40,0.02072043,4.861802e-06,0,-1.624477923712675e-08,1.0
8,8,2201436.2,524.6287,4750.5166,4779.398,-83.69801,7.157497833279194,-0.015247439,-1.1635164e-05,1.5218547e-05,1.5035174e-05,1.0,40,0.020839224,4.3602195e-06,0,-2.204066696760915e-08,1.0
9,9,1905053.1,287.16595,5633.9136,5641.2275,-87.08211,7.876486854074756,-0.015252041,-2.6170378e-06,1.4828693e-05,1.4790266e-05,1.0,41,0.019410059,3.440751e-06,0,-2.195089211410719e-08,1.0
10,10,1648567.4,217.63126,6575.9336,6579.5337,-88.104485,8.42848570694332,-0.015261543,4.5371036e-07,1.4681013e-05,1.4664952e-05,1.0,41,0.019962251,3.0339918e-06,0,-2.2657071737912007e-08,1.0
11,11,1426616.2,220.05959,7645.0913,7648.258,-88.35123,8.98049922651262,-0.0152831,1.4183194e-06,1.45925205e-05,1.458044e-05,1.0,41,0.020236332,2.6458747e-06,0,-2.3027418112784895e-08,1.0
12,12,1234551.2,214.23782,8801.96,8804.566,-88.605705,9.532495706080226,-0.015267431,1.274931e-06,1.4646424e-05,1.4637753e-05,1.0,41,0.02085857,2.3690625e-06,0,-2.4133357065166036e-08,1.0
13,13,1068345.5,398.2733,10211.771,10219.535,-87.76652,10.084502745623467,-0.015245091,1.446252e-06,1.458839e-05,1.45662325e-05,1.0,41,0.02065698,2.0213229e-06,0,-2.46259034047023e-08,1.0
14,14,924510.06,197.71436,11773.87,11775.53,-89.03794,10.63649613186135,-0.0152441785,-5.518665e-07,1.462141e-05,1.4617287e-05,1.0,41,0.020278998,1.7221304e-06,0,-2.5192246422998702e-08,1.0
15,15,800039.0,-845.3053,12003.621,12033.348,-94.02817,11.188485464750556,-0.015293646,7.4979766e-07,1.657283e-05,1.649105e-05,1.0,41,0.020538026,1.7067592e-06,0,-2.4364297358832943e-08,1.0
16,16,692334.1,350.08636,15771.934,15775.818,-88.728424,11.74048847760423,-0.015271772,1.844758e-06,1.4575366e-05,1.4568189e-05,1.0,41,0.02031432,1.2876873e-06,0,-2.5045316591505046e-08,1.0
17,17,599122.25,454.25266,18004.299,18010.03,-88.55472,12.292500557174208,-0.015257258,-5.466477e-08,1.4754635e-05,1.4745247e-05,1.0,41,0.020855613,1.1579999e-06,0,-2.5261942342723387e-08,1.0
18,18,518454.94,529.5453,20830.943,20837.674,-88.54379,12.844483223365387,-0.015245464,1.0738166e-06,1.4736698e-05,1.4727179e-05,1.0,41,0.020322904,9.752962e-07,0,-2.3800501341384796e-08,1.0
19,19,448662.03,563.67865,23730.305,23736.998,-88.63928,13.396488529600902,-0.015247607,8.8015014e-07,1.4948495e-05,1.4940067e-05,1.0,41,0.02028916,8.5474835e-07,0,-2.404418082989284e-08,1.0
20,20,388258.97,1321.8856,27522.207,27553.934,-87.250206,13.948496982484357,-0.01528202,3.0179312e-06,1.4894138e-05,1.4859859e-05,1.0,41,0.02079954,7.5486645e-07,0,-2.4633209576797475e-08,1.0
21,21,335983.9,1117.0886,31031.771,31051.871,-87.93835,14.50049900871818,-0.01526145,1.9229694e-06,1.5264939e-05,1.5245183e-05,1.0,41,0.020205844,6.507126e-07,0,-2.4280512299385116e-08,1.0
22,22,290751.2,1776.4711,37286.656,37328.95,-87.272285,15.05250058157253,-0.015279411,1.8373096e-06,1.4680647e-05,1.4647399e-05,1.0,41,0.02064772,5.5312887e-07,0,-2.34676934315227e-08,1.0
23,23,251605.19,2113.5059,43001.55,43053.457,-87.1862,15.604480607813457,-0.015249917,1.7181297e-06,1.4710127e-05,1.4674679e-05,1.0,41,0.020317972,4.7192427e-07,0,-2.2772463104579465e-08,1.0
24,24,217729.38,2787.9817,49271.637,49350.45,-86.76144,16.156498794007348,-0.015275107,1.4090084e-06,1.4835635e-05,1.4788287e-05,1.0,41,0.020373363,4.1283036e-07,0,-2.221150748951888e-08,1.0
25,25,188418.58,2080.9595,55719.445,55758.29,-87.86116,16.875492854829645,-0.015270393,-3.4612086e-07,1.5159666e-05,1.5138551e-05,1.0,42,0.019727645,3.538065e-07,0,-2.1174659043862694e-08,1.0
26,26,163051.14,2991.5984,63999.332,64069.215,-87.3237,17.2914953813015,-0.015242595,-5.586334e-07,1.5251791e-05,1.52185385e-05,1.0,42,0.021645581,3.3784684e-07,0,-2.126580385993688e-08,1.0
27,27,141098.2,3011.2747,72985.68,73047.77,-87.637405,17.843485487479484,-0.015248501,-7.709597e-07,1.5454714e-05,1.5428452e-05,1.0,42,0.020277219,2.7758847e-07,0,-2.130355031735339e-08,1.0
28,28,122105.11,4490.7583,85108.305,85226.7,-86.979576,18.395495673728874,-0.015276765,-2.624941e-07,1.5314909e-05,1.5272386e-05,1.0,42,0.020374164,2.3905847e-07,0,-2.1274323027707708e-08,1.0
29,29,105663.59,4490.5723,95869.92,95975.03,-87.318214,18.81148812014726,-0.015233521,-5.265981e-07,1.571131e-05,1.5676915e-05,1.0,42,0.021755414,2.2667786e-07,0,-2.1355139581566243e-08,1.0
30,30,91439.65,6471.983,111243.89,111432.0,-86.67038,19.36350083971047,-0.0152353095,-5.632897e-07,1.564622e-05,1.559344e-05,1.0,42,0.020356786,1.8268348e-07,0,-2.1395823447626878e-08,1.0
