True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,230.14616,1727.0112,1742.2787,-82.40933,82.82948838747689,0.0060524526,-1.1355991e-05,1.31651495e-05,1.293543e-05,2.0,40,0.010047806,5.767049e-06,0,-2.0592358758023848e-08,2.0
111,111,6057573.0,221.24133,1972.5359,1984.9044,-83.6004,83.38150665370631,0.006050571,-2.1384416e-05,1.33197655e-05,1.3154284e-05,2.0,40,0.014295797,7.2022594e-06,0,-2.027370663169142e-08,2.0
112,112,5242039.0,277.9292,2301.3555,2318.0771,-83.11388,83.79748558011488,0.006068569,-1.7067949e-05,1.3192775e-05,1.3003128e-05,2.0,40,0.019752258,8.520967e-06,0,-2.213525781102282e-08,2.0
113,113,4536288.0,220.4714,2627.98,2637.212,-85.20447,85.16549828511779,0.0060497695,-3.150573e-05,1.3350498e-05,1.325719e-05,2.0,40,0.018046118,6.8428776e-06,0,-2.1563382778257977e-08,2.0
114,114,3925558.5,294.94144,3048.168,3062.404,-84.47325,85.71748660466983,0.0060433974,-3.0891748e-05,1.3300862e-05,1.3177487e-05,2.0,40,0.01949643,6.3663806e-06,0,-2.9790322226805887e-08,2.0
115,115,3397055.0,356.43814,3448.8528,3467.2227,-84.09944,86.13348750441219,0.0060070097,-1.9840145e-05,1.3584477e-05,1.3440912e-05,2.0,40,0.020495813,5.911306e-06,0,-3.263615208200029e-08,2.0
116,116,2939708.2,332.22058,3976.1802,3990.035,-85.22388,86.68549289062503,0.0060023894,-2.3579832e-05,1.3616009e-05,1.3521615e-05,2.0,40,0.02013982,5.04753e-06,0,-3.7695593733945573e-08,2.0
117,117,2543924.5,346.7638,4530.8315,4544.082,-85.62344,87.23748638355755,0.005975783,-2.4677549e-05,1.380823e-05,1.37278175e-05,2.0,40,0.020791763,4.5755696e-06,0,-3.8567294458425955e-08,2.0
118,118,2201436.2,273.2219,5248.3613,5255.4683,-87.01996,87.78950702308794,0.006016456,-3.252902e-05,1.37749585e-05,1.3737727e-05,2.0,40,0.020653753,3.929955e-06,0,-4.540900654862496e-08,2.0
119,119,1905053.1,263.1969,6293.5415,6299.0425,-87.60528,88.50948975063511,0.0059921974,-3.0118201e-06,1.3274493e-05,1.3251318e-05,2.0,41,0.019658744,3.12091e-06,0,-4.310242379071309e-08,2.0
120,120,1648567.4,110.15829,7127.0737,7127.925,-89.11449,89.06148188348743,0.0060014017,-2.1719627e-06,1.3545723e-05,1.3542489e-05,2.0,41,0.01988537,2.789784e-06,0,-4.3928521549949394e-08,2.0
121,121,1426616.2,210.71121,8208.067,8210.771,-88.52947,89.61348462969181,0.005911932,3.6194153e-06,1.3591647e-05,1.3582695e-05,2.0,41,0.02026891,2.4685755e-06,0,-4.366086693939132e-08,2.0
122,122,1234551.2,371.09348,9397.021,9404.346,-87.73853,90.16548588257865,0.0059765284,-1.1701101e-06,1.3718947e-05,1.3697586e-05,2.0,41,0.020891791,2.221504e-06,0,-4.368008754769272e-08,2.0
123,123,1068345.5,495.03842,10829.837,10841.1455,-87.3828,90.71749033548986,0.005980385,-2.1853711e-07,1.3755821e-05,1.3727138e-05,2.0,41,0.02048451,1.8895154e-06,0,-4.43412549559628e-08,2.0
124,124,924510.06,387.00656,12454.98,12460.991,-88.22025,91.26949732171488,0.0059947874,2.9132686e-08,1.38218265e-05,1.3808495e-05,2.0,41,0.020369131,1.6346316e-06,0,-4.4379271659873924e-08,2.0
125,125,800039.0,1360.9064,14433.561,14497.577,-84.61364,91.82150638793246,0.005968051,1.0328478e-06,1.37827365e-05,1.3661286e-05,2.0,41,0.020469973,1.4119582e-06,0,-4.3450575592273485e-08,2.0
126,126,692334.1,732.05475,16633.959,16650.06,-87.48006,92.37349110745708,0.006024207,-2.0174018e-06,1.3820023e-05,1.3793307e-05,2.0,41,0.020341467,1.2217054e-06,0,-4.3626084259821755e-08,2.0
127,127,599122.25,668.7474,19373.098,19384.637,-88.02297,92.92550689369091,0.0059801987,-1.9060428e-07,1.3712153e-05,1.3695832e-05,2.0,41,0.02079318,1.0726629e-06,0,-4.392158636367169e-08,2.0
128,128,518454.94,860.60376,22017.248,22034.06,-87.76158,93.47750678655575,0.0059993896,-1.4848189e-06,1.3942675e-05,1.3921405e-05,2.0,41,0.020314638,9.2196524e-07,0,-4.397573966124963e-08,2.0
129,129,448662.03,1231.3002,25570.531,25600.16,-87.243164,94.03049017282319,0.005999371,-1.8944984e-06,1.3872703e-05,1.38406085e-05,2.0,41,0.0203046,7.9314344e-07,0,-4.395829712634007e-08,2.0
130,130,388258.97,1080.5276,29076.93,29097.0,-87.87181,94.58249393242295,0.0059847822,-1.1663857e-06,1.4097759e-05,1.4078318e-05,2.0,41,0.020780012,7.141634e-07,0,-4.369236671319025e-08,2.0
131,131,335983.9,-3058.6035,35594.94,35726.11,-94.91125,95.13450419859146,0.0059817825,-2.52373e-09,1.33080175e-05,1.3210476e-05,2.0,41,0.020324588,5.6890013e-07,0,-4.31728072004955e-08,2.0
132,132,290751.2,1516.832,39112.164,39141.566,-87.77909,95.68650222485303,0.0059718518,-6.803569e-07,1.3995448e-05,1.3974429e-05,2.0,41,0.020543529,5.24852e-07,0,-4.269539600119524e-08,2.0
133,133,251605.19,2159.211,45411.61,45462.914,-87.27778,96.23848571770941,0.0059842416,-5.797998e-07,1.392944e-05,1.3898019e-05,2.0,41,0.02041746,4.491014e-07,0,-4.267737618769808e-08,2.0
134,134,217729.38,3056.928,51638.133,51728.54,-86.6121,96.79049257058068,0.005994154,-2.3414218e-06,1.415574e-05,1.4106303e-05,2.0,41,0.020334959,3.931091e-07,0,-4.276889332134775e-08,2.0
135,135,188418.58,2537.2505,57891.74,57947.312,-87.49048,97.50950188477873,0.005972243,-2.0531505e-07,1.4590823e-05,1.456285e-05,2.0,42,0.01974634,3.407637e-07,0,-4.367365582579355e-08,2.0
136,136,163051.14,2127.9023,67454.63,67488.19,-88.19316,97.92549459784641,0.005988434,-4.6811533e-07,1.4470534e-05,1.4456147e-05,2.0,42,0.021704474,3.2160406e-07,0,-4.371626223487171e-08,2.0
137,137,141098.2,3503.6082,77086.97,77166.55,-87.39769,98.47750097073731,0.005968442,-1.6173219e-07,1.4632471e-05,1.4602307e-05,2.0,42,0.02038292,2.6414193e-07,0,-4.372760339391209e-08,2.0
138,138,122105.11,2116.3467,86152.125,86178.12,-88.5928,98.89348643049016,0.0059562945,-1.807297e-07,1.5129352e-05,1.5120227e-05,2.0,42,0.021997886,2.552607e-07,0,-4.3741061324841063e-08,2.0
139,139,105663.59,4699.4,102902.305,103009.555,-87.3852,99.44549032338546,0.00599285,-4.3365884e-07,1.4637593e-05,1.4607128e-05,2.0,42,0.020548658,1.9948304e-07,0,-4.3688277695270305e-08,2.0
140,140,91439.65,4989.2773,118834.54,118939.234,-87.59584,99.86149319648393,0.0059797144,-3.0458676e-07,1.46468055e-05,1.4621031e-05,2.0,42,0.021743083,1.8280834e-07,0,-4.3658061558514066e-08,2.0
141,141,79127.08,6385.43,135099.2,135250.02,-87.293945,100.41348335603834,0.0059839995,-7.9036695e-08,1.4888201e-05,1.4855017e-05,2.0,42,0.020311035,1.50174e-07,0,-4.366163658004593e-08,2.0
142,142,68475.36,6556.0654,156138.06,156275.64,-87.59563,100.8294894824212,0.005998402,-3.6083463e-07,1.4885966e-05,1.4859767e-05,2.0,42,0.021138845,1.352664e-07,0,-4.373536386154184e-08,2.0
143,143,59252.523,7825.584,181000.19,181169.28,-87.524345,101.24550115552847,0.005996371,-3.3028945e-07,1.4840012e-05,1.4812323e-05,2.0,42,0.021860085,1.206611e-07,0,-4.371669861159481e-08,2.0
144,144,51282.285,7624.46,209008.05,209147.06,-87.91082,101.79750459510251,0.0060065067,-4.0162362e-07,1.4848745e-05,1.4829013e-05,2.0,42,0.020242928,9.678801e-08,0,-4.367857448418544e-08,2.0
145,145,44369.8,13612.975,243437.27,243817.6,-86.79936,102.2134832815209,0.0059703984,-2.2785127e-07,1.47348455e-05,1.46889115e-05,2.0,42,0.020635037,8.463309e-08,0,-4.372829246557932e-08,2.0
