True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,194.683,1645.5927,1657.0687,-83.252945,82.5575008012529,-0.02216093,7.119153e-06,1.3816519e-05,1.3625808e-05,2.0,40,0.01001774,6.045458e-06,0,-1.1525639081927114e-08,2.0
111,111,6057573.0,291.14105,1889.1362,1911.439,-81.238884,83.1094821607985,-0.022103712,-3.1356903e-05,1.3907793e-05,1.3585133e-05,2.0,40,0.014191445,7.424482e-06,0,-1.3997012948705133e-08,2.0
112,112,5242039.0,247.34416,2175.211,2189.2285,-83.51273,83.52548546055914,-0.02209054,-2.4547311e-05,1.395785e-05,1.3779678e-05,2.0,40,0.019654438,8.977791e-06,0,-1.6803325514983412e-08,2.0
113,113,4536288.0,179.63869,2505.752,2512.1829,-85.89945,84.75749218571582,-0.022137733,-1.0332781e-05,1.4001722e-05,1.3930127e-05,2.0,40,0.02175244,8.658781e-06,0,-1.9702391819679182e-08,2.0
114,114,3925558.5,251.02184,2871.7576,2882.7078,-85.00444,85.17348540548119,-0.022128511,-2.5068259e-05,1.4117925e-05,1.4010873e-05,2.0,40,0.019980198,6.931052e-06,0,-2.3990869983991618e-08,2.0
115,115,3397055.0,302.4585,3248.648,3262.6975,-84.68093,85.58948366527329,-0.022139989,-2.4770574e-05,1.4421648e-05,1.4297713e-05,2.0,40,0.02111523,6.4717096e-06,0,-2.4613806516337317e-08,2.0
116,116,2939708.2,307.66748,3752.4417,3765.0334,-85.31273,86.14148862482398,-0.022146156,-2.4603121e-05,1.4427861e-05,1.4331517e-05,2.0,40,0.020924427,5.5575674e-06,0,-3.04387261247837e-08,2.0
117,117,2543924.5,301.51453,4302.753,4313.304,-85.99156,86.69349483770202,-0.022166539,-1.2174729e-05,1.4540171e-05,1.4469121e-05,2.0,40,0.020470971,4.746007e-06,0,-3.2950581434356944e-08,2.0
118,118,2201436.2,267.081,4968.2476,4975.4214,-86.92288,87.41249193853582,-0.022187984,-3.9261504e-06,1.45516005e-05,1.4509669e-05,2.0,41,0.01993449,4.0065934e-06,0,-3.574459491622712e-08,2.0
119,119,1905053.1,171.61658,5825.653,5828.18,-88.31262,87.96449225806282,-0.022158993,-3.851649e-06,1.4340636e-05,1.4328202e-05,2.0,41,0.020532198,3.5229175e-06,0,-3.5444592422944806e-08,2.0
120,120,1648567.4,307.0133,6635.5923,6642.691,-87.350945,88.5164815109747,-0.022185637,3.7922206e-07,1.454902e-05,1.4517942e-05,2.0,41,0.019835789,2.9861073e-06,0,-3.5182981461973346e-08,2.0
121,121,1426616.2,302.79504,7665.8647,7671.8423,-87.738045,89.06850116382702,-0.022207864,-6.114567e-07,1.4552976e-05,1.4530307e-05,2.0,41,0.020314319,2.6479063e-06,0,-3.639221035675473e-08,2.0
122,122,1234551.2,137.59218,8955.2,8956.257,-89.11975,89.62049911005306,-0.022195753,-3.8799453e-07,1.4395797e-05,1.43924e-05,2.0,41,0.02080361,2.322802e-06,0,-3.7362548907290676e-08,2.0
123,123,1068345.5,412.6508,10584.171,10592.212,-87.76731,90.17249726961018,-0.022185395,7.628315e-07,1.4075103e-05,1.4053741e-05,2.0,41,0.020626854,1.9473605e-06,0,-3.773377536155426e-08,2.0
124,124,924510.06,349.12717,11959.202,11964.297,-88.32783,90.72449921580846,-0.022157203,-2.8106901e-06,1.4394821e-05,1.4382565e-05,2.0,41,0.020400688,1.7051306e-06,0,-3.85173375719001e-08,2.0
125,125,800039.0,-223.85973,13356.457,13358.333,-90.96021,91.27648510868312,-0.022185432,1.0402972e-06,1.4894218e-05,1.4890034e-05,2.0,41,0.020764958,1.5544573e-06,0,-3.8003749088540715e-08,2.0
126,126,692334.1,410.7705,16134.499,16139.728,-88.54161,91.82848649492371,-0.022185879,8.801492e-07,1.4247837e-05,1.4238607e-05,2.0,41,0.020398553,1.2638723e-06,0,-3.799144812257597e-08,2.0
127,127,599122.25,530.4905,18237.24,18244.955,-88.33383,92.3804955878004,-0.022177493,-9.969276e-07,1.4566177e-05,1.4553861e-05,2.0,41,0.0207333,1.1363854e-06,0,-3.7589049834598417e-08,2.0
128,128,518454.94,582.7285,21145.727,21153.754,-88.421455,92.93248374733957,-0.022201939,3.7363645e-07,1.4517323e-05,1.4506306e-05,2.0,41,0.020433964,9.659734e-07,0,-3.728797857697271e-08,2.0
129,129,448662.03,1019.9174,24387.34,24408.658,-87.605194,93.48448772027041,-0.022206131,1.1706483e-06,1.4545759e-05,1.4520361e-05,2.0,41,0.020294063,8.3142885e-07,0,-3.8478811554601856e-08,2.0
130,130,388258.97,1023.4619,28437.975,28456.385,-87.93886,94.03649054645211,-0.02215426,-2.0341613e-06,1.4414513e-05,1.4395868e-05,2.0,41,0.020924242,7.3530924e-07,0,-3.946518752477503e-08,2.0
131,131,335983.9,1969.3115,32797.02,32856.09,-86.563774,94.58850027932203,-0.022189567,6.306172e-07,1.4443327e-05,1.439144e-05,2.0,41,0.0204069,6.210995e-07,0,-3.982038742046079e-08,2.0
132,132,290751.2,1401.2253,37627.473,37653.555,-87.867325,95.14148859892157,-0.022173004,-1.0025143e-06,1.4547675e-05,1.4527528e-05,2.0,41,0.020515649,5.448529e-07,0,-3.964545644750513e-08,2.0
