True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,162.8955,1433.294,1442.5209,-83.51609,2.4674986505124252,0.0053660036,2.4180297e-05,1.5863014e-05,1.5660731e-05,1.0,40,0.010000739,6.932821e-06,0,8.156677305245177e-09,1.0
1,1,6057573.0,240.92186,1627.5569,1645.2917,-81.57984,3.0194867034151684,0.0053965594,-4.9055944e-07,1.614304e-05,1.5796899e-05,1.0,40,0.014095958,8.567452e-06,0,8.909513852356573e-09,1.0
2,2,5242039.0,227.72525,1882.9253,1896.6461,-83.10401,3.4354782431328204,0.005383182,-7.4303493e-06,1.612452e-05,1.5892067e-05,1.0,40,0.01959243,1.033004e-05,0,7.913001190420094e-09,1.0
3,3,4536288.0,164.38477,2144.9219,2151.212,-85.61747,4.8034907348046545,0.005363656,9.202867e-06,1.6357164e-05,1.626165e-05,1.0,40,0.018140672,8.4327685e-06,0,1.4199784734122053e-08,1.0
4,4,3925558.5,221.2347,2485.0837,2494.912,-84.91265,5.35548326766002,0.00534985,-1.7929095e-06,1.6314645e-05,1.618636e-05,1.0,40,0.020547582,8.235794e-06,0,1.4628942614314787e-08,1.0
5,5,3397055.0,281.4138,2818.2456,2832.261,-84.297676,5.771490967454156,0.0053273058,-5.34654e-06,1.662412e-05,1.646e-05,1.0,40,0.021355974,7.5402563e-06,0,1.7255610968807864e-08,1.0
6,6,2939708.2,292.7206,3249.0132,3262.1729,-84.85182,6.323478140315274,0.0053157723,9.4819525e-06,1.666343e-05,1.652926e-05,1.0,40,0.020256037,6.2093695e-06,0,1.1256205034758042e-08,1.0
7,7,2543924.5,283.32825,3701.7363,3712.5635,-85.62315,6.87548923320719,0.0053449683,-1.548648e-05,1.6900924e-05,1.6802489e-05,1.0,40,0.020714682,5.5796168e-06,0,9.494551845162076e-09,1.0
8,8,2201436.2,391.23837,4164.3335,4182.6714,-84.63283,7.427497232769383,0.005329318,-4.4348767e-06,1.7360751e-05,1.7208857e-05,1.0,40,0.020731311,4.9564765e-06,0,7.2418039029066175e-09,1.0
9,9,1905053.1,401.5321,4951.373,4967.6274,-85.36374,7.979495979001513,0.0053146733,7.1190657e-06,1.687281e-05,1.6762571e-05,1.0,40,0.020398227,4.1062312e-06,0,3.7107610104511777e-09,1.0
10,10,1648567.4,244.8283,5699.7354,5704.991,-87.54041,8.698490973125445,0.0052916817,-6.021594e-07,1.6937869e-05,1.6906673e-05,1.0,41,0.0189086,3.3143958e-06,0,1.7391894110113043e-09,1.0
11,11,1426616.2,265.84216,6652.645,6657.9546,-87.711655,9.115485979622463,0.0052759377,3.7032144e-06,1.6769443e-05,1.6742706e-05,1.0,41,0.021826627,3.2782782e-06,0,1.4266079264757536e-09,1.0
12,12,1234551.2,358.99673,7772.294,7780.5806,-87.35543,9.667495952482568,0.00533746,-8.109489e-09,1.6586768e-05,1.6551456e-05,1.0,41,0.020997748,2.698738e-06,0,7.317439586560997e-10,1.0
13,13,1068345.5,459.86374,9062.449,9074.109,-87.095085,10.21950197868864,0.005278807,4.0235086e-06,1.6438524e-05,1.6396305e-05,1.0,41,0.02088716,2.3018415e-06,0,6.150948241096582e-10,1.0
14,14,924510.06,363.31418,10318.189,10324.584,-87.98339,10.771501791576156,0.0053882315,-3.7082605e-06,1.6684186e-05,1.6663525e-05,1.0,41,0.02026477,1.9627687e-06,0,4.886892020642284e-10,1.0
15,15,800039.0,1159.6367,11155.219,11215.332,-84.065155,11.323478591133608,0.0052833906,3.23022e-06,1.7833265e-05,1.7642607e-05,1.0,41,0.020675452,1.8434989e-06,0,1.7010646978926995e-09,1.0
16,16,692334.1,480.36362,13705.178,13713.594,-87.992615,11.875481924013002,0.005305469,1.6008134e-06,1.6773347e-05,1.6752765e-05,1.0,41,0.020457778,1.4917882e-06,0,1.7777034166089025e-09,1.0
17,17,599122.25,718.3214,15781.15,15797.49,-87.39383,12.427503656916087,0.005312251,1.3214866e-06,1.6833175e-05,1.679837e-05,1.0,41,0.020463929,1.2953911e-06,0,2.6048837038419807e-09,1.0
18,18,518454.94,972.5114,18163.027,18189.045,-86.93511,12.979504136455944,0.0054001184,-4.436373e-06,1.690133e-05,1.6853013e-05,1.0,41,0.020508762,1.1275338e-06,0,3.263552561924775e-09,1.0
19,19,448662.03,1137.2283,20907.885,20938.791,-86.88662,13.53149728270364,0.0053137974,1.2097559e-06,1.696644e-05,1.691639e-05,1.0,41,0.020182028,9.638584e-07,0,4.4711355219738554e-09,1.0
20,20,388258.97,1543.6294,23883.93,23933.76,-86.30209,14.083494748891098,0.005280782,2.0030443e-06,1.7162987e-05,1.7091594e-05,1.0,41,0.02083039,8.70335e-07,0,4.908383051915482e-09,1.0
21,21,335983.9,4160.559,29606.705,29897.613,-82.00075,14.635504001780646,0.005344186,1.8447582e-06,1.599969e-05,1.5689846e-05,1.0,41,0.020305287,6.791608e-07,0,5.145985356597925e-09,1.0
22,22,290751.2,2080.7896,31978.28,32045.904,-86.27708,15.18748440136551,0.0053345906,-2.3007509e-08,1.7117625e-05,1.7045457e-05,1.0,41,0.020409768,6.368916e-07,0,5.822524111932934e-09,1.0
23,23,251605.19,2543.6152,37025.46,37112.73,-86.07001,15.739484080899274,0.0053292806,6.0827136e-07,1.7084414e-05,1.700416e-05,1.0,41,0.020444341,5.508714e-07,0,5.909420451356734e-09,1.0
24,24,217729.38,3438.8035,42279.703,42419.32,-85.350105,16.291481440450298,0.005277782,3.5672742e-06,1.7289052e-05,1.7175431e-05,1.0,41,0.020301789,4.785977e-07,0,6.420515651661339e-09,1.0
25,25,188418.58,4676.5537,48091.355,48318.203,-84.44585,16.84348647997831,0.00532425,7.16278e-07,1.756424e-05,1.7399705e-05,1.0,41,0.020820662,4.3090722e-07,0,6.431215540727761e-09,1.0
26,26,163051.14,3828.8074,55136.145,55268.926,-86.027596,17.562479687476298,0.0053047054,-4.6643908e-07,1.770353e-05,1.761857e-05,1.0,42,0.0191831,3.470865e-07,0,5.8266904193898915e-09,1.0
27,27,141098.2,4520.8315,62649.37,62812.273,-85.87264,17.978500507218996,0.005313872,-6.2624247e-07,1.8004535e-05,1.7911269e-05,1.0,42,0.020864867,3.321782e-07,0,5.755217944073731e-09,1.0
28,28,122105.11,7366.21,71208.57,71588.555,-84.09401,18.530492933437927,0.0053099035,-4.852505e-07,1.830434e-05,1.8110539e-05,1.0,42,0.020120248,2.8105399e-07,0,5.715952010936418e-09,1.0
29,29,105663.59,7082.604,82986.69,83288.375,-85.12184,18.946495753218187,0.005299153,-2.637977e-07,1.8150406e-05,1.8019155e-05,1.0,42,0.021639213,2.5981072e-07,0,5.669503652965899e-09,1.0
30,30,91439.65,11638.653,83121.09,83931.96,-82.02924,19.498504099407,0.005304258,-4.4148123e-07,2.0939888e-05,2.0537242e-05,1.0,42,0.020384163,2.4286533e-07,0,5.527818082606631e-09,1.0
31,31,79127.08,9916.061,108364.94,108817.68,-84.771645,19.91448086584569,0.005297625,-4.589889e-07,1.8561208e-05,1.8407078e-05,1.0,42,0.02146753,1.9727979e-07,0,5.474967107928682e-09,1.0
32,32,68475.36,12068.435,125229.69,125809.87,-84.495384,20.46648211873253,0.005319014,-6.029611e-07,1.8560024e-05,1.8389237e-05,1.0,42,0.020189472,1.6047606e-07,0,5.3756118693463566e-09,1.0
33,33,59252.523,13342.044,141638.4,142265.42,-84.61874,20.882495311816456,0.0053211385,-7.035367e-07,1.89641e-05,1.8797306e-05,1.0,42,0.020879565,1.4676486e-07,0,5.3400746254348674e-09,1.0
34,34,51282.285,15328.283,162540.36,163261.52,-84.612686,21.298483411577763,0.005275882,-2.6025896e-07,1.9093764e-05,1.8925455e-05,1.0,42,0.021470986,1.3151285e-07,0,5.341821033865774e-09,1.0
35,35,44369.8,19547.594,188803.86,189813.08,-84.089005,21.71449393799412,0.0053095496,-4.4204006e-07,1.8998608e-05,1.8797116e-05,1.0,42,0.021901943,1.15386904e-07,0,5.2594154200369145e-09,1.0
36,36,38403.727,24855.326,213789.14,215229.14,-83.36851,22.26650084424182,0.0052755466,-2.1630379e-07,1.938479e-05,1.9126268e-05,1.0,42,0.02025509,9.4109424e-08,0,5.137567166626451e-09,1.0
37,37,33226.32,30703.164,246952.88,248854.19,-82.912895,22.68248774399399,0.0052391216,-2.260246e-08,1.9396519e-05,1.9101262e-05,1.0,42,0.020502584,8.238794e-08,0,5.0943714342351776e-09,1.0
38,38,28754.086,36679.88,280555.0,282942.62,-82.55138,23.098489097115817,0.005277298,-4.085512e-08,1.9728885e-05,1.9397325e-05,1.0,42,0.020601112,7.281021e-08,0,4.981628146573966e-09,1.0
39,39,24884.947,45419.773,321326.38,324520.56,-81.95449,23.514498263510177,0.0053114872,-4.4986263e-07,1.9903848e-05,1.9513956e-05,1.0,42,0.020640325,6.360252e-08,0,4.937209427434574e-09,1.0
40,40,21553.963,49575.51,368374.28,371695.22,-82.335236,23.9314880699676,0.0053260946,-6.836079e-07,2.004489e-05,1.9688305e-05,1.0,42,0.020602759,5.5429172e-08,0,4.8770081609724116e-09,1.0
