True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,207.54611,1642.8036,1655.862,-82.7996,2.4664767037902493,-0.009020546,2.405006e-05,1.38399755e-05,1.3622546e-05,1.0,40,0.010034819,6.0601783e-06,0,5.023202704349059e-09,1.0
1,1,6057573.0,302.4194,1870.5657,1894.8545,-80.8163,3.0185031033179257,-0.008978867,4.397111e-07,1.4045867e-05,1.3688086e-05,1.0,40,0.014194686,7.4911745e-06,0,-1.5595758792288608e-09,1.0
2,2,5242039.0,238.72733,2144.1663,2157.415,-83.646965,3.434499736438738,-0.008972402,2.0025807e-06,1.415994e-05,1.3986561e-05,1.0,40,0.01968243,9.123154e-06,0,-2.4358989744762817e-09,1.0
3,3,4536288.0,158.3813,2487.3567,2492.394,-86.356636,4.666498141625198,-0.0089965295,1.239766e-06,1.4105271e-05,1.4048313e-05,1.0,40,0.021134013,8.479403e-06,0,-1.19812685016364e-09,1.0
4,4,3925558.5,258.03168,2832.0713,2843.8018,-84.79412,5.082484401384136,-0.009018608,-1.8091238e-05,1.4315763e-05,1.41979035e-05,1.0,40,0.019730717,6.9381476e-06,0,-4.20127764836151e-09,1.0
5,5,3397055.0,294.33093,3208.0688,3221.5425,-84.75796,5.498478927795077,-0.009041954,-4.5837223e-06,1.4604068e-05,1.4482165e-05,1.0,40,0.02086118,6.4755254e-06,0,-4.02916072531904e-09,1.0
6,6,2939708.2,308.45508,3698.4648,3711.3052,-85.23251,6.050486474036006,-0.009091924,-4.5465135e-06,1.4638427e-05,1.453731e-05,1.0,40,0.021073505,5.6781923e-06,0,-7.749148636684646e-09,1.0
7,7,2543924.5,354.64227,4247.2925,4262.0728,-85.22697,6.603485220315633,-0.009085161,-1.6081853e-05,1.4730033e-05,1.4628047e-05,1.0,40,0.020439053,4.7955664e-06,0,-1.3207102641129293e-08,1.0
8,8,2201436.2,334.15714,4911.9556,4923.3086,-86.1082,7.15549036648008,-0.009085161,-3.4487962e-06,1.47183655e-05,1.4650564e-05,1.0,40,0.020829896,4.2308734e-06,0,-1.7636172784225185e-08,1.0
9,9,1905053.1,93.48651,5518.715,5519.507,-89.02951,7.87449333400582,-0.009066398,-1.9987942e-06,1.513823e-05,1.5133885e-05,1.0,41,0.019351704,3.5060568e-06,0,-1.2961889298316641e-08,1.0
10,10,1648567.4,228.50009,6590.8955,6594.8555,-88.014404,8.426499226858141,-0.009081006,4.2391503e-07,1.4647685e-05,1.46301e-05,1.0,41,0.019995973,3.0320562e-06,0,-1.3428157179166394e-08,1.0
11,11,1426616.2,250.43094,7594.337,7598.465,-88.1113,8.978490986424731,-0.009100309,3.1445597e-06,1.4690045e-05,1.4674088e-05,1.0,41,0.020168833,2.65433e-06,0,-1.4559992061293769e-08,1.0
12,12,1234551.2,178.97377,8849.701,8851.511,-88.84142,9.530498612642987,-0.009027701,-2.9447667e-06,1.4567411e-05,1.4561456e-05,1.0,41,0.020860134,2.356675e-06,0,-1.3513787637236873e-08,1.0
13,13,1068345.5,297.55356,10045.265,10049.671,-88.30332,10.082490638858872,-0.009083018,2.1464311e-06,1.48302015e-05,1.4817199e-05,1.0,41,0.020654403,2.0552318e-06,0,-1.4525320149788159e-08,1.0
14,14,924510.06,483.96866,11690.318,11700.332,-87.62936,10.634490771772107,-0.009050002,-3.7309715e-07,1.4725911e-05,1.4700715e-05,1.0,41,0.020394377,1.7430597e-06,0,-1.3842009409023446e-08,1.0
15,15,800039.0,290.83548,12642.748,12646.093,-88.68219,11.186497411312303,-0.009036681,-1.6453224e-07,1.5735026e-05,1.5726704e-05,1.0,41,0.02039769,1.6129637e-06,0,-1.3891011420142657e-08,1.0
16,16,692334.1,588.65753,15494.258,15505.436,-87.824265,11.738503090833547,-0.009059169,1.012364e-06,1.4836573e-05,1.481519e-05,1.0,41,0.020298678,1.309133e-06,0,-1.34386491016048e-08,1.0
17,17,599122.25,728.8838,18042.58,18057.297,-87.68662,12.290504077071091,-0.009039476,4.9281607e-07,1.472333e-05,1.4699341e-05,1.0,41,0.020745061,1.1488464e-06,0,-1.3390812076506916e-08,1.0
18,18,518454.94,944.3804,20950.152,20971.426,-87.419,12.84248423660756,-0.009071932,3.1352483e-06,1.4652844e-05,1.4623131e-05,1.0,41,0.020503448,9.77685e-07,0,-1.3086024720353054e-08,1.0
19,19,448662.03,1016.83276,23991.867,24013.406,-87.57312,13.394497356173815,-0.009069733,-3.6192404e-07,1.4785524e-05,1.4759013e-05,1.0,41,0.020276215,8.443706e-07,0,-1.2873736965114328e-08,1.0
20,20,388258.97,1104.5704,27236.922,27259.31,-87.67769,13.946479009086033,-0.009105637,4.2488323e-06,1.5050142e-05,1.5025431e-05,1.0,41,0.020900814,7.6674036e-07,0,-1.2182542907453353e-08,1.0
21,21,335983.9,4390.585,33471.51,33758.25,-82.52696,14.498494635306997,-0.009081434,3.6268639e-06,1.4152277e-05,1.3912882e-05,1.0,41,0.020320777,6.019499e-07,0,-1.2016853148124224e-08,1.0
