True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,144.32516,1402.0643,1409.473,-84.12281,2.465484330401523,0.011643203,1.6793958e-05,1.6216347e-05,1.6046317e-05,1.0,40,0.01000372,7.0974897e-06,0,1.13558396539146e-08,1.0
1,1,6057573.0,235.164,1588.5092,1605.8218,-81.579056,3.0174964366306085,0.011670982,-8.862989e-06,1.6539858e-05,1.6185142e-05,1.0,40,0.014064978,8.758741e-06,0,1.2604589230044718e-08,1.0
2,2,5242039.0,195.2869,1850.388,1860.6646,-83.9754,3.4334900030808058,0.011705899,3.1003012e-06,1.6408056e-05,1.622731e-05,1.0,40,0.019483786,1.0471413e-05,0,1.1012910268050291e-08,1.0
3,3,4536288.0,144.53773,2123.9014,2128.8137,-86.10686,4.801491161371814,0.011660344,-1.2937543e-05,1.6519054e-05,1.6442904e-05,1.0,40,0.01809207,8.498663e-06,0,1.1694684314231078e-08,1.0
4,4,3925558.5,226.28725,2459.7563,2470.143,-84.74382,5.353493640926899,0.011632415,-1.1300265e-05,1.6482632e-05,1.6344307e-05,1.0,40,0.020549813,8.319281e-06,0,9.490276862228104e-09,1.0
5,5,3397055.0,217.37978,2800.9543,2809.377,-85.56222,5.769491580693284,0.01161559,-6.260803e-08,1.6726748e-05,1.6626604e-05,1.0,40,0.021395305,7.615676e-06,0,7.407797998155274e-09,1.0
6,6,2939708.2,266.1355,3216.7258,3227.7163,-85.27041,6.322487820259994,0.011579743,1.5491492e-05,1.6830687e-05,1.6716263e-05,1.0,40,0.020275522,6.2816925e-06,0,3.226082692220997e-09,1.0
7,7,2543924.5,285.69403,3713.459,3724.4326,-85.60063,6.874497153185075,0.011578849,1.4444253e-06,1.684757e-05,1.6748438e-05,1.0,40,0.020698445,5.557476e-06,0,5.61852643929544e-10,1.0
8,8,2201436.2,265.05594,4274.792,4283.0015,-86.45195,7.4264927793701645,0.01157693,-6.686128e-06,1.6912158e-05,1.6847387e-05,1.0,40,0.020666694,4.8252828e-06,0,-9.488145311327874e-11,1.0
9,9,1905053.1,289.77563,4925.474,4933.9907,-86.63306,7.978494032257004,0.011603778,-1.8593579e-05,1.6961529e-05,1.6903025e-05,1.0,40,0.02042377,4.139402e-06,0,2.3809777357857656e-10,1.0
10,10,1648567.4,167.66722,5721.8315,5724.2876,-88.32154,8.697502626426285,0.011588016,-2.4028873e-06,1.6872458e-05,1.6857983e-05,1.0,41,0.018914174,3.3041972e-06,0,2.661285820561885e-10,1.0
11,11,1426616.2,254.93,6601.606,6606.5264,-87.78854,9.113496326172026,0.011597797,2.6190767e-07,1.6899092e-05,1.687393e-05,1.0,41,0.021847399,3.3069418e-06,0,-3.0732490611740103e-10,1.0
12,12,1234551.2,218.92711,7620.404,7623.548,-88.3544,9.665492032392649,0.011561205,3.9862653e-06,1.6917376e-05,1.6903425e-05,1.0,41,0.020950189,2.7480892e-06,0,-9.105452498943123e-10,1.0
13,13,1068345.5,271.8898,8823.381,8827.569,-88.23501,10.217489338625455,0.011623435,-1.6114454e-06,1.6883923e-05,1.6867905e-05,1.0,41,0.020843232,2.361152e-06,0,-5.295957056890503e-10,1.0
14,14,924510.06,345.73685,10207.614,10213.468,-88.060104,10.769482298142975,0.011610877,4.8164395e-07,1.6864919e-05,1.6845594e-05,1.0,41,0.020181248,1.9759448e-06,0,9.24048686164901e-11,1.0
15,15,800039.0,523.7841,11424.424,11436.425,-87.374954,11.321486004366307,0.011557665,5.248823e-06,1.7413042e-05,1.7376517e-05,1.0,41,0.020718722,1.8116433e-06,0,1.2358763927077614e-09,1.0
16,16,692334.1,471.61716,13430.435,13438.713,-87.98885,11.873496617277851,0.011616522,-1.5444073e-06,1.7116476e-05,1.7095394e-05,1.0,41,0.020410396,1.5187761e-06,0,6.398832264014548e-11,1.0
17,17,599122.25,630.75024,15580.255,15593.018,-87.68171,12.425486803491367,0.011602865,1.800067e-06,1.7050226e-05,1.7022327e-05,1.0,41,0.020475768,1.313137e-06,0,2.910467598072033e-10,1.0
18,18,518454.94,664.63715,17950.213,17962.514,-87.87949,12.977497363026487,0.011602287,3.6246354e-07,1.710171e-05,1.7078295e-05,1.0,41,0.020527627,1.1428037e-06,0,-6.657427325586064e-10,1.0
19,19,448662.03,728.28894,20855.111,20867.824,-87.99997,13.529501629265724,0.011602362,5.7847654e-07,1.7009372e-05,1.6988653e-05,1.0,41,0.020202532,9.681188e-07,0,-8.231375338141333e-11,1.0
20,20,388258.97,678.9433,23693.234,23702.96,-88.358604,14.081497362145456,0.011599847,8.0752534e-07,1.7301123e-05,1.7286926e-05,1.0,41,0.020774402,8.7644753e-07,0,4.061301636808265e-10,1.0
21,21,335983.9,137.05771,28455.018,28455.348,-89.72403,14.633484108344419,0.011575625,3.295396e-06,1.664726e-05,1.6646874e-05,1.0,41,0.02036475,7.1567393e-07,0,9.863639281044968e-10,1.0
22,22,290751.2,1862.3541,32425.715,32479.152,-86.71286,15.185490081232274,0.011636384,-2.2874171e-06,1.6881424e-05,1.682592e-05,1.0,41,0.02064266,6.355665e-07,0,7.607771863323226e-10,1.0
23,23,251605.19,1923.8951,37032.242,37082.184,-87.02605,15.73750133413705,0.011602753,6.8462083e-07,1.7081285e-05,1.7035307e-05,1.0,41,0.020413171,5.5048463e-07,0,1.0246980928975011e-09,1.0
24,24,217729.38,2607.0151,42371.184,42451.31,-86.47914,16.290482240408892,0.011614212,-1.7548348e-06,1.7251725e-05,1.7186661e-05,1.0,41,0.02020105,4.75864e-07,0,1.1577971402611334e-09,1.0
25,25,188418.58,3369.0244,48743.297,48859.586,-86.046135,16.842484266642714,0.011585314,1.1222324e-06,1.732932e-05,1.7246928e-05,1.0,41,0.020798683,4.2568277e-07,0,6.617159584914292e-10,1.0
26,26,163051.14,2188.0637,55604.48,55647.516,-87.746544,17.560489447409054,0.011602492,-2.9043179e-07,1.7554421e-05,1.752728e-05,1.0,42,0.019146208,3.4406222e-07,0,1.7676359853291659e-09,1.0
27,27,141098.2,2847.1487,63218.66,63282.742,-87.42134,17.976491840468952,0.011618683,-3.388569e-07,1.7842403e-05,1.7806286e-05,1.0,42,0.020832362,3.29195e-07,0,1.8153132234368898e-09,1.0
28,28,122105.11,2808.814,72055.14,72109.87,-87.767654,18.528502506698715,0.011574247,4.7763877e-09,1.8089282e-05,1.8061835e-05,1.0,42,0.020175189,2.7978402e-07,0,1.716741542166981e-09,1.0
29,29,105663.59,3588.3625,85007.92,85083.625,-87.58286,18.944499859790085,0.011575625,-3.4185823e-09,1.7718843e-05,1.7687325e-05,1.0,42,0.02167924,2.547992e-07,0,1.7552648778575985e-09,1.0
30,30,91439.65,5546.7017,97320.19,97478.125,-86.73799,19.49650052600191,0.011606759,-3.483558e-07,1.788474e-05,1.7826833e-05,1.0,42,0.020384755,2.0912132e-07,0,1.7513664303084752e-09,1.0
31,31,79127.08,5838.0547,111542.21,111694.88,-87.00391,19.912493265786907,0.011587978,-2.0829481e-07,1.8032491e-05,1.798323e-05,1.0,42,0.02145678,1.9210172e-07,0,1.7132543573347271e-09,1.0
32,32,68475.36,8330.344,128434.68,128704.555,-86.28896,20.4645045720099,0.011592878,-2.6603274e-07,1.8096871e-05,1.8021057e-05,1.0,42,0.020269709,1.5749022e-07,0,1.7637403745840688e-09,1.0
33,33,59252.523,9357.955,146862.44,147160.28,-86.35409,20.88048419172992,0.0115896175,-2.55789e-07,1.8289531e-05,1.821557e-05,1.0,42,0.020952404,1.4237811e-07,0,1.7654457723051223e-09,1.0
34,34,51282.285,8797.238,168691.19,168920.42,-87.01473,21.296495971473632,0.011584569,-2.6513712e-08,1.8397566e-05,1.8347668e-05,1.0,42,0.021535113,1.2748674e-07,0,1.7860988456316957e-09,1.0
35,35,44369.8,14769.758,198465.19,199014.02,-85.7439,21.712495564570418,0.011590159,-2.552301e-07,1.8073752e-05,1.7974204e-05,1.0,42,0.021968508,1.10386736e-07,0,1.7532078367044809e-09,1.0
36,36,38403.727,18789.826,226268.78,227047.61,-85.25293,22.26449921747553,0.011591351,-2.999305e-07,1.831564e-05,1.8190201e-05,1.0,42,0.02019719,8.895575e-08,0,1.5842882425141091e-09,1.0
37,37,33226.32,23358.48,260545.3,261590.27,-84.877,22.68048699721112,0.011575309,-1.5335085e-07,1.838462e-05,1.8238032e-05,1.0,42,0.020411076,7.802689e-08,0,1.6272683914974175e-09,1.0
38,38,28754.086,29507.957,299199.66,300651.22,-84.36754,23.09648117699544,0.01159163,-2.8931416e-07,1.8499479e-05,1.8321276e-05,1.0,42,0.020517468,6.824342e-08,0,1.6262229978740963e-09,1.0
39,39,24884.947,36765.57,345901.56,347849.97,-83.93286,23.512499570060754,0.011593568,-1.133068e-07,1.8489744e-05,1.8283192e-05,1.0,42,0.020571208,5.9138163e-08,0,1.6235242994256322e-09,1.0
40,40,21553.963,73351.72,408446.5,414980.75,-79.81894,23.92950260321959,0.011621292,-3.6847095e-07,1.807831e-05,1.7513472e-05,1.0,42,0.020557726,4.9538986e-08,0,1.6146618170442334e-09,1.0
41,41,18631.234,57547.18,463333.97,466894.03,-82.91998,24.51149692418403,0.011599996,-1.2600921e-07,1.8436749e-05,1.8156661e-05,1.0,43,0.020194683,4.3253248e-08,0,1.655991964907338e-09,1.0
42,42,16126.037,67408.22,523688.44,528008.94,-82.66532,24.927480010635918,0.011542293,-7.526178e-08,1.8846013e-05,1.8538854e-05,1.0,43,0.019968469,3.7818428e-08,0,1.6454067394685116e-09,1.0
43,43,13954.87,96233.35,660889.2,667858.8,-81.71528,25.343497763708,0.011573538,-1.17163324e-07,1.7257016e-05,1.6898715e-05,1.0,43,0.01986824,2.9749161e-08,0,1.6292402096464617e-09,1.0
44,44,12080.609,94149.195,706717.1,712960.9,-82.41171,25.759479383501457,0.011606759,-1.4969754e-07,1.8641706e-05,1.8316627e-05,1.0,43,0.01934958,2.713975e-08,0,1.6203584673710963e-09,1.0
45,45,10447.592,125493.19,792293.0,802170.0,-80.99956,26.175502923229942,0.011614044,-1.6589948e-07,1.9227291e-05,1.875672e-05,1.0,43,0.018778339,2.3409426e-08,0,1.5994688770700914e-09,1.0
46,46,9045.586,137544.38,874808.8,885555.7,-81.06465,26.607253983762348,0.0115831895,-1.3053456e-07,2.0112695e-05,1.9627492e-05,1.0,43,0.021303626,2.4056789e-08,0,1.5880873835394907e-09,1.0
47,47,7827.7437,197137.23,1026872.44,1045624.25,-79.132675,27.087946113286307,0.0115989335,-1.2906337e-07,1.9800083e-05,1.9096278e-05,1.0,43,0.021328725,2.0398078e-08,0,1.5655579446926157e-09,1.0
48,48,6770.8345,225364.16,1188782.0,1209955.2,-79.2655,27.62640357881901,0.011569663,-7.785035e-08,1.9773144e-05,1.908717e-05,1.0,43,0.021352747,1.7647551e-08,0,1.5513890815003392e-09,1.0
49,49,5860.798,290007.38,1332979.4,1364162.1,-77.725815,28.232975714316126,0.011588407,-1.1343874e-07,2.0372294e-05,1.9451578e-05,1.0,43,0.02133291,1.5638104e-08,0,1.5235309086314985e-09,1.0
50,50,5071.625,368340.25,1545501.0,1588788.1,-76.59474,28.913718253352272,0.011588109,-1.1718193e-07,2.0305033e-05,1.921367e-05,1.0,43,0.021354793,1.3440932e-08,0,1.496625810939314e-09,1.0
51,51,4388.5933,407786.44,1657199.2,1706633.9,-76.175896,29.59380543230509,0.011603033,-1.1775925e-07,2.1883665e-05,2.0634256e-05,1.0,43,0.021233005,1.2441453e-08,0,1.4740918719181533e-09,1.0
52,52,3798.7827,568527.3,1974844.8,2055051.1,-73.939705,30.273844637951697,0.011613355,-1.1198614e-07,2.1214986e-05,1.9591305e-05,1.0,43,0.021369027,1.0398295e-08,0,1.4522192478720454e-09,1.0
53,53,3286.0488,652605.9,2285211.8,2376570.5,-74.06183,30.9536958702447,0.011634874,-1.24538e-07,2.1194328e-05,1.959617e-05,1.0,43,0.02140669,9.007387e-09,0,1.435150685588138e-09,1.0
