True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,125.55587,1135.5555,1142.4757,-83.69056,82.79547819923027,-0.0084125055,1.9566167e-05,2.0022235e-05,1.9780415e-05,2.0,40,0.009833635,8.607303e-06,0,-2.1950003803478237e-08,2.0
111,111,6057573.0,223.50328,1323.6946,1342.431,-80.416115,83.34750158540555,-0.008331644,-2.724511e-05,1.9848774e-05,1.9298579e-05,2.0,40,0.013913416,1.0364343e-05,0,-2.8419668073100762e-08,2.0
112,112,5242039.0,225.32025,1525.0323,1541.5878,-81.595474,83.76350101854769,-0.0082665635,-2.6258997e-05,1.9908606e-05,1.9483296e-05,2.0,40,0.019243095,1.24826465e-05,0,-2.8021094205376684e-08,2.0
113,113,4536288.0,183.28549,1741.9978,1751.6135,-83.99368,85.13149209684343,-0.008332296,-2.0733194e-05,2.0140576e-05,1.9920055e-05,2.0,40,0.019231752,1.0979449e-05,0,-3.511966952004819e-08,2.0
114,114,3925558.5,265.10654,2025.5961,2042.8707,-82.54361,85.54848760997993,-0.0083320355,2.132824e-06,2.0015472e-05,1.9678399e-05,2.0,40,0.018427435,9.020363e-06,0,-3.589448607822712e-08,2.0
115,115,3397055.0,337.66602,2287.9182,2312.7014,-81.604515,85.96450538971112,-0.008373416,-2.1068088e-05,2.0477506e-05,2.0040978e-05,2.0,40,0.01950349,8.433207e-06,0,-4.027618848523416e-08,2.0
116,116,2939708.2,357.58334,2629.3113,2653.5154,-82.255356,86.38048794280621,-0.008372764,-2.478917e-05,2.059083e-05,2.0216905e-05,2.0,40,0.021361666,8.050327e-06,0,-3.95845673944617e-08,2.0
117,117,2543924.5,382.9505,3004.9329,3029.2363,-82.73734,86.93248983568628,-0.008317782,-4.2520103e-05,2.082002e-05,2.0487283e-05,2.0,40,0.020541761,6.7811684e-06,0,-3.7656128420860844e-08,2.0
118,118,2201436.2,453.91443,3473.8662,3503.3962,-82.555595,87.48450023526675,-0.008390073,-1.1975346e-06,2.0811382e-05,2.0462025e-05,2.0,40,0.020873025,5.95794e-06,0,-3.761577405524857e-08,2.0
119,119,1905053.1,526.72235,3926.3848,3961.557,-82.35942,88.0365020481695,-0.008338631,-2.8082322e-05,2.127748e-05,2.0901338e-05,2.0,40,0.020633474,5.2084256e-06,0,-3.5817619929375744e-08,2.0
120,120,1648567.4,648.62775,4535.9956,4582.136,-81.86212,88.58850180768059,-0.008380179,-6.6675184e-06,2.128339e-05,2.0856914e-05,2.0,40,0.019921876,4.3477266e-06,0,-3.609970327273714e-08,2.0
121,121,1426616.2,707.4567,5242.2114,5289.733,-82.31415,89.30749293518602,-0.008330973,-6.1961455e-06,2.1281314e-05,2.0900661e-05,2.0,41,0.019382164,3.6641102e-06,0,-3.353959198951924e-08,2.0
122,122,1234551.2,754.55023,6099.7183,6146.211,-82.9482,89.8595047480485,-0.008344108,-3.7697105e-06,2.113495e-05,2.0816411e-05,2.0,41,0.020406827,3.3202289e-06,0,-3.4063124330185975e-08,2.0
123,123,1068345.5,1063.5569,6887.9243,6969.552,-81.22234,90.41150218763505,-0.008361269,1.610068e-08,2.1628182e-05,2.1124531e-05,2.0,41,0.020243432,2.904553e-06,0,-3.515412509996195e-08,2.0
124,124,924510.06,1045.3374,7963.0376,8031.3574,-82.52133,90.96349362717592,-0.00833252,-8.0325833e-07,2.1618707e-05,2.1252466e-05,2.0,41,0.020736951,2.5819984e-06,0,-3.585591921863439e-08,2.0
125,125,800039.0,1733.4397,8574.807,8748.264,-78.571396,91.51549413337489,-0.008370286,1.4257708e-06,2.319982e-05,2.2288948e-05,2.0,41,0.020491967,2.3424038e-06,0,-3.590456872766603e-08,2.0
