True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,100.56876,1401.6606,1405.2639,-85.89608,2.4674811305303592,0.069495924,1.1361191e-05,1.6221018e-05,1.6137938e-05,1.0,40,0.009931966,7.0676874e-06,0,1.0108025134955925e-08,1.0
1,1,6057573.0,280.66208,1696.9407,1719.9939,-80.608696,3.019500570051605,0.06950746,-1.1988687e-05,1.548299e-05,1.5070732e-05,1.0,40,0.014091828,8.192952e-06,0,9.183235780306455e-09,1.0
2,2,5242039.0,266.94785,1946.7684,1964.9856,-82.19209,3.435494083125377,0.06954478,-2.0361098e-05,1.5595726e-05,1.5307895e-05,1.0,40,0.01958257,9.965757e-06,0,1.1017768073669584e-08,1.0
3,3,4536288.0,250.65681,2234.653,2248.667,-83.59999,4.80349348144955,0.06945586,1.2421601e-05,1.5700352e-05,1.550527e-05,1.0,40,0.019605394,8.718674e-06,0,9.455332113248005e-09,1.0
4,4,3925558.5,341.42984,2545.8154,2568.6086,-82.361404,5.219488247908885,0.06948119,-7.4489576e-06,1.5925452e-05,1.564407e-05,1.0,40,0.018675402,7.2706293e-06,0,8.8566678251646e-09,1.0
5,5,3397055.0,408.16977,2901.6636,2930.231,-81.99288,5.635487600957276,0.06946948,3.360776e-06,1.6146207e-05,1.5832917e-05,1.0,40,0.01974754,6.7392434e-06,0,6.541759519248242e-09,1.0
6,6,2939708.2,445.5467,3304.4785,3334.3801,-82.32105,6.0514975140977185,0.069406115,1.0151751e-05,1.6383738e-05,1.6091206e-05,1.0,40,0.02161931,6.4837573e-06,0,7.507618655128884e-09,1.0
7,7,2543924.5,399.8087,3768.7017,3789.8496,-83.944336,6.603491966932779,0.06946851,-1.3681756e-05,1.6600614e-05,1.6415863e-05,1.0,40,0.020416487,5.3871495e-06,0,1.001990749183632e-08,1.0
8,8,2201436.2,494.66702,4400.0684,4427.787,-83.585594,7.1555033798504155,0.06945933,-1.41282835e-05,1.6430644e-05,1.6225571e-05,1.0,40,0.021040378,4.7518947e-06,0,4.5603080783086134e-09,1.0
9,9,1905053.1,630.374,5007.5176,5047.039,-82.825035,7.707478846044978,0.069435626,-1.3700354e-05,1.668363e-05,1.6423366e-05,1.0,40,0.020652408,4.091985e-06,0,4.81360409525501e-09,1.0
10,10,1648567.4,665.0861,5986.3433,6023.176,-83.66041,8.427494666917482,0.069433786,-2.5630357e-06,1.6126934e-05,1.5930302e-05,1.0,41,0.018906448,3.13895e-06,0,6.685290062749674e-09,1.0
11,11,1426616.2,714.4732,6834.406,6871.65,-84.03194,8.843501486669993,0.06942939,-1.7419326e-08,1.632346e-05,1.6146994e-05,1.0,41,0.021793747,3.1715451e-06,0,7.0836833672432126e-09,1.0
12,12,1234551.2,800.35754,7820.069,7860.919,-84.15632,9.395503672916675,0.06943725,1.2078934e-06,1.6485435e-05,1.6314543e-05,1.0,41,0.020995274,2.6708422e-06,0,7.165223442203544e-09,1.0
13,13,1068345.5,1264.9489,9227.212,9313.514,-82.19404,9.947499725763919,0.06946507,-1.7008313e-06,1.6144995e-05,1.5847174e-05,1.0,41,0.020913204,2.2454687e-06,0,6.5918892354754155e-09,1.0
14,14,924510.06,1610.8866,10491.481,10614.431,-81.27084,10.499492098664632,0.06944353,1.0458828e-06,1.6408607e-05,1.6030679e-05,1.0,41,0.020149443,1.8983066e-06,0,6.830178048324519e-09,1.0
15,15,800039.0,2406.8337,11400.904,11652.1875,-78.07938,11.051500871573808,0.06939048,3.4238865e-06,1.7448963e-05,1.6704495e-05,1.0,41,0.020304933,1.7425855e-06,0,6.5866034604893126e-09,1.0
16,16,692334.1,2520.8677,13618.998,13850.339,-79.513275,11.603486737789353,0.06940755,3.8019084e-06,1.6879487e-05,1.6320324e-05,1.0,41,0.020401146,1.4729709e-06,0,6.025777338177502e-09,1.0
17,17,599122.25,3100.0742,15666.971,15970.736,-78.80728,12.155500470631523,0.06941739,3.144559e-06,1.6955853e-05,1.6316983e-05,1.0,41,0.020599127,1.2898045e-06,0,5.303130852041704e-09,1.0
18,18,518454.94,4003.4224,17881.18,18323.863,-77.38015,12.707484203536296,0.06943421,1.3754891e-06,1.7167733e-05,1.6348247e-05,1.0,41,0.02059203,1.1237821e-06,0,5.9500066295122954e-09,1.0
19,19,448662.03,5143.179,20334.277,20974.63,-75.805786,13.259484816429904,0.06945616,-9.317525e-07,1.7445043e-05,1.6396112e-05,1.0,41,0.02020035,9.630849e-07,0,6.2160926471948285e-09,1.0
20,20,388258.97,6750.1494,23153.174,24117.09,-73.746315,13.811501642660005,0.06946635,-1.1626611e-06,1.770468e-05,1.6317716e-05,1.0,41,0.02095481,8.6887803e-07,0,6.31798547058477e-09,1.0
21,21,335983.9,7336.645,24496.754,25571.807,-73.327324,14.363498095510295,0.069449306,9.2447436e-08,1.9337178e-05,1.7745464e-05,1.0,41,0.019935872,7.7960357e-07,0,6.421615811509204e-09,1.0
22,22,290751.2,10886.652,29196.924,31160.545,-69.55103,14.915490548446542,0.06944839,-5.5745335e-07,1.8748284e-05,1.645984e-05,1.0,41,0.020542338,6.5924195e-07,0,5.3058811067817005e-09,1.0
23,23,251605.19,13430.688,32221.375,34908.457,-67.37238,15.467479774641106,0.069424376,4.0343102e-07,1.9631636e-05,1.6725662e-05,1.0,41,0.020389132,5.8407426e-07,0,6.59302807292603e-09,1.0
24,24,217729.38,17273.424,35796.332,39746.05,-64.24049,16.019496520835673,0.06942373,2.1967091e-06,2.0420417e-05,1.656356e-05,1.0,41,0.020293154,5.105703e-07,0,6.355523012855555e-09,1.0
25,25,188418.58,21081.865,37446.55,42973.12,-60.62112,16.571502413746202,0.069396,2.9062e-06,2.255717e-05,1.7128306e-05,1.0,41,0.020688262,4.814233e-07,0,5.825265112893558e-09,1.0
26,26,163051.14,25961.158,41639.273,49069.45,-58.05738,17.12349241328775,0.069469765,-2.0620948e-06,2.3441919e-05,1.688018e-05,1.0,41,0.0203091,4.138848e-07,0,5.631882939817324e-09,1.0
27,27,141098.2,29869.36,46049.535,54888.418,-57.03113,17.84249687413103,0.06945158,-6.3406515e-07,2.4494771e-05,1.7241e-05,1.0,42,0.01891198,3.445532e-07,0,4.9986967169629456e-09,1.0
28,28,122105.11,35132.17,49427.117,60640.824,-54.595264,18.258484067191603,0.06937957,-2.0512864e-07,2.637066e-05,1.7519487e-05,1.0,42,0.02045779,3.3736e-07,0,4.9498201458818435e-09,1.0
29,29,105663.59,42680.125,49760.82,65557.09,-49.38013,18.674498833628604,0.06945227,-5.316269e-07,3.0269637e-05,1.7439856e-05,1.0,42,0.021825066,3.3291693e-07,0,4.9133012661995125e-09,1.0
30,30,91439.65,50039.88,50761.27,71279.0,-45.410034,19.226500539836707,0.06937191,7.462067e-08,3.4288867e-05,1.7389812e-05,1.0,42,0.020341802,2.8538284e-07,0,4.85892222176037e-09,1.0
31,31,79127.08,56981.492,49814.65,75686.125,-41.16077,19.642497732915217,0.069478445,-5.970009e-07,4.0377363e-05,1.7491197e-05,1.0,42,0.021317,2.8165005e-07,0,4.821121039784949e-09,1.0
32,32,68475.36,64165.746,49982.887,81335.92,-37.91735,20.19548807918909,0.06946233,-5.357243e-07,4.650123e-05,1.7560722e-05,1.0,42,0.020283101,2.4937447e-07,0,4.687916610438276e-09,1.0
33,33,59252.523,71298.82,48118.48,86016.914,-34.01481,20.611482525622705,0.06941618,-2.1146103e-07,5.582148e-05,1.7468574e-05,1.0,42,0.020921007,2.432197e-07,0,4.69226632046629e-09,1.0
34,34,51282.285,77025.09,46366.676,89904.02,-31.046614,21.027483905403642,0.06938456,3.975803e-07,6.693401e-05,1.7803299e-05,1.0,42,0.021441199,2.3848986e-07,0,4.679046191668985e-09,1.0
35,35,44369.8,83926.055,42433.785,94043.66,-26.82158,21.44448173852288,0.06941422,-3.125953e-07,8.453195e-05,1.7210179e-05,1.0,42,0.021871923,2.3257202e-07,0,4.606986165663882e-09,1.0
36,36,38403.727,87730.23,39127.965,96060.34,-24.037027,21.99649280475569,0.069446005,-3.5282562e-07,0.0001059155,1.7572993e-05,1.0,42,0.020212583,2.1041548e-07,0,4.622001997073176e-09,1.0
37,37,33226.32,91780.87,35482.707,98400.97,-21.136623,22.412499037833186,0.06944142,-6.9292e-07,0.00013499608,1.7553184e-05,1.0,42,0.020401265,2.0732789e-07,0,4.555202274254889e-09,1.0
38,38,28754.086,94956.164,31726.285,100116.086,-18.47525,22.828493777575204,0.06940399,-6.320477e-08,0.0001744622,1.7519918e-05,1.0,42,0.020526545,2.0502745e-07,0,4.472294222056503e-09,1.0
39,39,24884.947,97927.0,28833.203,102083.55,-16.406311,23.244495237333467,0.06944387,-3.3997375e-07,0.00022181479,1.769558e-05,1.0,42,0.020567238,2.0147456e-07,0,4.358472452756088e-09,1.0
40,40,21553.963,99664.086,25045.875,102762.96,-14.106482,23.661487657140242,0.06944414,-4.621541e-07,0.00029481988,1.7512815e-05,1.0,42,0.02055481,2.0002159e-07,0,4.259158088146611e-09,1.0
41,41,18631.234,101660.31,22222.348,104060.805,-12.3305645,24.077503436914412,0.069439135,-3.042128e-07,0.0003844046,1.753049e-05,1.0,42,0.020489965,1.9690377e-07,0,4.179106424493521e-09,1.0
42,42,16126.037,103383.695,19295.541,105168.945,-10.572051,24.49349751000409,0.069425404,-2.0717567e-07,0.00051148806,1.721767e-05,1.0,42,0.020361252,1.9360517e-07,0,4.183976755035543e-09,1.0
43,43,13954.87,102919.375,16090.191,104169.53,-8.8855715,24.91048803649028,0.06942245,-1.619165e-07,0.0007088154,1.6911188e-05,1.0,42,0.020051977,1.9249369e-07,0,4.233977970070018e-09,1.0
44,44,12080.609,105214.64,14087.048,106153.5,-7.6259036,25.32648437624448,0.06944744,-2.3120198e-07,0.0009352146,1.6469583e-05,1.0,42,0.019809805,1.8661471e-07,0,4.3027024458584465e-09,1.0
45,45,10447.592,105695.23,12216.139,106398.85,-6.59293,25.74250266267336,0.06942754,-2.6435455e-07,0.0012470102,1.643857e-05,1.0,42,0.019319098,1.8157243e-07,0,4.2997712444790495e-09,1.0
46,46,9045.586,105888.05,10575.392,106414.836,-5.703407,26.174257403210504,0.06943123,-3.826237e-07,0.0016637458,1.6431435e-05,1.0,42,0.021974167,2.0649533e-07,0,4.275510452358115e-09,1.0
47,47,7827.7437,106400.86,9057.334,106785.664,-4.865553,26.810917273454834,0.06942218,-1.9842125e-07,0.0022448283,1.614946e-05,1.0,42,0.020215293,1.8930719e-07,0,4.506821695465075e-09,1.0
48,48,6770.8345,106761.164,7844.1714,107048.945,-4.2022,27.349404365668306,0.06946119,-3.174356e-07,0.0029966144,1.6090155e-05,1.0,42,0.02032367,1.8985399e-07,0,4.546543113219473e-09,1.0
