True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,211.66519,1531.2493,1545.8093,-82.12985,82.70049974138965,0.00016017444,8.737824e-06,1.4848242e-05,1.4569848e-05,2.0,40,0.009957453,6.4415794e-06,0,-8.542701977245788e-09,2.0
111,111,6057573.0,331.8266,1743.0118,1774.3165,-79.221275,83.25249128756695,0.00024170699,-1.8128469e-05,1.5073745e-05,1.4546537e-05,2.0,40,0.0141284615,7.9627625e-06,0,-8.455452455111849e-09,2.0
112,112,5242039.0,324.30615,2005.1838,2031.2402,-80.81289,83.6684948806942,0.0002303232,-1.6733044e-05,1.5141389e-05,1.4755417e-05,2.0,40,0.019703712,9.700336e-06,0,-8.707277689270636e-09,2.0
113,113,4536288.0,329.3332,2321.6475,2344.8896,-81.92628,84.90049464584445,0.00020435061,-2.687297e-05,1.5112045e-05,1.4813953e-05,2.0,40,0.02155163,9.190893e-06,0,-2.6290460987236802e-08,2.0
114,114,3925558.5,414.16217,2671.2197,2703.1362,-81.18669,85.31649157227366,0.00015682101,-6.258209e-06,1.5177809e-05,1.4821509e-05,2.0,40,0.019989599,7.394965e-06,0,-2.8027970499354164e-08,2.0
115,115,3397055.0,480.7581,2974.0732,3012.68,-80.81758,85.73248281874112,0.00018750751,-4.1087493e-05,1.5753094e-05,1.535194e-05,2.0,40,0.021070829,6.9940484e-06,0,-3.214346797002321e-08,2.0
116,116,2939708.2,548.17316,3386.7834,3430.8594,-80.80604,86.28549391162232,0.00018260737,-4.259453e-05,1.5985583e-05,1.557749e-05,2.0,40,0.020989193,6.117765e-06,0,-3.352659980210859e-08,2.0
117,117,2543924.5,585.752,3878.105,3922.0918,-81.41093,86.83749780451762,0.00010681346,-1.8258685e-05,1.6132302e-05,1.5772479e-05,2.0,40,0.020396419,5.200393e-06,0,-4.0208226447238046e-08,2.0
118,118,2201436.2,719.89124,4508.2837,4565.399,-80.9275,87.38948641743627,0.000100311,-2.9464434e-06,1.6036249e-05,1.5637517e-05,2.0,40,0.02095102,4.5890883e-06,0,-4.41724766389192e-08,2.0
119,119,1905053.1,748.4855,5255.4004,5308.433,-81.894325,88.10848546490888,0.00012555695,-3.3004583e-06,1.5896709e-05,1.558067e-05,2.0,41,0.019438773,3.6618665e-06,0,-4.431058781466627e-08,2.0
120,120,1648567.4,935.72156,6074.45,6146.098,-81.24287,88.66149701116956,0.00010834126,1.4164566e-06,1.5893022e-05,1.5524636e-05,2.0,41,0.019986132,3.2518408e-06,0,-4.411931090169771e-08,2.0
121,121,1426616.2,1162.4292,6835.38,6933.517,-80.34858,89.21350618402357,9.4460614e-05,1.6604017e-06,1.6321133e-05,1.5862384e-05,2.0,41,0.02019858,2.9131795e-06,0,-4.340724824768532e-08,2.0
122,122,1234551.2,1475.6619,7766.2515,7905.203,-79.24151,89.7654829302628,0.00016255962,-3.0825688e-06,1.6599673e-05,1.602125e-05,2.0,41,0.020692432,2.6175712e-06,0,-4.343825137446839e-08,2.0
123,123,1068345.5,1798.3978,9051.706,9228.63,-78.76278,90.3174989031686,0.00010940326,-1.57979e-06,1.6458036e-05,1.5833044e-05,2.0,41,0.02067244,2.2400336e-06,0,-4.303922044563456e-08,2.0
124,124,924510.06,2395.5662,10412.064,10684.092,-77.0431,90.86950572938076,0.00014879076,-4.469893e-06,1.653376e-05,1.5702548e-05,2.0,41,0.020334126,1.9032153e-06,0,-4.3367281068304764e-08,2.0
125,125,800039.0,2845.0476,10763.631,11133.285,-75.19416,91.421494875598,0.00011717269,2.124085e-06,1.8482051e-05,1.727512e-05,2.0,41,0.020324059,1.8255222e-06,0,-4.2503829219140714e-08,2.0
126,126,692334.1,3801.1025,13249.15,13783.627,-73.99213,91.97350175512838,0.00017871332,-3.7194336e-06,1.7350676e-05,1.6031177e-05,2.0,41,0.020476205,1.4855456e-06,0,-4.283891665463497e-08,2.0
127,127,599122.25,5034.8374,15072.359,15891.055,-71.52839,92.52548983469023,0.00015279658,-8.963703e-07,1.762477e-05,1.585552e-05,2.0,41,0.020438872,1.2861873e-06,0,-4.377312366538967e-08,2.0
