True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,321.11884,1718.3167,1748.0645,-79.41467,2.4674766505195294,-0.062198114,1.1565846e-05,1.3231765e-05,1.2785252e-05,1.0,40,0.009980566,5.7094953e-06,0,1.1055200108924307e-08,1.0
1,1,6057573.0,529.2279,1982.9872,2052.3938,-75.056946,3.0194924900715705,-0.062174544,4.6445266e-06,1.3249564e-05,1.2368585e-05,1.0,40,0.0142398225,6.9381535e-06,0,9.210564477509959e-09,1.0
2,2,5242039.0,507.51752,2246.4624,2303.078,-77.26953,3.435481256485218,-0.062148403,1.9839738e-06,1.3515146e-05,1.285884e-05,1.0,40,0.019753542,8.577019e-06,0,1.0979187670451375e-08,1.0
3,3,4536288.0,512.7181,2575.2856,2625.8286,-78.74011,4.8034924414532725,-0.06216126,-4.416283e-06,1.36236695e-05,1.310425e-05,1.0,40,0.018847657,7.1777945e-06,0,1.3013405839274128e-08,1.0
4,4,3925558.5,686.63513,2915.9639,2995.7158,-76.74969,5.219491261203075,-0.06219111,-2.7418007e-06,1.39038975e-05,1.3173451e-05,1.0,40,0.01822923,6.0851e-06,0,1.4973996933032177e-08,1.0
5,5,3397055.0,755.72736,3265.1987,3351.5142,-76.96841,5.635484107624507,-0.0622062,-1.583999e-05,1.4348547e-05,1.3618995e-05,1.0,40,0.019140758,5.711078e-06,0,1.463622430556989e-08,1.0
6,6,2939708.2,928.7353,3790.9524,3903.059,-76.23438,6.051494794053724,-0.062222857,9.091236e-06,1.4281294e-05,1.347268e-05,1.0,40,0.020940274,5.365093e-06,0,1.1961445961610985e-08,1.0
7,7,2543924.5,1136.0588,4255.808,4404.8306,-75.053795,6.603480953635881,-0.062192097,-2.9756813e-05,1.470056e-05,1.3722699e-05,1.0,40,0.020549228,4.6651576e-06,0,7.214428354864645e-09,1.0
8,8,2201436.2,1223.6079,4892.603,5043.2905,-75.95872,7.1554790064983536,-0.06222187,-1.4705052e-05,1.4776584e-05,1.39067615e-05,1.0,40,0.020891078,4.1423505e-06,0,7.0771592718680644e-09,1.0
9,9,1905053.1,1392.964,5578.651,5749.93,-75.98018,7.87449733397807,-0.062160887,-9.222189e-06,1.4975588e-05,1.4096688e-05,1.0,41,0.019510113,3.3931044e-06,0,7.96191268623166e-09,1.0
10,10,1648567.4,1901.809,6520.2188,6791.9165,-73.73916,8.426503440219676,-0.06224037,2.8503337e-06,1.4806462e-05,1.36455465e-05,1.0,41,0.020022962,2.9480577e-06,0,7.367357989134386e-09,1.0
11,11,1426616.2,2207.7246,7298.0176,7624.638,-73.1689,8.978500933066243,-0.062274933,5.5747023e-06,1.5286501e-05,1.40048805e-05,1.0,41,0.020151842,2.64299e-06,0,7.69444410619455e-09,1.0
