True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,97.516846,1463.3114,1466.5571,-86.18738,82.91750028499519,0.031278003,-3.5263914e-05,1.553761e-05,1.5468911e-05,2.0,40,0.009940261,6.777957e-06,0,-1.5747609586855492e-08,2.0
111,111,6057573.0,284.56982,1638.3967,1662.9263,-80.14671,83.46949007120566,0.031248435,-2.9961499e-05,1.6036234e-05,1.556663e-05,2.0,40,0.014075349,8.464205e-06,0,-1.9751254727390292e-08,2.0
112,112,5242039.0,266.36667,1860.5253,1879.4961,-81.85248,83.8854835043021,0.031229338,-1.8686605e-05,1.6318654e-05,1.5990889e-05,2.0,40,0.01956078,1.040746e-05,0,-2.0505087386097465e-08,2.0
113,113,4536288.0,215.16177,2169.9429,2180.584,-84.33732,85.2535036226327,0.03120141,-4.2036372e-05,1.6168555e-05,1.6011138e-05,2.0,40,0.01803643,8.271376e-06,0,-3.1027840346882266e-08,2.0
114,114,3925558.5,364.3688,2454.26,2481.1604,-81.555336,85.80548335550702,0.031176908,-1.9170342e-05,1.6519545e-05,1.6163282e-05,2.0,40,0.020584559,8.296343e-06,0,-3.898146748623067e-08,2.0
115,115,3397055.0,388.8964,2779.9424,2807.0127,-82.03636,86.22150177528965,0.031176163,-1.8147044e-05,1.6853177e-05,1.6529686e-05,2.0,40,0.021382451,7.6175115e-06,0,-3.9284554181595454e-08,2.0
116,116,2939708.2,437.51096,3198.6614,3228.4438,-82.21145,86.77350700148963,0.031110542,7.658621e-06,1.6925738e-05,1.6614898e-05,2.0,40,0.020223593,6.2641925e-06,0,-4.2601758429524156e-08,2.0
117,117,2543924.5,558.9699,3697.7612,3739.7708,-81.404,87.32548214771668,0.031174934,-2.86777e-05,1.6919092e-05,1.6541117e-05,2.0,40,0.020749941,5.548453e-06,0,-4.663605990650627e-08,2.0
118,118,2201436.2,618.0605,4211.537,4256.647,-81.6512,87.87749668062315,0.031189373,-3.9710692e-05,1.7166169e-05,1.6804259e-05,2.0,40,0.020703774,4.863869e-06,0,-5.478548261858782e-08,2.0
119,119,1905053.1,696.15106,4809.904,4860.0205,-81.7646,88.42948270679335,0.03115388,-3.6026824e-05,1.7369073e-05,1.7012699e-05,2.0,40,0.02040822,4.199205e-06,0,-5.3614495988976904e-08,2.0
120,120,1648567.4,563.2912,5690.2266,5718.0396,-84.34655,89.14850287427544,0.031206254,-7.3804927e-06,1.6966173e-05,1.6801525e-05,2.0,41,0.018968169,3.3172503e-06,0,-5.8042672105329785e-08,2.0
121,121,1426616.2,801.369,6536.187,6585.13,-83.01014,89.56449550736579,0.03116314,-4.447544e-06,1.706823e-05,1.681546e-05,2.0,41,0.021865075,3.3203712e-06,0,-5.800746590483226e-08,2.0
122,122,1234551.2,1147.5057,7398.831,7487.287,-81.184074,90.11650196029223,0.031201242,-4.663558e-06,1.7424001e-05,1.7014732e-05,2.0,41,0.02094745,2.7977358e-06,0,-5.8337489565517466e-08,2.0
123,123,1068345.5,1281.9115,8652.113,8746.5625,-81.57227,90.66849718647427,0.031190025,-5.1886923e-06,1.7218139e-05,1.684829e-05,2.0,41,0.020786643,2.37655e-06,0,-5.8039136795840286e-08,2.0
124,124,924510.06,1375.7195,9684.3,9781.526,-81.91485,91.22048267940409,0.031145811,-2.8721415e-06,1.7776254e-05,1.7424625e-05,2.0,41,0.020278081,2.0731e-06,0,-5.8275933275638775e-08,2.0
125,125,800039.0,1816.4689,11175.226,11321.892,-80.76764,91.77249163892702,0.031163046,-1.32467e-06,1.7801338e-05,1.7343122e-05,2.0,41,0.020634402,1.8225224e-06,0,-5.769642972552822e-08,2.0
126,126,692334.1,2579.0784,12805.765,13062.896,-78.61297,92.32449705179897,0.031149724,9.1180686e-07,1.7951423e-05,1.7251663e-05,2.0,41,0.020362448,1.5588004e-06,0,-5.7663538406653574e-08,2.0
127,127,599122.25,3349.3079,14728.643,15104.661,-77.18874,92.87648435801384,0.031139998,2.1818134e-06,1.8036073e-05,1.7149263e-05,2.0,41,0.02070358,1.3706749e-06,0,-5.786986830864412e-08,2.0
128,128,518454.94,4247.7944,16660.104,17193.104,-75.69617,93.42848211756791,0.031166997,-3.166366e-06,1.8426015e-05,1.7301281e-05,2.0,41,0.020522796,1.1936644e-06,0,-5.844182886052549e-08,2.0
129,129,448662.03,5355.987,18890.654,19635.26,-74.1706,93.98049035712029,0.031179478,-4.4177505e-06,1.8778193e-05,1.738099e-05,2.0,41,0.020214753,1.0295129e-06,0,-5.9068862813081326e-08,2.0
130,130,388258.97,6674.71,21516.47,22527.988,-72.76538,94.53250659667538,0.031184603,1.209756e-06,1.9051431e-05,1.7379003e-05,2.0,41,0.020848028,9.2542786e-07,0,-5.906473976194467e-08,2.0
131,131,335983.9,8728.54,24191.895,25718.383,-70.16034,95.08448227625922,0.031197086,-3.3451354e-06,1.9580859e-05,1.7325438e-05,2.0,41,0.020480482,7.963363e-07,0,-5.928909590949358e-08,2.0
132,132,290751.2,10472.668,27001.664,28961.469,-68.80109,95.63648928914336,0.031120623,2.8503348e-06,2.0272537e-05,1.7621707e-05,2.0,41,0.020539507,7.092012e-07,0,-5.909323233040414e-08,2.0
133,133,251605.19,14046.681,29301.836,32494.72,-64.387924,96.18848243533284,0.03111669,3.6510717e-06,2.1587666e-05,1.7553744e-05,2.0,41,0.020381277,6.272181e-07,0,-5.9513682509613294e-08,2.0
134,134,217729.38,17275.717,32160.23,36506.586,-61.75636,96.74050400822307,0.03119172,-3.2389921e-06,2.272919e-05,1.7639239e-05,2.0,41,0.020221578,5.5391587e-07,0,-5.965193876990248e-08,2.0
135,135,188418.58,21205.525,35386.06,41253.453,-59.06734,97.29249104778864,0.031205991,-3.3712067e-06,2.3870647e-05,1.7563376e-05,2.0,41,0.020724993,5.02382e-07,0,-5.921864059168887e-08,2.0
136,136,163051.14,25988.42,37179.3,45361.86,-55.04636,97.84448571401299,0.031129938,3.4387829e-06,2.6253976e-05,1.763664e-05,2.0,41,0.020355903,4.4874488e-07,0,-5.917314658564384e-08,2.0
