True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,150.89905,1822.0647,1828.3026,-85.2657,82.86850182936178,0.058701534,1.4691551e-05,1.2478351e-05,1.2393347e-05,2.0,40,0.010011889,5.4760567e-06,0,-1.4344764457884413e-08,2.0
111,111,6057573.0,342.54257,2027.5,2056.2324,-80.41053,83.42050382887828,0.058648415,2.313828e-05,1.2958676e-05,1.2599055e-05,2.0,40,0.014268801,6.939294e-06,0,-1.3862974361140405e-08,2.0
112,112,5242039.0,332.48148,2287.0164,2311.0576,-81.72841,83.83650112865143,0.05871806,6.877187e-06,1.3275492e-05,1.30007265e-05,2.0,40,0.019813238,8.573234e-06,0,-1.742927560085238e-08,2.0
113,113,4536288.0,301.9152,2573.546,2591.195,-83.30894,85.2054886870028,0.05871098,-2.5645026e-05,1.3632879e-05,1.34478e-05,2.0,40,0.019188989,7.405459e-06,0,-3.1887902417467e-08,2.0
114,114,3925558.5,422.38052,2954.0405,2984.0845,-81.86278,85.62149572008639,0.058660917,2.728183e-06,1.372468e-05,1.34497095e-05,2.0,40,0.018445663,6.1813475e-06,0,-3.284275031958739e-08,2.0
115,115,3397055.0,368.77377,3351.3467,3371.5752,-83.72058,86.03748557987274,0.058714595,-1.6360944e-05,1.3979711e-05,1.3812466e-05,2.0,40,0.019345926,5.737949e-06,0,-3.6193346670089594e-08,2.0
116,116,2939708.2,473.8208,3843.793,3872.8865,-82.97266,86.45349215963506,0.05862855,-9.997888e-06,1.4084969e-05,1.3874149e-05,2.0,40,0.021080835,5.4431844e-06,0,-4.146462482801303e-08,2.0
117,117,2543924.5,474.871,4278.7627,4305.033,-83.667046,87.00550074587227,0.058668666,-2.6259004e-05,1.4621695e-05,1.4443788e-05,2.0,40,0.020424578,4.7443486e-06,0,-4.84024057335915e-08,2.0
118,118,2201436.2,618.1636,5052.444,5090.119,-83.02456,87.55749213203671,0.05864782,-1.7886576e-05,1.4309107e-05,1.4098068e-05,2.0,40,0.020899646,4.1059247e-06,0,-4.79847053618941e-08,2.0
119,119,1905053.1,622.2175,5836.1963,5869.271,-83.91448,88.27548619281151,0.05867474,-9.628144e-06,1.4314729e-05,1.415385e-05,2.0,41,0.019412056,3.3074048e-06,0,-5.376390751022164e-08,2.0
120,120,1648567.4,646.7224,6858.7046,6889.1274,-84.61338,88.82749573906767,0.05863759,-2.0993389e-06,1.4075744e-05,1.3951699e-05,2.0,41,0.020055242,2.911144e-06,0,-5.4339164655155474e-08,2.0
121,121,1426616.2,670.76544,7905.2637,7933.67,-85.15004,89.37949792525615,0.058640216,1.775856e-06,1.4112261e-05,1.4011385e-05,2.0,41,0.020658165,2.60386e-06,0,-5.3151821120463005e-08,2.0
122,122,1234551.2,819.07733,9048.102,9085.1,-84.82741,89.93249131154153,0.05867407,-4.192429e-06,1.4247988e-05,1.4132177e-05,2.0,41,0.020461436,2.2521972e-06,0,-5.2449402709842056e-08,2.0
123,123,1068345.5,1186.0752,10615.347,10681.402,-83.624664,90.48448213774827,0.05866902,-1.3209471e-06,1.4033766e-05,1.3860728e-05,2.0,41,0.020677868,1.9358758e-06,0,-5.340463034655634e-08,2.0
124,124,924510.06,1536.5388,12354.995,12450.175,-82.91077,91.03648248399259,0.058561385,6.2152917e-06,1.3933682e-05,1.3721456e-05,2.0,41,0.020288713,1.6295926e-06,0,-5.262838182281272e-08,2.0
125,125,800039.0,1056.9738,13999.074,14038.92,-85.68218,91.5894924835593,0.05863841,-3.5447596e-07,1.421051e-05,1.4129958e-05,2.0,41,0.020608673,1.4679671e-06,0,-5.186711621554845e-08,2.0
126,126,692334.1,1817.159,16153.3125,16255.201,-83.58152,92.14149496311438,0.05858853,3.7199718e-06,1.4231242e-05,1.4053397e-05,2.0,41,0.02040524,1.2553053e-06,0,-5.200827332995613e-08,2.0
127,127,599122.25,2427.244,18269.764,18430.295,-82.43224,92.69349824267556,0.058663916,-1.1291423e-06,1.4540246e-05,1.42880535e-05,2.0,41,0.020789154,1.1279881e-06,0,-5.194123362015921e-08,2.0
128,128,518454.94,3012.6128,20824.672,21041.455,-81.76838,93.24550613554311,0.058628123,1.9304175e-06,1.47411365e-05,1.4438954e-05,2.0,41,0.020418571,9.703973e-07,0,-5.262080080388781e-08,2.0
129,129,448662.03,4051.451,24053.387,24392.205,-80.43909,93.79749024179182,0.058598332,3.045863e-06,1.4747709e-05,1.4340851e-05,2.0,41,0.0203012,8.322823e-07,0,-5.2999493055778124e-08,2.0
130,130,388258.97,5406.124,27562.295,28087.475,-78.90277,94.34950792134623,0.058550633,9.494591e-06,1.4872475e-05,1.4321504e-05,2.0,41,0.020806469,7.4077394e-07,0,-5.2151949949432186e-08,2.0
131,131,335983.9,5592.8936,32555.22,33032.15,-80.25191,94.90149450753233,0.058759235,-8.298534e-06,1.4550604e-05,1.4133465e-05,2.0,41,0.020275913,6.1382366e-07,0,-5.309210488307237e-08,2.0
132,132,290751.2,8166.0645,35262.586,36195.78,-76.96136,95.4534922670864,0.05870416,-2.4736366e-06,1.5523316e-05,1.4733193e-05,2.0,41,0.020579297,5.6855515e-07,0,-5.4330970737510736e-08,2.0
133,133,251605.19,11169.092,41051.86,42544.14,-74.77979,96.00550306666992,0.05861186,2.7888814e-06,1.5408761e-05,1.4346761e-05,2.0,41,0.020397332,4.794393e-07,0,-5.399790009705323e-08,2.0
134,134,217729.38,14007.016,45605.277,47707.84,-72.9264,96.55749285288039,0.058728624,-7.181227e-06,1.602832e-05,1.4646664e-05,2.0,41,0.020202536,4.2346366e-07,0,-5.3807188922756787e-08,2.0
135,135,188418.58,15143.062,51094.16,53290.953,-73.49146,97.27649392702733,0.05861441,-1.2224706e-07,1.653199e-05,1.5197099e-05,2.0,42,0.019884959,3.731395e-07,0,-5.4378241029401585e-08,2.0
136,136,163051.14,19851.89,57767.387,61083.293,-71.0346,97.6924937601143,0.058561962,1.9117687e-08,1.6897155e-05,1.5112424e-05,2.0,42,0.02176935,3.5638797e-07,0,-5.446068692194493e-08,2.0
