True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,170.65553,1754.2444,1762.5256,-84.443665,2.468492223910289,0.0228009,-1.3694196e-07,1.29607715e-05,1.2839265e-05,1.0,40,0.009994808,5.6707304e-06,0,6.131897216069622e-09,1.0
1,1,6057573.0,299.51028,1881.7968,1905.483,-80.95655,3.020484303444391,0.022823201,-6.593128e-06,1.3962037e-05,1.3617081e-05,1.0,40,0.014137353,7.4193013e-06,0,2.725084983050389e-09,1.0
2,2,5242039.0,325.42596,2169.5889,2193.8591,-81.46955,3.4364814965229016,0.02281532,-1.014674e-05,1.3994018e-05,1.36861045e-05,1.0,40,0.019653134,8.958248e-06,0,4.825676201234173e-10,1.0
3,3,4536288.0,249.83675,2478.748,2491.307,-84.24451,4.668480435066158,0.022794118,-1.647256e-05,1.4154258e-05,1.4011914e-05,1.0,40,0.021553092,8.651319e-06,0,-1.1234008276548795e-08,1.0
4,4,3925558.5,384.48087,2863.5977,2889.2935,-82.35291,5.084485041472362,0.022831792,-3.682686e-05,1.4158155e-05,1.39074455e-05,1.0,40,0.019911706,6.8915488e-06,0,-1.1469312745791487e-08,1.0
5,5,3397055.0,467.11026,3234.1677,3267.7258,-81.78161,5.500498021225212,0.02282348,-3.563611e-05,1.4486218e-05,1.4190212e-05,1.0,40,0.021054635,6.4432074e-06,0,-1.5338036225140666e-08,1.0
6,6,2939708.2,481.71512,3718.5127,3749.5847,-82.61872,6.052502447477309,0.02277843,-1.8816841e-05,1.4559506e-05,1.4319202e-05,1.0,40,0.020942112,5.585182e-06,0,-1.8469757799923375e-08,1.0
7,7,2543924.5,471.80435,4274.8115,4300.769,-83.70184,6.604494660306955,0.022755904,-1.0872345e-05,1.463521e-05,1.44590795e-05,1.0,40,0.020565134,4.781734e-06,0,-2.177209189126946e-08,1.0
8,8,2201436.2,612.133,4857.5366,4895.954,-82.817604,7.156503299862379,0.022745246,-3.308718e-05,1.4883255e-05,1.46506e-05,1.0,40,0.020821653,4.2528286e-06,0,-2.993540989372908e-08,1.0
9,9,1905053.1,496.6108,5689.391,5711.024,-85.01146,7.875501467351569,0.022687191,1.6939073e-06,1.4684098e-05,1.4573064e-05,1.0,41,0.019378113,3.3931065e-06,0,-3.4720764700771336e-08,1.0
10,10,1648567.4,671.9078,6695.719,6729.347,-84.269615,8.42748624025262,0.02272084,-5.5745414e-07,1.4418371e-05,1.42746285e-05,1.0,41,0.020048378,2.9792457e-06,0,-3.478914737648727e-08,1.0
11,11,1426616.2,621.98267,7649.013,7674.26,-85.3512,8.979498853121186,0.022739658,2.2283666e-06,1.4585038e-05,1.4489233e-05,1.0,41,0.02055562,2.6785149e-06,0,-3.5004463489452555e-08,1.0
12,12,1234551.2,876.72235,8322.182,8368.234,-83.986206,9.531498212687438,0.022773232,-3.0080812e-06,1.5490798e-05,1.5320767e-05,1.0,41,0.020256951,2.4206959e-06,0,-3.455152903458093e-08,1.0
13,13,1068345.5,1207.5128,10462.419,10531.87,-83.416374,10.083478212269256,0.022720933,2.1240849e-06,1.4238896e-05,1.4051721e-05,1.0,41,0.02068373,1.963918e-06,0,-3.425140340962685e-08,1.0
14,14,924510.06,1358.2468,11591.187,11670.494,-83.316605,10.63548685182468,0.022703717,1.8559306e-06,1.4851852e-05,1.4650684e-05,1.0,41,0.020304661,1.7398288e-06,0,-3.425144731919419e-08,1.0
15,15,800039.0,1692.0166,13309.859,13416.978,-82.755135,11.187498371320544,0.02269876,2.4499661e-06,1.4946362e-05,1.4708658e-05,1.0,41,0.020746443,1.546283e-06,0,-3.3885343290645805e-08,1.0
16,16,692334.1,2419.227,15150.85,15342.78,-80.927826,11.739498717564857,0.022804048,-3.5555622e-06,1.5172859e-05,1.4795623e-05,1.0,41,0.020376872,1.3281082e-06,0,-3.365466036013368e-08,1.0
17,17,599122.25,2887.4993,17799.49,18032.18,-80.78554,12.291489677125355,0.02282242,-6.724991e-06,1.4924409e-05,1.4541721e-05,1.0,41,0.020802692,1.1536426e-06,0,-3.33226004882887e-08,1.0
18,18,518454.94,3637.2024,20089.77,20416.367,-79.7379,12.843504263350042,0.02275158,-2.9857354e-06,1.528038e-05,1.4795414e-05,1.0,41,0.020332942,9.959138e-07,0,-3.412260280729385e-08,1.0
19,19,448662.03,5028.413,23156.664,23696.33,-77.748566,13.395503222913248,0.022784838,-4.697079e-06,1.5318803e-05,1.4628999e-05,1.0,41,0.020197583,8.523507e-07,0,-3.47136582731922e-08,1.0
20,20,388258.97,5511.4175,26349.445,26919.676,-78.185974,13.947498022433138,0.022722349,3.1743539e-06,1.5557047e-05,1.4904948e-05,1.0,41,0.020753821,7.709536e-07,0,-3.377828767497704e-08,1.0
21,21,335983.9,6463.4907,30280.8,30962.94,-77.950935,14.499502981983824,0.022765052,-4.88702e-06,1.5643513e-05,1.4961827e-05,1.0,41,0.020300975,6.55654e-07,0,-3.3140063098677e-08,1.0
22,22,290751.2,11087.682,33537.85,35323.14,-71.70601,15.051496314903488,0.022772767,-1.1384537e-06,1.6321625e-05,1.4713474e-05,1.0,41,0.020480502,5.798041e-07,0,-3.324850868577932e-08,1.0
23,23,251605.19,13678.68,37936.96,40327.65,-70.172554,15.60348756777239,0.02276088,-3.451281e-06,1.6673932e-05,1.4755614e-05,1.0,41,0.020483471,5.0792625e-07,0,-3.346208685400143e-08,1.0
24,24,217729.38,17482.703,41797.973,45306.902,-67.30206,16.155482287314953,0.022664292,4.0048844e-06,1.7488312e-05,1.488434e-05,1.0,41,0.020259183,4.4715446e-07,0,-3.2929499558592725e-08,1.0
25,25,188418.58,19818.363,48485.555,52379.543,-67.76782,16.707491833512904,0.02269699,4.1836547e-06,1.7421438e-05,1.4927441e-05,1.0,41,0.020849457,3.9804578e-07,0,-3.312012959338359e-08,1.0
26,26,163051.14,24984.547,52108.05,57788.203,-64.383415,17.42649738767068,0.022750631,-5.4168464e-07,1.8732315e-05,1.5230801e-05,1.0,42,0.019318387,3.3429637e-07,0,-3.356207593666443e-08,1.0
27,27,141098.2,30616.914,56822.426,64545.98,-61.683437,17.84250266078743,0.022699002,1.8339126e-07,1.9850839e-05,1.538438e-05,1.0,42,0.020959502,3.2472204e-07,0,-3.363415110746843e-08,1.0
28,28,122105.11,38889.79,49220.816,62730.41,-51.68743,18.394502580311382,0.02275311,-4.3105132e-07,2.6481192e-05,1.6303426e-05,1.0,42,0.020115359,3.206636e-07,0,-3.3761695938401233e-08,1.0
29,29,105663.59,46149.46,63586.707,78568.71,-54.0289,18.810487800074043,0.022710107,1.16676695e-08,2.3688002e-05,1.551536e-05,1.0,42,0.021766394,2.770364e-07,0,-3.3792416654116835e-08,1.0
30,30,91439.65,56761.875,65777.22,86882.41,-49.207737,19.362489159655524,0.022672359,3.1041452e-07,2.6461234e-05,1.5166921e-05,1.0,42,0.02043843,2.3524245e-07,0,-3.3806091764465834e-08,1.0
31,31,79127.08,63506.023,66379.836,91865.65,-46.2675,19.77849885940668,0.022779958,-6.6703143e-07,3.030113e-05,1.5820671e-05,1.0,42,0.021352554,2.324324e-07,0,-3.3855595152259594e-08,1.0
32,32,68475.36,73801.07,68110.125,100427.02,-42.70355,20.330495072266785,0.022779716,-6.2605625e-07,3.4125114e-05,1.5696265e-05,1.0,42,0.020195097,2.0109225e-07,0,-3.3925027367049254e-08,1.0
33,33,59252.523,82774.25,66830.766,106385.75,-38.91692,20.74648367872578,0.022739863,1.3552481e-07,4.0191742e-05,1.5860716e-05,1.0,42,0.020800292,1.9551766e-07,0,-3.387575223138997e-08,1.0
34,34,51282.285,93381.57,67249.76,115076.7,-35.75996,21.162480178492842,0.022761364,-5.6571076e-07,4.6148973e-05,1.5760452e-05,1.0,42,0.02138119,1.8579946e-07,0,-3.3892583993313566e-08,1.0
35,35,44369.8,102347.99,60913.074,119102.95,-30.759268,21.578492091590306,0.022803545,-5.690632e-07,5.8887363e-05,1.5402744e-05,1.0,42,0.021739528,1.8252719e-07,0,-3.387262950307009e-08,1.0
36,36,38403.727,108668.99,56379.31,122423.76,-27.421045,22.130500384460902,0.02268665,1.5694373e-07,7.3506715e-05,1.5589605e-05,1.0,42,0.02020692,1.6505719e-07,0,-3.389198857147472e-08,1.0
37,37,33226.32,116020.33,51348.914,126875.64,-23.873486,22.54648749754415,0.022695966,5.022188e-08,9.328389e-05,1.5279624e-05,1.0,42,0.020419132,1.6093816e-07,0,-3.3876469708966384e-08,1.0
38,38,28754.086,121749.22,48012.08,130874.11,-21.521908,22.962492423976073,0.022755904,-4.3868738e-07,0.000115284274,1.5515421e-05,1.0,42,0.020519175,1.5678559e-07,0,-3.3941489691279966e-08,1.0
39,39,24884.947,126072.164,40567.02,132438.19,-17.836939,23.379484683769988,0.022748508,-3.0514522e-07,0.00015765593,1.4792107e-05,1.0,42,0.020576045,1.5536338e-07,0,-3.3976959136144245e-08,1.0
40,40,21553.963,130181.016,37977.695,135607.53,-16.263544,23.796496356924763,0.022706829,2.2827825e-07,0.0001944305,1.5249443e-05,1.0,42,0.020556355,1.5158712e-07,0,-3.401083227621982e-08,1.0
41,41,18631.234,131829.27,33087.312,135918.08,-14.089407,24.212492189981276,0.02273839,-2.5280826e-07,0.00025817667,1.5299793e-05,1.0,42,0.020428661,1.5030128e-07,0,-3.408434295829071e-08,1.0
42,42,16126.037,134262.53,29756.676,137520.5,-12.496497,24.6284929830872,0.022697717,-7.978076e-08,0.0003316714,1.5528947e-05,1.0,42,0.02025267,1.4727019e-07,0,-3.409670191307591e-08,1.0
43,43,13954.87,135189.94,25244.928,137526.81,-10.577403,25.04448633620632,0.022721529,-1.462722e-07,0.00045177297,1.5222771e-05,1.0,42,0.019996624,1.4540164e-07,0,-3.411235494237906e-08,1.0
44,44,12080.609,139500.9,21393.695,141131.83,-8.718884,25.4605016092828,0.02275214,-3.291707e-07,0.00061580824,1.4150349e-05,1.0,42,0.019805832,1.4033569e-07,0,-3.415211405929518e-08,1.0
45,45,10447.592,138257.75,18756.188,139524.19,-7.725641,25.87648866904783,0.022701537,-2.7257393e-08,0.0008121932,1.4677412e-05,1.0,42,0.019196598,1.3758617e-07,0,-3.4200995865153534e-08,1.0
46,46,9045.586,139041.77,16264.855,139989.84,-6.6720343,26.3082657828636,0.022720933,3.0557393e-07,0.0010817656,1.4602949e-05,1.0,42,0.021843262,1.5603462e-07,0,-3.4288720317955304e-08,1.0
47,47,7827.7437,139590.84,13499.753,140242.1,-5.523865,26.788934925745707,0.022756388,-1.5521134e-07,0.0015061136,1.39557305e-05,1.0,42,0.021890014,1.5608734e-07,0,-3.421661666977569e-08,1.0
48,48,6770.8345,139704.8,11830.488,140204.81,-4.840376,27.327395217929734,0.022746608,-1.1945107e-07,0.0019868966,1.4146688e-05,1.0,42,0.021952465,1.5657426e-07,0,-3.432172191052985e-08,1.0
49,49,5860.798,140104.97,10713.308,140513.97,-4.372687,27.93396866013063,0.022711542,-1.6268013e-08,0.0025347772,1.4734926e-05,1.0,42,0.022000028,1.5656826e-07,0,-3.436820599506913e-08,1.0
50,50,5071.625,140344.83,9353.476,140656.17,-3.8129182,28.83567395630962,0.02274739,5.8977523e-08,0.0033550577,1.4836397e-05,1.0,42,0.020226346,1.4379992e-07,0,-3.4402677515626264e-08,1.0
51,51,4388.5933,141682.2,8070.845,141911.89,-3.2602978,29.515810948607395,0.022696897,1.8749085e-07,0.0044934074,1.4533703e-05,1.0,42,0.020333169,1.4328023e-07,0,-3.431155035390216e-08,1.0
52,52,3798.7827,141455.03,7304.5386,141643.5,-2.9560478,30.195832527577295,0.022761364,-1.304397e-07,0.0057356535,1.52536995e-05,1.0,42,0.02032961,1.4352659e-07,0,-3.423602547955637e-08,1.0
53,53,3286.0488,141535.34,6489.4395,141684.03,-2.625191,30.87569877320493,0.022802837,-6.18993e-08,0.007463438,1.5657106e-05,1.0,42,0.020349327,1.436247e-07,0,-3.42280196520398e-08,1.0
54,54,2844.088,141510.94,6259.41,141649.31,-2.5326955,31.55481715212227,0.02273198,-3.954917e-08,0.008940127,1.7457482e-05,1.0,42,0.020337936,1.4357948e-07,0,-3.413458909522483e-08,1.0
55,55,2460.7852,141887.02,5413.5625,141990.25,-2.1850054,32.23467590442306,0.022800304,-3.1706344e-07,0.0119471215,1.7366508e-05,1.0,42,0.020364359,1.4342083e-07,0,-3.4107521606428136e-08,1.0
56,56,2129.3164,142564.33,4393.2505,142632.0,-1.7650634,32.914810923379264,0.022744669,-1.948826e-07,0.017013513,1.6141057e-05,1.0,42,0.02038731,1.4293644e-07,0,-3.4065732379997154e-08,1.0
57,57,1843.2289,143113.42,4976.877,143199.94,-1.9917011,33.5949422356789,0.022771908,-2.6081557e-07,0.017349381,2.095618e-05,1.0,42,0.020416949,1.4257652e-07,0,-3.4031132603511575e-08,1.0
58,58,1594.4913,143151.78,5021.237,143239.81,-2.0089011,34.274839867983246,0.02271458,-1.2112716e-07,0.019878667,2.4427622e-05,1.0,42,0.020400798,1.4242407e-07,0,-3.398129269336023e-08,1.0
59,59,1380.4436,144266.14,4790.734,144345.66,-1.9019572,34.954677206944325,0.022659075,4.5364408e-07,0.02406575,2.6509166e-05,1.0,42,0.020464588,1.4177488e-07,0,-3.382235711280678e-08,1.0
60,60,1194.6187,144402.17,4849.4785,144483.58,-1.9234494,35.63484505258384,0.022728628,2.3962492e-08,0.02747235,3.0949162e-05,1.0,42,0.020422593,1.4134889e-07,0,-3.3858011020242094e-08,1.0
61,61,1033.3434,145950.92,6184.135,146081.88,-2.4262471,36.31508015154395,0.022727864,-1.727188e-07,0.024905572,4.4633583e-05,1.0,42,0.020512234,1.4041602e-07,0,-3.3916692027457764e-08,1.0
62,62,894.71045,144918.72,5779.2495,145033.9,-2.2837026,36.9948310105101,0.022697512,-6.67418e-08,0.030779827,4.8873113e-05,1.0,42,0.020402938,1.4067702e-07,0,-3.392446369351552e-08,1.0
63,63,774.2569,145647.47,6133.696,145776.56,-2.4114897,37.67494109613472,0.022657268,5.002068e-07,0.033512965,5.9331032e-05,1.0,42,0.020419147,1.4007153e-07,0,-3.3789047000590307e-08,1.0
64,64,669.7856,146317.88,6806.301,146476.1,-2.6633205,38.35480310177081,0.022748135,-5.0351606e-08,0.03491188,7.5381016e-05,1.0,42,0.020432856,1.3949618e-07,0,-3.377839477961765e-08,1.0
65,65,579.81464,146463.94,6756.8545,146619.72,-2.6413665,39.034844387409976,0.022762462,-6.7300775e-08,0.040624347,8.627615e-05,1.0,42,0.020403598,1.3915998e-07,0,-3.391992967823951e-08,1.0
66,66,501.44418,148122.42,7627.0923,148318.66,-2.9476604,39.712191032856936,0.022692965,2.8991266e-08,0.04161391,0.00011004364,1.0,42,0.020468328,1.3800238e-07,0,-3.402120067012188e-08,1.0
67,67,434.02762,148320.22,7539.948,148511.75,-2.9101605,40.392191145190736,0.022727026,2.2641761e-07,0.048633374,0.00012535727,1.0,42,0.020433575,1.3758894e-07,0,-3.3849089544936026e-08,1.0
68,68,375.6009,149705.55,8905.407,149970.19,-3.4042938,41.07046160407481,0.022713332,8.6729145e-08,0.047581676,0.00016777894,1.0,42,0.020468447,1.3648344e-07,0,-3.370762821536981e-08,1.0
