True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,183.15057,1734.2052,1743.8497,-83.9713,2.4684823572461028,0.06709675,-1.1969965e-05,1.3110536e-05,1.2965919e-05,1.0,40,0.010030937,5.7521797e-06,0,1.408060339580667e-09,1.0
1,1,6057573.0,301.6239,1908.1954,1931.8868,-81.01771,3.0204932367487345,0.067093566,1.0747094e-05,1.376888e-05,1.3433247e-05,1.0,40,0.014192347,7.3463657e-06,0,-1.6026169328395352e-09,1.0
2,2,5242039.0,311.6829,2197.0364,2219.0347,-81.925606,3.4374853899062146,0.067132,4.179412e-06,1.3819192e-05,1.3546558e-05,1.0,40,0.019706368,8.880605e-06,0,-2.7049449829329813e-09,1.0
3,3,4536288.0,270.07794,2554.7932,2569.029,-83.96543,4.941481621324783,0.06714402,-1.9226154e-05,1.3732948e-05,1.35811715e-05,1.0,40,0.021648655,8.426785e-06,0,-1.4856755923814388e-08,1.0
4,4,3925558.5,370.9778,2911.672,2935.2102,-82.73904,5.357503534440184,0.067088366,-1.9747113e-05,1.392439e-05,1.3701961e-05,1.0,40,0.01941085,6.613104e-06,0,-1.6495632727779727e-08,1.0
5,5,3397055.0,442.74493,3290.2117,3319.867,-82.336075,5.773488087550504,0.06703597,-1.4202708e-05,1.42394665e-05,1.39862095e-05,1.0,40,0.02024997,6.099633e-06,0,-1.655591511619529e-08,1.0
6,6,2939708.2,427.8696,3781.3584,3805.4885,-83.544304,6.32549790039775,0.067014955,2.406857e-05,1.43175275e-05,1.4136533e-05,1.0,40,0.020239538,5.318512e-06,0,-1.4803093535356816e-08,1.0
7,7,2543924.5,545.4019,4259.2275,4294.0054,-82.70288,6.8774985666095745,0.06707154,-4.7208672e-05,1.4688759e-05,1.4451788e-05,1.0,40,0.020336427,4.736004e-06,0,-2.023932099798584e-08,1.0
8,8,2201436.2,639.6228,4912.4414,4953.907,-82.58156,7.429482672858285,0.067023866,1.4630322e-06,1.471691e-05,1.44715705e-05,1.0,40,0.020827077,4.204172e-06,0,-1.955400181278972e-08,1.0
9,9,1905053.1,523.4336,5836.632,5860.0557,-84.87538,8.14848193366197,0.0670149,-1.5779422e-06,1.4313661e-05,1.4199461e-05,1.0,41,0.019501697,3.327903e-06,0,-1.9103082835554928e-08,1.0
10,10,1648567.4,741.2802,6596.3516,6637.8726,-83.58816,8.700495239900192,0.067040876,-2.568608e-06,1.463557e-05,1.4453047e-05,1.0,41,0.01978982,2.9813498e-06,0,-2.0430941816054352e-08,1.0
11,11,1426616.2,758.2041,7693.7,7730.9697,-84.37175,9.252486466109985,0.06699012,4.898731e-06,1.4500324e-05,1.4360855e-05,1.0,41,0.020221438,2.6156406e-06,0,-1.978939744640229e-08,1.0
12,12,1234551.2,881.8277,8804.545,8848.595,-84.280556,9.804482519015437,0.06693356,8.90428e-06,1.4642124e-05,1.4496705e-05,1.0,41,0.020791523,2.3496978e-06,0,-1.947370506814631e-08,1.0
13,13,1068345.5,1196.9867,10537.846,10605.61,-83.519585,10.35648238522117,0.067102455,-4.59652e-06,1.4136977e-05,1.3956898e-05,1.0,41,0.0206308,1.9452723e-06,0,-1.999859530912968e-08,1.0
14,14,924510.06,1692.2091,11629.276,11751.751,-81.72083,10.908503931452287,0.06705736,3.3810559e-06,1.4803207e-05,1.4496261e-05,1.0,41,0.020324629,1.729498e-06,0,-1.9206490766205458e-08,1.0
15,15,800039.0,2056.3599,13898.052,14049.358,-81.583565,11.460480997659033,0.06698148,7.2320427e-06,1.4313803e-05,1.4007153e-05,1.0,41,0.020920927,1.4891019e-06,0,-2.011121030067405e-08,1.0
16,16,692334.1,2460.9304,15856.42,16046.253,-81.178024,12.012496890529292,0.067125894,-4.1980143e-06,1.4497706e-05,1.4156708e-05,1.0,41,0.020380005,1.2700788e-06,0,-2.0096046881630198e-08,1.0
17,17,599122.25,3089.774,17978.85,18242.416,-80.24863,12.5644807300705,0.06695972,7.652895e-06,1.4775521e-05,1.4351652e-05,1.0,41,0.020782305,1.1392299e-06,0,-1.9206715693542265e-08,1.0
18,18,518454.94,4009.341,20335.488,20726.96,-78.84663,13.11649923629011,0.067094624,-5.158898e-06,1.5095744e-05,1.4530898e-05,1.0,41,0.02037023,9.827891e-07,0,-1.844376395192171e-08,1.0
19,19,448662.03,4868.491,23437.38,23937.691,-78.26521,13.668479102518177,0.06709004,-2.8833153e-06,1.5135324e-05,1.4509263e-05,1.0,41,0.020232204,8.452028e-07,0,-1.846719148383771e-08,1.0
20,20,388258.97,6375.2017,26492.436,27248.713,-76.469475,14.22050022208714,0.06695357,9.907995e-06,1.547308e-05,1.46261e-05,1.0,41,0.020879002,7.662381e-07,0,-1.8515199703146992e-08,1.0
21,21,335983.9,9282.724,28500.998,29974.586,-71.95966,14.772500381601276,0.06708758,-3.8777193e-06,1.6620403e-05,1.5026413e-05,1.0,41,0.020157725,6.7249385e-07,0,-1.8409985122782282e-08,1.0
22,22,290751.2,10702.399,34106.01,35745.79,-72.57825,15.32450251452974,0.06694867,8.64916e-06,1.6049727e-05,1.4610995e-05,1.0,41,0.020607417,5.7649913e-07,0,-1.8657633319136242e-08,1.0
23,23,251605.19,13060.368,38939.492,41071.367,-71.458466,15.876487394067226,0.067025654,-1.0323099e-06,1.6244647e-05,1.4602006e-05,1.0,41,0.020441724,4.977123e-07,0,-1.7736544528301264e-08,1.0
24,24,217729.38,17347.482,42487.836,45892.824,-67.79015,16.428495926928008,0.06713769,-7.430758e-06,1.7204358e-05,1.4746133e-05,1.0,41,0.020297166,4.4227318e-07,0,-1.6820096593333585e-08,1.0
25,25,188418.58,21165.242,46021.4,50655.074,-65.3023,16.980497713171644,0.06707881,-3.929861e-06,1.8354247e-05,1.5149919e-05,1.0,41,0.02064367,4.075341e-07,0,-1.788148540610103e-08,1.0
26,26,163051.14,25594.11,52586.324,58484.016,-64.04751,17.69948948067031,0.06708798,-6.4915156e-07,1.8561945e-05,1.500703e-05,1.0,42,0.019392239,3.3158187e-07,0,-1.7962263558675632e-08,1.0
