True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,258.6334,1850.071,1868.0616,-82.041824,82.97448375439853,0.07013767,-6.332537e-06,1.22894535e-05,1.20538825e-05,2.0,40,0.010035723,5.3722656e-06,0,-5.2308352439493316e-08,2.0
111,111,6057573.0,324.08142,1914.5662,1941.8013,-80.39253,83.52648263392621,0.070175365,-6.555361e-05,1.3723065e-05,1.3340814e-05,2.0,40,0.014218801,7.32248e-06,0,-5.928688313424383e-08,2.0
112,112,5242039.0,314.96295,2239.228,2261.2705,-81.99348,83.94249748034053,0.070153005,-1.08351405e-05,1.3558809e-05,1.329576e-05,2.0,40,0.019728394,8.724473e-06,0,-6.168964103296541e-08,2.0
113,113,4536288.0,250.1597,2597.988,2610.0042,-84.49996,85.4464997384639,0.070174545,-6.726529e-05,1.3504619e-05,1.3380559e-05,2.0,40,0.01914035,7.3334554e-06,0,-7.443076477611043e-08,2.0
114,114,3925558.5,361.18167,2926.817,2949.0183,-82.96503,85.86248717157287,0.07008286,-1.1356097e-05,1.3852338e-05,1.3644552e-05,2.0,40,0.018579278,6.300157e-06,0,-7.714497415478326e-08,2.0
115,115,3397055.0,395.95642,3290.514,3314.2515,-83.138435,86.27848767131218,0.07011166,-2.5235713e-05,1.4238158e-05,1.4034934e-05,2.0,40,0.019659003,5.931657e-06,0,-8.13850092745238e-08,2.0
116,116,2939708.2,463.9793,3781.466,3809.8245,-83.00487,86.69450091771432,0.070106395,-2.1347178e-05,1.4317121e-05,1.4104775e-05,2.0,40,0.021621404,5.6751705e-06,0,-8.83965769379371e-08,2.0
117,117,2543924.5,432.13312,4385.3135,4406.553,-84.372185,87.24649867726839,0.070167094,-6.484658e-05,1.4266429e-05,1.4129231e-05,2.0,40,0.020552607,4.6641007e-06,0,-9.636277255161158e-08,2.0
118,118,2201436.2,630.6677,4987.477,5027.193,-82.79318,87.79848867686815,0.07009423,-2.9663786e-05,1.44954965e-05,1.4267367e-05,2.0,40,0.020882519,4.1539124e-06,0,-1.0252648957034518e-07,2.0
119,119,1905053.1,418.5521,5941.971,5956.6943,-85.97074,88.51650484427228,0.07015392,-1.2242644e-05,1.4059909e-05,1.39904905e-05,2.0,41,0.019880397,3.3374884e-06,0,-1.0213503940795635e-07,2.0
120,120,1648567.4,534.4322,6941.782,6962.324,-85.59761,89.06850719047361,0.07000326,4.4350477e-06,1.3907289e-05,1.3825344e-05,2.0,41,0.019798398,2.8436477e-06,0,-1.016003374938887e-07,2.0
121,121,1426616.2,665.57776,7784.221,7812.624,-85.1129,89.62050740336417,0.07011524,-7.453105e-06,1.4331704e-05,1.4227687e-05,2.0,41,0.020281613,2.5960053e-06,0,-1.0143375922775515e-07,2.0
122,122,1234551.2,769.70496,8766.455,8800.181,-84.98223,90.1725064162456,0.070073806,-2.5648837e-06,1.47057435e-05,1.4593244e-05,2.0,41,0.02067817,2.3497437e-06,0,-1.0247984394485836e-07,2.0
123,123,1068345.5,926.2972,10472.749,10513.634,-84.945435,90.72450076250243,0.070053704,4.8164225e-07,1.4224851e-05,1.4114433e-05,2.0,41,0.02066444,1.96549e-06,0,-1.0354739833582016e-07,2.0
124,124,924510.06,893.8442,11879.192,11912.773,-85.696915,91.27649625539198,0.069988735,5.0383946e-06,1.4491774e-05,1.4410188e-05,2.0,41,0.0203057,1.7045318e-06,0,-1.0308066040070527e-07,2.0
125,125,800039.0,1998.9875,12603.119,12760.665,-80.987366,91.82850233491627,0.07008456,-2.1440314e-06,1.5784502e-05,1.539715e-05,2.0,41,0.02057456,1.6123423e-06,0,-1.034893315631046e-07,2.0
126,126,692334.1,1782.4456,15642.579,15743.805,-83.49928,92.38050673445105,0.07003295,3.1222125e-06,1.46958955e-05,1.4507526e-05,2.0,41,0.020328937,1.2912341e-06,0,-1.0367110153720521e-07,2.0
127,127,599122.25,2436.6287,18344.037,18505.158,-82.43372,92.93249937400105,0.070064485,-1.7864925e-06,1.4481375e-05,1.4230299e-05,2.0,41,0.020854214,1.1269406e-06,0,-1.0421940603976685e-07,2.0
128,128,518454.94,2768.6746,21133.53,21314.117,-82.53626,93.4844824669126,0.07002612,5.747504e-07,1.45257e-05,1.4280599e-05,2.0,41,0.020275787,9.512844e-07,0,-1.0497564382027254e-07,2.0
129,129,448662.03,3877.093,23790.568,24104.418,-80.74401,94.03649099977338,0.07011938,-4.4009935e-06,1.4910629e-05,1.4524872e-05,2.0,41,0.020196287,8.378666e-07,0,-1.0601226864058965e-07,2.0
130,130,388258.97,5303.2266,27729.18,28231.748,-79.17288,94.5884938526724,0.07007371,-3.6006244e-07,1.4782968e-05,1.42613335e-05,2.0,41,0.020925583,7.412075e-07,0,-1.061783639343048e-07,2.0
131,131,335983.9,6977.27,31253.932,32023.281,-77.41538,95.1404993988981,0.07005979,2.3289228e-06,1.5156433e-05,1.4436922e-05,2.0,41,0.020256365,6.325512e-07,0,-1.0542318066965429e-07,2.0
132,132,290751.2,8023.8643,35591.824,36485.07,-77.295555,95.69248534514918,0.07006359,2.0980137e-06,1.537972e-05,1.4635869e-05,2.0,41,0.020537112,5.628908e-07,0,-1.0617138642173056e-07,2.0
133,133,251605.19,11474.036,40531.395,42124.19,-74.19371,96.24450185135356,0.07001966,3.166904e-06,1.5606625e-05,1.4448706e-05,2.0,41,0.020325776,4.8252025e-07,0,-1.0561156073498208e-07,2.0
134,134,217729.38,13310.269,45683.984,47583.504,-73.75624,96.79648753089714,0.07006419,3.7032114e-06,1.6000706e-05,1.4748717e-05,2.0,41,0.020258091,4.2573768e-07,0,-1.0600088531769656e-07,2.0
135,135,188418.58,18324.361,48076.95,51450.707,-69.13583,97.34948598381015,0.06999872,5.1501247e-06,1.7569504e-05,1.5340891e-05,2.0,41,0.02078086,4.038984e-07,0,-1.0519916794850322e-07,2.0
136,136,163051.14,20107.07,57446.215,60863.47,-70.70916,98.06849647130002,0.07010244,-2.224502e-07,1.6991624e-05,1.5137157e-05,2.0,42,0.019106321,3.13921e-07,0,-1.0492801446306761e-07,2.0
137,137,141098.2,25407.324,64316.13,69152.7,-68.44409,98.48448246440967,0.07007568,-4.899068e-07,1.7537946e-05,1.5170511e-05,2.0,42,0.020814028,3.0098647e-07,0,-1.0499677008715361e-07,2.0
138,138,122105.11,32870.996,63839.04,71804.77,-62.755867,99.03650033063604,0.070056215,-9.5054304e-08,2.0417378e-05,1.6138605e-05,2.0,42,0.02042444,2.8444404e-07,0,-1.0509964806880747e-07,2.0
139,139,105663.59,40106.457,78820.61,88437.64,-63.031548,99.58850729014375,0.07010242,-4.776142e-07,1.9109748e-05,1.51795975e-05,2.0,42,0.020272275,2.2922679e-07,0,-1.0512670345918885e-07,2.0
140,140,91439.65,50165.836,84776.28,98507.0,-59.385338,100.00448397660512,0.07008487,-5.185894e-07,2.0531053e-05,1.5206378e-05,2.0,42,0.021457732,2.1782951e-07,0,-1.0508105729288373e-07,2.0
141,141,79127.08,62412.426,89709.125,109284.21,-55.172894,100.55648805617238,0.07014831,-1.0080576e-06,2.2421174e-05,1.5108341e-05,2.0,42,0.02034661,1.8618069e-07,0,-1.0527713512116913e-07,2.0
142,142,68475.36,73959.89,94790.02,120229.836,-52.036877,100.97248287589173,0.07014168,-8.7581907e-07,2.4520152e-05,1.5241368e-05,2.0,42,0.02114377,1.7586126e-07,0,-1.0534601153770747e-07,2.0
143,143,59252.523,87451.43,97732.18,131146.22,-48.1776,101.38850033565541,0.07004236,-6.0970194e-08,2.748373e-05,1.5262978e-05,2.0,42,0.021820376,1.6638205e-07,0,-1.0543703787680197e-07,2.0
144,144,51282.285,98583.48,100759.13,140964.9,-45.625313,101.94050593519933,0.07009074,-3.734998e-07,3.080125e-05,1.5736754e-05,2.0,42,0.020257032,1.4370265e-07,0,-1.0543827506749734e-07,2.0
145,145,44369.8,115521.73,99041.86,152166.22,-40.607937,102.35648675498669,0.07010199,-4.4595137e-07,3.6217116e-05,1.5343165e-05,2.0,42,0.020627726,1.3556048e-07,0,-1.0543506042674266e-07,2.0
146,146,38403.727,124316.66,100050.61,159576.8,-38.82727,102.77249306804151,0.07005146,-4.2062123e-07,4.1421612e-05,1.6282722e-05,2.0,42,0.02087981,1.3084491e-07,0,-1.0542350533940394e-07,2.0
147,147,33226.32,142108.62,90443.336,168448.39,-32.474228,103.18849828784005,0.07010169,-5.0611044e-07,5.2961626e-05,1.526795e-05,2.0,42,0.02112124,1.25387e-07,0,-1.054952989621268e-07,2.0
148,148,28754.086,153147.03,83443.67,174404.3,-28.584192,103.60448694755905,0.07006607,-2.0103094e-07,6.633262e-05,1.5184469e-05,2.0,42,0.021231918,1.2173965e-07,0,-1.055182976488543e-07,2.0
149,149,24884.947,162845.64,78205.484,180651.05,-25.65232,104.02049200734473,0.070073,-1.0250406e-07,8.177983e-05,1.5326383e-05,2.0,42,0.021284727,1.1782233e-07,0,-1.0551161105981816e-07,2.0
150,150,21553.963,170193.75,70209.41,184106.69,-22.417439,104.43750266716233,0.07009514,-2.921077e-07,0.000105171406,1.5294989e-05,2.0,42,0.021235235,1.15342004e-07,0,-1.0546277513157104e-07,2.0
151,151,18631.234,176931.16,62871.934,187769.84,-19.56251,104.85349815359223,0.0700531,-3.757345e-07,0.0001358694,1.5232936e-05,2.0,42,0.021136755,1.12567356e-07,0,-1.0549399269189644e-07,2.0
152,152,16126.037,182664.56,55266.43,190842.14,-16.833555,105.26948713333695,0.070066236,-2.6885976e-08,0.00017857927,1.4976327e-05,2.0,42,0.020940607,1.09727374e-07,0,-1.0554803041693007e-07,2.0
153,153,13954.87,187549.98,49498.992,193972.03,-14.78462,105.68550117974519,0.07005063,-2.3381098e-07,0.00023040824,1.5004188e-05,2.0,42,0.02070811,1.0675823e-07,0,-1.0565540034986161e-07,2.0
154,154,12080.609,188678.81,40864.336,193053.33,-12.22046,106.10148999953526,0.070086434,-1.8836558e-07,0.0003223939,1.4445119e-05,2.0,42,0.020255918,1.0492395e-07,0,-1.0562173558637452e-07,2.0
155,155,10447.592,192845.19,37777.68,196510.61,-11.08368,106.51750513925799,0.070080735,1.2695769e-07,0.0004032447,1.4902777e-05,2.0,42,0.019811828,1.00818106e-07,0,-1.0567448475437323e-07,2.0
156,156,9045.586,193940.58,32919.35,196714.6,-9.633531,107.09026852648822,0.07009424,-2.982535e-07,0.00053448085,1.4967923e-05,2.0,42,0.020239228,1.02886254e-07,0,-1.0557115253960664e-07,2.0
