True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,256.01175,1527.26,1548.5687,-80.484085,2.4674757971952204,0.013668826,-7.0800146e-05,1.4887028e-05,1.4480147e-05,1.0,40,0.010040628,6.4838114e-06,0,-5.701828995498796e-09,1.0
1,1,6057573.0,-113.887276,1995.6083,1998.8553,-93.266266,3.0204826767730992,0.013469374,-4.4975994e-05,1.3165767e-05,1.3123028e-05,1.0,40,0.014561161,7.28475e-06,0,-6.59961042975965e-09,1.0
2,2,5242039.0,387.46518,2129.9043,2164.8606,-79.68969,3.436495203204686,0.013287304,0.0001254308,1.4254756e-05,1.3798126e-05,1.0,40,0.019959599,9.219808e-06,0,-1.0695212496974212e-08,1.0
3,3,4536288.0,234.31242,2436.6882,2447.928,-84.50732,4.668478381732712,0.013547683,-5.6120585e-05,1.4398576e-05,1.4266657e-05,1.0,40,0.020291366,8.2892e-06,0,-5.593343651980831e-09,1.0
4,4,3925558.5,283.6766,2843.1902,2857.307,-84.30222,5.084501308127074,0.013475839,-5.9488197e-05,1.4259777e-05,1.4119223e-05,1.0,40,0.0192542,6.738583e-06,0,-1.3879951635216356e-08,1.0
5,5,3397055.0,433.59116,3087.8215,3118.1152,-82.006805,5.500489914586069,0.013642108,-0.0001360307,1.5172787e-05,1.48794e-05,1.0,40,0.019967228,6.403621e-06,0,-1.2440305211656425e-08,1.0
6,6,2939708.2,366.39978,3502.3274,3521.441,-84.027664,6.052502767444821,0.013580456,-0.000104383,1.5458209e-05,1.5290856e-05,1.0,40,0.02032179,5.7708735e-06,0,-1.6835850461878484e-08,1.0
7,7,2543924.5,467.10318,4026.9495,4053.9497,-83.38358,6.604478846973507,0.013249165,2.3119763e-05,1.553602e-05,1.532976e-05,1.0,40,0.020475972,5.0508697e-06,0,-2.4913872850144496e-08,1.0
8,8,2201436.2,464.1917,4566.572,4590.1035,-84.19582,7.1564831932482775,0.013453369,3.2757373e-05,1.583156e-05,1.5669651e-05,1.0,40,0.020717261,4.513463e-06,0,-1.702140602123513e-08,1.0
9,9,1905053.1,813.3844,5372.957,5434.1753,-81.39165,7.875482907373225,0.013185706,1.0952677e-05,1.55489e-05,1.5200543e-05,1.0,41,0.019178012,3.5291487e-06,0,-1.4471210824401244e-08,1.0
10,10,1648567.4,431.1849,6579.3853,6593.499,-86.25044,8.291487060458167,0.013434737,-6.881405e-06,1.4673311e-05,1.461056e-05,1.0,41,0.02214053,3.3579336e-06,0,-1.5687618029330804e-08,1.0
11,11,1426616.2,901.2366,7701.3774,7753.9307,-83.32545,8.843488713348052,0.013705196,-2.7769474e-05,1.44858695e-05,1.4290175e-05,1.0,41,0.020665955,2.665223e-06,0,-1.6253249629718724e-08,1.0
12,12,1234551.2,875.75134,8614.845,8659.243,-84.19547,9.395500499551417,0.013468424,-8.624409e-06,1.4964545e-05,1.4811484e-05,1.0,41,0.020555656,2.3738398e-06,0,-1.5439936758812994e-08,1.0
13,13,1068345.5,-2724.333,9382.407,9769.932,-106.191505,9.947500125766965,0.013481541,-3.0937317e-06,1.5877938e-05,1.4643323e-05,1.0,41,0.02055402,2.1038038e-06,0,-9.700656022625745e-09,1.0
14,14,924510.06,2063.2866,11345.002,11531.098,-79.69242,10.499492392031243,0.013443401,9.639584e-07,1.5174134e-05,1.4688308e-05,1.0,41,0.020280847,1.758796e-06,0,-9.45420255655765e-09,1.0
15,15,800039.0,1934.813,7103.509,7362.2915,-74.76371,11.051478684908943,0.01353669,-2.2624274e-05,2.800503e-05,2.607089e-05,1.0,41,0.020168416,2.739421e-06,0,-1.0449479969878439e-08,1.0
16,16,692334.1,2216.8625,14892.699,15056.791,-81.53337,11.603495697752805,0.0135229025,-1.2646716e-05,1.5435866e-05,1.5101253e-05,1.0,41,0.020473957,1.3597822e-06,0,-1.1690130730499958e-08,1.0
