True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,180.7489,1684.9305,1694.5977,-83.87708,2.4654801170981955,-0.0018940942,-1.8798151e-05,1.3493945e-05,1.3340428e-05,1.0,40,0.010095458,5.9574363e-06,0,5.292267036149193e-10,1.0
1,1,6057573.0,297.94055,1908.5278,1931.6437,-81.12717,3.0174824899586383,-0.0018917092,-1.8314524e-05,1.3766483e-05,1.3438969e-05,1.0,40,0.014334899,7.421089e-06,0,-2.2070767400808537e-09,1.0
2,2,5242039.0,289.4609,2235.2505,2253.9148,-82.62136,3.4334875764034223,-0.001887256,6.443828e-07,1.3582937e-05,1.3358912e-05,1.0,40,0.019945366,8.849211e-06,0,-2.2453338859173123e-09,1.0
3,3,4536288.0,178.1992,2558.6973,2564.895,-86.0161,4.665490008221241,-0.0018994784,-1.9523854e-05,1.3711994e-05,1.36458075e-05,1.0,40,0.019936547,7.772851e-06,0,4.455568096950123e-09,1.0
4,4,3925558.5,303.4819,2901.5989,2917.4265,-84.02907,5.081482561334269,-0.0019276682,-1.2993363e-05,1.3972732e-05,1.3821532e-05,1.0,40,0.019119097,6.553412e-06,0,1.4365068557001197e-09,1.0
5,5,3397055.0,328.07117,3310.7915,3327.0063,-84.34095,5.497478554403642,-0.0019193771,-3.4352353e-05,1.41509545e-05,1.4013355e-05,1.0,40,0.02018302,6.0664206e-06,0,-2.653685429171067e-10,1.0
6,6,2939708.2,376.11945,3781.5896,3800.248,-84.32001,6.04948628731654,-0.0019227122,-2.0305282e-05,1.43166535e-05,1.4176414e-05,1.0,40,0.020417074,5.3725635e-06,0,-5.447474247918965e-09,1.0
7,7,2543924.5,396.504,4368.114,4386.0728,-84.81334,6.6014955668651965,-0.0019707077,-1.2025882e-05,1.4322603e-05,1.4205554e-05,1.0,40,0.02056393,4.6884606e-06,0,-1.0406561053969198e-08,1.0
8,8,2201436.2,485.46924,5062.3794,5085.6035,-84.52223,7.153501753084129,-0.0019535292,-1.8668006e-05,1.4281023e-05,1.4150888e-05,1.0,40,0.02076716,4.0835193e-06,0,-1.5045372794841367e-08,1.0
9,9,1905053.1,110.26098,5976.3447,5977.362,-88.94304,7.87149130718899,-0.0019047885,-6.92426e-06,1.3979041e-05,1.3974284e-05,1.0,41,0.019454822,3.2547507e-06,0,-1.6468905266281e-08,1.0
