True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,164.60265,1289.4147,1299.8785,-82.72515,2.466475877125049,0.013491684,9.0169115e-06,1.7633087e-05,1.7350341e-05,1.0,40,0.009957539,7.660361e-06,0,7.809272908913399e-09,1.0
1,1,6057573.0,221.7984,1520.4498,1536.5422,-81.70042,3.0184973966970574,0.01353463,-2.7604174e-06,1.7280225e-05,1.6920165e-05,1.0,40,0.014066274,9.154499e-06,0,7.925890711842638e-09,1.0
2,2,5242039.0,192.28102,1728.2437,1738.9071,-83.65149,3.434492589760339,0.013566192,-1.6695827e-05,1.7567701e-05,1.73529e-05,1.0,40,0.019498449,1.1213048e-05,0,6.187195451553231e-09,1.0
3,3,4536288.0,189.18858,1971.1576,1980.2158,-84.51763,4.802478948055068,0.013528295,9.10984e-06,1.7799104e-05,1.7636637e-05,1.0,40,0.0182004,9.191119e-06,0,1.970439967815057e-08,1.0
4,4,3925558.5,233.98788,2261.2866,2273.3604,-84.092316,5.354496254323749,0.013516613,-9.9420695e-06,1.792929e-05,1.773935e-05,1.0,40,0.019320441,8.498627e-06,0,2.0354977494434934e-08,1.0
5,5,3397055.0,273.03503,2582.5857,2596.9785,-83.96502,5.7705027807096485,0.013445198,-3.6348424e-06,1.8141067e-05,1.7940543e-05,1.0,40,0.0204799,7.886049e-06,0,1.8730883394861544e-08,1.0
6,6,2939708.2,302.23523,2962.8923,2978.2676,-84.17558,6.322477686946513,0.013440279,2.5147692e-05,1.8272587e-05,1.8084409e-05,1.0,40,0.020735996,6.9624352e-06,0,2.3293643405344886e-08,1.0
7,7,2543924.5,292.49518,3412.4521,3424.9646,-85.10092,6.874499659839785,0.013466867,-4.900011e-06,1.8333667e-05,1.8199955e-05,1.0,40,0.020206755,5.8998435e-06,0,2.221640928909589e-08,1.0
8,8,2201436.2,363.38132,3853.8574,3870.9512,-84.61349,7.426494752726285,0.013456638,-9.142035e-06,1.8759376e-05,1.8594063e-05,1.0,40,0.02097066,5.4174434e-06,0,2.347328991047309e-08,1.0
9,9,1905053.1,427.3532,4491.225,4511.511,-84.56451,7.9784932855691295,0.013451402,-1.8705208e-05,1.8601511e-05,1.8434603e-05,1.0,40,0.020376215,4.5164943e-06,0,2.7512209135162873e-08,1.0
10,10,1648567.4,478.73233,5210.222,5232.17,-84.75021,8.53050277850707,0.013430982,-1.755699e-06,1.8529223e-05,1.8374098e-05,1.0,40,0.020024821,3.8272497e-06,0,3.176361734963646e-08,1.0
11,11,1426616.2,369.46658,6108.967,6120.1294,-86.539,9.24949366596411,0.013440689,-7.9396324e-07,1.8261868e-05,1.8195313e-05,1.0,41,0.019330416,3.158498e-06,0,3.244464247698413e-08,1.0
12,12,1234551.2,362.20413,7063.3076,7072.5884,-87.06446,9.80148145215935,0.01347609,-2.3879736e-06,1.8251681e-05,1.8203813e-05,1.0,41,0.020554597,2.906234e-06,0,3.217370814130365e-08,1.0
13,13,1068345.5,609.664,8123.754,8146.5986,-85.70817,10.353493798378622,0.013398339,2.1054648e-06,1.8337987e-05,1.8235285e-05,1.0,41,0.020707175,2.5418185e-06,0,3.302845395898481e-08,1.0
14,14,924510.06,625.5918,9299.767,9320.784,-86.151535,10.905502091307426,0.013527848,-5.0546155e-06,1.851128e-05,1.842789e-05,1.0,41,0.02029472,2.177362e-06,0,3.3025024760951914e-08,1.0
15,15,800039.0,623.2126,10813.6875,10831.631,-86.70159,11.457500517513836,0.013421051,2.2280145e-07,1.8396497e-05,1.8335597e-05,1.0,41,0.020850284,1.9249442e-06,0,3.22374454877724e-08,1.0
16,16,692334.1,959.32007,12505.464,12542.206,-85.61331,12.009492623707047,0.013436739,2.9862758e-06,1.8382501e-05,1.8274955e-05,1.0,41,0.020439103,1.6296259e-06,0,3.17749931251225e-08,1.0
17,17,599122.25,1221.0208,14170.766,14223.272,-85.07529,12.561503316595918,0.013457793,-6.803553e-07,1.874612e-05,1.8607969e-05,1.0,41,0.020639723,1.4511234e-06,0,3.1659193202283834e-08,1.0
18,18,518454.94,1454.9368,16233.777,16298.846,-84.8786,13.113484302855795,0.013426081,2.2451284e-06,1.8909914e-05,1.875923e-05,1.0,41,0.020397518,1.25147e-06,0,3.289204838111459e-08,1.0
19,19,448662.03,1787.9858,18824.207,18908.932,-84.574135,13.665478942362824,0.013445067,1.6879768e-07,1.884448e-05,1.8675984e-05,1.0,41,0.020299707,1.0735512e-06,0,3.350485612602622e-08,1.0
20,20,388258.97,2280.191,21696.17,21815.66,-84.00044,14.217499875259819,0.013367298,5.0179133e-06,1.8893637e-05,1.8687233e-05,1.0,41,0.02079201,9.5307723e-07,0,3.4565568436000324e-08,1.0
21,21,335983.9,3575.4214,23925.857,24191.533,-81.500755,14.76948560817982,0.013424442,1.1985834e-06,1.9798583e-05,1.9366109e-05,1.0,41,0.020429216,8.4447794e-07,0,3.4873567431971096e-08,1.0
22,22,290751.2,3356.4226,28700.162,28895.76,-83.32968,15.321480354381492,0.013433684,1.5579833e-06,1.9072793e-05,1.8815455e-05,1.0,41,0.02059951,7.128904e-07,0,3.5563571298856304e-08,1.0
23,23,251605.19,4802.9995,32660.88,33012.15,-81.63424,15.873499420617009,0.01340935,2.2972686e-06,1.9367459e-05,1.8957491e-05,1.0,41,0.020293947,6.147418e-07,0,3.554591196236768e-08,1.0
24,24,217729.38,5940.4727,37021.92,37495.492,-80.884125,16.425503606820712,0.013473295,-6.2113635e-08,1.974441e-05,1.9248813e-05,1.0,41,0.02028572,5.410176e-07,0,3.46782043148737e-08,1.0
25,25,188418.58,7412.3125,42717.28,43355.605,-80.15604,16.97750024634297,0.013457513,7.9262685e-07,1.9773921e-05,1.9195944e-05,1.0,41,0.020798419,4.7971696e-07,0,3.503983977100549e-08,1.0
26,26,163051.14,9637.941,48256.27,49209.324,-78.70527,17.529495019261958,0.013426566,1.638056e-06,2.0227517e-05,1.9451596e-05,1.0,41,0.020263486,4.1178143e-07,0,3.555425443406079e-08,1.0
27,27,141098.2,10056.178,55277.15,56184.426,-79.68935,18.248491213395027,0.013440185,3.8487777e-08,2.040577e-05,1.9752059e-05,1.0,42,0.018876687,3.359772e-07,0,3.614536619015081e-08,1.0
