True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,102.62905,1555.2104,1558.593,-86.2245,2.466486277146032,0.016356723,5.0953455e-05,1.4619475e-05,1.4556088e-05,1.0,40,0.009935755,6.3748234e-06,0,1.0439803467426777e-08,1.0
1,1,6057573.0,248.16068,1720.436,1738.2416,-81.7921,3.0184948366659228,0.016393688,1.5900789e-05,1.5271544e-05,1.4960281e-05,1.0,40,0.014164529,8.148769e-06,0,1.7638014036795842e-08,1.0
2,2,5242039.0,259.00366,2021.0901,2037.6183,-82.69732,3.434495416440768,0.016425157,1.4728667e-05,1.5022224e-05,1.4779505e-05,1.0,40,0.019645913,9.641606e-06,0,2.0738640008365412e-08,1.0
3,3,4536288.0,234.88878,2322.5862,2334.4333,-84.225174,4.802486014756141,0.016395515,2.8273396e-05,1.51059385e-05,1.4953002e-05,1.0,40,0.019916832,8.531763e-06,0,2.380814415758121e-08,1.0
4,4,3925558.5,294.5775,2660.7207,2676.9778,-83.68232,5.218502647854621,0.016383125,1.5193799e-05,1.5237698e-05,1.5053186e-05,1.0,40,0.018827103,7.0329693e-06,0,2.3578363846165e-08,1.0
5,5,3397055.0,352.53723,3014.3855,3034.9304,-83.32947,5.634495494276052,0.016387539,-4.527911e-06,1.5542424e-05,1.5332707e-05,1.0,40,0.019744834,6.5058607e-06,0,2.35435080446046e-08,1.0
6,6,2939708.2,365.88898,3422.8877,3442.388,-83.898544,6.050493407383328,0.016377889,1.1268073e-05,1.5816968e-05,1.5638278e-05,1.0,40,0.021552702,6.2609743e-06,0,2.2244011009850812e-08,1.0
7,7,2543924.5,352.7769,3963.7349,3979.4026,-84.91401,6.60248618022888,0.016353425,7.453967e-06,1.5783791e-05,1.5659747e-05,1.0,40,0.02080493,5.2281544e-06,0,2.3069041679390366e-08,1.0
8,8,2201436.2,512.3801,4499.715,4528.793,-83.50374,7.1545003397914115,0.016343644,7.3051237e-06,1.6066786e-05,1.5861127e-05,1.0,40,0.020689193,4.5683682e-06,0,2.1065884743522802e-08,1.0
9,9,1905053.1,573.3499,5161.783,5193.5283,-83.6618,7.706494846002897,0.016351264,8.905185e-06,1.618502e-05,1.5987765e-05,1.0,40,0.020379348,3.923989e-06,0,2.4907110643021546e-08,1.0
10,10,1648567.4,363.75366,6236.2876,6246.887,-86.661804,8.424495226790896,0.01631197,-1.88756e-07,1.5480582e-05,1.5428093e-05,1.0,41,0.018966433,3.0361414e-06,0,2.5313367265154182e-08,1.0
11,11,1426616.2,455.81006,7123.9116,7138.479,-86.33903,8.840487459878204,0.016343607,1.4201825e-06,1.5660098e-05,1.5596248e-05,1.0,41,0.02189494,3.0671715e-06,0,2.541133797227404e-08,1.0
12,12,1234551.2,601.34344,8053.237,8075.657,-85.72959,9.392485059419414,0.016346475,3.5132712e-06,1.6008127e-05,1.5919364e-05,1.0,41,0.021027252,2.6037821e-06,0,2.4855681659497955e-08,1.0
13,13,1068345.5,697.0165,9455.854,9481.508,-85.784195,9.944483405648498,0.016313497,6.401511e-06,1.5754611e-05,1.5669471e-05,1.0,41,0.020825604,2.1964443e-06,0,2.4842339934458636e-08,1.0
14,14,924510.06,1019.85315,10975.5625,11022.843,-84.6913,10.496497351879952,0.016334252,5.0681906e-06,1.5684898e-05,1.5550633e-05,1.0,41,0.020302307,1.8418394e-06,0,2.429542494309721e-08,1.0
15,15,800039.0,1549.6066,12119.208,12217.876,-82.713486,11.048498204763746,0.016305802,2.5021077e-06,1.6414766e-05,1.6150716e-05,1.0,41,0.020859271,1.7072748e-06,0,2.4404286837857903e-08,1.0
16,16,692334.1,1442.8668,14441.616,14513.516,-84.294495,11.600498417654308,0.016300734,4.308421e-06,1.5918004e-05,1.576068e-05,1.0,41,0.020407382,1.4060951e-06,0,2.49913054565209e-08,1.0
17,17,599122.25,1776.343,16652.758,16747.23,-83.91131,12.152480763877975,0.016277725,5.900585e-06,1.5952124e-05,1.5772657e-05,1.0,41,0.02073544,1.2381415e-06,0,2.575798783149076e-08,1.0
18,18,518454.94,2153.329,18660.957,18784.785,-83.417625,12.704490816715406,0.016367119,2.9914915e-07,1.6450353e-05,1.6234188e-05,1.0,41,0.020370878,1.084435e-06,0,2.614626429713951e-08,1.0
19,19,448662.03,3032.1223,21789.262,21999.22,-82.07778,13.256479056290118,0.01636386,1.6734366e-06,1.6280146e-05,1.5970876e-05,1.0,41,0.020147096,9.1580955e-07,0,2.762507152531309e-08,1.0
20,20,388258.97,3565.5474,24413.549,24672.545,-81.69082,13.808492495823884,0.016282476,7.3456367e-06,1.6790658e-05,1.6439993e-05,1.0,41,0.020849293,8.4504023e-07,0,2.8132250301101545e-08,1.0
21,21,335983.9,3874.278,30184.367,30431.99,-82.68586,14.360478735383367,0.01629591,6.546761e-06,1.5693491e-05,1.5439136e-05,1.0,41,0.02054934,6.7525457e-07,0,2.9079005376600106e-08,1.0
22,22,290751.2,5198.9863,32548.084,32960.69,-80.92467,14.91250137492898,0.016330602,1.773995e-06,1.6817956e-05,1.6399532e-05,1.0,41,0.020452721,6.2051856e-07,0,3.004491015912928e-08,1.0
23,23,251605.19,7012.1094,37312.812,37965.98,-79.356674,15.464498894492863,0.01635132,1.6659885e-06,1.6952845e-05,1.6374546e-05,1.0,41,0.020455532,5.387858e-07,0,3.0413352840169084e-08,1.0
24,24,217729.38,9996.555,42514.168,43673.625,-76.768135,16.016488440713147,0.016320428,2.6827377e-06,1.7193703e-05,1.6292897e-05,1.0,41,0.020207565,4.6269494e-07,0,3.052751776130612e-08,1.0
25,25,188418.58,12152.587,46835.305,48386.27,-75.453964,16.568492013582727,0.016294343,6.1016995e-06,1.8035287e-05,1.6897617e-05,1.0,41,0.020801906,4.299134e-07,0,3.096520066876154e-08,1.0
26,26,163051.14,14120.476,54491.99,56291.78,-75.47252,17.287503967731027,0.016344221,-1.14051936e-07,1.7912807e-05,1.6785682e-05,1.0,42,0.019250754,3.419816e-07,0,3.067202116245069e-08,1.0
27,27,141098.2,17812.865,61760.473,64277.945,-73.91146,17.703489080857253,0.016281245,4.4786796e-07,1.8263669e-05,1.6861075e-05,1.0,42,0.020990415,3.2655703e-07,0,3.064801600544145e-08,1.0
28,28,122105.11,18214.648,65819.92,68293.74,-74.531395,18.255487800372066,0.016327638,2.5807796e-07,1.9802907e-05,1.839424e-05,1.0,42,0.019963227,2.9231416e-07,0,3.058222457007916e-08,1.0
29,29,105663.59,27388.979,77970.664,82641.27,-70.64501,18.67148344681482,0.016333265,1.4278855e-07,1.931806e-05,1.719618e-05,1.0,42,0.021516027,2.6035448e-07,0,3.0628240748177246e-08,1.0
30,30,91439.65,33473.508,86434.77,92690.055,-68.83016,19.223489233030705,0.016292108,4.21979e-07,2.0137108e-05,1.7510873e-05,1.0,42,0.02036637,2.1972552e-07,0,3.065045229550822e-08,1.0
31,31,79127.08,44139.953,94931.03,104691.15,-65.06305,19.639504159480566,0.016394472,-5.2678445e-07,2.1187845e-05,1.742141e-05,1.0,42,0.021419445,2.0459652e-07,0,3.058410189746762e-08,1.0
32,32,68475.36,54113.754,105919.03,118941.75,-62.937634,20.191500159009593,0.01636764,-2.1798002e-07,2.1943799e-05,1.7401679e-05,1.0,42,0.020249438,1.7024668e-07,0,3.056589654041196e-08,1.0
33,33,59252.523,65697.53,113847.84,131443.89,-60.01229,20.607490338763455,0.016331496,-2.8562509e-08,2.3593288e-05,1.7699347e-05,1.0,42,0.020906148,1.5904997e-07,0,3.0586047182449995e-08,1.0
34,34,51282.285,81360.055,125522.6,149584.03,-57.04988,21.02348142521805,0.016307535,3.426361e-07,2.472469e-05,1.7410219e-05,1.0,42,0.021527536,1.4391601e-07,0,3.059363540874295e-08,1.0
35,35,44369.8,97834.664,129826.48,162562.4,-52.999043,21.439500698266784,0.016369374,-1.4217571e-07,2.7629267e-05,1.762202e-05,1.0,42,0.021860076,1.344719e-07,0,3.057749745067658e-08,1.0
36,36,38403.727,117579.59,137061.98,180585.02,-49.375122,21.991499284486054,0.016373063,-9.226047e-08,3.0236377e-05,1.7418082e-05,1.0,42,0.020241836,1.1209034e-07,0,3.0654388557810506e-08,1.0
