True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,143.43028,1551.2163,1557.8333,-84.71728,2.4694927839154843,0.0421935,9.221571e-06,1.4657118e-05,1.45328695e-05,1.0,40,0.010004161,6.4218434e-06,0,2.707588653013065e-09,1.0
1,1,6057573.0,310.63242,1731.4866,1759.13,-79.82921,3.0214909701317083,0.04221187,2.951437e-06,1.51740805e-05,1.4700928e-05,1.0,40,0.014112939,8.022681e-06,0,1.753119940161696e-09,1.0
2,2,5242039.0,268.11758,1986.71,2004.7203,-82.31405,3.437487976596458,0.04219661,2.7654014e-06,1.5282183e-05,1.5008827e-05,1.0,40,0.019605642,9.779739e-06,0,-9.50917224037716e-10,1.0
3,3,4536288.0,301.26062,2284.9014,2304.6763,-82.48897,4.805479001573985,0.042230465,-1.2900328e-05,1.5355079e-05,1.5092706e-05,1.0,40,0.018775795,8.146825e-06,0,-8.651945276546434e-10,1.0
4,4,3925558.5,362.7333,2613.8928,2638.9414,-82.09945,5.221478834660957,0.0421382,-8.4404564e-07,1.551068e-05,1.5217627e-05,1.0,40,0.018406611,6.974998e-06,0,4.0010922941746685e-10,1.0
5,5,3397055.0,397.5557,2969.26,2995.7563,-82.37399,5.637503521080362,0.0421766,-8.788542e-06,1.577863e-05,1.5500753e-05,1.0,40,0.019502684,6.5101035e-06,0,-1.142189020988048e-09,1.0
6,6,2939708.2,485.3693,3387.0464,3421.6467,-81.84494,6.053487674187636,0.042175967,-2.5068248e-05,1.5984342e-05,1.5662703e-05,1.0,40,0.021451093,6.2692307e-06,0,-2.7822402419638417e-09,1.0
7,7,2543924.5,545.51337,3887.774,3925.8594,-82.01268,6.60549335370888,0.042123836,8.626105e-06,1.609218e-05,1.578147e-05,1.0,40,0.020554295,5.2356168e-06,0,-2.1790346974184002e-09,1.0
8,8,2201436.2,617.0416,4497.461,4539.592,-82.18792,7.157482099923072,0.042091936,2.079403e-05,1.6074839e-05,1.577785e-05,1.0,40,0.0210525,4.6375317e-06,0,1.6967465750465433e-09,1.0
9,9,1905053.1,719.367,5038.427,5089.522,-81.87445,7.709496712806867,0.042109042,1.6291528e-05,1.6581282e-05,1.6250024e-05,1.0,40,0.020555433,4.038775e-06,0,-2.0394290229180316e-10,1.0
10,10,1648567.4,741.07153,6068.3325,6113.4155,-83.03745,8.428482320305193,0.04215791,-5.3414074e-06,1.5909043e-05,1.5675269e-05,1.0,41,0.018966105,3.1023746e-06,0,-4.4357315312737456e-09,1.0
