True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,175.80772,1488.4656,1498.8123,-83.26381,2.467486650479259,0.005780642,1.8375422e-05,1.5275033e-05,1.5064867e-05,1.0,40,0.009960458,6.6455673e-06,0,-9.874475991864528e-10,1.0
1,1,6057573.0,294.19815,1703.0464,1728.2706,-80.19899,3.0194860367046203,0.0058261966,-1.0183964e-05,1.5427482e-05,1.4980436e-05,1.0,40,0.014148026,8.186233e-06,0,-5.898834341223847e-09,1.0
2,2,5242039.0,223.12506,2005.3429,2017.7178,-83.651085,3.4355020831280854,0.005800504,9.612187e-06,1.5140187e-05,1.4955044e-05,1.0,40,0.019707242,9.767095e-06,0,-1.0581916864692983e-08,1.0
3,3,4536288.0,237.08464,2345.2595,2357.2126,-84.22752,4.6674853149743285,0.0058365935,-1.703072e-05,1.4959896e-05,1.4808562e-05,1.0,40,0.021080822,8.943114e-06,0,-2.9400758407480984e-08,1.0
4,4,3925558.5,257.31952,2690.0984,2702.3772,-84.53603,5.083502428111387,0.005776506,-1.0630477e-05,1.5071292e-05,1.4934645e-05,1.0,40,0.019753044,7.309507e-06,0,-3.20685393454154e-08,1.0
5,5,3397055.0,300.37302,3008.833,3023.789,-84.29903,5.499491754540941,0.0057542785,-1.23607715e-05,1.5571106e-05,1.5417454e-05,1.0,40,0.02087794,6.9045623e-06,0,-3.543557349424494e-08,1.0
6,6,2939708.2,320.72174,3418.8281,3433.8386,-84.64074,6.0514814073976595,0.0057826545,-1.97285e-05,1.5835749e-05,1.5697606e-05,1.0,40,0.020965258,6.105487e-06,0,-3.129686734264523e-08,1.0
7,7,2543924.5,423.04337,3924.2156,3946.9524,-83.84709,6.603479673649417,0.005784946,-4.808312e-05,1.5942744e-05,1.5759593e-05,1.0,40,0.020428972,5.1758852e-06,0,-3.196059051442211e-08,1.0
8,8,2201436.2,372.63934,4512.467,4527.827,-85.27923,7.155482073168969,0.0057644513,-2.4733354e-05,1.6021382e-05,1.5912865e-05,1.0,40,0.020824702,4.5992706e-06,0,-3.857359512027693e-08,1.0
9,9,1905053.1,434.07797,5286.1885,5303.981,-85.305664,7.708481672772905,0.005734827,-5.0913883e-07,1.5804122e-05,1.569827e-05,1.0,40,0.020387467,3.8438047e-06,0,-4.0238765914523356e-08,1.0
10,10,1648567.4,225.86783,6208.661,6212.768,-87.91653,8.427495386946248,0.00575793,-5.5145892e-06,1.5549465e-05,1.5528914e-05,1.0,41,0.018943697,3.0491558e-06,0,-4.117122221421867e-08,1.0
11,11,1426616.2,314.26648,7114.2856,7121.2236,-87.47066,8.843485646677436,0.005777028,-3.2706473e-06,1.5681286e-05,1.5650745e-05,1.0,41,0.021848194,3.0680394e-06,0,-4.1356353432521764e-08,1.0
