True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,199.1398,1347.6967,1362.33,-81.59462,2.467490570532391,-0.02636644,-6.8348822e-06,1.6870534e-05,1.6510054e-05,1.0,40,0.009925716,7.2858384e-06,0,4.477958882053675e-09,1.0
1,1,6057573.0,197.65416,1549.231,1561.7886,-82.72936,3.0194940900837537,-0.026356528,-2.1086724e-05,1.6959199e-05,1.6687572e-05,1.0,40,0.01409356,9.023987e-06,0,6.334905977022724e-09,1.0
2,2,5242039.0,196.86597,1757.7742,1768.764,-83.60966,3.4355024298129138,-0.026317606,-1.124445e-05,1.7272563e-05,1.7058592e-05,1.0,40,0.019511202,1.1030981e-05,0,7.21685799183231e-09,1.0
3,3,4536288.0,173.8152,2034.5244,2041.9357,-85.11691,4.803499908099184,-0.026389152,-2.8534157e-06,1.7244738e-05,1.7119784e-05,1.0,40,0.018896114,9.25402e-06,0,-8.756438154326437e-09,1.0
4,4,3925558.5,226.43193,2316.613,2327.6528,-84.41749,5.220488434570143,-0.026405623,-5.0914616e-07,1.7501094e-05,1.7335475e-05,1.0,40,0.018080773,7.767813e-06,0,-9.842288285628657e-09,1.0
5,5,3397055.0,287.38425,2634.7131,2650.34,-83.77501,5.636482934380183,-0.026413038,-9.756023e-06,1.7782148e-05,1.7573071e-05,1.0,40,0.019081812,7.1997597e-06,0,-8.574313940913373e-09,1.0
6,6,2939708.2,272.08032,2989.2932,3001.65,-84.79937,6.052496047428576,-0.026398094,-1.0425807e-05,1.8111206e-05,1.7962398e-05,1.0,40,0.020817805,6.935454e-06,0,-1.0282493430458493e-08,1.0
7,7,2543924.5,335.25723,3481.8445,3497.9478,-84.5001,6.605501380370697,-0.026439924,-2.3696737e-06,1.7968281e-05,1.7803224e-05,1.0,40,0.020678964,5.9117415e-06,0,-6.008484699691508e-09,1.0
8,8,2201436.2,362.77515,3979.276,3995.778,-84.79096,7.1574982866004575,-0.026436774,1.7235113e-06,1.8168119e-05,1.8018363e-05,1.0,40,0.020677218,5.1747666e-06,0,-9.328275049954174e-09,1.0
9,9,1905053.1,338.0865,4611.2256,4623.603,-85.80669,7.709498739481205,-0.026453227,1.1193653e-05,1.8117433e-05,1.8020562e-05,1.0,40,0.020412898,4.414933e-06,0,-1.2028374410874676e-08,1.0
10,10,1648567.4,432.92087,5255.8125,5273.6123,-85.29118,8.261500179040013,-0.026455443,9.686614e-06,1.8368495e-05,1.8244707e-05,1.0,40,0.019842751,3.7626487e-06,0,-1.3522983095299423e-08,1.0
11,11,1426616.2,363.5941,6129.357,6140.132,-86.60519,8.979502506466815,-0.0264664,-2.4648227e-07,1.8201117e-05,1.8137294e-05,1.0,41,0.01934785,3.151048e-06,0,-2.3020302594024617e-08,1.0
12,12,1234551.2,529.8335,7029.8516,7049.79,-85.68982,9.53150034599821,-0.026403219,-2.3805255e-06,1.8338544e-05,1.823496e-05,1.0,41,0.020718962,2.9389473e-06,0,-2.2585485729299155e-08,1.0
13,13,1068345.5,418.9101,8361.789,8372.275,-87.13199,10.083496292267228,-0.026435638,-2.1294883e-07,1.7815959e-05,1.7771357e-05,1.0,41,0.020709338,2.4735614e-06,0,-2.2673104266080674e-08,1.0
14,14,924510.06,648.8697,9477.07,9499.258,-86.08322,10.635483865131391,-0.026428074,-1.2542658e-07,1.8164958e-05,1.80802e-05,1.0,41,0.020183302,2.1247242e-06,0,-2.2741570506868117e-08,1.0
15,15,800039.0,688.46216,10615.36,10637.662,-86.28926,11.18750423801248,-0.02642677,-7.6601566e-07,1.87402e-05,1.8661705e-05,1.0,41,0.020733077,1.9490258e-06,0,-2.326768032364473e-08,1.0
16,16,692334.1,552.15796,12698.164,12710.163,-87.51016,11.739483090903377,-0.026472026,2.598942e-06,1.8103538e-05,1.8069373e-05,1.0,41,0.020425033,1.6069844e-06,0,-2.3695173774964612e-08,1.0
