True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,147.59714,1548.5789,1555.5968,-84.55551,82.73147798285936,0.019862955,7.733135e-06,1.4682081e-05,1.4549906e-05,2.0,40,0.010016955,6.4393007e-06,0,-5.483801446164252e-09,2.0
111,111,6057573.0,250.81703,1793.1703,1810.6267,-82.0375,83.28349070236436,0.019894851,-1.2602666e-05,1.4652103e-05,1.437094e-05,2.0,40,0.014178999,7.8309895e-06,0,-8.154292021944521e-09,2.0
112,112,5242039.0,236.97598,1960.5063,1974.7766,-83.10782,83.69948853549431,0.019886523,-1.93564e-05,1.5486441e-05,1.5263431e-05,2.0,40,0.019641953,9.946418e-06,0,-7.853791158229287e-09,2.0
113,113,4536288.0,261.31503,2283.2202,2298.1252,-83.470894,85.06748956048978,0.019940443,-2.1514617e-05,1.5366386e-05,1.5167707e-05,2.0,40,0.020569999,8.950774e-06,0,-3.793471891198447e-09,2.0
114,114,3925558.5,321.12625,2593.2466,2613.0537,-82.9409,85.48348251354764,0.019896958,-3.6454756e-05,1.563417e-05,1.5398053e-05,2.0,40,0.019067595,7.2970543e-06,0,-7.788732337695158e-09,2.0
115,115,3397055.0,329.2137,2930.6914,2949.1243,-83.59065,85.89948250664747,0.019872457,-1.9542456e-05,1.5986281e-05,1.5787069e-05,2.0,40,0.0199529,6.7657033e-06,0,-9.821081192247721e-09,2.0
116,116,2939708.2,405.993,3397.6057,3421.7766,-83.185814,86.31550220641657,0.019843262,-1.8612182e-05,1.5934664e-05,1.5710339e-05,2.0,40,0.021720884,6.3478383e-06,0,-1.2763369853233897e-08,2.0
117,117,2543924.5,432.1466,3963.9111,3987.398,-83.77817,86.86749265927938,0.019818164,-1.2416586e-05,1.578309e-05,1.5597703e-05,2.0,40,0.020621605,5.1716947e-06,0,-1.490104330635727e-08,2.0
118,118,2201436.2,494.19574,4444.1772,4471.5703,-83.65474,87.41949617883074,0.019841751,-3.3185513e-06,1.626757e-05,1.6068867e-05,2.0,40,0.020904511,4.674982e-06,0,-1.8704691022037622e-08,2.0
119,119,1905053.1,560.91876,5068.1475,5099.093,-83.68447,87.97149724504561,0.01982923,-2.9775416e-05,1.6484044e-05,1.6284575e-05,2.0,40,0.020250132,3.9713204e-06,0,-1.623045745866314e-08,2.0
120,120,1648567.4,385.40848,6088.656,6100.842,-86.378044,88.68950549248257,0.019831989,-1.2259899e-06,1.5855941e-05,1.5792662e-05,2.0,41,0.018982064,3.1113843e-06,0,-1.3889615361058223e-08,2.0
121,121,1426616.2,487.1611,6829.933,6847.285,-85.92015,89.10548975228448,0.019785298,2.6194266e-06,1.633415e-05,1.6251468e-05,2.0,41,0.021851083,3.1912039e-06,0,-1.4043514919996743e-08,2.0
122,122,1234551.2,596.0101,7971.3057,7993.556,-85.72398,89.65750241847127,0.019950487,-5.391671e-06,1.6172662e-05,1.6082753e-05,2.0,41,0.020975871,2.6240975e-06,0,-1.4763770548259972e-08,2.0
123,123,1068345.5,865.11676,9181.113,9221.782,-84.617035,90.20950135137537,0.019855576,-4.6061967e-07,1.622606e-05,1.6083259e-05,2.0,41,0.02086923,2.2630365e-06,0,-1.4688786885238436e-08,2.0
124,124,924510.06,916.8557,10535.157,10574.979,-85.026184,90.76149020422599,0.019885164,-2.7622739e-06,1.634058e-05,1.6217748e-05,2.0,41,0.02019559,1.9097524e-06,0,-1.3956116371218939e-08,2.0
125,125,800039.0,2039.2592,12290.28,12458.313,-80.579056,91.31350143047166,0.019937035,-5.4996767e-06,1.6186284e-05,1.57526e-05,2.0,41,0.020577086,1.6516751e-06,0,-1.3753975011275917e-08,2.0
126,126,692334.1,1735.2571,14170.97,14276.816,-83.0188,91.8654847900325,0.01985118,6.1013276e-07,1.6222017e-05,1.5982372e-05,2.0,41,0.020262577,1.4192643e-06,0,-1.4454993266096375e-08,2.0
127,127,599122.25,2120.3354,16242.697,16380.508,-82.562614,92.41750337622943,0.019825878,3.1985635e-06,1.6354848e-05,1.6080818e-05,2.0,41,0.02060255,1.257748e-06,0,-1.3678453703493077e-08,2.0
128,128,518454.94,2687.3374,18395.83,18591.082,-81.68879,92.96948329577572,0.019810284,2.5821814e-06,1.668744e-05,1.6338763e-05,2.0,41,0.020498272,1.1025862e-06,0,-1.335881043487418e-08,2.0
129,129,448662.03,3161.3428,21123.59,21358.842,-81.48833,93.52149502866087,0.01986303,-1.8274596e-06,1.6793185e-05,1.6425292e-05,2.0,41,0.02024503,9.478524e-07,0,-1.380011033921343e-08,2.0
130,130,388258.97,4299.4307,24401.613,24777.486,-80.00736,94.07348614823422,0.019849429,2.7866574e-07,1.6798871e-05,1.6293061e-05,2.0,41,0.020839984,8.4108547e-07,0,-1.4414089966670337e-08,2.0
131,131,335983.9,5402.6177,28821.826,29323.812,-79.38318,94.62550204110448,0.01982571,4.1538606e-06,1.6435395e-05,1.5877506e-05,2.0,41,0.020464612,6.9788376e-07,0,-1.3845055543182976e-08,2.0
132,132,290751.2,6609.484,30790.16,31491.574,-77.88462,95.17748878730345,0.019859266,-1.9432807e-07,1.7778155e-05,1.6995025e-05,2.0,41,0.02052121,6.516413e-07,0,-1.3045035503143707e-08,2.0
133,133,251605.19,9204.191,35673.45,36841.72,-75.53251,95.72950393354404,0.019790422,4.9881173e-06,1.7731907e-05,1.6625161e-05,2.0,41,0.020570321,5.583431e-07,0,-1.2734857266802359e-08,2.0
134,134,217729.38,11508.088,40714.863,42310.0,-74.21701,96.28249145313748,0.01987786,-2.9466305e-06,1.7953542e-05,1.6625321e-05,2.0,41,0.020221371,4.779336e-07,0,-1.2796636849269028e-08,2.0
135,135,188418.58,14441.888,45373.97,47616.86,-72.34447,96.83448454600875,0.019838063,1.7851675e-06,1.861614e-05,1.6903696e-05,2.0,41,0.020894984,4.3881482e-07,0,-1.1839070023356355e-08,2.0
136,136,163051.14,16574.1,51639.523,54234.133,-72.20557,97.55349978015875,0.019824313,1.230458e-07,1.8902276e-05,1.7136934e-05,2.0,42,0.01917268,3.5351684e-07,0,-1.1857873461462473e-08,2.0
137,137,141098.2,21735.984,58814.332,62702.3,-69.717224,97.96948659993359,0.019849615,2.727684e-09,1.9178537e-05,1.6873875e-05,2.0,42,0.020948233,3.3409034e-07,0,-1.1930057567591135e-08,2.0
138,138,122105.11,35460.324,69079.75,77649.51,-62.82746,98.52148878618027,0.019885127,-1.0716055e-07,1.886842e-05,1.4933433e-05,2.0,42,0.020319441,2.6168152e-07,0,-1.1925568263061434e-08,2.0
139,139,105663.59,33119.613,71614.96,78902.55,-65.18098,98.93749131259392,0.019819822,1.7556872e-07,2.1032505e-05,1.7326725e-05,2.0,42,0.021426745,2.715596e-07,0,-1.1901778316066746e-08,2.0
140,140,91439.65,40468.492,77184.24,87149.91,-62.331512,99.48950523210806,0.019855445,2.5602927e-07,2.2550541e-05,1.7688068e-05,2.0,42,0.02026353,2.325135e-07,0,-1.1832038332984062e-08,2.0
141,141,79127.08,49239.066,84125.8,97476.336,-59.659443,99.90550215853727,0.019880524,-2.4610384e-07,2.390924e-05,1.7808437e-05,2.0,42,0.02127608,2.1826918e-07,0,-1.1814313103361427e-08,2.0
142,142,68475.36,59924.574,90702.27,108709.97,-56.548325,100.45750349145965,0.019842124,-9.337793e-08,2.5625222e-05,1.7838784e-05,2.0,42,0.020207815,1.8588742e-07,0,-1.1858657055500524e-08,2.0
143,143,59252.523,71581.57,94625.29,118650.19,-52.893444,100.87348825790104,0.01982884,2.3554166e-07,2.838612e-05,1.8054423e-05,2.0,42,0.020861669,1.75825e-07,0,-1.1827413847924578e-08,2.0
144,144,51282.285,83381.61,102024.73,131763.19,-50.741947,101.28949667760753,0.019791987,6.10279e-07,3.0419169e-05,1.8237699e-05,2.0,42,0.021419818,1.6256298e-07,0,-1.1852818895513274e-08,2.0
145,145,44369.8,100365.83,101171.625,142509.64,-45.229084,101.70549584404216,0.019864054,6.5680716e-08,3.545471e-05,1.7869108e-05,2.0,42,0.021847235,1.5330356e-07,0,-1.178116828365599e-08,2.0
146,146,38403.727,113728.03,101137.2,152193.3,-41.646374,102.25749069693848,0.01983905,1.1093968e-07,4.097659e-05,1.8095336e-05,2.0,42,0.020169275,1.3252406e-07,0,-1.1673043577959459e-08,2.0
