True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,129.65277,1236.2662,1243.0463,-84.01302,82.8324851342768,0.0047480343,1.1137926e-05,1.8391152e-05,1.8191076e-05,2.0,40,0.009915374,7.976673e-06,0,-1.2192207803581508e-09,2.0
111,111,6057573.0,218.70018,1490.171,1506.1339,-81.65077,83.3844926005404,0.004780491,-2.8305614e-05,1.7631342e-05,1.7259588e-05,2.0,40,0.014076027,9.3458e-06,0,-2.2512710891173548e-09,2.0
112,112,5242039.0,198.75294,1710.7704,1722.277,-83.37323,83.80048744697706,0.0048298277,-3.9878145e-05,1.7747132e-05,1.7510785e-05,2.0,40,0.01949419,1.1318848e-05,0,-5.048335063239416e-09,2.0
113,113,4536288.0,189.81229,1950.8153,1960.0278,-84.44267,85.16849359191838,0.004791521,-3.3310444e-05,1.7984707e-05,1.781604e-05,2.0,40,0.0183095,9.341449e-06,0,-3.414857076032899e-08,2.0
114,114,3925558.5,208.32964,2260.332,2269.9124,-84.734055,85.72050577812479,0.004766554,-1.8054021e-05,1.793686e-05,1.7785773e-05,2.0,40,0.019986063,8.804773e-06,0,-3.752223602626895e-08,2.0
115,115,3397055.0,272.87106,2555.4038,2569.9314,-83.90494,86.13649187792907,0.0047664237,-3.504074e-05,1.8334034e-05,1.8127337e-05,2.0,40,0.020855442,8.115175e-06,0,-4.0851093746934186e-08,2.0
116,116,2939708.2,338.3966,2921.5183,2941.051,-83.39293,86.68848585078376,0.004747159,-3.0426603e-05,1.853136e-05,1.8286028e-05,2.0,40,0.020407861,6.9389685e-06,0,-3.859715208147602e-08,2.0
117,117,2543924.5,240.8127,3370.4492,3379.041,-85.91326,87.2404959036794,0.0046750912,6.170197e-06,1.8562143e-05,1.8467868e-05,2.0,40,0.02072284,6.132758e-06,0,-3.592132609717977e-08,2.0
118,118,2201436.2,316.12976,3919.9282,3932.655,-85.38926,87.79250238320674,0.0046642846,-1.444457e-05,1.8443183e-05,1.8324006e-05,2.0,40,0.020353924,5.175619e-06,0,-4.216999071673892e-08,2.0
119,119,1905053.1,394.91748,4427.112,4444.691,-84.90246,88.34448859610711,0.004698511,-1.0239753e-05,1.8870896e-05,1.8721921e-05,2.0,40,0.020618457,4.6388955e-06,0,-4.74705590843914e-08,2.0
120,120,1648567.4,484.4333,5071.2407,5094.326,-84.54334,88.89650014232029,0.0047407867,-4.350619e-05,1.9037032e-05,1.8864885e-05,2.0,40,0.019896694,3.9056576e-06,0,-5.506669403931299e-08,2.0
121,121,1426616.2,382.2395,6024.3086,6036.423,-86.36948,89.61548188314191,0.0047278376,-5.266919e-06,1.8518498e-05,1.8444245e-05,2.0,41,0.0193361,3.2032383e-06,0,-6.401157776184619e-08,2.0
122,122,1234551.2,371.0452,6827.0796,6837.1553,-86.88909,90.16749753602198,0.0046998155,-1.1980418e-06,1.8883218e-05,1.8827604e-05,2.0,41,0.020635784,3.0181827e-06,0,-6.285335533487076e-08,2.0
123,123,1068345.5,404.607,8035.305,8045.4854,-87.117386,90.71948681559297,0.004707939,-8.0698317e-07,1.8539842e-05,1.8492954e-05,2.0,41,0.02068152,2.5705747e-06,0,-6.20970789773657e-08,2.0
124,124,924510.06,507.6387,9009.324,9023.614,-86.775024,91.27150644178619,0.0046838853,6.1758334e-07,1.9108045e-05,1.9047573e-05,2.0,41,0.020233592,2.2422935e-06,0,-6.266472182799513e-08,2.0
125,125,800039.0,1333.9303,10879.689,10961.159,-83.01,91.82348964133416,0.004701511,1.6604046e-06,1.8284894e-05,1.8014096e-05,2.0,41,0.020828359,1.9001967e-06,0,-6.153610765050151e-08,2.0
126,126,692334.1,994.77295,12235.984,12276.3545,-85.352135,92.37549793426297,0.00475109,-1.8404935e-06,1.8787348e-05,1.866399e-05,2.0,41,0.020375874,1.6597659e-06,0,-6.240384582313791e-08,2.0
127,127,599122.25,1207.9735,14116.436,14168.025,-85.10899,92.92748342713458,0.004740097,-3.4456923e-06,1.881827e-05,1.8681472e-05,2.0,41,0.020594165,1.4535664e-06,0,-6.297708927469456e-08,2.0
128,128,518454.94,1433.3885,16238.276,16301.418,-84.95545,93.47949937332305,0.0047171055,-1.0602398e-06,1.8904673e-05,1.8758506e-05,2.0,41,0.020545118,1.260327e-06,0,-6.322661209441094e-08,2.0
129,129,448662.03,1713.6001,18599.715,18678.486,-84.736176,94.03150681286934,0.0047053117,-1.7943009e-07,1.9071924e-05,1.8911402e-05,2.0,41,0.020303473,1.0869977e-06,0,-6.250163410339522e-08,2.0
130,130,388258.97,2342.6028,21221.883,21350.787,-83.70084,94.58348313244642,0.0046382747,4.034683e-06,1.931589e-05,1.9083356e-05,2.0,41,0.020874618,9.776978e-07,0,-6.294573843911798e-08,2.0
131,131,335983.9,3229.6204,24056.666,24272.486,-82.35373,95.13550371865858,0.0047336877,-2.4196315e-06,1.9690928e-05,1.9342318e-05,2.0,41,0.020243,8.3398953e-07,0,-6.399625032566784e-08,2.0
132,132,290751.2,2806.5735,27999.41,28139.719,-84.27597,95.68750675822957,0.004719733,-4.122019e-07,1.9550134e-05,1.935566e-05,2.0,41,0.020492196,7.282303e-07,0,-6.473475209718534e-08,2.0
133,133,251605.19,4332.5405,32423.984,32712.164,-82.38914,96.2394912111049,0.0047176834,-1.4326773e-06,1.9508963e-05,1.9166746e-05,2.0,41,0.02048855,6.263282e-07,0,-6.516067645324282e-08,2.0
134,134,217729.38,5730.0757,37032.758,37473.44,-81.20438,96.79149497064645,0.0046974863,2.954255e-07,1.9738633e-05,1.9277113e-05,2.0,41,0.020306896,5.4190104e-07,0,-6.455214979561674e-08,2.0
135,135,188418.58,6288.699,42278.28,42743.43,-81.53955,97.34349414354074,0.0047127088,-3.890754e-06,1.9979245e-05,1.954677e-05,2.0,41,0.020792097,4.864396e-07,0,-6.408927906315714e-08,2.0
136,136,163051.14,8969.294,47773.117,48607.81,-79.36663,97.89549552978133,0.0047237943,-3.0564988e-06,2.0432086e-05,1.9736393e-05,2.0,41,0.020295884,4.175437e-07,0,-6.381234883404198e-08,2.0
137,137,141098.2,7940.8726,54410.027,54986.44,-81.69659,98.61348492387333,0.004711516,-4.0329996e-07,2.0730973e-05,2.0298612e-05,2.0,42,0.018941503,3.444759e-07,0,-6.383120790024085e-08,2.0
138,138,122105.11,17021.543,65927.07,68089.0,-75.5231,99.02950142361806,0.0046467707,2.7148812e-07,1.9770723e-05,1.8535153e-05,2.0,42,0.020676143,3.0366348e-07,0,-6.3883992661473e-08,2.0
139,139,105663.59,13185.929,71862.195,73061.914,-79.60251,99.58148814315791,0.0047121495,-3.9566356e-07,2.0960146e-05,2.027744e-05,2.0,42,0.02026977,2.7743278e-07,0,-6.386930424405909e-08,2.0
140,140,91439.65,17200.123,81055.11,82859.97,-78.019394,99.99750730957021,0.0047359983,-3.0365544e-07,2.1473617e-05,2.0548327e-05,2.0,42,0.021491954,2.593768e-07,0,-6.385327105722707e-08,2.0
141,141,79127.08,23872.99,91526.016,94588.22,-75.381096,100.5494899758196,0.004686345,6.452733e-09,2.1976091e-05,2.0576214e-05,2.0,42,0.020331886,2.1495157e-07,0,-6.382102891641554e-08,2.0
142,142,68475.36,27915.8,104476.95,108142.16,-75.04028,100.9655066888954,0.004690332,-1.6284953e-07,2.2246686e-05,2.076425e-05,2.0,42,0.021163957,1.9570497e-07,0,-6.38506560569662e-08,2.0
143,143,59252.523,34299.715,119241.46,124076.58,-73.952156,101.3814953220135,0.0047466927,-4.599201e-07,2.2526097e-05,2.0804675e-05,2.0,42,0.021912241,1.7660255e-07,0,-6.390092558132368e-08,2.0
144,144,51282.285,39883.203,134503.3,140291.86,-73.48374,101.93348916157265,0.0046544843,1.1950716e-07,2.3073839e-05,2.1209027e-05,2.0,42,0.02029284,1.4464732e-07,0,-6.390305200883814e-08,2.0
145,145,44369.8,54319.957,152373.36,161766.19,-70.379234,102.34950419465895,0.0046858974,6.06519e-08,2.354093e-05,2.0886524e-05,2.0,42,0.02070766,1.2800982e-07,0,-6.390457966829249e-08,2.0
146,146,38403.727,72175.68,166490.55,181461.92,-66.56268,102.76549706773949,0.0047455193,-4.9959164e-07,2.489185e-05,2.0953921e-05,2.0,42,0.02101603,1.1581509e-07,0,-6.393362467667412e-08,2.0
147,147,33226.32,84348.02,184125.38,202525.9,-65.387436,103.18149364748388,0.0047154473,1.5284625e-07,2.6015026e-05,2.150257e-05,2.0,42,0.02119682,1.0466226e-07,0,-6.393047666428863e-08,2.0
148,148,28754.086,106354.516,202519.83,228747.81,-62.293518,103.59749161390937,0.004714907,-8.946648e-08,2.7330843e-05,2.14227e-05,2.0,42,0.021361498,9.338449e-08,0,-6.397756641036661e-08,2.0
149,149,24884.947,132263.33,220457.67,257089.81,-59.0384,104.01350422037649,0.0046589747,3.1451228e-07,2.9010698e-05,2.133236e-05,2.0,42,0.021413235,8.329087e-08,0,-6.392742584380621e-08,2.0
150,150,21553.963,152963.22,231055.61,277100.06,-56.49468,104.43048632013961,0.004651895,4.1173539e-07,3.195777e-05,2.2219601e-05,2.0,42,0.021320397,7.694115e-08,0,-6.390029419013467e-08,2.0
151,151,18631.234,186337.19,247450.48,309763.28,-53.019222,104.8465068465739,0.0046896427,-6.469515e-08,3.452154e-05,2.2029617e-05,2.0,42,0.021266164,6.865295e-08,0,-6.385351274627895e-08,2.0
152,152,16126.037,218091.83,254409.75,335094.56,-49.395287,105.26249401303357,0.0046503297,2.7856572e-07,3.8793478e-05,2.2361011e-05,2.0,42,0.021006824,6.2689246e-08,0,-6.386621798441301e-08,2.0
153,153,13954.87,251866.81,262576.3,363845.03,-46.19259,105.67848400611547,0.00471092,-1.0976797e-07,4.34349e-05,2.262127e-05,2.0,42,0.020727763,5.696866e-08,0,-6.389826081344829e-08,2.0
154,154,12080.609,285644.34,290245.56,407228.66,-45.457767,106.09450458586798,0.0046761157,-3.9773793e-09,4.5390574e-05,2.3057924e-05,2.0,42,0.020479035,5.0288786e-08,0,-6.393631447189306e-08,2.0
155,155,10447.592,320689.5,264196.3,415501.44,-39.483006,106.51050084558665,0.004707156,1.8186478e-08,5.7660338e-05,2.3312326e-05,2.0,42,0.019783437,4.76134e-08,0,-6.397133048967005e-08,2.0
156,156,9045.586,360760.44,269085.75,450061.38,-36.7187,107.25425941430149,0.0046988465,1.05166424e-10,6.53872e-05,2.337387e-05,2.0,43,0.020006951,4.4453827e-08,0,-6.399249425529459e-08,2.0
157,157,7827.7437,403999.47,263262.06,482205.84,-33.08986,107.73393919708906,0.0047027594,3.3179454e-08,7.7231634e-05,2.3020082e-05,2.0,43,0.019998915,4.1473815e-08,0,-6.39958979886885e-08,2.0
158,158,6770.8345,436696.4,251844.31,504112.4,-29.972195,108.2724080759508,0.004633207,4.664382e-08,9.333527e-05,2.3294604e-05,2.0,43,0.019985989,3.9645897e-08,0,-6.399053712030166e-08,2.0
159,159,5860.798,470185.66,235749.98,525977.75,-26.629078,108.87899018480675,0.004733818,4.0479648e-08,0.00011518918,2.3140903e-05,2.0,43,0.020021282,3.8064886e-08,0,-6.399258872085728e-08,2.0
160,160,5071.625,498536.62,219910.17,544884.6,-23.80282,109.55970485716534,0.0047765966,-3.768371e-09,0.00014270122,2.3243912e-05,2.0,43,0.020068062,3.682993e-08,0,-6.399454164756503e-08,2.0
161,161,4388.5933,522294.03,202348.94,560121.56,-21.177534,110.23984275612747,0.0046869223,2.463158e-08,0.00017922306,2.339005e-05,2.0,43,0.020092003,3.587079e-08,0,-6.399045366486542e-08,2.0
162,162,3798.7827,535615.9,183660.89,566229.4,-18.92667,110.91983617508959,0.0046640052,2.1465716e-08,0.00022811771,2.3999797e-05,2.0,43,0.02002244,3.5361005e-08,0,-6.397995465657383e-08,2.0
163,163,3286.0488,552502.56,162161.75,575808.56,-16.35718,111.59968231405946,0.004640641,1.8039133e-08,0.0002986742,2.368854e-05,2.0,43,0.02005284,3.4825533e-08,0,-6.397101239058342e-08,2.0
164,164,2844.088,566514.25,148717.05,585709.1,-14.708971,112.27981389302295,0.004703188,1.8988917e-08,0.00037628453,2.4259056e-05,2.0,43,0.020043872,3.4221546e-08,0,-6.396581510439485e-08,2.0
165,165,2460.7852,575050.4,131417.73,589875.9,-12.872885,112.95971403198928,0.0046774014,-6.002979e-09,0.00049214426,2.4427507e-05,2.0,43,0.020064779,3.4015255e-08,0,-6.394859624517225e-08,2.0
166,166,2129.3164,585920.8,113246.68,596764.6,-10.939231,113.63985246428638,0.004672371,4.351533e-08,0.00066001597,2.3768363e-05,2.0,43,0.020076972,3.3643033e-08,0,-6.395132004806885e-08,2.0
167,167,1843.2289,592556.7,101655.72,601213.2,-9.734584,114.31996225658804,0.0046381815,6.59001e-08,0.0008493937,2.4283747e-05,2.0,43,0.02008639,3.3409766e-08,0,-6.393430757735155e-08,2.0
168,168,1594.4913,600533.2,86659.32,606753.6,-8.211325,114.99984956887783,0.004733576,1.3998126e-08,0.0011518148,2.3495706e-05,2.0,43,0.020154357,3.3216708e-08,0,-6.391302721833251e-08,2.0
169,169,1380.4436,603383.25,75976.38,608147.8,-7.176759,115.67969341450953,0.0046110167,3.1056796e-08,0.0015174795,2.3684366e-05,2.0,43,0.020118061,3.3080873e-08,0,-6.389445135097609e-08,2.0
170,170,1194.6187,604333.1,66456.71,607976.2,-6.275431,116.35980960681627,0.004694114,1.1409676e-08,0.002004712,2.3952814e-05,2.0,43,0.020137507,3.31222e-08,0,-6.388564093556316e-08,2.0
171,171,1033.3434,606239.44,54671.992,608699.7,-5.153118,117.0400756924355,0.0047044735,2.2751077e-08,0.0028171537,2.2726586e-05,2.0,43,0.020148788,3.310136e-08,0,-6.388049019670551e-08,2.0
172,172,894.71045,607889.75,45626.863,609599.7,-4.292446,117.71983996474592,0.004689009,4.2361037e-08,0.0038986749,2.1840811e-05,2.0,43,0.020169785,3.3086934e-08,0,-6.38891050603711e-08,2.0
173,173,774.2569,610044.5,42593.098,611529.6,-3.9938903,118.39993546370533,0.0046475534,5.8972674e-08,0.0048260945,2.3412042e-05,2.0,43,0.0202015,3.303438e-08,0,-6.387266798544032e-08,2.0
174,174,669.7856,608073.5,36336.055,609158.2,-3.4197016,119.07981565600494,0.0046684584,3.1820505e-08,0.006539531,2.3268156e-05,2.0,43,0.02019763,3.3156624e-08,0,-6.385446605789606e-08,2.0
175,175,579.81464,605665.06,30253.643,606420.2,-2.859611,119.75981438162853,0.0047022374,1.9045197e-08,0.00907305,2.2581944e-05,2.0,43,0.020162582,3.3248533e-08,0,-6.387318569873004e-08,2.0
176,176,501.44418,607306.1,24436.066,607797.56,-2.3041568,120.43716908045462,0.0046647317,4.068499e-08,0.012988717,2.099476e-05,2.0,43,0.020227898,3.328065e-08,0,-6.389386446761315e-08,2.0
177,177,434.02762,607586.06,25336.072,608114.06,-2.3878255,121.11721257938189,0.0047027967,3.487465e-08,0.014473164,2.5123027e-05,2.0,43,0.02016371,3.3157775e-08,0,-6.387581149756056e-08,2.0
178,178,375.6009,605425.0,20509.904,605772.3,-1.9402597,121.79546589162783,0.0047342656,1.0497295e-08,0.02065998,2.3683087e-05,2.0,43,0.020220019,3.337891e-08,0,-6.3839576582877e-08,2.0
179,179,325.10385,605034.8,18797.559,605326.75,-1.7795248,122.47472469726199,0.004680159,2.0553715e-08,0.026043335,2.5114223e-05,2.0,43,0.020234013,3.3426595e-08,0,-6.385554065153048e-08,2.0
180,180,281.3503,602880.8,18619.947,603168.3,-1.7690153,123.15178723608551,0.004767728,-2.4066724e-08,0.030380458,2.8951705e-05,2.0,43,0.020198725,3.348771e-08,0,-6.389421084949356e-08,2.0
181,181,243.36427,603178.06,18489.133,603461.4,-1.7557297,123.83509590852191,0.004728825,4.2959822e-09,0.035370953,3.3203272e-05,2.0,43,0.020195484,3.3466076e-08,0,-6.385465812215764e-08,2.0
182,182,210.60631,604611.75,17811.91,604874.06,-1.68745,124.51219799401588,0.004738085,2.8992893e-09,0.042426605,3.6789963e-05,2.0,43,0.020237718,3.3457738e-08,0,-6.382659827936206e-08,2.0
183,183,182.27473,603197.9,17943.986,603464.7,-1.7039378,125.18428306592978,0.004702871,-3.804949e-09,0.04866029,4.3023807e-05,2.0,43,0.020201026,3.3475075e-08,0,-6.384703393248456e-08,2.0
184,184,157.72879,603968.44,19239.361,604274.8,-1.824535,125.87265088532149,0.0047050323,2.4539114e-08,0.05244674,5.316561e-05,2.0,43,0.020222904,3.3466403e-08,0,-6.380429439616818e-08,2.0
185,185,136.52892,593304.5,23399.764,593765.75,-2.258559,126.54452678383677,0.004721503,2.783541e-08,0.049817737,7.737073e-05,2.0,43,0.019950785,3.360043e-08,0,-6.383543029413236e-08,2.0
186,186,118.14758,605091.0,21999.012,605490.75,-2.082159,127.23288993656752,0.004741681,5.0443614e-08,0.061233927,8.0832026e-05,2.0,43,0.020236678,3.3421944e-08,0,-6.382806793837838e-08,2.0
187,187,102.25773,606281.94,24387.373,606772.25,-2.3034508,127.89934340820764,0.004725583,-4.7732995e-09,0.06382032,0.00010309499,2.0,43,0.020235745,3.334982e-08,0,-6.383081012499245e-08,2.0
188,188,88.4436,606664.6,24967.652,607178.2,-2.3567128,128.58828730761888,0.004685674,4.8842036e-08,0.07207356,0.00012187063,2.0,43,0.0202507,3.3352155e-08,0,-6.380971060659786e-08,2.0
189,189,76.54279,608843.2,28131.094,609492.75,-2.6454222,129.25571723267058,0.004662347,6.3200304e-08,0.07391442,0.00015745823,2.0,43,0.02027456,3.3264648e-08,0,-6.380918209877191e-08,2.0
190,190,66.250786,608940.9,31436.262,609751.75,-2.9552422,129.92401059772237,0.00466544,3.4949334e-08,0.076418445,0.00020312057,2.0,43,0.020247206,3.3205655e-08,0,-6.380817460318649e-08,2.0
191,191,57.329906,603683.2,38265.617,604894.75,-3.6269505,130.57864430884365,0.0047014365,-1.3991633e-08,0.07254879,0.00029032739,2.0,43,0.020191252,3.3379777e-08,0,-6.378413074336504e-08,2.0
192,192,49.60321,612320.06,38709.133,613542.4,-3.6172626,131.26335844796267,0.0047020325,2.5637895e-08,0.082889,0.00032993976,2.0,43,0.020259112,3.301991e-08,0,-6.375788298783627e-08,2.0
193,193,42.92585,609874.56,42369.434,611344.56,-3.9740884,131.97145720160916,0.0047083115,5.511799e-08,0.08750817,0.00042032168,2.0,43,0.020195294,3.3034226e-08,0,-6.378605170603042e-08,2.0
194,194,37.1518,615150.06,45884.848,616859.0,-4.265867,132.61518488553702,0.004692083,8.4151026e-08,0.09336218,0.00051658024,2.0,43,0.020236563,3.2805815e-08,0,-6.380756009570218e-08,2.0
