True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,171.5921,1304.5883,1315.8246,-82.50692,2.4664917171176057,-0.00474735,2.0273168e-05,1.7427998e-05,1.713162e-05,1.0,40,0.00996758,7.575159e-06,0,2.052335920110535e-09,1.0
1,1,6057573.0,220.80928,1500.6194,1516.778,-81.62926,3.0184923833294306,-0.0047498834,4.7691935e-07,1.750858e-05,1.7137521e-05,1.0,40,0.014069277,9.2757655e-06,0,2.3966366223551933e-09,1.0
2,2,5242039.0,210.76494,1732.1847,1744.9601,-83.06259,3.43448840311612,-0.0047050184,2.1646976e-07,1.7527731e-05,1.727202e-05,1.0,40,0.019489579,1.1169069e-05,0,1.3074662944947905e-09,1.0
3,3,4536288.0,199.15388,1986.9136,1996.8695,-84.2762,4.802491134760203,-0.0047656647,-5.1046754e-06,1.765796e-05,1.7482322e-05,1.0,40,0.018028343,9.028303e-06,0,9.435663099705177e-09,1.0
4,4,3925558.5,250.70804,2299.102,2312.731,-83.77671,5.354477934277384,-0.0047245445,-1.8909865e-05,1.763439e-05,1.7427163e-05,1.0,40,0.020541511,8.881929e-06,0,3.682876543330672e-09,1.0
5,5,3397055.0,303.49484,2583.118,2600.886,-83.29894,5.770481340732658,-0.0047750175,7.002137e-07,1.8137329e-05,1.7890363e-05,1.0,40,0.021330923,8.201407e-06,0,2.6022071359142906e-09,1.0
6,6,2939708.2,370.87296,2953.1748,2976.3716,-82.84201,6.3224843002681155,-0.0048088157,1.0505254e-05,1.8332712e-05,1.804807e-05,1.0,40,0.020229671,6.7967558e-06,0,3.2079074068810264e-09,1.0
7,7,2543924.5,344.9606,3416.1902,3433.5627,-84.233925,6.874485179811018,-0.004790296,3.82592e-06,1.8313605e-05,1.8128754e-05,1.0,40,0.020690164,6.0258585e-06,0,-8.09862911125947e-10,1.0
8,8,2201436.2,313.95453,3905.9026,3918.5,-85.40447,7.426493846025551,-0.0047808867,-3.189643e-05,1.850941e-05,1.8390592e-05,1.0,40,0.020445867,5.217779e-06,0,4.343697801232338e-10,1.0
9,9,1905053.1,408.3641,4483.159,4501.719,-84.79538,7.978498245618539,-0.004804232,1.4970544e-05,1.8634977e-05,1.8481634e-05,1.0,40,0.020712212,4.600956e-06,0,-3.0682143542940644e-09,1.0
10,10,1648567.4,500.9259,5174.382,5198.5723,-84.47049,8.530481311812764,-0.004821597,-1.7423989e-07,1.8657565e-05,1.8484332e-05,1.0,40,0.019893631,3.826749e-06,0,-7.14207843398324e-09,1.0
11,11,1426616.2,475.0969,6062.903,6081.489,-85.51939,9.24949950593873,-0.0048259944,1.0546948e-07,1.8400617e-05,1.8288318e-05,1.0,41,0.019437108,3.1961101e-06,0,-6.632023068596659e-10,1.0
12,12,1234551.2,670.8687,6888.098,6920.691,-84.4372,9.801482012175256,-0.0048109395,-7.436704e-07,1.8715942e-05,1.8540071e-05,1.0,41,0.020540744,2.9680193e-06,0,9.165665452175947e-11,1.0
13,13,1068345.5,708.966,8055.675,8086.812,-84.97046,10.353484251740156,-0.004807176,2.488721e-07,1.8492963e-05,1.8350827e-05,1.0,41,0.020655243,2.5541885e-06,0,1.3059147474573743e-09,1.0
14,14,924510.06,858.0445,9401.851,9440.924,-84.78544,10.905501077970257,-0.0048351237,2.909926e-06,1.8310287e-05,1.8159039e-05,1.0,41,0.02042231,2.1631686e-06,0,9.02788847716983e-10,1.0
15,15,800039.0,1121.9348,10985.965,11043.1045,-84.16892,11.457494410831714,-0.0048408997,1.617574e-06,1.810801e-05,1.7921106e-05,1.0,41,0.020954078,1.8974807e-06,0,7.074661222645772e-10,1.0
16,16,692334.1,963.10425,11950.763,11989.508,-85.392525,12.00949673037394,-0.004801829,6.827602e-07,1.9235735e-05,1.9111612e-05,1.0,41,0.02040169,1.7016287e-06,0,1.737576756176572e-10,1.0
17,17,599122.25,1574.3884,13898.843,13987.728,-83.53738,12.561478356627049,-0.0047884514,-4.1033954e-07,1.9112877e-05,1.8870744e-05,1.0,41,0.020438515,1.4611747e-06,0,1.144620986129515e-10,1.0
