True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,203.87718,1594.4962,1607.4775,-82.713524,2.468485210527433,-0.03588313,9.221569e-06,1.4259275e-05,1.4029902e-05,1.0,40,0.010067098,6.2626677e-06,0,3.296788501892757e-09,1.0
1,1,6057573.0,277.36765,1823.1515,1844.1296,-81.34956,3.020492943440331,-0.035853297,-1.2732909e-05,1.4411154e-05,1.4085146e-05,1.0,40,0.014343153,7.777736e-06,0,3.2093149041606414e-09,1.0
2,2,5242039.0,294.9101,2109.8926,2130.4033,-82.04304,3.4364773098786827,-0.03580739,-2.9328896e-05,1.4389958e-05,1.411421e-05,1.0,40,0.019951485,9.3651215e-06,0,6.594361931825511e-10,1.0
3,3,4536288.0,263.9895,2437.472,2451.7258,-83.818695,4.668492915021488,-0.03585602,-2.5645018e-05,1.4393947e-05,1.4227066e-05,1.0,40,0.021097668,8.605231e-06,0,-1.7081758268065843e-08,1.0
4,4,3925558.5,328.947,2758.502,2778.046,-83.199684,5.0844866414845455,-0.035888977,-2.445428e-05,1.4697564e-05,1.4491493e-05,1.0,40,0.019581633,7.0487076e-06,0,-1.7918921985357075e-08,1.0
5,5,3397055.0,385.34125,3131.5046,3155.1243,-82.98485,5.500484287884319,-0.035917297,-1.1207241e-05,1.4961132e-05,1.4737971e-05,1.0,40,0.020560306,6.5164804e-06,0,-1.7655592397924616e-08,1.0
6,6,2939708.2,458.69266,3546.087,3575.6301,-82.629616,6.052492020797217,-0.03592693,-9.160652e-06,1.5267451e-05,1.5016201e-05,1.0,40,0.020115154,5.625625e-06,0,-2.0809728976339493e-08,1.0
7,7,2543924.5,488.6308,4130.3823,4159.1846,-83.253174,6.604489593679318,-0.03590722,-3.055685e-05,1.5146967e-05,1.4937908e-05,1.0,40,0.020690355,4.974618e-06,0,-2.584760476245012e-08,1.0
8,8,2201436.2,611.82465,4690.7866,4730.519,-82.568794,7.156499699893175,-0.035965405,-1.3700363e-05,1.5412332e-05,1.5154517e-05,1.0,40,0.02089,4.4160056e-06,0,-2.3765076271262032e-08,1.0
9,9,1905053.1,577.6742,5478.532,5508.904,-83.98079,7.875488267367473,-0.0359366,-6.630035e-06,1.5249262e-05,1.5081581e-05,1.0,41,0.019475028,3.5351911e-06,0,-3.064018946724111e-08,1.0
10,10,1648567.4,646.96063,6328.7188,6361.701,-84.16315,8.427495946903946,-0.035929892,-4.481066e-06,1.5254488e-05,1.50967235e-05,1.0,41,0.019960023,3.1375293e-06,0,-3.0186059128627424e-08,1.0
11,11,1426616.2,834.76105,7344.255,7391.543,-83.51549,8.980482666549506,-0.035919122,-3.5145945e-06,1.51902605e-05,1.4996521e-05,1.0,41,0.02026552,2.741717e-06,0,-3.109400074307287e-08,1.0
12,12,1234551.2,907.6541,8552.482,8600.511,-83.94202,9.532492266065674,-0.035962593,7.0882913e-07,1.5073663e-05,1.490578e-05,1.0,41,0.020869762,2.4265723e-06,0,-3.0706607636181124e-08,1.0
13,13,1068345.5,1181.3905,9687.38,9759.15,-83.04703,10.084492505615344,-0.03595458,-1.8460814e-06,1.5378078e-05,1.5152725e-05,1.0,41,0.020487987,2.0993616e-06,0,-3.049638807981125e-08,1.0
