True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,422.72052,1456.4375,1516.5431,-73.81501,83.03249725044589,-0.021564621,-3.4114917e-06,1.5610942e-05,1.4398038e-05,2.0,40,0.010053724,6.629369e-06,0,-2.1039260950079155e-08,2.0
111,111,6057573.0,519.6066,1611.6475,1693.3395,-72.13031,83.58450165003887,-0.021554673,-1.0779341e-05,1.6302396e-05,1.4767381e-05,2.0,40,0.014258391,8.420279e-06,0,-2.4556891039141605e-08,2.0
112,112,5242039.0,586.3532,1901.3674,1989.7257,-72.86102,84.00048692311975,-0.021471854,-6.87219e-06,1.5968122e-05,1.458141e-05,2.0,40,0.019858845,9.980695e-06,0,-2.4672454058527373e-08,2.0
113,113,4536288.0,664.48224,2154.7166,2254.8481,-72.86102,85.36849274809356,-0.02154491,-1.2528234e-05,1.628281e-05,1.486877e-05,2.0,40,0.018018039,7.9907995e-06,0,-2.9760622598620716e-08,2.0
114,114,3925558.5,838.60077,2415.919,2557.326,-70.85737,85.9214967743319,-0.0215829,-1.2491013e-05,1.6781714e-05,1.49771395e-05,2.0,40,0.01999743,7.819664e-06,0,-3.459634494572129e-08,2.0
115,115,3397055.0,1026.2457,2691.7625,2880.7578,-69.13044,86.33749535409152,-0.02156572,-1.4128283e-05,1.7405273e-05,1.5196402e-05,2.0,40,0.020921359,7.26245e-06,0,-3.718142064663274e-08,2.0
116,116,2939708.2,1269.7802,3009.1921,3266.126,-67.12186,86.88950335365371,-0.0215445,-2.9477735e-05,1.7991442e-05,1.5272142e-05,2.0,40,0.020432591,6.25591e-06,0,-4.143991405535215e-08,2.0
117,117,2543924.5,1509.4384,3368.1904,3690.95,-65.860695,87.44148948657676,-0.021584148,-2.5198491e-05,1.8574592e-05,1.5468075e-05,2.0,40,0.020676723,5.602006e-06,0,-4.2162578026132e-08,2.0
118,118,2201436.2,1819.6058,3723.9595,4144.7363,-63.95888,87.99349663275643,-0.021615189,-1.5039946e-05,1.9413734e-05,1.5672025e-05,2.0,40,0.02077556,5.012517e-06,0,-4.4999339553096444e-08,2.0
119,119,1905053.1,2261.864,4087.6218,4671.6895,-61.042282,88.54549145899364,-0.021607755,-1.0388601e-05,2.0438185e-05,1.564717e-05,2.0,40,0.020369329,4.360163e-06,0,-4.780767808996877e-08,2.0
120,120,1648567.4,2749.188,4453.2812,5233.5215,-58.311314,89.09750311190146,-0.02163626,-1.5821377e-05,2.1678705e-05,1.5696598e-05,2.0,40,0.019844662,3.7918373e-06,0,-4.858413838371235e-08,2.0
121,121,1426616.2,3195.2183,4949.3433,5891.1304,-57.154346,89.81648359933752,-0.021614537,-3.9224255e-06,2.2540597e-05,1.5909747e-05,2.0,41,0.019570995,3.322112e-06,0,-4.9827912243373106e-08,2.0
122,122,1234551.2,3806.1157,5174.3574,6423.433,-53.66282,90.36850189222605,-0.021618783,-5.537283e-07,2.4914638e-05,1.6167132e-05,2.0,41,0.020794451,3.23728e-06,0,-4.9301440355983596e-08,2.0
123,123,1068345.5,4476.519,5531.5776,7116.0083,-51.01792,90.92049237180618,-0.021597618,-1.9633974e-06,2.6931431e-05,1.6273634e-05,2.0,41,0.02056317,2.8897057e-06,0,-5.080480271864178e-08,2.0
124,124,924510.06,5236.4897,5578.3086,7651.036,-46.81032,91.47248223799397,-0.02160755,-7.1759916e-07,3.0860712e-05,1.6404783e-05,2.0,41,0.020181928,2.6378032e-06,0,-5.1246644865909614e-08,2.0
125,125,800039.0,6038.08,5544.898,8197.823,-42.56192,92.02448943755007,-0.021607978,-1.2799773e-06,3.587694e-05,1.641366e-05,2.0,41,0.020848488,2.5431737e-06,0,-5.112843750230607e-08,2.0
126,126,692334.1,6695.5596,5612.373,8736.661,-39.970516,92.57649866378051,-0.021600282,-2.17196e-06,4.0959803e-05,1.690285e-05,2.0,41,0.02033909,2.3280163e-06,0,-5.20421589308015e-08,2.0
127,127,599122.25,7544.0713,5514.524,9344.677,-36.16585,93.12848610334913,-0.021606449,-6.0400504e-07,4.817222e-05,1.6775835e-05,2.0,41,0.020522414,2.196161e-06,0,-5.2387782864506366e-08,2.0
128,128,518454.94,8178.5864,5332.8013,9763.608,-33.106136,93.68049172955216,-0.021609934,-1.4404648e-07,5.756436e-05,1.7172906e-05,2.0,41,0.02069333,2.1194346e-06,0,-5.3338408034750786e-08,2.0
129,129,448662.03,8803.453,4991.969,10120.304,-29.555264,94.2324940757535,-0.021617983,-3.5633434e-07,7.1060604e-05,1.7289627e-05,2.0,41,0.02001061,1.9772735e-06,0,-5.427083348597191e-08,2.0
130,130,388258.97,9419.851,4709.1006,10531.345,-26.561039,94.78450108863763,-0.02162266,-1.8128804e-07,8.704838e-05,1.7404796e-05,2.0,41,0.020851672,1.979963e-06,0,-5.411822071584539e-08,2.0
131,131,335983.9,10012.313,4183.042,10851.003,-22.674671,95.33650394153665,-0.021602277,6.604163e-07,0.000113242495,1.6828837e-05,2.0,41,0.02057985,1.8965851e-06,0,-5.370850758556244e-08,2.0
132,132,290751.2,10364.908,4144.1304,11162.667,-21.792675,95.88849874111474,-0.02160129,-6.210785e-08,0.00013208856,1.8205226e-05,2.0,41,0.020261023,1.81507e-06,0,-5.40644343018592e-08,2.0
133,133,251605.19,10780.294,3755.5808,11415.74,-19.20704,96.44050706064445,-0.021578148,-4.7178628e-07,0.00016843155,1.8229279e-05,2.0,41,0.020505466,1.7962449e-06,0,-5.5117220096041526e-08,2.0
134,134,217729.38,11095.698,3450.8792,11619.943,-17.276245,96.99249058021815,-0.021609152,4.4999413e-07,0.00021182312,1.8682063e-05,2.0,41,0.020167405,1.7355854e-06,0,-5.32279119619721e-08,2.0
135,135,188418.58,11365.451,3100.5376,11780.781,-15.259197,97.54450689975056,-0.021615542,6.8835527e-07,0.0002724328,1.8870578e-05,2.0,41,0.020177383,1.7127372e-06,0,-5.2759978856621635e-08,2.0
136,136,163051.14,11572.2,2795.242,11905.007,-13.579568,97.96050046620076,-0.021588303,-1.0714015e-06,0.00034920214,1.9251138e-05,2.0,41,0.021854416,1.8357332e-06,0,-5.285899445987753e-08,2.0
137,137,141098.2,11785.571,2542.3135,12056.66,-12.172979,98.5124959590903,-0.021596408,7.197839e-08,0.00044367966,1.9727575e-05,2.0,41,0.020361168,1.6887901e-06,0,-5.2928090491114095e-08,2.0
138,138,122105.11,11877.606,2237.705,12086.557,-10.669295,98.92848731213599,-0.021577869,-2.2501547e-06,0.0005824833,1.9965673e-05,2.0,41,0.021828169,1.8059874e-06,0,-5.290643334246445e-08,2.0
139,139,105663.59,12052.035,2021.2963,12220.359,-9.520704,99.48048949838267,-0.021591954,-1.9410336e-06,0.0007451862,2.0387162e-05,2.0,41,0.020524807,1.6795584e-06,0,-5.3505382703439565e-08,2.0
