True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,323.62497,1530.8641,1564.6975,-78.06341,2.4664811037655454,-0.0087634465,-1.7415651e-07,1.4851979e-05,1.42166355e-05,1.0,40,0.010041563,6.4175747e-06,0,2.1073141722038395e-09,1.0
1,1,6057573.0,447.62653,1786.3174,1841.5481,-75.93215,3.018486330023734,-0.0087727625,-4.7511953e-06,1.4708314e-05,1.3839295e-05,1.0,40,0.014301091,7.765799e-06,0,-1.6030927834107286e-09,1.0
2,2,5242039.0,464.83594,2034.5988,2087.023,-77.13076,3.434496536414372,-0.008686237,-1.5077168e-05,1.4922483e-05,1.418222e-05,1.0,40,0.01988088,9.525952e-06,0,-3.989927350567591e-09,1.0
3,3,4536288.0,463.19,2345.2021,2390.5059,-78.82757,4.666484168294119,-0.008777663,-3.6029616e-07,1.4960264e-05,1.4398597e-05,1.0,40,0.020607412,8.620524e-06,0,-1.4513619770241348e-08,1.0
4,4,3925558.5,619.4901,2652.3389,2723.7234,-76.85346,5.082485601393273,-0.008754597,-2.6277612e-05,1.5285852e-05,1.44951155e-05,1.0,40,0.019424638,7.1316485e-06,0,-1.766381726343348e-08,1.0
5,5,3397055.0,724.8975,2960.244,3047.7073,-76.24031,5.498495727806585,-0.008780047,-1.8388922e-05,1.5826688e-05,1.4931332e-05,1.0,40,0.020419344,6.699903e-06,0,-1.7153660499268142e-08,1.0
6,6,2939708.2,893.2281,3399.6626,3515.0479,-75.278824,6.050485754007241,-0.008848314,7.026038e-06,1.5925023e-05,1.4896671e-05,1.0,40,0.020480752,5.8265928e-06,0,-1.6010739306529507e-08,1.0
7,7,2543924.5,1062.6969,3873.2712,4016.4106,-74.657486,6.602483886905247,-0.008822304,-1.872382e-05,1.6152435e-05,1.5021649e-05,1.0,40,0.02067018,5.146431e-06,0,-1.5676004112783124e-08,1.0
8,8,2201436.2,1318.869,4353.1406,4548.5435,-73.14479,7.154483193153283,-0.008834732,-8.918777e-06,1.660777e-05,1.5211499e-05,1.0,40,0.020855589,4.585114e-06,0,-1.8476606260455872e-08,1.0
9,9,1905053.1,1658.5999,4818.3364,5095.814,-71.00517,7.706490046024555,-0.008835607,8.862611e-07,1.7338676e-05,1.5501832e-05,1.0,40,0.020308696,3.9853685e-06,0,-2.1974839810847394e-08,1.0
