True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,26.947596,1213.6201,1213.9193,-88.728,2.470474090630887,-0.04729466,-6.380457e-05,1.873433e-05,1.8725097e-05,1.0,40,0.009427764,7.766384e-06,0,1.6503821258791302e-08,1.0
1,1,6057573.0,272.54218,1557.6599,1581.3234,-80.07548,3.022500436840346,-0.04755765,4.14088e-05,1.6867427e-05,1.6366384e-05,1.0,40,0.013259298,8.384938e-06,0,7.219617445212773e-09,1.0
2,2,5242039.0,191.83899,1779.5837,1789.894,-83.84728,3.438489256630419,-0.047479413,2.3715085e-05,1.706088e-05,1.6864897e-05,1.0,40,0.018225418,1.0182401e-05,0,4.820429905230917e-09,1.0
3,3,4536288.0,144.52745,2055.5935,2060.668,-85.97819,4.94248044808046,-0.047246143,-7.7442404e-05,1.7067985e-05,1.6984028e-05,1.0,40,0.021060212,1.0220089e-05,0,1.841992838516641e-09,1.0
4,4,3925558.5,197.12424,2355.1926,2363.4277,-85.21562,5.358480681170477,-0.047317132,-8.888473e-05,1.7214414e-05,1.7094659e-05,1.0,40,0.019006737,8.042021e-06,0,-5.278617331984808e-09,1.0
5,5,3397055.0,271.3662,2732.1301,2745.5737,-84.32776,5.774492327560438,-0.047599792,6.319572e-05,1.7148106e-05,1.6980588e-05,1.0,40,0.020274974,7.384604e-06,0,-5.864786045347298e-09,1.0
6,6,2939708.2,198.72737,3092.1782,3098.5576,-86.322784,6.326500407158164,-0.047398068,-6.7581546e-05,1.7508597e-05,1.7436578e-05,1.0,40,0.020655863,6.6662833e-06,0,-7.130870597551267e-09,1.0
7,7,2543924.5,240.56999,3493.9475,3502.2197,-86.06121,6.878486380010145,-0.047493797,-3.1096384e-05,1.7906039e-05,1.7821552e-05,1.0,40,0.020280529,5.790764e-06,0,-8.612690196842878e-09,1.0
8,8,2201436.2,334.21115,4060.299,4074.0308,-85.29448,7.430502779578092,-0.047462273,-2.8900939e-05,1.7805574e-05,1.7685748e-05,1.0,40,0.020972835,5.1479324e-06,0,-8.688545463352663e-09,1.0
9,9,1905053.1,246.11508,4728.042,4734.4434,-87.020195,7.982503125764197,-0.04761386,-1.580275e-05,1.7669803e-05,1.7622053e-05,1.0,40,0.020617422,4.354772e-06,0,-9.763915501518265e-09,1.0
