True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,-87.29,1496.4006,1498.9445,-93.33847,82.8714796428394,0.016780784,9.500662e-06,1.5194032e-05,1.51425065e-05,2.0,40,0.00959849,6.4034994e-06,0,4.68348113033406e-09,2.0
111,111,6057573.0,260.54462,1825.1863,1843.6888,-81.87594,83.42348625572049,0.01688952,-2.6538086e-05,1.43950865e-05,1.410761e-05,2.0,40,0.013343501,7.237393e-06,0,3.489882071367603e-09,2.0
112,112,5242039.0,235.27097,2019.0339,2032.6953,-83.3535,83.83949752882472,0.016990783,-8.296822e-05,1.5037522e-05,1.4836072e-05,2.0,40,0.018435555,9.069512e-06,0,-4.647550221363008e-09,2.0
113,113,4536288.0,253.73965,2386.788,2400.2378,-83.93167,85.34349800026393,0.016937794,-2.9235844e-05,1.4699605e-05,1.4535328e-05,2.0,40,0.020904848,8.70949e-06,0,1.6051415414312567e-08,2.0
114,114,3925558.5,264.57645,2629.9458,2643.2207,-84.25529,85.75950154001475,0.0169813,-8.198213e-05,1.5416006e-05,1.5261548e-05,2.0,40,0.018891346,7.1470936e-06,0,1.1999007812348613e-08,2.0
115,115,3397055.0,277.55783,3041.4487,3054.0872,-84.78572,86.17549451973173,0.016711978,4.596714e-05,1.5404126e-05,1.5276899e-05,2.0,40,0.019989494,6.545162e-06,0,1.005339319961656e-08,2.0
116,116,2939708.2,315.85114,3568.6196,3582.57,-84.94205,86.72748667930136,0.016900213,-3.040799e-05,1.517105e-05,1.5053129e-05,2.0,40,0.020128265,5.618387e-06,0,1.1968547706103313e-08,2.0
117,117,2543924.5,387.03088,3844.8767,3864.3071,-84.251884,87.27949054553756,0.016728913,2.5482603e-05,1.627172e-05,1.6108499e-05,2.0,40,0.020021593,5.18116e-06,0,1.120653013318841e-08,2.0
118,118,2201436.2,539.5803,4708.3706,4739.188,-83.46241,87.83150134506286,0.016868299,-3.7068716e-05,1.5354772e-05,1.5155727e-05,2.0,40,0.021090364,4.4502062e-06,0,5.7459023757874384e-09,2.0
119,119,1905053.1,271.29147,5317.8833,5324.799,-87.07959,88.55049343258725,0.016868297,-7.190548e-06,1.570993e-05,1.566915e-05,2.0,41,0.019689023,3.697609e-06,0,4.74171723846073e-09,2.0
120,120,1648567.4,73.37015,6140.402,6140.8403,-89.31542,89.10250292546698,0.016798504,2.775851e-06,1.572232e-05,1.5720076e-05,2.0,41,0.019877523,3.2369387e-06,0,5.392548460202108e-09,2.0
121,121,1426616.2,339.08493,7113.8467,7121.9233,-87.271034,89.65450340500684,0.016750714,-3.764123e-06,1.5682253e-05,1.5646705e-05,2.0,41,0.020296287,2.8498323e-06,0,7.873713441669416e-10,2.0
122,122,1234551.2,234.70787,8684.242,8687.413,-88.45185,90.20648319119937,0.016960898,-1.4337578e-05,1.4844962e-05,1.4834127e-05,2.0,41,0.020862125,2.4014198e-06,0,-1.041970346467321e-09,2.0
123,123,1068345.5,409.60745,9272.466,9281.509,-87.47063,90.75850385744707,0.016883986,-1.3041502e-05,1.60662e-05,1.603491e-05,2.0,41,0.020673655,2.2274023e-06,0,4.691134520659427e-10,2.0
124,124,924510.06,337.9871,10677.818,10683.166,-88.18701,91.31050404367852,0.016740093,7.1743207e-06,1.6122262e-05,1.6106125e-05,2.0,41,0.020138366,1.885056e-06,0,1.6371359619104334e-09,2.0
125,125,800039.0,-950.6867,14598.959,14629.881,-93.72585,91.86250702987309,0.016958978,-1.170818e-05,1.3626586e-05,1.3569044e-05,2.0,41,0.021614352,1.4774114e-06,0,1.813439656715864e-10,2.0
126,126,692334.1,308.65903,14854.133,14857.339,-88.8096,92.41449276273488,0.016958382,-9.473566e-06,1.5475942e-05,1.5469264e-05,2.0,41,0.020181518,1.3583535e-06,0,-1.7796589332423648e-09,2.0
127,127,599122.25,471.37384,16732.191,16738.83,-88.38631,92.96649924232042,0.01660205,2.0541043e-05,1.5876394e-05,1.5863803e-05,2.0,41,0.020830221,1.2444252e-06,0,-1.6770604867692996e-09,2.0
128,128,518454.94,1096.6125,20304.209,20333.8,-86.90851,93.51850593517884,0.016694129,8.0812015e-06,1.5118999e-05,1.5075026e-05,2.0,41,0.020423533,1.004413e-06,0,-1.2919551493923246e-09,2.0
129,129,448662.03,552.19604,22392.87,22399.676,-88.5874,94.07050412139506,0.016855499,-1.260389e-05,1.584131e-05,1.5831683e-05,2.0,41,0.020222452,9.028011e-07,0,-1.5186342502467e-09,2.0
130,130,388258.97,357.5413,26364.553,26366.977,-89.22304,94.62250100096571,0.016732026,4.1743488e-06,1.5548132e-05,1.5545274e-05,2.0,41,0.02090177,7.927253e-07,0,-1.5625860594977602e-09,2.0
131,131,335983.9,3633.3032,27354.018,27594.26,-82.43396,95.17448718720698,0.016736478,6.19295e-06,1.7317312e-05,1.7017088e-05,2.0,41,0.02044277,7.408342e-07,0,-1.4959014009773162e-09,2.0
132,132,290751.2,-1193.8447,35541.17,35561.22,-91.92387,95.7264927867509,0.01680793,7.553861e-07,1.5401636e-05,1.5384278e-05,2.0,41,0.02073415,5.830551e-07,0,-2.7592993055101346e-09,2.0
133,133,251605.19,1118.9371,39709.94,39725.703,-88.38596,96.27848854628974,0.01667967,7.019758e-06,1.5929469e-05,1.591683e-05,2.0,41,0.020128584,5.0668916e-07,0,-3.5455293997592975e-09,2.0
134,134,217729.38,1662.3235,46551.16,46580.832,-87.95486,96.83050681251916,0.016866714,-2.4419767e-06,1.5702637e-05,1.5682639e-05,2.0,41,0.020282302,4.3542164e-07,0,-3.3606043107495945e-09,2.0
135,135,188418.58,880.68646,53715.707,53722.926,-89.0607,97.54950002001715,0.016831221,-9.927846e-07,1.572516e-05,1.5720936e-05,2.0,42,0.019831825,3.6915014e-07,0,-3.5832301200964997e-09,2.0
136,136,163051.14,2648.7065,60709.438,60767.19,-87.501816,97.96549001309904,0.016844803,-7.7151816e-07,1.6078298e-05,1.6047752e-05,2.0,42,0.021745823,3.5785467e-07,0,-3.6718530529457184e-09,2.0
137,137,141098.2,570.0015,70345.3,70347.61,-89.53575,98.5175012392865,0.016579507,1.8073154e-06,1.60348e-05,1.6033746e-05,2.0,42,0.020452734,2.9073814e-07,0,-3.729004515863406e-09,2.0
138,138,122105.11,-17108.28,80917.74,82706.555,-101.93812,99.06950849216082,0.016785648,7.032184e-07,1.6108035e-05,1.5418787e-05,2.0,42,0.019953309,2.4125427e-07,0,-3.788938751447368e-09,2.0
139,139,105663.59,-515.1447,89934.586,89936.06,-90.328186,99.48549379195902,0.016786411,-3.93242e-07,1.6748196e-05,1.6747645e-05,2.0,42,0.021053473,2.3409378e-07,0,-3.846022874938971e-09,2.0
140,140,91439.65,2487.2996,106048.35,106077.516,-88.65641,100.03748899148195,0.016712891,8.641395e-07,1.6412761e-05,1.6403737e-05,2.0,42,0.020363683,1.9196983e-07,0,-3.759034413106901e-09,2.0
141,141,79127.08,2548.594,119548.35,119575.516,-88.778725,100.45348730459227,0.01682727,-8.2016165e-08,1.6824859e-05,1.6817216e-05,2.0,42,0.021312786,1.7823704e-07,0,-3.7097806085860047e-09,2.0
142,142,68475.36,5234.4346,143892.78,143987.95,-87.91665,101.0054992508085,0.016760644,3.6331016e-07,1.6152762e-05,1.6131416e-05,2.0,42,0.020224903,1.4046246e-07,0,-3.821552185741675e-09,2.0
143,143,59252.523,3011.5908,166206.2,166233.48,-88.96194,101.42149631059146,0.016880408,-1.5565669e-06,1.6160919e-05,1.6155615e-05,2.0,42,0.020886846,1.2564765e-07,0,-3.939809222596402e-09,2.0
