True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,196.57706,1701.4896,1712.8075,-83.409706,82.56150178812095,-0.06793853,1.0803027e-05,1.3362621e-05,1.318661e-05,2.0,40,0.0099849105,5.8295577e-06,0,3.4194280803148076e-08,2.0
111,111,6057573.0,326.41953,1973.6641,2000.4749,-80.609,83.11348909433582,-0.067924984,2.8211987e-06,1.3312152e-05,1.2957718e-05,2.0,40,0.014132503,7.064574e-06,0,3.358696220398751e-08,2.0
112,112,5242039.0,256.07886,2267.4736,2281.888,-83.55656,83.52949319410254,-0.067877665,-5.5512096e-06,1.338991e-05,1.322128e-05,2.0,40,0.019580957,8.581033e-06,0,3.5015401151742755e-08,2.0
113,113,4536288.0,243.41916,2612.4531,2623.769,-84.67675,84.89750235239626,-0.06790313,-2.5682237e-05,1.3429845e-05,1.3314253e-05,2.0,40,0.019517744,7.4388195e-06,0,2.0161415248284075e-08,2.0
114,114,3925558.5,240.26945,2996.232,3005.85,-85.41523,85.31349455882446,-0.0679335,6.2632116e-06,1.3531417e-05,1.3444958e-05,2.0,40,0.018579204,6.1810147e-06,0,2.1450099297768423e-08,2.0
115,115,3397055.0,355.3786,3413.8484,3432.296,-84.05697,85.72949135189992,-0.067902386,-1.342129e-05,1.3723768e-05,1.3576641e-05,2.0,40,0.019592816,5.7083703e-06,0,1.8520694809302234e-08,2.0
116,116,2939708.2,376.6188,3931.0361,3949.0361,-84.5274,86.14549846501905,-0.068014994,1.7910193e-05,1.37723755e-05,1.3647111e-05,2.0,40,0.021436205,5.428212e-06,0,1.609976899517942e-08,2.0
117,117,2543924.5,347.6853,4457.111,4470.6514,-85.539566,86.69750507790013,-0.06800624,1.738924e-05,1.4036617e-05,1.395172e-05,2.0,40,0.020906093,4.6762966e-06,0,1.3036356923267877e-08,2.0
118,118,2201436.2,401.39624,5200.1113,5215.58,-85.5861,87.24948182408116,-0.06792247,-2.8138147e-05,1.3902771e-05,1.3820426e-05,2.0,40,0.020756803,3.9797687e-06,0,1.125521911142598e-08,2.0
119,119,1905053.1,141.11455,6136.5083,6138.1304,-88.68266,87.9685076449241,-0.068035066,3.0830927e-06,1.3614187e-05,1.3606992e-05,2.0,41,0.019539084,3.1832305e-06,0,7.848425142500788e-09,2.0
120,120,1648567.4,256.55838,7334.1626,7338.6484,-87.99654,88.52048329779063,-0.06795776,-1.5611691e-06,1.3163243e-05,1.3147156e-05,2.0,41,0.02003941,2.7306676e-06,0,8.5640960803905e-09,2.0
121,121,1426616.2,180.08511,8085.959,8087.964,-88.72416,89.0724873506988,-0.06796419,-5.593163e-07,1.3796897e-05,1.3790059e-05,2.0,41,0.020365909,2.5180514e-06,0,8.977412899793406e-09,2.0
122,122,1234551.2,92.10435,9392.358,9392.81,-89.438156,89.62448985691299,-0.06797917,-1.941053e-06,1.3725758e-05,1.372444e-05,2.0,41,0.02081541,2.2161005e-06,0,9.564575734518312e-09,2.0
123,123,1068345.5,-13.870785,10826.514,10826.522,-90.07341,90.17650036312989,-0.06796665,4.282351e-06,1.3760044e-05,1.3760021e-05,2.0,41,0.020654041,1.9077263e-06,0,8.687159529146202e-09,2.0
124,124,924510.06,79.58338,12537.597,12537.85,-89.636314,90.72849996268633,-0.06792152,-2.138444e-06,1.3730749e-05,1.3730194e-05,2.0,41,0.020323548,1.6209756e-06,0,8.37678360482055e-09,2.0
125,125,800039.0,-858.4174,16787.309,16809.242,-92.92726,91.2814906022686,-0.06800486,6.006728e-06,1.1850259e-05,1.1819355e-05,2.0,41,0.021051066,1.2523507e-06,0,9.584159997494475e-09,2.0
126,126,692334.1,-93.65994,16343.103,16343.371,-90.328354,91.83349665513379,-0.068018466,3.2302194e-06,1.4065978e-05,1.4065515e-05,2.0,41,0.020259295,1.2396032e-06,0,1.034082053543021e-08,2.0
127,127,599122.25,365.87054,19233.86,19237.34,-88.91024,92.38550089471391,-0.068039574,6.2246036e-06,1.3811417e-05,1.3806421e-05,2.0,41,0.020822268,1.0823882e-06,0,9.648205222282207e-09,2.0
128,128,518454.94,580.3873,22145.598,22153.201,-88.49875,92.9375080409518,-0.06795782,2.6361838e-06,1.3861866e-05,1.3852353e-05,2.0,41,0.020226598,9.130327e-07,0,1.0337853142078134e-08,2.0
129,129,448662.03,673.0613,25625.496,25634.334,-88.49545,93.4894882804656,-0.06794801,9.2856516e-07,1.3842946e-05,1.3833403e-05,2.0,41,0.020300051,7.919087e-07,0,1.0068570414358971e-08,2.0
130,130,388258.97,1137.8997,29452.025,29473.998,-87.78744,94.04148406672175,-0.067990646,2.1296714e-06,1.3918213e-05,1.3897469e-05,2.0,41,0.020882966,7.0852167e-07,0,1.0030736027803133e-08,2.0
131,131,335983.9,-231.03001,31441.729,31442.578,-90.421,94.59350051960791,-0.06793263,5.747519e-07,1.5065904e-05,1.506509e-05,2.0,41,0.020426963,6.496593e-07,0,1.0770246746349078e-08,2.0
132,132,290751.2,569.06366,39149.082,39153.22,-89.16722,95.14548502580146,-0.067983344,1.6119851e-06,1.398225e-05,1.3979295e-05,2.0,41,0.02050642,5.23748e-07,0,1.1347021776069265e-08,2.0
133,133,251605.19,1020.1315,45839.047,45850.4,-88.72511,95.69749769204645,-0.06802735,7.85401e-06,1.3799551e-05,1.3792719e-05,2.0,41,0.02032557,4.4330193e-07,0,1.2385178870430509e-08,2.0
134,134,217729.38,738.314,51551.387,51556.67,-89.179474,96.41648977951263,-0.06800428,2.9309305e-07,1.4179561e-05,1.4176653e-05,2.0,42,0.019540448,3.790091e-07,0,1.2752320218884715e-08,2.0
135,135,188418.58,1656.6938,58202.215,58225.79,-88.369545,96.83249982594862,-0.06796186,-2.8149162e-07,1.451299e-05,1.450124e-05,2.0,42,0.021650052,3.7182926e-07,0,1.2685840437285428e-08,2.0
136,136,163051.14,1001.12885,68038.89,68046.26,-89.157005,97.3844921188138,-0.06799348,-2.9732306e-07,1.4346273e-05,1.4343166e-05,2.0,42,0.020784171,3.054418e-07,0,1.2595667775199961e-08,2.0
137,137,141098.2,585.5663,78675.47,78677.65,-89.57357,97.9365037183452,-0.06804587,6.289039e-07,1.43370335e-05,1.4336239e-05,2.0,42,0.020250691,2.573881e-07,0,1.2674166887135593e-08,2.0
138,138,122105.11,3167.4607,88314.7,88371.484,-87.94593,98.48848982460913,-0.0679221,-2.8540308e-07,1.4758876e-05,1.4739917e-05,2.0,42,0.0201279,2.2776464e-07,0,1.2680948179597677e-08,2.0
139,139,105663.59,1733.9398,105005.945,105020.26,-89.05397,98.90448491103598,-0.067888804,-6.376038e-07,1.434435e-05,1.434044e-05,2.0,42,0.02162534,2.059159e-07,0,1.2668810594767729e-08,2.0
140,140,91439.65,492.5307,122550.56,122551.555,-89.76973,99.45650157725322,-0.06802651,5.547759e-07,1.4202679e-05,1.4202449e-05,2.0,42,0.020301022,1.656529e-07,0,1.2605592917357731e-08,2.0
141,141,79127.08,789.943,141673.73,141675.94,-89.680534,99.87250167698949,-0.06806973,2.9700436e-07,1.4197297e-05,1.4196855e-05,2.0,42,0.021343186,1.5064794e-07,0,1.2619806193041544e-08,2.0
142,142,68475.36,835.116,159073.89,159076.08,-89.69921,100.42448290323955,-0.06794666,-1.04739385e-07,1.4611235e-05,1.4610832e-05,2.0,42,0.020284563,1.2751485e-07,0,1.2540085851218475e-08,2.0
143,143,59252.523,1006.38605,182988.19,182990.95,-89.68489,100.84050694966572,-0.06796698,-2.2300887e-07,1.4678788e-05,1.4678345e-05,2.0,42,0.020961015,1.1454673e-07,0,1.26065446652261e-08,2.0
144,144,51282.285,-6931.4873,213505.81,213618.3,-91.85946,101.256488382729,-0.06804069,5.29632e-07,1.4535938e-05,1.4520634e-05,2.0,42,0.02154685,1.00866124e-07,0,1.2613371703377249e-08,2.0
145,145,44369.8,9775.578,255542.98,255729.89,-87.809265,101.67250056247576,-0.06796753,-3.6660845e-07,1.4036817e-05,1.4016307e-05,2.0,42,0.021976495,8.593636e-08,0,1.2589833835284607e-08,2.0
146,146,38403.727,12865.856,289554.3,289840.0,-87.45583,102.22448973535211,-0.06802381,2.1933762e-07,1.4312541e-05,1.4284339e-05,2.0,42,0.020166807,6.95791e-08,0,1.265195518341115e-08,2.0
147,147,33226.32,7042.8716,338012.84,338086.22,-88.80635,102.64048282182193,-0.06803616,6.257375e-07,1.4171137e-05,1.4164986e-05,2.0,42,0.02042464,6.041252e-08,0,1.2683660921779873e-08,2.0
148,148,28754.086,12975.2,384248.56,384467.56,-88.06599,103.05650708157918,-0.067954965,-1.1610075e-07,1.4404835e-05,1.438843e-05,2.0,42,0.0204961,5.3310348e-08,0,1.2704484617705791e-08,2.0
149,149,24884.947,10522.32,448501.28,448624.7,-88.65603,103.47249155465397,-0.06797781,2.3549855e-09,1.42600065e-05,1.4252162e-05,2.0,42,0.020527195,4.575583e-08,0,1.2745835700966138e-08,2.0
150,150,21553.963,10726.541,535816.4,535923.75,-88.85314,104.05648486237624,-0.06802016,-2.8462411e-08,1.3780882e-05,1.37753605e-05,2.0,43,0.02026442,3.7812136e-08,0,1.2692268559297769e-08,2.0
151,151,18631.234,26382.06,614161.4,614727.75,-87.5403,104.47248693546862,-0.068023644,-3.995275e-08,1.39090025e-05,1.3883385e-05,2.0,43,0.020150654,3.2779802e-08,0,1.2691239035762228e-08,2.0
152,152,16126.037,36135.133,696440.75,697377.56,-87.02985,104.88848391521606,-0.067942895,-1.3636355e-07,1.4171254e-05,1.4133207e-05,2.0,43,0.019916572,2.8559237e-08,0,1.2679207562775593e-08,2.0
153,153,13954.87,37244.902,818109.56,818956.94,-87.39338,105.30448980166693,-0.06800984,-1.0600821e-07,1.3940646e-05,1.3911812e-05,2.0,43,0.019699205,2.4054017e-08,0,1.2664573842653897e-08,2.0
154,154,12080.609,127283.914,1052411.1,1060080.4,-83.10385,105.72049744808464,-0.06793387,-1.659926e-07,1.2518314e-05,1.23378395e-05,2.0,43,0.019457195,1.8354452e-08,0,1.265487640794923e-08,2.0
155,155,10447.592,68602.73,1092023.5,1094176.2,-86.40531,106.1364840278693,-0.06797118,-1.5871105e-07,1.3949927e-05,1.3895089e-05,2.0,43,0.018798873,1.7180845e-08,0,1.2643781619200952e-08,2.0
156,156,9045.586,35535.12,1192520.1,1193049.5,-88.29318,106.56825511503848,-0.06800099,-9.492758e-08,1.475427e-05,1.4741178e-05,2.0,43,0.021282582,1.7838808e-08,0,1.2632766742765453e-08,2.0
157,157,7827.7437,61117.316,1409705.9,1411030.1,-87.51752,107.0489251378749,-0.06796568,-1.2334611e-07,1.4422981e-05,1.4395921e-05,2.0,43,0.021315927,1.5106641e-08,0,1.2614728390419068e-08,2.0
158,158,6770.8345,101601.586,1677819.8,1680893.2,-86.534645,107.58741671012831,-0.06798737,-7.70682e-08,1.4009823e-05,1.3958636e-05,2.0,43,0.021357445,1.270601e-08,0,1.2604831412199048e-08,2.0
159,159,5860.798,86584.43,1931333.2,1933273.1,-87.43307,108.19299217889784,-0.06792709,-1.2928683e-07,1.4060674e-05,1.4032471e-05,2.0,43,0.021332651,1.1034474e-08,0,1.2580196608153917e-08,2.0
160,160,5071.625,179182.53,2236296.5,2243463.5,-85.41898,108.87371474457905,-0.06806998,-5.0623672e-08,1.4032777e-05,1.3943261e-05,2.0,43,0.021345487,9.514524e-09,0,1.2561357455506498e-08,2.0
161,161,4388.5933,152696.36,2467197.8,2471918.5,-86.45845,109.55384451021382,-0.067896314,-1.3761128e-07,1.4699103e-05,1.4643014e-05,2.0,43,0.021283573,8.610144e-09,0,1.2538233884859294e-08,2.0
162,162,3798.7827,211162.42,2858671.8,2866460.2,-85.77539,110.2338257424999,-0.06798502,-6.7402915e-08,1.4655863e-05,1.4576328e-05,2.0,43,0.021307997,7.4335578e-09,0,1.2523316088762289e-08,2.0
163,163,3286.0488,295181.0,3224487.0,3237969.8,-84.769516,110.9136993748034,-0.068044044,-5.6862344e-08,1.5020539e-05,1.4895709e-05,2.0,43,0.021291325,6.575517e-09,0,1.2512411695310131e-08,2.0
164,164,2844.088,368695.4,3857207.2,3874788.2,-84.53991,111.59381767376908,-0.06801904,-8.261783e-08,1.4507886e-05,1.4376532e-05,2.0,43,0.021348037,5.509472e-09,0,1.249429465519267e-08,2.0
165,165,2460.7852,413490.0,4356004.5,4375585.5,-84.57749,112.27372143940738,-0.06798921,-9.481584e-08,1.4847664e-05,1.4715072e-05,2.0,43,0.021343501,4.8778617e-09,0,1.247801169134208e-08,2.0
166,166,2129.3164,479390.56,4971219.5,4994280.5,-84.49181,112.95384819169703,-0.06796894,-9.448063e-08,1.5035469e-05,1.48969375e-05,2.0,43,0.021352103,4.275311e-09,0,1.2457663710673719e-08,2.0
167,167,1843.2289,716551.1,5762365.5,5806746.0,-82.911644,113.63396009066491,-0.06798241,-9.587735e-08,1.49844245e-05,1.47562505e-05,2.0,43,0.021350762,3.6768892e-09,0,1.2444888794627845e-08,2.0
168,168,1594.4913,845924.4,6607571.5,6661500.5,-82.70448,114.31385129629052,-0.06799331,-9.667813e-08,1.510623e-05,1.4862631e-05,2.0,43,0.021339761,3.2034466e-09,0,1.2436023325030785e-08,2.0
169,169,1380.4436,919336.3,8065148.0,8117376.0,-83.496994,114.9937041552621,-0.067956865,-1.1049634e-07,1.4295162e-05,1.4111802e-05,2.0,43,0.021387668,2.6348008e-09,0,1.2418060370131132e-08,2.0
170,170,1194.6187,1072332.4,8408589.0,8476690.0,-82.7324,115.67381514755834,-0.06800423,-8.308342e-08,1.5844105e-05,1.5590547e-05,2.0,43,0.021333367,2.5167095e-09,0,1.2400306821926352e-08,2.0
171,171,1033.3434,1450721.2,9710759.0,9818525.0,-81.50324,116.35408592651947,-0.068004824,-5.7681774e-08,1.5860698e-05,1.551444e-05,2.0,43,0.021352632,2.174729e-09,0,1.2385495458984498e-08,2.0
172,172,894.71045,1620522.6,11117136.0,11234625.0,-81.70652,117.03381001215894,-0.067950234,-9.029049e-08,1.6000911e-05,1.5667994e-05,2.0,43,0.021297647,1.895715e-09,0,1.2363597109908012e-08,2.0
173,173,774.2569,2959101.0,12777560.0,13115728.0,-76.960976,117.71397193777375,-0.06796311,-8.4480156e-08,1.6087448e-05,1.5268564e-05,2.0,43,0.02134785,1.6276528e-09,0,1.234944409000881e-08,2.0
