True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,144.81084,1540.9554,1547.7448,-84.63141,2.465495077049127,-0.15965019,2.551989e-05,1.4754717e-05,1.4625555e-05,1.0,40,0.009915957,6.4067135e-06,0,9.503261740803738e-09,1.0
1,1,6057573.0,283.7167,1827.7521,1849.6412,-81.17656,3.017502943315776,-0.1595801,-2.4417086e-05,1.4374878e-05,1.403666e-05,1.0,40,0.014069657,7.606695e-06,0,1.2560820853258924e-08,1.0
2,2,5242039.0,228.52827,2108.7568,2121.1035,-83.81493,3.4334851763851475,-0.1596026,-1.4277134e-05,1.43977095e-05,1.4230582e-05,1.0,40,0.019494077,9.190536e-06,0,1.2889447695171283e-08,1.0
3,3,4536288.0,172.53316,2401.9812,2408.1697,-85.891525,4.801479401387041,-0.1596179,9.761029e-06,1.4606627e-05,1.4531651e-05,1.0,40,0.018300578,7.5993726e-06,0,1.0230275140126348e-08,1.0
4,4,3925558.5,258.22516,2805.9846,2817.8413,-84.74207,5.353499000921147,-0.15962026,-1.4425969e-05,1.4448854e-05,1.4327516e-05,1.0,40,0.020410042,7.243148e-06,0,1.3876706549276542e-08,1.0
5,5,3397055.0,292.8157,3214.3752,3227.6848,-84.79497,5.7694951006851625,-0.15969259,3.8487753e-05,1.4575417e-05,1.4455459e-05,1.0,40,0.021292292,6.5967693e-06,0,1.376166749037111e-08,1.0
6,6,2939708.2,274.91077,3718.799,3728.9465,-85.772125,6.321480166894617,-0.15971719,2.7343123e-05,1.4558385e-05,1.44792575e-05,1.0,40,0.020315405,5.448028e-06,0,1.11589115614221e-08,1.0
7,7,2543924.5,270.12195,4163.9043,4172.6567,-86.28829,6.8734918464615475,-0.1597105,4.9980526e-06,1.5025024e-05,1.4962058e-05,1.0,40,0.020589089,4.934288e-06,0,6.880200231648814e-09,1.0
8,8,2201436.2,289.47247,4767.2017,4775.9824,-86.52517,7.4254825659736525,-0.15962566,-2.1514626e-05,1.5165282e-05,1.510957e-05,1.0,40,0.020794047,4.3538785e-06,0,4.711176836558984e-09,1.0
9,9,1905053.1,168.91508,5712.9624,5715.459,-88.30643,8.143498013407225,-0.15969406,1.5947208e-07,1.4623511e-05,1.4610739e-05,1.0,41,0.019564372,3.4230623e-06,0,7.574145941351023e-09,1.0
10,10,1648567.4,244.04398,6528.3687,6532.9287,-87.85916,8.695503826340428,-0.15971927,2.38479e-06,1.4787977e-05,1.476734e-05,1.0,41,0.019854337,3.0391172e-06,0,7.850757839139355e-09,1.0
11,11,1426616.2,61.38745,7610.69,7610.9375,-89.537865,9.247480225894833,-0.15972552,3.5318924e-06,1.465848e-05,1.4657527e-05,1.0,41,0.020339973,2.6724663e-06,0,7.906129066914975e-09,1.0
12,12,1234551.2,308.78647,8694.613,8700.095,-87.96601,9.799492758727865,-0.15968148,-7.1015165e-07,1.4827253e-05,1.4808576e-05,1.0,41,0.020685734,2.3776447e-06,0,7.919055431348928e-09,1.0
13,13,1068345.5,171.70496,10134.34,10135.794,-89.029335,10.351493158290396,-0.15977561,8.056988e-06,1.4699852e-05,1.46956345e-05,1.0,41,0.020506231,2.02315e-06,0,7.508643233860665e-09,1.0
14,14,924510.06,155.09505,11671.25,11672.28,-89.23866,10.90349998450256,-0.15969509,1.3289346e-06,1.47499695e-05,1.4747366e-05,1.0,41,0.020310517,1.7400642e-06,0,7.285314641604954e-09,1.0
15,15,800039.0,525.70953,12128.363,12139.752,-87.51804,11.455500064097578,-0.15968247,4.5371067e-07,1.6402377e-05,1.6371616e-05,1.0,41,0.020924399,1.7236265e-06,0,6.964912962268717e-09,1.0
16,16,692334.1,448.10464,16107.441,16113.673,-88.406456,12.007483476976631,-0.15966406,-3.1272614e-06,1.4271771e-05,1.4260734e-05,1.0,41,0.020200698,1.253637e-06,0,5.473942469074523e-09,1.0
17,17,599122.25,340.37607,17936.793,17940.021,-88.912865,12.559490969841136,-0.1596169,-6.1886844e-06,1.4810164e-05,1.4804835e-05,1.0,41,0.020707227,1.1542477e-06,0,6.213047055129866e-09,1.0
18,18,518454.94,239.82863,20891.072,20892.45,-89.34228,13.111483182728989,-0.15974481,4.362424e-06,1.4694283e-05,1.4692346e-05,1.0,41,0.020310331,9.721374e-07,0,6.553567885384205e-09,1.0
19,19,448662.03,680.5473,23993.152,24002.803,-88.37528,13.663488008925924,-0.15970442,-1.6080958e-07,1.4784734e-05,1.4772847e-05,1.0,41,0.02024502,8.4344396e-07,0,6.753374913631187e-09,1.0
