True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,253.54208,1525.228,1546.1578,-80.5619,2.4684748905419838,-0.021669567,4.6525372e-05,1.4906859e-05,1.4506014e-05,1.0,40,0.009938943,6.4281558e-06,0,-4.8009805142202016e-09,1.0
1,1,6057573.0,253.23137,1770.6672,1788.6835,-81.86105,3.020497903431533,-0.021579202,1.7500854e-05,1.4838314e-05,1.4540906e-05,1.0,40,0.014074114,7.868421e-06,0,1.5366517916390875e-09,1.0
2,2,5242039.0,232.01924,2033.4664,2046.6604,-83.490685,3.4364773098786827,-0.021495713,5.513645e-07,1.49307925e-05,1.4738908e-05,1.0,40,0.019420095,9.488675e-06,0,3.0775873662681383e-09,1.0
3,3,4536288.0,210.65154,2311.78,2321.3577,-84.79353,4.804494841519045,-0.021608286,2.2524326e-05,1.5176549e-05,1.5051573e-05,1.0,40,0.018788181,8.093618e-06,0,-4.905728878447412e-09,1.0
4,4,3925558.5,235.93054,2681.4907,2691.8499,-84.97179,5.220491581276292,-0.021599213,7.640009e-06,1.5119672e-05,1.5003525e-05,1.0,40,0.018051963,6.706155e-06,0,-7.1081793606235045e-09,1.0
5,5,3397055.0,280.10785,3051.0889,3063.9197,-84.754616,5.636486107687233,-0.021576071,6.9330085e-06,1.5355456e-05,1.5227116e-05,1.0,40,0.01904328,6.2153326e-06,0,-5.5481747758234535e-09,1.0
6,6,2939708.2,321.14496,3475.8076,3490.612,-84.72118,6.052482794126263,-0.021659132,2.7436157e-05,1.5576152e-05,1.5444308e-05,1.0,40,0.02082416,5.965762e-06,0,-6.204734361681908e-09,1.0
7,7,2543924.5,367.0448,4073.6873,4090.1895,-84.85147,6.604497407010058,-0.021662077,1.7817169e-05,1.5357773e-05,1.5234098e-05,1.0,40,0.020456383,5.001329e-06,0,-1.1093985996075793e-08,1.0
8,8,2201436.2,295.5548,4598.838,4608.325,-86.322815,7.1564788198738825,-0.021634538,1.2105314e-05,1.5720483e-05,1.5655822e-05,1.0,40,0.020976616,4.551896e-06,0,-1.3737212800707412e-08,1.0
9,9,1905053.1,96.42758,5415.5684,5416.427,-88.97992,7.875485334050609,-0.02166053,-2.8051174e-06,1.5426556e-05,1.5421667e-05,1.0,41,0.019405643,3.5827388e-06,0,-1.029175700610886e-08,1.0
10,10,1648567.4,105.63244,6420.984,6421.8525,-89.0575,8.42748357358505,-0.021618348,-2.3339728e-06,1.5035293e-05,1.5031224e-05,1.0,41,0.020039946,3.1205864e-06,0,-9.148983722579057e-09,1.0
11,11,1426616.2,146.59047,7264.211,7265.69,-88.84394,8.979482133145211,-0.021639196,1.0887134e-06,1.5357642e-05,1.535139e-05,1.0,41,0.02019737,2.779828e-06,0,-8.499630211165115e-09,1.0
12,12,1234551.2,30.466366,8281.4,8281.456,-89.789215,9.531494746013777,-0.021665039,-1.7942973e-07,1.5567082e-05,1.5566873e-05,1.0,41,0.020850249,2.5177033e-06,0,-7.647517164580601e-09,1.0
13,13,1068345.5,249.80055,9685.123,9688.344,-88.522545,10.083502532244893,-0.02170014,8.945249e-06,1.5381664e-05,1.5371437e-05,1.0,41,0.020578463,2.1240435e-06,0,-7.836873818658002e-09,1.0
14,14,924510.06,111.98253,11215.1875,11215.746,-89.427925,10.635493625159143,-0.02167946,8.103543e-06,1.5349773e-05,1.5348243e-05,1.0,41,0.020338066,1.8133493e-06,0,-8.175894641270591e-09,1.0
15,15,800039.0,184.43085,13679.63,13680.873,-89.22758,11.187483224697644,-0.021654325,3.0235176e-06,1.4542351e-05,1.4539708e-05,1.0,41,0.020317163,1.485078e-06,0,-7.693580361806834e-09,1.0
16,16,692334.1,584.7604,15086.284,15097.613,-87.780266,11.7395037842507,-0.02170314,4.183656e-06,1.5237794e-05,1.5214935e-05,1.0,41,0.02046704,1.3556473e-06,0,-8.079381580431446e-09,1.0
17,17,599122.25,518.92444,17208.516,17216.338,-88.272766,12.29148213044391,-0.021673664,4.1371018e-06,1.5436943e-05,1.5422918e-05,1.0,41,0.020710196,1.2029385e-06,0,-7.3846434786162266e-09,1.0
18,18,518454.94,523.80695,20225.582,20232.363,-88.51647,12.8434953566466,-0.021577563,-2.0602326e-06,1.5177774e-05,1.5167601e-05,1.0,41,0.020386612,1.0076238e-06,0,-8.241575532196065e-09,1.0
19,19,448662.03,428.95343,22982.664,22986.666,-88.93074,13.39550354288076,-0.021641916,8.565363e-06,1.543478e-05,1.5429407e-05,1.0,41,0.02022822,8.79998e-07,0,-6.899851293158892e-09,1.0
20,20,388258.97,492.41568,26636.795,26641.346,-88.94093,13.947480449132854,-0.021636626,1.2451376e-06,1.5389222e-05,1.5383965e-05,1.0,41,0.021020258,7.890089e-07,0,-6.983135965612064e-09,1.0
