True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,187.97835,1328.9784,1342.2069,-81.949165,2.4694836372800637,0.0057498068,-6.8720888e-06,1.710815e-05,1.6772583e-05,1.0,40,0.0099225035,7.392678e-06,0,4.46112101089587e-09,1.0
1,1,6057573.0,211.61823,1569.6127,1583.8138,-82.32157,3.021491210180102,0.0057191574,1.2868114e-05,1.673898e-05,1.6440148e-05,1.0,40,0.014067336,8.881938e-06,0,3.563231893748606e-09,1.0
2,2,5242039.0,210.54936,1797.4869,1809.7764,-83.31908,3.4374834699265193,0.0057419813,5.593428e-06,1.6890952e-05,1.6662332e-05,1.0,40,0.019360555,1.0697761e-05,0,4.057859581798261e-09,1.0
3,3,4536288.0,192.47163,2065.9822,2074.9285,-84.67756,4.805489748221589,0.0057401927,9.7796465e-06,1.698216e-05,1.6836035e-05,1.0,40,0.021543585,1.0382809e-05,0,4.013474620731945e-09,1.0
4,4,3925558.5,176.70798,2384.8127,2391.3506,-85.76228,5.221479634667048,0.005688285,8.905191e-06,1.7000606e-05,1.6907774e-05,1.0,40,0.019092686,7.98406e-06,0,2.3079212494457758e-09,1.0
5,5,3397055.0,254.74655,2695.8118,2707.8215,-84.601746,5.6375033877266105,0.005701159,1.3705379e-05,1.7379129e-05,1.722531e-05,1.0,40,0.019951591,7.3681335e-06,0,8.456801362462506e-09,1.0
6,6,2939708.2,243.02815,3108.226,3117.7126,-85.52921,6.05348431415041,0.005742466,-1.43143325e-05,1.74182e-05,1.7312363e-05,1.0,40,0.021761669,6.980011e-06,0,4.895858359595372e-09,1.0
7,7,2543924.5,297.03925,3584.3508,3596.6377,-85.26266,6.605494260409614,0.0057103075,-8.193159e-06,1.7454418e-05,1.7335367e-05,1.0,40,0.020726258,5.762676e-06,0,2.1153172874556328e-09,1.0
8,8,2201436.2,282.13293,4147.9175,4157.5015,-86.10885,7.15749692657846,0.0057065627,4.5701345e-06,1.7429458e-05,1.7349194e-05,1.0,40,0.020372754,4.9002397e-06,0,5.707333889404254e-11,1.0
9,9,1905053.1,295.9615,4671.136,4680.503,-86.3746,7.709481832833262,0.0056949365,8.979615e-06,1.7885064e-05,1.7813552e-05,1.0,40,0.020634558,4.40862e-06,0,-1.7066643812692442e-09,1.0
10,10,1648567.4,133.47548,5525.1035,5526.7153,-88.61612,8.427500586927636,0.0056848195,-1.4345535e-06,1.7473223e-05,1.7463033e-05,1.0,41,0.019030286,3.4433267e-06,0,3.551727729646675e-09,1.0
11,11,1426616.2,227.17334,6376.629,6380.6743,-87.95965,8.843491086707218,0.0057715126,-8.200182e-07,1.7495318e-05,1.747314e-05,1.0,41,0.021915374,3.4346488e-06,0,4.0442522784410865e-09,1.0
12,12,1234551.2,140.93579,7420.968,7422.306,-88.911995,9.3954932995548,0.0057341005,-2.3544542e-06,1.7372025e-05,1.736576e-05,1.0,41,0.021020249,2.8320374e-06,0,4.969420952344687e-09,1.0
13,13,1068345.5,160.6411,8530.109,8531.622,-88.92112,9.947480045811972,0.0056676595,3.0197953e-06,1.7464406e-05,1.7458213e-05,1.0,41,0.020752273,2.432395e-06,0,5.010893687616165e-09,1.0
14,14,924510.06,145.45184,9761.897,9762.981,-89.14636,10.499481698643649,0.005642544,5.9899703e-06,1.7634951e-05,1.7631035e-05,1.0,41,0.020323832,2.0817238e-06,0,6.338305179037699e-09,1.0
